Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Tottenham,Leicester City,2024-08-19,D,A,1,1,0,0,0,1,70,0,39,6,2.6,19.2,9,8,52.9,26,13,50.0,11,42.3,465,2247,1160,24,13,12,1,8.3,1,0,0,12,11,2,2,0,0,0,0,0,6,0.0,11.2,15,0.07,0.17,6,40.0,13.7,0,1,0,0,0,45,8,28.3,631,724,87.2,12,59,19,5,69,10258,3287,305,332,91.9,274,301,91.0,36,54,66.7,0,0,0,,0,0,,0,0,0,671,52,13,2,3,28,18,13,5,3,0,1,18,627,13,12,14,11,30,20,4,1,1,3,1,3,2,66.7,840,44,175,380,291,58,840,23,13,5,11,7,9,16,56.3,7,8,1,7,6,29,16,0,1.2,1.2,0.1,0.1,1.1,2.4,-0.2,-0.2,-0.1,0.08,0,1.3,0.44,0.3
Tottenham,Everton,2024-08-24,W,H,4,0,4,0,0,4,70,0,43,10,0.0,16.3,11,14,44.0,24,7,29.2,13,54.2,525,2789,1510,22,16,9,1,11.1,0,0,0,11,15,4,2,1,1,0,0,0,2,0.0,15.5,13,0.31,0.57,7,53.8,14.1,1,0,0,0,0,43,0,14.2,574,658,87.2,11,33,12,3,52,8899,2733,294,324,90.7,218,240,90.8,36,56,64.3,0,0,0,,0,0,,0,0,0,606,52,18,3,5,20,19,12,6,1,0,0,9,566,16,6,13,16,21,14,3,2,1,1,0,1,1,100.0,765,63,248,325,197,30,765,22,16,10,11,1,16,21,76.2,5,10,5,5,4,26,14,1,2.4,2.4,1.5,1.5,1.4,1.1,1.6,1.6,1.6,0.19,1,0.1,0.14,0.1
Tottenham,Newcastle Utd,2024-09-01,L,A,1,2,-1,0,0,0,65,0,20,6,25.0,29.9,13,9,59.1,26,10,38.5,13,50.0,377,2179,1176,29,26,10,1,10.0,4,0,0,13,16,0,0,0,0,0,0,0,3,0.0,17.7,20,0.0,0.0,6,30.0,19.9,1,4,0,0,0,45,0,9.8,450,557,80.8,13,38,14,2,48,6707,1912,250,276,90.6,167,194,86.1,17,44,38.6,0,0,0,,0,0,,0,0,0,498,55,17,2,0,27,20,12,3,2,0,4,16,445,26,11,14,4,35,24,2,1,5,3,0,3,1,33.3,675,37,130,254,303,44,675,22,16,6,11,5,10,18,55.6,8,16,3,13,7,29,12,0,1.2,1.2,-0.6,-0.6,0.6,0.9,-1.2,-1.2,-0.6,0.06,1,2.1,0.71,0.1
Tottenham,Arsenal,2024-09-15,L,H,0,1,-1,0,0,0,63,0,23,4,13.0,24.3,14,14,50.0,24,7,29.2,13,54.2,453,2614,1413,32,28,9,0,0.0,5,0,0,13,10,0,0,0,0,0,0,0,3,0.0,10.7,15,0.0,0.0,5,33.3,18.1,0,2,0,0,0,39,1,13.0,470,553,85.0,12,53,11,3,56,7679,2182,247,263,93.9,190,210,90.5,26,56,46.4,0,0,0,,0,0,,0,1,0,504,47,13,1,2,31,22,7,4,1,0,2,11,467,28,8,11,8,29,23,3,2,0,0,1,4,3,75.0,670,56,151,294,230,28,670,20,13,11,4,5,8,20,40.0,12,13,3,10,9,29,23,0,0.7,0.7,0.0,0.0,0.6,0.9,-0.7,-0.7,-0.6,0.05,0,1.4,0.35,0.4
Tottenham,Brentford,2024-09-21,W,H,3,1,2,0,0,3,48,0,32,9,15.6,26.8,13,7,65.0,22,11,50.0,11,50.0,367,1886,973,34,17,12,4,33.3,3,0,0,11,8,5,4,0,0,1,0,0,3,0.0,9.7,23,0.13,0.33,9,39.1,14.4,0,1,0,0,0,60,4,14.7,381,485,78.6,15,36,16,1,56,6354,2559,179,211,84.8,159,178,89.3,31,55,56.4,0,0,0,,0,0,,0,0,0,441,43,11,3,0,23,18,9,7,0,0,1,18,375,17,21,16,16,38,30,1,3,4,0,0,6,5,83.3,621,48,149,227,251,56,621,18,11,7,5,6,8,16,50.0,8,7,0,7,17,35,19,1,3.5,3.5,2.7,2.7,1.8,1.9,-0.5,-0.5,0.2,0.17,0,1.5,0.26,0.5
Tottenham,Manchester Utd,2024-09-29,W,A,3,0,3,0,0,3,61,0,42,7,4.8,19.7,8,6,57.1,19,6,31.6,12,63.2,548,2920,1680,33,26,15,1,6.7,3,0,0,14,15,5,3,0,0,1,0,1,9,0.0,17.9,24,0.13,0.3,10,41.7,14.6,0,1,0,0,0,46,2,16.8,591,675,87.6,19,33,15,2,54,9890,3227,264,286,92.3,277,304,91.1,39,59,66.1,0,0,0,,0,0,,0,0,0,627,47,18,2,2,15,16,3,3,0,0,1,7,582,26,8,12,15,41,31,2,0,6,1,1,2,2,100.0,781,75,223,372,195,41,781,7,6,5,2,0,6,8,75.0,2,19,4,15,11,18,16,0,4.4,4.4,3.4,3.4,3.9,1.5,-1.4,-1.4,-1.9,0.2,0,0.3,0.14,0.3
Tottenham,Brighton,2024-10-06,L,A,2,3,-1,0,0,2,59,0,54,7,0.0,17.3,8,7,53.3,24,14,58.3,9,37.5,452,2311,1228,25,10,10,1,10.0,2,0,0,10,13,4,4,0,0,0,0,0,6,0.0,11.3,13,0.15,0.67,3,23.1,16.2,0,2,0,0,0,37,2,12.2,485,571,84.9,8,41,11,1,51,8382,2841,195,215,90.7,257,276,93.1,24,46,52.2,0,0,0,,0,0,,0,0,0,519,50,16,2,1,19,17,7,2,1,0,2,14,480,10,8,15,3,20,18,0,0,1,1,0,4,1,25.0,676,82,278,263,139,31,676,20,12,8,9,3,13,20,65.0,7,10,2,8,7,27,14,1,1.3,1.3,-0.4,-0.4,1.0,0.8,0.7,0.7,1.0,0.1,0,2.3,0.57,-0.7
Tottenham,West Ham,2024-10-19,W,H,4,1,3,0,0,3,57,0,28,2,3.6,21.6,9,7,56.3,26,7,26.9,18,69.2,433,2398,1206,22,18,9,2,22.2,1,0,0,10,15,5,5,0,0,0,0,0,7,0.0,13.1,22,0.14,0.43,7,31.8,15.8,0,2,0,0,0,49,0,11.7,443,527,84.1,19,48,14,2,62,7522,2425,201,228,88.2,198,222,89.2,33,54,61.1,0,0,0,,0,0,,0,0,0,469,56,16,1,0,28,18,13,5,3,0,2,7,438,18,5,12,15,37,33,2,1,0,1,0,3,2,66.7,650,52,197,236,225,41,650,25,16,10,10,5,15,30,50.0,15,9,4,5,5,30,16,0,1.9,1.9,1.1,1.1,1.7,1.6,1.1,1.1,1.3,0.09,0,0.9,0.29,-0.1
Tottenham,Crystal Palace,2024-10-27,L,A,0,1,-1,0,0,0,66,0,30,7,13.3,25.0,15,21,41.7,28,9,32.1,16,57.1,428,2488,1245,20,17,22,2,9.1,4,0,0,12,16,0,0,0,0,0,0,0,12,0.0,13.8,11,0.0,0.0,3,27.3,12.9,0,1,0,0,0,51,0,5.1,445,571,77.9,6,32,16,4,55,7625,3071,189,227,83.3,204,240,85.0,33,60,55.0,0,0,0,,0,0,,0,0,0,510,60,20,2,0,28,18,8,1,5,0,1,20,441,17,2,7,16,20,15,3,0,2,0,0,6,5,83.3,690,99,279,249,167,24,690,19,14,11,6,2,7,11,63.6,4,9,1,8,10,29,23,2,0.7,0.7,-0.1,-0.1,0.4,0.5,-0.7,-0.7,-0.4,0.07,0,1.5,0.25,0.5
Tottenham,Aston Villa,2024-11-03,W,H,4,1,3,0,0,4,51,0,11,3,9.1,21.6,12,11,52.2,20,5,25.0,12,60.0,281,1826,971,23,14,8,2,25.0,2,0,0,14,13,8,7,0,0,0,1,0,7,14.3,21.6,16,0.25,0.67,6,37.5,20.4,1,0,0,0,0,51,2,16.4,369,435,84.8,10,37,9,1,45,6331,2137,165,182,90.7,174,189,92.1,24,44,54.5,0,0,0,,0,0,,0,1,0,395,40,13,1,3,23,12,6,4,1,0,0,12,362,14,2,12,7,30,26,1,1,0,2,0,1,0,0.0,560,43,122,240,203,22,560,17,7,5,6,6,10,24,41.7,14,13,3,10,16,33,19,0,2.4,2.4,0.7,0.7,2.2,1.8,1.6,1.6,0.8,0.15,1,1.0,0.98,0.0
