Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
West Ham,Aston Villa,2024-08-17,L,H,1,2,-1,1,0,0,52,1,27,7,29.6,27.4,14,12,53.8,11,4,36.4,6,54.5,327,1887,988,20,11,11,1,9.1,1,0,0,18,11,2,1,0,0,0,1,0,7,42.9,31.0,13,0.0,0.0,2,15.4,13.6,0,1,1,0,0,39,3,16.9,377,464,81.3,10,20,9,3,30,6787,2273,164,177,92.7,157,185,84.9,45,75,60.0,0,0,0,,0,0,,0,1,0,423,40,11,0,4,25,14,5,4,1,0,1,11,372,11,6,16,18,26,19,2,2,2,1,0,3,1,33.3,571,66,217,253,106,22,570,14,10,9,5,0,7,15,46.7,8,14,6,8,6,20,24,0,2.3,1.5,0.3,-0.5,1.1,1.1,-1.3,-1.5,-1.1,0.13,0,1.3,0.44,-0.7
West Ham,Crystal Palace,2024-08-24,W,A,2,0,2,0,0,2,42,0,32,3,40.6,33.8,23,13,63.9,26,14,53.8,9,34.6,225,1138,618,19,9,15,1,6.7,1,0,0,17,9,3,1,0,1,1,0,0,13,69.2,52.9,18,0.11,0.67,3,16.7,17.2,0,2,0,0,0,52,1,16.8,320,425,75.3,8,23,3,0,28,6024,2306,135,167,80.8,139,166,83.7,41,75,54.7,0,0,0,,0,0,,0,0,0,382,41,11,2,3,14,13,3,0,3,0,2,9,315,9,5,13,14,26,14,3,2,6,0,1,2,2,100.0,558,83,208,273,87,21,558,20,12,9,9,2,11,14,78.6,3,10,4,6,15,35,25,0,1.4,1.4,0.0,0.0,0.6,0.8,0.6,0.6,0.4,0.08,0,0.3,0.13,0.3
West Ham,Manchester City,2024-08-31,L,H,1,3,-2,0,0,0,33,0,19,6,36.8,35.8,9,7,56.3,17,10,58.8,5,29.4,283,1759,850,17,12,15,1,6.7,3,0,0,10,2,0,0,0,0,0,0,0,8,50.0,43.0,10,0.0,0.0,2,20.0,16.9,0,0,0,0,0,29,0,5.5,310,379,81.8,6,25,8,2,23,4964,1915,158,176,89.8,105,121,86.8,27,45,60.0,0,0,0,,0,0,,0,0,0,341,38,4,0,4,14,19,3,1,1,0,0,13,306,12,5,10,10,17,12,2,1,1,0,1,8,5,62.5,468,76,164,199,111,23,468,11,6,7,3,1,3,15,20.0,12,13,5,8,6,17,20,1,0.7,0.7,-2.3,-2.3,0.4,0.6,-0.7,-0.7,-0.4,0.07,0,2.9,0.36,-0.1
West Ham,Fulham,2024-09-14,D,A,1,1,0,0,0,1,46,0,19,2,42.1,36.3,10,20,33.3,24,9,37.5,6,25.0,234,1255,595,12,11,16,0,0.0,3,0,0,18,15,2,1,1,0,0,0,0,13,38.5,32.8,11,0.09,0.33,3,27.3,18.0,0,2,0,0,0,40,0,4.0,283,379,74.7,9,27,5,3,31,5050,1796,133,155,85.8,112,134,83.6,32,66,48.5,0,0,0,,0,0,,0,0,0,317,60,17,0,10,16,26,2,1,1,0,2,12,281,11,0,12,24,21,14,4,1,0,2,0,5,4,80.0,503,63,176,211,122,12,503,18,10,7,8,3,9,21,42.9,12,16,6,10,10,28,24,0,0.8,0.8,-0.8,-0.8,0.7,0.3,0.2,0.2,0.3,0.07,0,0.8,0.16,-0.2
West Ham,Chelsea,2024-09-21,L,H,0,3,-3,0,0,0,53,0,29,4,17.2,23.0,9,10,47.4,24,9,37.5,11,45.8,422,2446,1239,30,16,6,0,0.0,5,0,0,17,9,0,0,0,0,0,0,0,4,0.0,14.8,15,0.0,0.0,7,46.7,18.0,1,2,0,0,0,46,0,11.7,463,542,85.4,9,50,10,1,61,7723,2705,233,252,92.5,199,217,91.7,28,53,52.8,0,0,0,,0,0,,0,0,0,508,32,9,2,5,29,9,6,2,4,0,2,7,460,16,10,8,8,27,20,1,2,1,2,1,5,2,40.0,640,66,166,299,180,34,640,16,6,6,6,4,5,11,45.5,6,9,3,6,8,24,9,0,0.9,0.9,-1.3,-1.3,0.5,0.9,-0.9,-0.9,-0.5,0.06,1,2.7,0.55,-0.3
West Ham,Brentford,2024-09-28,D,A,1,1,0,0,0,1,43,0,30,4,40.0,33.1,17,16,51.5,18,10,55.6,8,44.4,281,1343,631,18,14,22,0,0.0,3,0,0,11,2,1,0,0,0,1,0,0,6,100.0,65.0,19,0.05,0.33,3,15.8,18.7,0,2,0,0,0,50,2,20.0,338,439,77.0,14,32,11,2,39,6033,2355,166,190,87.4,129,159,81.1,41,77,53.2,0,0,0,,0,0,,0,0,0,402,35,3,3,4,16,18,6,1,4,0,2,7,335,14,11,15,17,32,23,2,2,4,0,1,3,2,66.7,578,74,190,213,183,35,578,17,7,10,5,2,9,13,69.2,4,13,3,10,10,27,38,1,1.0,1.0,0.6,0.6,0.9,0.9,0.0,0.0,0.1,0.05,0,1.3,0.42,0.3
West Ham,Ipswich Town,2024-10-05,W,H,4,1,3,0,0,4,52,0,40,5,20.0,28.4,10,16,38.5,17,8,47.1,8,47.1,364,1704,866,19,6,13,2,15.4,0,0,0,12,5,5,2,0,0,3,0,0,7,57.1,46.0,23,0.17,0.33,12,52.2,16.4,1,3,0,0,0,49,0,5.5,452,528,85.6,15,32,7,2,36,8209,2825,196,218,89.9,205,226,90.7,42,69,60.9,0,0,0,,0,0,,0,1,0,492,33,6,2,6,11,13,5,3,2,0,3,3,451,6,10,17,7,36,27,1,1,4,1,2,2,1,50.0,643,71,269,267,112,27,643,19,11,12,6,1,6,17,35.3,11,14,3,11,8,27,17,0,3.6,3.6,2.9,2.9,2.1,1.7,0.4,0.4,-1.1,0.17,1,0.7,0.33,-0.3
West Ham,Tottenham,2024-10-19,L,A,1,4,-3,0,0,1,43,0,29,4,55.2,38.0,7,9,43.8,33,15,45.5,15,45.5,247,1250,657,16,11,19,2,10.5,3,1,0,15,9,2,1,0,0,1,0,0,11,63.6,45.8,11,0.09,0.33,3,27.3,16.9,0,1,0,0,1,34,4,17.9,317,400,79.3,8,23,6,2,29,6046,2202,129,148,87.2,132,156,84.6,50,79,63.3,0,0,0,,0,0,,0,0,1,349,50,12,0,1,12,17,5,3,2,0,1,7,315,11,3,13,10,20,15,0,3,2,0,0,7,4,42.9,530,80,209,209,123,20,530,33,25,19,9,5,18,25,72.0,7,10,6,4,11,44,28,1,0.8,0.8,-1.1,-1.1,0.7,0.9,0.2,0.2,-0.7,0.07,0,0.8,0.11,-2.2
West Ham,Manchester Utd,2024-10-27,W,H,2,1,1,1,0,1,42,1,23,3,47.8,37.6,13,14,48.1,16,10,62.5,6,37.5,284,1459,694,21,12,19,1,5.3,5,0,0,6,6,3,1,0,0,1,1,0,7,42.9,39.1,11,0.09,0.5,2,18.2,12.3,0,3,1,0,0,52,2,13.2,338,436,77.5,10,26,10,4,35,5808,2291,165,189,87.3,121,150,80.7,39,60,65.0,0,0,0,,0,0,,0,1,0,395,38,9,2,3,23,14,6,3,3,0,3,16,331,12,6,13,13,22,15,2,2,2,1,0,5,4,80.0,562,84,212,208,144,29,561,11,5,7,2,2,7,14,50.0,7,11,5,6,12,23,42,1,2.8,2.1,0.5,-0.2,2.2,1.1,-0.8,-1.1,-1.2,0.2,0,2.0,0.4,1.0
West Ham,Nott'ham Forest,2024-11-02,L,A,0,3,-3,0,0,0,46,0,21,2,38.1,33.3,15,13,53.6,20,10,50.0,7,35.0,300,1696,896,17,11,15,1,6.7,4,1,1,9,7,0,0,0,0,0,0,0,12,58.3,42.3,4,0.0,0.0,1,25.0,23.2,0,1,0,0,0,33,0,7.0,326,423,77.1,2,17,3,1,20,5783,1864,139,166,83.7,160,177,90.4,23,62,37.1,0,0,0,,0,0,,0,0,0,379,43,8,1,3,15,13,6,2,3,0,1,10,323,11,2,9,11,5,4,1,0,0,0,0,6,3,50.0,529,73,212,214,112,9,529,13,11,9,2,2,4,10,40.0,6,9,3,6,11,24,32,1,0.1,0.1,-2.0,-2.0,0.0,0.3,-0.1,-0.1,0.0,0.03,0,2.9,0.48,-0.1
