Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Wolves,Arsenal,2024-08-17,L,A,0,2,-2,0,0,0,47,0,32,1,56.3,41.3,13,17,43.3,18,8,44.4,8,44.4,306,1620,738,12,8,11,1,9.1,2,0,0,14,17,0,0,0,0,0,0,0,8,50.0,37.4,9,0.0,0.0,3,33.3,19.3,1,1,0,0,0,36,2,15.8,324,406,79.8,4,39,5,4,24,5925,2051,143,167,85.6,149,165,90.3,29,61,47.5,0,0,0,,0,0,,0,0,0,361,44,16,1,1,14,15,2,1,1,0,1,6,318,8,6,16,10,13,10,1,0,0,1,1,6,4,66.7,493,68,179,209,112,16,493,19,12,15,3,1,10,19,52.6,9,13,6,7,7,26,13,0,0.5,0.5,-0.8,-0.8,0.2,0.3,-0.5,-0.5,-0.2,0.05,1,1.7,0.28,-0.3
Wolves,Chelsea,2024-08-25,L,H,2,6,-4,0,0,2,40,0,26,2,50.0,40.1,8,5,61.5,18,8,44.4,8,44.4,230,1389,794,17,10,8,0,0.0,2,0,0,13,13,4,2,1,0,0,0,1,4,25.0,19.3,12,0.17,0.5,4,33.3,19.1,1,3,0,0,0,43,3,21.2,272,357,76.2,8,18,10,0,27,4598,1668,134,154,87.0,112,130,86.2,21,48,43.8,0,0,0,,0,0,,0,1,0,307,47,12,2,3,13,19,5,2,3,0,3,11,270,10,4,11,6,19,12,3,0,0,2,2,8,2,25.0,463,65,203,176,91,24,463,19,10,10,7,2,9,18,50.0,9,13,3,10,9,28,20,0,1.9,1.9,0.3,0.3,1.7,1.2,0.1,0.1,0.3,0.16,1,3.0,0.4,-3.0
Wolves,Nott'ham Forest,2024-08-31,D,A,1,1,0,0,0,1,48,0,25,0,76.0,49.8,16,14,53.3,19,8,42.1,6,31.6,275,1824,944,11,16,17,1,5.9,4,0,0,18,13,1,1,0,0,0,0,0,7,0.0,8.6,11,0.09,0.5,2,18.2,20.7,0,0,0,0,0,44,1,11.0,292,383,76.2,8,22,3,0,21,5227,1962,136,159,85.5,123,148,83.1,30,59,50.8,0,0,0,,0,0,,0,1,0,335,48,19,3,5,7,17,3,3,0,0,0,7,291,16,4,21,11,18,14,0,1,3,0,0,5,4,80.0,520,70,188,232,111,13,520,23,14,9,11,3,8,16,50.0,8,14,6,8,10,33,27,0,0.7,0.7,-0.3,-0.3,0.5,0.5,0.3,0.3,0.5,0.07,0,1.7,0.35,0.7
Wolves,Newcastle Utd,2024-09-15,L,H,1,2,-1,0,0,1,49,0,39,5,53.8,38.1,8,13,38.1,23,15,65.2,8,34.8,341,1804,948,13,14,10,1,10.0,3,0,0,17,6,2,2,0,0,0,0,0,8,37.5,32.4,12,0.08,0.2,5,41.7,15.2,0,3,0,0,0,36,1,10.0,389,483,80.5,8,32,9,3,31,7281,2506,162,180,90.0,176,206,85.4,42,69,60.9,0,0,0,,0,0,,0,0,0,436,44,8,4,4,21,21,4,0,3,0,3,12,384,14,5,10,6,24,18,0,5,0,0,1,6,4,66.7,582,74,197,262,133,24,582,23,14,15,5,3,8,20,40.0,12,12,4,8,10,33,20,0,1.2,1.2,-0.3,-0.3,0.9,1.0,-0.2,-0.2,0.1,0.1,0,1.7,0.29,-0.3
Wolves,Aston Villa,2024-09-21,L,A,1,3,-2,0,0,1,47,0,29,6,31.0,34.5,10,7,58.8,16,7,43.8,8,50.0,288,1543,781,15,12,12,0,0.0,6,0,0,16,11,0,0,0,0,0,0,0,7,42.9,34.6,10,0.1,0.25,4,40.0,14.9,0,5,0,0,0,32,1,19.5,364,432,84.3,7,15,4,2,16,6273,1902,167,182,91.8,149,163,91.4,35,57,61.4,0,0,0,,0,0,,0,0,0,388,39,11,0,2,11,12,5,3,1,0,5,5,359,12,4,9,7,16,8,3,3,2,0,0,3,0,0.0,532,68,198,230,110,17,532,23,9,12,10,1,11,20,55.0,9,13,4,9,10,33,21,0,0.5,0.5,-1.2,-1.2,0.4,0.5,0.5,0.5,-0.4,0.05,0,1.8,0.59,-1.2
Wolves,Liverpool,2024-09-28,L,H,1,2,-1,0,0,1,45,0,35,8,22.9,28.8,10,10,50.0,12,7,58.3,4,33.3,294,1855,1049,21,14,16,2,12.5,2,0,0,16,8,1,1,0,0,0,0,0,7,28.6,31.1,8,0.13,0.33,3,37.5,22.9,0,1,0,1,0,38,2,12.3,382,465,82.2,6,17,3,2,35,6620,2110,179,205,87.3,164,185,88.6,33,54,61.1,1,1,0,0.0,1,0,0.0,0,1,0,428,36,9,1,1,15,15,2,1,0,0,1,11,381,14,8,19,6,13,12,1,0,0,0,0,6,4,83.3,561,87,210,247,112,18,561,14,11,9,3,2,7,11,63.6,4,7,1,6,9,23,23,1,0.6,0.6,-1.9,-1.1,0.2,0.3,0.4,0.4,-0.2,0.08,0,1.5,0.15,-0.5
Wolves,Brentford,2024-10-05,L,A,3,5,-2,0,0,3,56,0,38,3,57.9,43.4,20,22,47.6,14,2,14.3,9,64.3,331,1787,866,13,14,19,0,0.0,3,0,0,10,9,6,5,0,0,0,0,1,10,20.0,20.3,17,0.18,0.5,6,35.3,20.9,0,1,0,1,0,42,1,12.7,394,514,76.7,14,35,12,4,40,6763,2220,191,220,86.8,162,187,86.6,32,79,40.5,1,1,0,0.0,1,0,0.0,0,1,0,468,45,14,0,4,20,12,3,0,3,0,1,8,389,14,6,11,7,31,26,1,1,0,1,2,12,7,66.7,626,90,189,270,168,31,626,17,15,8,5,4,8,13,61.5,5,6,2,4,5,22,24,1,1.0,1.0,-3.1,-2.3,1.0,0.9,2.0,2.0,2.0,0.06,0,4.8,0.33,-0.2
Wolves,Manchester City,2024-10-20,L,H,1,2,-1,0,0,1,23,0,31,4,83.9,52.1,14,13,51.9,9,4,44.4,4,44.4,161,916,478,7,3,28,3,10.7,4,0,0,8,4,2,2,0,0,0,0,0,9,100.0,67.8,3,0.33,0.5,2,66.7,17.6,0,2,0,0,0,31,0,4.3,158,237,66.7,3,8,2,1,8,3118,1313,75,89,84.3,54,67,80.6,26,68,38.2,0,0,0,,0,0,,0,1,0,205,30,6,1,3,4,11,1,0,0,1,2,6,157,3,3,7,10,6,6,0,0,0,0,0,7,5,71.4,374,112,236,106,33,4,374,26,13,22,3,1,12,22,54.5,10,24,7,17,6,32,50,0,0.8,0.8,-0.8,-0.8,0.8,0.3,0.2,0.2,0.2,0.26,0,1.8,0.26,-0.2
Wolves,Brighton,2024-10-26,D,A,2,2,0,0,0,2,49,0,20,7,30.0,29.8,15,11,57.7,24,12,50.0,9,37.5,333,1870,921,16,8,24,1,4.2,3,0,0,10,12,3,1,0,1,1,0,0,9,55.6,40.6,14,0.14,0.29,7,50.0,11.9,0,1,0,0,0,46,3,21.8,388,480,80.8,12,25,4,1,32,7060,2362,173,190,91.1,163,186,87.6,44,78,56.4,0,0,0,,0,0,,0,0,0,432,47,14,0,1,19,15,6,5,1,0,1,12,386,8,8,12,8,26,13,7,2,2,2,0,6,4,66.7,601,84,232,281,97,28,601,24,12,14,6,4,12,23,52.2,11,18,8,10,9,33,30,3,1.3,1.3,0.0,0.0,1.3,0.8,0.7,0.7,-0.3,0.1,0,1.5,0.25,-0.5
Wolves,Crystal Palace,2024-11-02,D,H,2,2,0,0,0,2,57,0,31,8,29.0,32.6,13,15,46.4,23,14,60.9,5,21.7,355,2038,990,14,7,20,1,5.0,1,0,0,7,8,4,3,0,1,0,0,0,8,62.5,45.9,11,0.18,0.33,6,54.5,17.6,0,4,0,0,0,41,0,8.2,423,534,79.2,9,28,8,2,38,7722,2795,175,206,85.0,178,197,90.4,55,90,61.1,0,0,0,,0,0,,0,1,0,480,50,10,2,6,12,26,3,1,1,1,4,13,422,7,1,20,9,21,17,0,3,1,0,0,6,4,66.7,654,80,259,303,99,20,654,25,10,9,9,7,10,19,52.6,9,12,5,7,13,38,24,1,1.5,1.5,-0.9,-0.9,1.5,0.6,0.5,0.5,0.5,0.14,0,2.9,0.48,0.9
