Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Wolves,Arsenal,2024-08-17,L,A,0,2,-2,0,0,0,47,0,32,1,56.3,41.3,13,17,43.3,18,8,44.4,8,44.4,306,1620,738,12,8,11,1,9.1,2,0,0,14,17,0,0,0,0,0,0,0,8,50.0,37.4,9,0.0,0.0,3,33.3,19.3,1,1,0,0,0,36,2,15.8,324,406,79.8,4,39,5,4,24,5925,2051,143,167,85.6,149,165,90.3,29,61,47.5,0,0,0,,0,0,,0,0,0,361,44,16,1,1,14,15,2,1,1,0,1,6,318,8,6,16,10,13,10,1,0,0,1,1,6,4,66.7,493,68,179,209,112,16,493,19,12,15,3,1,10,19,52.6,9,13,6,7,7,26,13,0,0.5,0.5,-0.8,-0.8,0.2,0.3,-0.5,-0.5,-0.2,0.05,1,1.7,0.28,-0.3
Aston Villa,Arsenal,2024-08-24,L,H,0,2,-2,0,0,0,40,0,31,5,25.8,29.6,9,7,56.3,21,11,52.4,7,33.3,237,1283,778,16,6,8,1,12.5,1,0,0,8,16,0,0,0,0,0,0,0,9,22.2,25.0,11,0.0,0.0,3,27.3,16.0,0,3,0,0,0,33,0,10.3,287,358,80.2,9,20,5,1,17,4799,1818,140,155,90.3,113,126,89.7,24,50,48.0,0,0,0,,0,0,,0,0,0,311,44,17,2,2,10,11,4,3,1,0,3,8,278,6,4,10,10,19,13,1,1,3,0,1,4,2,50.0,457,84,193,172,101,16,457,22,10,11,5,6,9,15,60.0,6,4,1,3,4,26,17,1,1.2,1.2,0.4,0.4,0.7,0.5,-1.2,-1.2,-0.7,0.12,0,0.9,0.22,-1.1
Brighton,Arsenal,2024-08-31,D,A,1,1,0,0,0,1,64,0,29,6,31.0,32.1,18,14,56.3,24,10,41.7,12,50.0,358,2050,1198,28,20,6,0,0.0,2,0,0,7,12,1,0,0,0,1,0,0,5,20.0,23.6,22,0.05,0.25,4,18.2,19.3,0,1,0,0,0,38,2,25.0,429,518,82.8,13,38,5,3,50,7481,2504,188,207,90.8,181,215,84.2,47,66,71.2,0,0,0,,0,0,,0,0,0,474,43,15,1,1,26,14,7,2,3,0,1,9,425,20,11,12,5,38,24,4,2,6,2,0,7,6,85.7,620,55,158,267,205,31,620,18,7,7,10,1,7,15,46.7,8,6,2,4,5,23,12,0,1.7,1.7,-0.4,-0.4,1.0,1.0,-0.7,-0.7,-1.0,0.08,0,2.4,0.34,1.4
Tottenham,Arsenal,2024-09-15,L,H,0,1,-1,0,0,0,63,0,23,4,13.0,24.3,14,14,50.0,24,7,29.2,13,54.2,453,2614,1413,32,28,9,0,0.0,5,0,0,13,10,0,0,0,0,0,0,0,3,0.0,10.7,15,0.0,0.0,5,33.3,18.1,0,2,0,0,0,39,1,13.0,470,553,85.0,12,53,11,3,56,7679,2182,247,263,93.9,190,210,90.5,26,56,46.4,0,0,0,,0,0,,0,1,0,504,47,13,1,2,31,22,7,4,1,0,2,11,467,28,8,11,8,29,23,3,2,0,0,1,4,3,75.0,670,56,151,294,230,28,670,20,13,11,4,5,8,20,40.0,12,13,3,10,9,29,23,0,0.7,0.7,0.0,0.0,0.6,0.9,-0.7,-0.7,-0.6,0.05,0,1.4,0.35,0.4
Manchester City,Arsenal,2024-09-22,D,H,2,2,0,0,0,2,77,0,24,0,25.0,30.5,16,11,59.3,21,10,47.6,9,42.9,601,3387,2010,59,38,7,0,0.0,3,0,0,7,10,3,1,0,1,1,0,0,3,0.0,16.3,33,0.06,0.18,11,33.3,20.2,1,0,0,0,0,39,2,23.3,669,749,89.3,27,44,16,6,54,9984,2410,390,416,93.8,239,262,91.2,32,51,62.7,0,0,0,,0,0,,0,1,0,705,44,10,3,2,24,20,8,3,0,0,0,12,658,38,17,10,7,64,55,1,3,3,1,1,3,1,33.3,847,34,112,236,504,53,847,10,5,2,5,3,4,8,50.0,4,2,0,2,3,13,9,1,2.1,2.1,1.5,1.5,1.7,2.9,-0.1,-0.1,-0.7,0.07,1,1.5,0.49,-0.5
Leicester City,Arsenal,2024-09-28,L,A,2,4,-2,0,0,2,26,0,29,4,44.8,34.2,15,18,45.5,17,4,23.5,11,64.7,172,785,391,4,2,36,2,5.6,4,0,0,6,11,4,2,1,0,0,1,0,10,90.0,54.7,5,0.4,0.67,3,60.0,14.5,0,1,0,0,1,23,2,11.2,192,257,74.7,5,8,5,1,13,3330,1635,95,107,88.8,66,85,77.6,20,42,47.6,0,0,0,,0,0,,0,0,1,214,42,11,0,0,4,16,0,0,0,0,1,4,192,2,1,12,8,9,7,1,0,0,1,0,16,13,75.0,419,131,261,130,32,11,419,24,14,19,4,1,10,28,35.7,18,18,9,9,6,30,63,2,0.3,0.3,-4.1,-4.1,0.3,0.2,1.7,1.7,1.7,0.06,0,5.2,0.36,2.2
Southampton,Arsenal,2024-10-05,L,A,1,3,-2,0,0,1,41,0,30,2,40.0,40.7,14,9,60.9,14,6,42.9,7,50.0,281,1420,795,15,10,27,0,0.0,3,0,0,9,10,2,1,0,0,0,0,1,17,5.9,14.7,8,0.13,0.5,2,25.0,16.4,0,0,0,0,0,26,1,14.0,345,411,83.9,5,21,3,0,14,5834,1921,164,185,88.6,155,170,91.2,23,49,46.9,0,0,0,,0,0,,0,0,0,371,40,11,1,3,7,7,1,1,0,0,0,3,343,10,2,14,9,15,10,1,1,2,0,1,6,3,50.0,530,136,267,205,65,8,530,15,10,8,7,0,5,19,26.3,14,20,10,10,9,24,33,3,0.6,0.6,-2.2,-2.2,0.4,0.2,0.4,0.4,0.6,0.08,0,2.7,0.44,-0.3
Bournemouth,Arsenal,2024-10-19,W,H,2,0,2,1,0,1,49,1,31,4,48.4,41.5,12,17,41.4,31,17,54.8,11,35.5,324,1965,1066,28,17,13,2,15.4,1,0,0,12,11,3,1,1,0,0,1,0,6,66.7,45.0,12,0.08,0.33,3,25.0,18.9,0,1,1,0,0,41,0,11.8,346,453,76.4,10,30,6,1,37,6346,2212,145,171,84.8,171,201,85.1,29,69,42.0,0,0,0,,0,0,,0,0,0,409,43,11,2,2,25,18,7,5,0,0,1,11,343,17,7,14,6,25,17,2,2,2,1,1,1,1,100.0,564,51,166,225,181,27,563,16,11,6,7,3,6,13,46.2,7,13,1,12,6,22,21,1,1.8,1.0,1.1,0.3,0.7,0.5,0.2,0.0,0.3,0.09,0,0.3,0.32,0.3
Liverpool,Arsenal,2024-10-27,D,A,2,2,0,0,0,2,55,0,33,3,66.7,41.5,11,18,37.9,18,9,50.0,4,22.2,339,1313,637,9,7,7,0,0.0,2,0,0,14,14,4,3,1,0,0,0,0,9,22.2,23.7,9,0.22,0.5,4,44.4,17.8,0,1,0,0,0,31,0,8.3,411,514,80.0,6,31,7,1,28,7165,2295,189,205,92.2,182,207,87.9,29,73,39.7,0,0,0,,0,0,,0,0,0,462,51,16,1,2,24,20,3,3,0,0,1,12,407,7,4,12,13,15,13,1,1,0,0,0,3,1,33.3,605,70,212,238,158,23,605,16,9,9,6,1,6,12,50.0,6,9,2,7,5,21,22,0,0.8,0.8,-0.1,-0.1,0.7,1.1,1.2,1.2,1.3,0.09,0,1.7,0.58,-0.3
Newcastle Utd,Arsenal,2024-11-02,W,H,1,0,1,0,0,1,37,0,17,1,70.6,45.2,18,14,56.3,10,6,60.0,3,30.0,208,1108,512,10,6,21,2,9.5,4,0,0,16,18,2,2,0,0,0,0,0,11,100.0,64.5,9,0.11,0.25,4,44.4,14.6,0,0,0,0,0,40,0,6.9,218,321,67.9,7,16,5,1,24,3658,1497,106,122,86.9,91,115,79.1,17,67,25.4,0,0,0,,0,0,,0,0,0,269,52,18,1,3,13,18,4,2,2,0,0,12,215,6,5,9,14,18,17,0,1,0,0,0,0,0,,425,64,185,145,96,16,425,23,15,13,8,2,10,13,76.9,3,9,4,5,6,29,26,0,0.5,0.5,-0.5,-0.5,0.4,0.7,0.5,0.5,0.6,0.06,0,0.0,,0.0
