Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
West Ham,Aston Villa,2024-08-17,L,H,1,2,-1,1,0,0,52,1,27,7,29.6,27.4,14,12,53.8,11,4,36.4,6,54.5,327,1887,988,20,11,11,1,9.1,1,0,0,18,11,2,1,0,0,0,1,0,7,42.9,31.0,13,0.0,0.0,2,15.4,13.6,0,1,1,0,0,39,3,16.9,377,464,81.3,10,20,9,3,30,6787,2273,164,177,92.7,157,185,84.9,45,75,60.0,0,0,0,,0,0,,0,1,0,423,40,11,0,4,25,14,5,4,1,0,1,11,372,11,6,16,18,26,19,2,2,2,1,0,3,1,33.3,571,66,217,253,106,22,570,14,10,9,5,0,7,15,46.7,8,14,6,8,6,20,24,0,2.3,1.5,0.3,-0.5,1.1,1.1,-1.3,-1.5,-1.1,0.13,0,1.3,0.44,-0.7
Arsenal,Aston Villa,2024-08-24,W,A,2,0,2,0,0,2,60,0,23,4,21.7,27.7,7,9,43.8,17,6,35.3,9,52.9,401,2099,1174,20,13,6,0,0.0,3,0,0,16,8,4,4,0,0,0,0,0,6,33.3,26.2,9,0.22,0.5,4,44.4,18.8,0,1,0,0,0,33,1,9.7,483,544,88.8,7,35,11,0,49,7944,2177,244,258,94.6,213,236,90.3,23,38,60.5,0,0,0,,0,0,,0,0,0,512,31,11,5,3,13,12,1,1,0,0,1,4,474,13,7,9,13,18,17,0,1,0,0,0,3,3,100.0,635,46,159,309,171,32,635,17,9,5,8,4,7,18,38.9,11,10,4,6,8,25,16,1,0.9,0.9,-0.4,-0.4,0.7,1.4,1.1,1.1,0.3,0.1,0,1.0,0.35,1.0
Leicester City,Aston Villa,2024-08-31,L,H,1,2,-1,0,0,1,57,0,24,5,8.3,24.2,9,10,47.4,17,6,35.3,7,41.2,420,1938,910,13,10,9,0,0.0,4,0,0,13,21,2,1,0,1,0,0,0,4,0.0,10.8,9,0.11,0.33,3,33.3,20.6,0,3,0,0,0,45,5,20.0,471,545,86.4,5,40,5,1,31,7199,2461,248,267,92.9,161,175,92.0,36,59,61.0,0,0,0,,0,0,,0,0,0,506,36,22,1,3,18,6,1,1,0,0,3,7,467,10,2,18,10,15,11,1,1,0,2,0,5,3,60.0,653,49,149,381,131,15,653,22,11,4,14,4,7,20,35.0,13,10,2,8,11,33,18,0,0.4,0.4,-0.9,-0.9,0.3,1.0,0.6,0.6,0.7,0.05,0,2.3,0.47,0.3
Everton,Aston Villa,2024-09-14,L,A,2,3,-1,0,0,2,28,0,25,4,60.0,45.5,11,8,57.9,22,7,31.8,12,54.5,163,962,501,14,2,15,0,0.0,4,0,0,12,9,3,0,1,0,0,1,1,10,30.0,32.2,6,0.33,1.0,2,33.3,12.6,0,3,0,0,0,36,2,19.8,203,272,74.6,4,15,4,2,16,4274,2168,87,105,82.9,72,85,84.7,42,66,63.6,0,0,0,,0,0,,0,0,0,230,39,10,1,1,12,13,2,0,0,2,3,8,202,2,7,13,8,11,6,1,1,0,2,1,7,4,57.1,380,62,158,158,70,14,380,24,16,13,10,1,8,14,57.1,6,7,4,3,6,30,31,1,0.9,0.9,-1.2,-1.2,0.8,0.9,1.1,1.1,0.2,0.15,0,2.4,0.34,-0.6
Wolves,Aston Villa,2024-09-21,L,A,1,3,-2,0,0,1,47,0,29,6,31.0,34.5,10,7,58.8,16,7,43.8,8,50.0,288,1543,781,15,12,12,0,0.0,6,0,0,16,11,0,0,0,0,0,0,0,7,42.9,34.6,10,0.1,0.25,4,40.0,14.9,0,5,0,0,0,32,1,19.5,364,432,84.3,7,15,4,2,16,6273,1902,167,182,91.8,149,163,91.4,35,57,61.4,0,0,0,,0,0,,0,0,0,388,39,11,0,2,11,12,5,3,1,0,5,5,359,12,4,9,7,16,8,3,3,2,0,0,3,0,0.0,532,68,198,230,110,17,532,23,9,12,10,1,11,20,55.0,9,13,4,9,10,33,21,0,0.5,0.5,-1.2,-1.2,0.4,0.5,0.5,0.5,-0.4,0.05,0,1.8,0.59,-1.2
Ipswich Town,Aston Villa,2024-09-29,D,H,2,2,0,0,0,2,44,0,22,2,18.2,25.6,8,7,53.3,16,10,62.5,5,31.3,312,1854,824,16,8,2,0,0.0,4,0,0,10,14,4,3,0,1,0,0,0,5,60.0,46.6,15,0.13,0.4,5,33.3,18.4,0,2,0,0,0,44,1,20.8,361,441,81.9,13,31,8,2,32,6330,2347,168,182,92.3,159,175,90.9,30,67,44.8,0,0,0,,0,0,,0,0,0,394,45,15,1,1,17,12,10,9,0,0,2,9,356,8,6,12,10,30,23,2,3,0,2,0,3,1,33.3,527,46,198,228,110,21,527,18,9,11,5,2,5,10,50.0,5,5,0,5,7,25,17,1,1.2,1.2,0.4,0.4,1.1,0.8,0.8,0.8,0.9,0.08,0,1.2,0.39,-0.8
Manchester Utd,Aston Villa,2024-10-06,D,A,0,0,0,0,0,0,47,0,25,3,40.0,39.8,14,8,63.6,12,4,33.3,8,66.7,255,1297,636,11,10,16,1,6.3,5,0,0,11,12,0,0,0,0,0,0,0,11,36.4,28.7,10,0.0,0.0,4,40.0,21.5,1,1,0,0,0,37,0,4.0,320,396,80.8,6,26,3,1,24,5203,1953,182,206,88.3,103,121,85.1,26,55,47.3,0,0,0,,0,0,,0,0,0,355,40,11,2,3,9,14,3,0,3,0,1,2,316,10,4,15,4,15,8,1,2,2,1,1,1,1,100.0,508,67,171,237,104,9,508,21,12,13,4,4,9,16,56.3,7,12,3,9,12,33,24,0,0.6,0.6,0.1,0.1,0.2,0.4,-0.6,-0.6,-0.2,0.06,1,0.4,0.39,0.4
Fulham,Aston Villa,2024-10-19,L,H,1,3,-2,0,1,1,52,1,22,3,9.1,30.9,14,5,73.7,12,3,25.0,3,25.0,366,1762,849,20,18,17,1,5.9,3,1,0,8,10,2,2,0,0,0,0,0,8,50.0,37.1,9,0.11,0.33,3,33.3,12.3,0,2,0,0,1,40,1,7.7,398,483,82.4,8,34,9,5,37,7526,2569,161,177,91.0,191,212,90.1,43,75,57.3,0,0,0,,0,0,,0,1,1,437,44,12,0,1,30,14,6,4,1,0,2,12,394,18,4,9,8,19,15,3,0,1,0,0,5,3,40.0,590,72,200,249,147,24,589,18,11,9,7,2,6,14,42.9,8,8,4,4,14,32,21,1,1.8,1.0,0.1,-0.7,1.0,1.3,-0.8,0.0,0.0,0.11,0,1.2,0.24,-0.8
Bournemouth,Aston Villa,2024-10-26,D,A,1,1,0,0,0,1,43,0,13,8,30.8,32.2,15,13,53.6,13,5,38.5,6,46.2,280,1649,891,18,14,15,0,0.0,6,0,0,14,12,2,0,1,0,0,1,0,10,90.0,61.9,10,0.1,0.33,3,30.0,21.6,0,5,0,0,0,41,2,14.2,288,365,78.9,8,25,7,2,34,5430,2337,141,154,91.6,107,129,82.9,37,68,54.4,0,0,0,,0,0,,0,0,0,322,38,12,0,3,20,7,7,5,1,0,5,6,287,14,5,19,5,20,18,1,0,0,1,0,8,7,87.5,484,59,153,217,121,17,484,17,10,4,12,1,5,11,45.5,6,13,5,8,11,28,20,0,0.3,0.3,-1.5,-1.5,0.3,0.4,0.7,0.7,0.7,0.03,0,3.2,0.4,2.2
Tottenham,Aston Villa,2024-11-03,W,H,4,1,3,0,0,4,51,0,11,3,9.1,21.6,12,11,52.2,20,5,25.0,12,60.0,281,1826,971,23,14,8,2,25.0,2,0,0,14,13,8,7,0,0,0,1,0,7,14.3,21.6,16,0.25,0.67,6,37.5,20.4,1,0,0,0,0,51,2,16.4,369,435,84.8,10,37,9,1,45,6331,2137,165,182,90.7,174,189,92.1,24,44,54.5,0,0,0,,0,0,,0,1,0,395,40,13,1,3,23,12,6,4,1,0,0,12,362,14,2,12,7,30,26,1,1,0,2,0,1,0,0.0,560,43,122,240,203,22,560,17,7,5,6,6,10,24,41.7,14,13,3,10,16,33,19,0,2.4,2.4,0.7,0.7,2.2,1.8,1.6,1.6,0.8,0.15,1,1.0,0.98,0.0
