Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Nott'ham Forest,Bournemouth,2024-08-17,D,H,1,1,0,0,0,1,53,0,34,3,67.6,45.5,25,15,62.5,23,9,39.1,10,43.5,299,1594,936,18,17,18,0,0.0,1,0,0,17,8,1,0,0,0,1,0,0,13,23.1,22.5,14,0.07,0.13,8,57.1,19.2,0,1,0,0,0,49,0,9.3,420,543,77.3,11,24,11,2,37,6760,2706,226,259,87.3,147,184,79.9,30,63,47.6,0,0,0,,0,0,,0,0,0,490,52,12,1,0,13,23,2,2,0,0,1,12,410,17,3,12,8,26,22,1,0,3,0,0,4,3,75.0,677,87,204,277,206,28,677,24,12,11,11,2,10,15,66.7,5,12,3,9,7,31,26,0,1.3,1.3,0.1,0.1,0.5,0.8,-0.3,-0.3,-0.5,0.1,0,1.2,0.3,0.2
Newcastle Utd,Bournemouth,2024-08-25,D,A,1,1,0,0,0,1,61,0,27,6,18.5,27.1,10,13,43.5,15,6,40.0,7,46.7,388,1986,844,19,14,14,1,7.1,2,0,0,8,19,2,2,0,0,0,0,0,9,66.7,49.4,14,0.07,0.2,5,35.7,12.6,0,0,0,0,0,59,6,19.2,428,552,77.5,14,32,15,5,45,7309,3014,209,237,88.2,185,213,86.9,29,68,42.6,0,0,0,,0,0,,0,0,0,487,65,20,1,4,26,25,9,4,2,0,0,20,422,14,8,17,14,26,22,2,1,1,0,0,4,3,75.0,658,70,224,283,156,31,658,21,12,9,9,3,12,14,85.7,2,10,4,6,4,25,16,1,1.6,1.6,-0.6,-0.6,1.7,1.4,-0.6,-0.6,-0.7,0.12,0,1.1,0.28,0.1
Everton,Bournemouth,2024-08-31,L,H,2,3,-1,0,0,2,47,0,29,1,89.7,60.2,22,17,56.4,21,10,47.6,9,42.9,249,1499,581,11,13,20,0,0.0,2,0,0,6,11,4,4,0,0,0,0,0,8,75.0,45.9,18,0.11,0.25,8,44.4,15.7,0,2,0,0,0,56,4,22.3,280,393,71.2,16,23,11,2,35,5361,2374,141,169,83.4,88,110,80.0,48,98,49.0,0,0,0,,0,0,,0,0,0,338,53,13,1,2,21,20,8,5,0,2,2,9,278,13,4,16,17,33,26,4,2,0,0,1,7,4,57.1,518,61,151,226,151,35,518,17,11,6,6,5,11,16,68.8,5,12,5,7,12,29,22,0,1.8,1.8,-0.6,-0.6,1.9,1.5,0.2,0.2,0.1,0.11,0,2.5,0.36,-0.5
Chelsea,Bournemouth,2024-09-14,W,A,1,0,1,0,0,1,66,0,43,6,30.2,33.7,11,15,42.3,22,12,54.5,6,27.3,405,2495,1142,17,14,14,2,14.3,8,0,0,9,16,2,1,0,1,0,0,0,10,10.0,15.0,10,0.1,0.33,3,30.0,18.2,0,3,0,1,0,46,2,15.0,522,619,84.3,8,32,8,1,40,8612,2846,225,252,89.3,245,269,91.1,32,61,52.5,1,0,1,100.0,0,1,100.0,0,0,0,559,57,20,1,1,8,23,3,1,1,0,3,6,518,14,2,19,8,18,15,0,2,1,0,0,7,6,100.0,727,78,263,333,137,18,727,12,7,5,7,0,6,15,40.0,9,8,4,4,6,18,17,0,0.8,0.8,-1.0,-0.2,0.5,0.5,0.2,0.2,0.5,0.08,0,2.5,0.23,2.5
Liverpool,Bournemouth,2024-09-21,W,H,3,0,3,0,0,3,58,0,37,8,13.5,21.6,9,6,60.0,21,16,76.2,5,23.8,526,2435,1191,30,16,17,1,5.9,1,0,0,10,11,6,6,0,0,0,0,0,7,14.3,18.9,19,0.16,0.25,12,63.2,16.6,0,0,0,0,0,44,0,10.0,546,619,88.2,18,40,12,1,39,8589,3369,310,326,95.1,194,216,89.8,30,54,55.6,0,0,0,,0,0,,0,0,0,574,45,15,1,2,8,19,3,2,1,0,0,9,542,16,11,13,15,38,30,1,6,0,1,0,6,6,100.0,737,94,276,315,151,28,737,20,14,10,9,1,12,23,52.2,11,10,4,6,6,26,24,1,2.0,2.0,0.9,0.9,1.9,1.0,1.0,1.0,1.1,0.11,0,1.5,0.25,1.5
Southampton,Bournemouth,2024-09-30,L,A,1,3,-2,0,0,1,60,0,49,5,34.7,34.5,16,9,64.0,16,7,43.8,8,50.0,418,2160,885,12,15,16,1,6.3,5,0,0,12,19,2,1,0,0,1,0,0,6,0.0,7.8,9,0.11,0.33,3,33.3,18.4,0,1,0,0,0,38,2,19.0,530,620,85.5,7,27,6,1,34,8719,3105,260,281,92.5,224,251,89.2,33,55,60.0,0,0,0,,0,0,,0,0,0,562,57,20,0,2,14,23,4,3,1,0,1,13,525,15,4,18,12,16,12,1,1,1,1,0,6,3,50.0,743,85,309,307,134,16,743,20,12,10,10,0,5,13,38.5,8,12,5,7,8,28,21,1,0.6,0.6,-0.7,-0.7,0.4,0.6,0.4,0.4,-0.4,0.07,0,1.6,0.27,-1.4
Leicester City,Bournemouth,2024-10-05,W,H,1,0,1,0,0,1,45,0,32,2,53.1,40.5,21,16,56.8,20,6,30.0,11,55.0,279,1541,747,19,6,25,2,8.0,4,0,0,12,14,2,1,0,1,0,0,0,14,71.4,48.3,6,0.17,0.5,2,33.3,18.8,0,2,0,0,0,46,0,4.5,306,404,75.7,5,19,3,1,20,5608,2666,134,150,89.3,116,139,83.5,40,77,51.9,0,0,0,,0,0,,0,0,0,346,56,15,4,0,6,26,0,0,0,0,2,9,302,6,4,19,11,12,10,0,2,0,0,0,2,2,100.0,537,92,260,206,73,11,537,14,10,8,5,1,4,13,30.8,9,17,6,11,7,21,40,0,0.8,0.8,-1.3,-1.3,0.8,0.4,0.2,0.2,0.2,0.13,0,0.8,0.39,0.8
Arsenal,Bournemouth,2024-10-19,L,A,0,2,-2,0,0,0,51,0,49,3,49.0,35.9,17,12,58.6,17,7,41.2,6,35.3,309,1515,723,16,9,18,3,16.7,1,1,0,11,12,0,0,0,0,0,0,0,7,85.7,54.9,6,0.0,0.0,1,16.7,15.1,0,1,0,1,0,42,2,13.4,361,470,76.8,3,25,2,1,25,6147,2354,182,207,87.9,143,172,83.1,27,59,45.8,1,1,0,0.0,1,0,0.0,0,1,0,430,39,13,1,3,15,12,4,1,3,0,1,13,357,9,7,19,10,9,5,2,1,1,0,0,4,2,75.0,587,84,265,200,125,21,587,17,10,11,4,2,11,28,39.3,17,13,5,8,6,23,29,3,0.7,0.7,-1.1,-0.3,0.4,0.4,-0.7,-0.7,-0.4,0.12,0,1.6,0.21,-0.4
Aston Villa,Bournemouth,2024-10-26,D,H,1,1,0,0,0,1,57,0,43,2,25.6,31.8,13,15,46.4,13,6,46.2,5,38.5,362,1657,808,18,9,17,5,29.4,7,0,0,12,13,2,2,0,0,0,0,0,9,55.6,41.9,18,0.06,0.13,8,44.4,15.1,0,0,0,0,0,37,2,11.9,383,475,80.6,13,29,11,2,37,6914,2859,163,186,87.6,181,206,87.9,32,65,49.2,0,0,0,,0,0,,0,0,0,422,53,19,2,1,21,14,9,7,0,0,0,9,370,9,6,6,12,33,22,5,1,3,1,1,3,2,66.7,562,68,206,205,153,33,562,11,5,3,4,4,6,11,54.5,5,7,3,4,11,22,17,0,1.8,1.8,1.5,1.5,1.3,1.7,-0.8,-0.8,-0.3,0.1,0,1.1,0.35,0.1
Manchester City,Bournemouth,2024-11-02,L,A,1,2,-1,0,0,1,64,0,48,8,16.7,27.7,14,13,51.9,17,6,35.3,6,35.3,510,2751,1497,31,14,12,1,8.3,1,0,0,6,11,2,2,0,0,0,0,0,7,0.0,19.0,18,0.06,0.25,4,22.2,14.5,0,0,0,0,0,30,0,11.5,570,652,87.4,13,38,13,4,47,9282,2753,293,312,93.9,222,247,89.9,43,70,61.4,0,0,0,,0,0,,0,0,0,602,50,13,1,2,27,17,10,6,2,0,0,7,560,14,12,16,10,34,31,0,1,1,1,0,6,4,66.7,748,58,199,280,276,44,748,14,7,8,3,3,5,16,31.3,11,9,2,7,5,19,9,1,1.6,1.6,-0.5,-0.5,1.0,1.9,-0.6,-0.6,0.0,0.09,0,2.4,0.42,0.4
