Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Crystal Palace,Brentford,2024-08-18,L,A,1,2,-1,0,0,0,54,0,15,3,53.3,37.0,14,19,42.4,18,3,16.7,14,77.8,316,1388,807,14,16,14,0,0.0,5,0,0,15,6,0,0,0,0,0,0,0,10,30.0,25.5,14,0.0,0.0,6,42.9,19.2,1,3,0,0,0,49,2,26.0,410,519,79.0,9,36,7,1,32,6630,2142,212,233,91.0,155,189,82.0,30,65,46.2,0,0,0,,0,0,,0,0,0,472,44,6,2,1,14,18,7,3,0,0,3,8,409,16,5,9,5,23,19,1,1,1,1,0,5,3,60.0,640,55,154,344,148,20,640,22,13,5,12,5,8,13,61.5,5,10,1,9,5,27,29,1,1.2,1.2,-0.4,-0.4,0.8,0.6,-1.2,-1.2,-0.8,0.08,1,2.4,0.62,0.4
Liverpool,Brentford,2024-08-25,W,H,2,0,2,0,0,2,62,0,32,2,31.3,32.6,6,8,42.9,16,8,50.0,5,31.3,514,2388,1188,25,18,6,0,0.0,2,0,0,10,7,3,3,0,0,0,0,0,5,40.0,33.0,19,0.11,0.25,8,42.1,13.6,1,1,0,0,0,47,0,7.5,571,638,89.5,17,49,18,2,59,9545,3284,296,309,95.8,231,245,94.3,39,71,54.9,0,0,0,,0,0,,0,0,0,596,41,8,3,3,15,18,9,6,2,0,1,4,566,18,13,22,5,35,26,2,2,4,1,0,2,2,100.0,741,61,182,344,222,40,741,17,10,9,3,5,13,19,68.4,6,14,3,11,7,24,12,0,2.5,2.5,2.0,2.0,2.5,1.6,-0.5,-0.5,-0.5,0.14,1,0.8,0.39,0.8
Southampton,Brentford,2024-08-31,L,A,1,3,-2,0,0,1,63,0,32,8,40.6,36.3,3,9,25.0,13,7,53.8,5,38.5,414,2030,1163,26,16,8,1,12.5,1,0,0,7,10,2,2,0,0,0,0,0,9,0.0,10.1,18,0.06,0.17,6,33.3,18.1,1,2,0,0,0,36,0,5.3,573,664,86.3,14,45,9,1,43,8784,2478,313,337,92.9,220,245,89.8,29,56,51.8,0,0,0,,0,0,,0,0,0,618,44,10,4,1,20,13,8,4,1,0,2,15,572,16,7,8,12,34,25,3,3,1,1,1,7,4,57.1,752,92,218,314,221,29,752,15,10,2,6,7,5,11,45.5,6,8,5,3,9,24,17,3,1.5,1.5,-1.3,-1.3,1.3,1.5,-0.5,-0.5,-0.3,0.09,1,3.2,0.45,0.2
Manchester City,Brentford,2024-09-14,W,H,2,1,1,0,0,2,54,0,41,2,29.3,31.7,6,11,35.3,14,3,21.4,8,57.1,341,2101,1111,25,22,9,0,0.0,3,0,0,9,3,2,2,0,0,0,0,0,3,100.0,67.7,18,0.11,0.29,7,38.9,17.2,0,1,0,0,0,38,6,16.3,507,581,87.3,16,35,19,0,55,8423,2436,270,293,92.2,192,209,91.9,38,53,71.7,0,0,0,,0,0,,0,0,0,540,40,4,1,2,15,19,12,4,0,0,1,12,495,22,14,16,12,32,29,2,0,1,0,0,5,4,80.0,671,47,151,195,329,51,671,12,5,5,3,4,6,9,66.7,3,8,1,7,5,17,13,3,2.1,2.1,1.1,1.1,2.0,1.5,-0.1,-0.1,-1.0,0.12,0,2.1,0.46,1.1
Tottenham,Brentford,2024-09-21,W,H,3,1,2,0,0,3,48,0,32,9,15.6,26.8,13,7,65.0,22,11,50.0,11,50.0,367,1886,973,34,17,12,4,33.3,3,0,0,11,8,5,4,0,0,1,0,0,3,0.0,9.7,23,0.13,0.33,9,39.1,14.4,0,1,0,0,0,60,4,14.7,381,485,78.6,15,36,16,1,56,6354,2559,179,211,84.8,159,178,89.3,31,55,56.4,0,0,0,,0,0,,0,0,0,441,43,11,3,0,23,18,9,7,0,0,1,18,375,17,21,16,16,38,30,1,3,4,0,0,6,5,83.3,621,48,149,227,251,56,621,18,11,7,5,6,8,16,50.0,8,7,0,7,17,35,19,1,3.5,3.5,2.7,2.7,1.8,1.9,-0.5,-0.5,0.2,0.17,0,1.5,0.26,0.5
West Ham,Brentford,2024-09-28,D,A,1,1,0,0,0,1,43,0,30,4,40.0,33.1,17,16,51.5,18,10,55.6,8,44.4,281,1343,631,18,14,22,0,0.0,3,0,0,11,2,1,0,0,0,1,0,0,6,100.0,65.0,19,0.05,0.33,3,15.8,18.7,0,2,0,0,0,50,2,20.0,338,439,77.0,14,32,11,2,39,6033,2355,166,190,87.4,129,159,81.1,41,77,53.2,0,0,0,,0,0,,0,0,0,402,35,3,3,4,16,18,6,1,4,0,2,7,335,14,11,15,17,32,23,2,2,4,0,1,3,2,66.7,578,74,190,213,183,35,578,17,7,10,5,2,9,13,69.2,4,13,3,10,10,27,38,1,1.0,1.0,0.6,0.6,0.9,0.9,0.0,0.0,0.1,0.05,0,1.3,0.42,0.3
Wolves,Brentford,2024-10-05,L,A,3,5,-2,0,0,3,56,0,38,3,57.9,43.4,20,22,47.6,14,2,14.3,9,64.3,331,1787,866,13,14,19,0,0.0,3,0,0,10,9,6,5,0,0,0,0,1,10,20.0,20.3,17,0.18,0.5,6,35.3,20.9,0,1,0,1,0,42,1,12.7,394,514,76.7,14,35,12,4,40,6763,2220,191,220,86.8,162,187,86.6,32,79,40.5,1,1,0,0.0,1,0,0.0,0,1,0,468,45,14,0,4,20,12,3,0,3,0,1,8,389,14,6,11,7,31,26,1,1,0,1,2,12,7,66.7,626,90,189,270,168,31,626,17,15,8,5,4,8,13,61.5,5,6,2,4,5,22,24,1,1.0,1.0,-3.1,-2.3,1.0,0.9,2.0,2.0,2.0,0.06,0,4.8,0.33,-0.2
Manchester Utd,Brentford,2024-10-19,W,H,2,1,1,0,0,2,50,0,41,4,61.0,41.6,22,18,55.0,12,5,41.7,7,58.3,351,1802,986,25,11,8,1,12.5,2,0,0,4,5,4,4,0,0,0,0,0,7,42.9,31.0,23,0.09,0.18,11,47.8,18.7,0,1,0,0,0,46,0,9.0,435,530,82.1,20,41,11,3,46,7200,2753,227,250,90.8,160,180,88.9,36,73,49.3,0,0,0,,0,0,,0,1,0,485,44,8,1,6,19,18,9,4,4,0,1,8,429,11,11,14,8,42,35,3,2,1,0,1,2,1,50.0,640,48,177,308,164,33,640,25,16,13,6,6,12,24,50.0,12,5,1,4,8,33,25,0,1.3,1.3,0.5,0.5,1.3,1.0,0.7,0.7,0.7,0.06,0,1.1,0.53,0.1
Ipswich Town,Brentford,2024-10-26,L,A,3,4,-1,0,0,3,35,0,26,5,57.7,41.0,14,25,35.9,6,3,50.0,3,50.0,191,1089,530,12,6,23,2,8.7,3,1,1,10,7,5,5,0,0,0,0,0,9,77.8,54.7,11,0.27,0.6,5,45.5,17.4,0,1,0,1,0,40,2,14.8,220,328,67.1,8,27,7,2,23,4290,1739,82,99,82.8,107,141,75.9,28,73,38.4,1,1,0,0.0,1,0,0.0,0,0,0,288,39,9,2,0,19,11,5,4,0,0,1,9,217,6,4,19,5,16,15,1,0,0,0,0,9,5,66.7,455,83,179,149,132,20,455,13,9,6,5,2,9,14,64.3,5,13,6,7,12,25,36,0,1.3,1.3,-2.8,-2.0,0.8,0.6,1.7,1.7,2.2,0.12,0,3.4,0.26,-0.6
Fulham,Brentford,2024-11-04,W,H,2,1,1,0,0,2,68,0,42,3,14.3,25.0,16,23,41.0,19,12,63.2,5,26.3,539,2678,1262,36,20,5,0,0.0,2,0,0,3,10,4,4,0,0,0,0,0,6,16.7,22.2,26,0.08,0.17,12,46.2,18.3,0,2,0,0,0,46,1,13.8,595,712,83.6,19,63,18,3,70,10434,3313,265,288,92.0,272,302,90.1,49,95,51.6,0,0,0,,0,0,,0,0,0,660,50,10,4,2,43,21,11,5,6,0,2,9,591,20,15,9,11,47,34,3,4,4,0,2,2,1,50.0,812,71,221,287,309,44,812,15,8,3,6,6,6,13,46.2,7,8,2,6,13,28,10,0,1.3,1.3,0.7,0.7,1.0,1.7,0.7,0.7,1.0,0.05,0,0.8,0.41,-0.2
