Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Everton,Brighton,2024-08-17,L,H,0,3,-3,0,0,0,40,0,43,4,69.8,47.7,18,13,58.1,16,5,31.3,11,68.8,263,1352,592,12,6,8,1,12.5,1,1,0,8,8,0,0,0,0,0,0,0,4,25.0,29.0,9,0.0,0.0,1,11.1,18.4,0,7,0,0,0,45,5,25.4,298,399,74.7,4,32,6,1,29,6517,2622,109,130,83.8,120,143,83.9,59,97,60.8,0,0,0,,0,0,,0,0,0,347,45,9,0,8,17,27,1,0,1,0,7,7,291,6,4,13,10,15,11,1,0,1,1,1,5,2,40.0,499,52,160,238,105,18,499,23,11,10,7,6,12,18,66.7,6,12,2,10,13,36,11,1,0.5,0.5,-1.0,-1.0,0.2,0.7,-0.5,-0.5,-0.2,0.05,0,2.4,0.47,-0.6
Manchester Utd,Brighton,2024-08-24,L,A,1,2,-1,0,0,1,52,0,54,9,24.1,27.1,6,8,42.9,22,10,45.5,9,40.9,433,2146,1069,15,14,9,0,0.0,2,0,0,13,8,2,2,0,0,0,0,0,4,0.0,9.0,11,0.09,0.33,3,27.3,16.3,0,6,0,0,0,50,1,14.6,470,552,85.1,11,28,7,2,34,8021,3065,214,238,89.9,214,231,92.6,34,53,64.2,0,0,0,,0,0,,0,1,0,512,34,9,4,1,12,14,4,2,0,1,6,11,466,14,7,7,8,21,18,2,0,1,0,0,4,2,50.0,643,87,290,247,110,26,643,19,11,13,3,3,14,24,58.3,10,12,4,8,12,31,9,0,1.4,1.4,-0.7,-0.7,1.4,1.3,-0.4,-0.4,-0.4,0.13,0,2.5,0.63,0.5
Arsenal,Brighton,2024-08-31,D,H,1,1,0,0,0,1,36,0,30,3,66.7,43.6,14,18,43.8,16,8,50.0,7,43.8,233,1135,562,13,6,18,5,27.8,5,1,1,12,7,2,2,0,0,0,0,0,10,100.0,60.9,11,0.09,0.14,7,63.6,12.9,0,3,0,0,0,37,0,7.4,215,296,72.6,8,12,6,2,19,4044,1556,102,120,85.0,82,98,83.7,27,60,45.0,0,0,0,,0,0,,0,0,0,257,36,8,5,2,7,13,3,3,0,0,3,5,211,6,7,7,11,20,15,0,3,2,0,0,4,3,75.0,408,57,161,163,90,28,408,17,11,8,7,2,12,22,54.5,10,16,8,8,12,29,20,1,2.1,2.1,0.4,0.4,1.8,0.5,-1.1,-1.1,-0.8,0.2,0,0.6,0.15,-0.4
Ipswich Town,Brighton,2024-09-14,D,A,0,0,0,0,0,0,32,0,38,8,42.1,34.6,18,17,51.4,21,8,38.1,11,52.4,197,1163,626,11,5,21,4,19.0,3,0,0,16,14,0,0,0,0,0,0,0,8,75.0,53.9,6,0.0,0.0,1,16.7,16.6,0,3,0,0,0,40,0,8.9,205,293,70.0,4,10,2,1,15,3856,1842,89,104,85.6,88,113,77.9,24,57,42.1,0,0,0,,0,0,,0,0,0,249,41,15,4,1,6,15,2,2,0,0,3,5,203,5,4,20,8,7,3,1,1,2,0,0,6,6,100.0,437,99,242,158,46,8,437,25,14,15,10,0,15,25,60.0,10,18,10,8,11,36,34,1,0.3,0.3,-1.3,-1.3,0.3,0.4,-0.3,-0.3,-0.3,0.06,0,2.1,0.41,2.1
Nott'ham Forest,Brighton,2024-09-22,D,A,2,2,0,1,0,1,30,1,15,1,93.3,58.8,9,18,33.3,14,8,57.1,3,21.4,121,659,370,8,5,34,0,0.0,6,1,1,11,10,3,2,0,0,0,1,0,12,75.0,53.8,3,0.33,0.5,2,66.7,17.4,0,4,1,0,0,29,0,1.0,182,270,67.4,3,11,1,0,13,3374,1371,83,94,88.3,80,97,82.5,17,57,29.8,0,0,0,,0,0,,1,0,0,223,43,11,1,3,4,16,1,1,0,0,4,12,182,5,3,12,9,7,5,0,1,0,1,0,3,1,33.3,399,87,219,145,42,11,398,18,8,14,2,2,7,17,41.2,10,12,7,5,8,26,51,0,1.4,0.6,0.4,-0.4,0.6,0.4,0.6,0.4,0.4,0.21,0,1.1,0.36,-0.9
Chelsea,Brighton,2024-09-28,W,H,4,2,2,1,0,3,41,1,53,10,28.3,31.2,6,11,35.3,27,15,55.6,12,44.4,260,1326,694,14,2,9,0,0.0,3,0,0,11,8,6,4,0,0,0,2,0,8,37.5,33.0,14,0.21,0.6,5,35.7,15.7,1,6,1,0,0,53,5,22.6,312,414,75.4,12,16,7,0,20,5492,2165,117,137,85.4,152,177,85.9,25,58,43.1,0,0,0,,0,0,,0,0,0,370,38,8,6,2,11,11,8,7,0,0,6,10,310,2,9,11,4,24,19,0,3,0,2,0,5,3,60.0,536,95,306,152,83,24,535,22,13,15,6,1,14,25,56.0,11,15,5,10,7,29,20,2,4.2,3.4,3.1,2.3,3.3,1.7,-0.2,-0.4,-1.3,0.24,1,1.4,0.28,-0.6
Tottenham,Brighton,2024-10-06,L,A,2,3,-1,0,0,2,59,0,54,7,0.0,17.3,8,7,53.3,24,14,58.3,9,37.5,452,2311,1228,25,10,10,1,10.0,2,0,0,10,13,4,4,0,0,0,0,0,6,0.0,11.3,13,0.15,0.67,3,23.1,16.2,0,2,0,0,0,37,2,12.2,485,571,84.9,8,41,11,1,51,8382,2841,195,215,90.7,257,276,93.1,24,46,52.2,0,0,0,,0,0,,0,0,0,519,50,16,2,1,19,17,7,2,1,0,2,14,480,10,8,15,3,20,18,0,0,1,1,0,4,1,25.0,676,82,278,263,139,31,676,20,12,8,9,3,13,20,65.0,7,10,2,8,7,27,14,1,1.3,1.3,-0.4,-0.4,1.0,0.8,0.7,0.7,1.0,0.1,0,2.3,0.57,-0.7
Newcastle Utd,Brighton,2024-10-19,L,H,0,1,-1,0,0,0,60,0,21,9,19.0,24.4,10,16,38.5,21,10,47.6,8,38.1,461,2515,1261,25,12,8,0,0.0,2,0,0,11,8,0,0,0,0,0,0,0,7,14.3,27.1,21,0.0,0.0,6,28.6,17.3,2,3,0,0,0,51,1,15.0,479,599,80.0,16,44,11,0,57,8081,2728,229,270,84.8,222,246,90.2,26,61,42.6,0,0,0,,0,0,,0,0,0,551,45,7,4,1,23,20,9,6,0,1,3,10,478,12,10,13,18,38,25,4,2,3,3,1,5,4,80.0,719,43,167,334,227,42,719,26,19,4,15,7,14,17,82.4,3,11,2,9,13,39,7,1,2.0,2.0,0.9,0.9,1.8,1.3,-2.0,-2.0,-1.8,0.1,2,1.7,0.34,0.7
Wolves,Brighton,2024-10-26,D,A,2,2,0,0,0,2,49,0,20,7,30.0,29.8,15,11,57.7,24,12,50.0,9,37.5,333,1870,921,16,8,24,1,4.2,3,0,0,10,12,3,1,0,1,1,0,0,9,55.6,40.6,14,0.14,0.29,7,50.0,11.9,0,1,0,0,0,46,3,21.8,388,480,80.8,12,25,4,1,32,7060,2362,173,190,91.1,163,186,87.6,44,78,56.4,0,0,0,,0,0,,0,0,0,432,47,14,0,1,19,15,6,5,1,0,1,12,386,8,8,12,8,26,13,7,2,2,2,0,6,4,66.7,601,84,232,281,97,28,601,24,12,14,6,4,12,23,52.2,11,18,8,10,9,33,30,3,1.3,1.3,0.0,0.0,1.3,0.8,0.7,0.7,-0.3,0.1,0,1.5,0.25,-0.5
Liverpool,Brighton,2024-11-02,W,H,2,1,1,0,0,2,49,0,23,4,17.4,26.8,10,8,55.6,16,8,50.0,8,50.0,315,1627,826,17,7,10,0,0.0,1,0,0,10,16,4,4,0,0,0,0,0,4,0.0,17.3,16,0.13,0.25,8,50.0,14.0,0,1,0,0,0,46,2,20.8,389,483,80.5,12,30,11,2,37,6831,2530,174,197,88.3,176,202,87.1,33,66,50.0,0,0,0,,0,0,,0,0,0,432,50,18,0,4,18,17,9,9,0,0,1,6,387,7,6,13,10,30,19,4,4,2,1,0,5,4,80.0,602,62,203,287,116,28,602,28,19,15,10,3,17,25,68.0,8,12,4,8,10,38,15,0,1.6,1.6,0.6,0.6,1.3,1.0,0.4,0.4,0.7,0.1,0,0.5,0.1,-0.5
