Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Manchester City,Chelsea,2024-08-18,W,A,2,0,2,0,0,2,52,0,34,5,23.5,30.7,5,3,62.5,30,15,50.0,8,26.7,385,2736,1620,41,31,12,1,8.3,1,0,0,9,12,3,1,0,2,0,0,0,5,20.0,28.6,11,0.18,0.4,5,45.5,19.1,0,1,0,0,0,41,0,11.0,501,570,87.9,8,29,6,0,32,8217,2491,256,281,91.1,216,229,94.3,27,46,58.7,0,0,0,,0,0,,0,0,0,528,41,14,2,1,11,18,3,2,0,0,1,7,496,31,13,8,12,19,16,0,3,0,0,0,3,3,100.0,664,76,238,261,178,24,664,16,9,10,4,2,7,11,63.6,4,6,4,2,10,26,18,0,0.8,0.8,-0.2,-0.2,0.6,0.9,1.2,1.2,0.4,0.07,0,0.7,0.23,0.7
Wolves,Chelsea,2024-08-25,L,H,2,6,-4,0,0,2,40,0,26,2,50.0,40.1,8,5,61.5,18,8,44.4,8,44.4,230,1389,794,17,10,8,0,0.0,2,0,0,13,13,4,2,1,0,0,0,1,4,25.0,19.3,12,0.17,0.5,4,33.3,19.1,1,3,0,0,0,43,3,21.2,272,357,76.2,8,18,10,0,27,4598,1668,134,154,87.0,112,130,86.2,21,48,43.8,0,0,0,,0,0,,0,1,0,307,47,12,2,3,13,19,5,2,3,0,3,11,270,10,4,11,6,19,12,3,0,0,2,2,8,2,25.0,463,65,203,176,91,24,463,19,10,10,7,2,9,18,50.0,9,13,3,10,9,28,20,0,1.9,1.9,0.3,0.3,1.7,1.2,0.1,0.1,0.3,0.16,1,3.0,0.4,-3.0
Crystal Palace,Chelsea,2024-09-01,D,A,1,1,0,0,0,1,38,0,21,5,52.4,39.3,7,10,41.2,13,6,46.2,7,53.8,230,1162,636,14,9,15,2,13.3,2,0,0,13,9,1,0,0,0,1,0,0,11,45.5,36.5,9,0.11,0.33,3,33.3,20.6,1,1,0,0,0,31,0,5.0,300,382,78.5,7,18,6,0,31,5076,1880,142,156,91.0,120,140,85.7,27,61,44.3,0,0,0,,0,0,,0,0,0,339,42,8,1,1,9,17,4,3,0,0,1,8,300,9,5,11,6,17,13,2,0,1,1,0,7,6,85.7,485,70,179,229,81,22,485,19,11,12,5,2,13,24,54.2,11,5,1,4,6,25,30,0,0.5,0.5,-1.8,-1.8,0.4,0.9,0.5,0.5,-0.4,0.06,1,2.7,0.39,1.7
Bournemouth,Chelsea,2024-09-14,L,H,0,1,-1,0,1,0,34,1,16,3,62.5,40.3,15,11,57.7,18,9,50.0,6,33.3,213,1297,588,12,8,6,0,0.0,6,0,0,16,9,0,0,0,0,0,0,0,2,100.0,68.0,18,0.0,0.0,6,33.3,22.4,0,4,1,0,0,59,2,16.0,214,317,67.5,13,26,10,3,36,4100,2046,88,113,77.9,96,121,79.3,26,61,42.6,0,0,0,,0,0,,0,0,0,275,38,11,1,0,17,17,6,6,0,0,4,4,212,8,6,14,6,32,23,1,2,2,2,2,3,2,66.7,423,36,122,168,141,26,422,14,8,6,7,1,6,18,33.3,12,10,4,6,10,24,17,1,1.7,0.9,1.0,0.2,0.8,0.6,-1.7,-0.9,-0.8,0.05,0,1.2,0.39,0.2
West Ham,Chelsea,2024-09-21,L,H,0,3,-3,0,0,0,53,0,29,4,17.2,23.0,9,10,47.4,24,9,37.5,11,45.8,422,2446,1239,30,16,6,0,0.0,5,0,0,17,9,0,0,0,0,0,0,0,4,0.0,14.8,15,0.0,0.0,7,46.7,18.0,1,2,0,0,0,46,0,11.7,463,542,85.4,9,50,10,1,61,7723,2705,233,252,92.5,199,217,91.7,28,53,52.8,0,0,0,,0,0,,0,0,0,508,32,9,2,5,29,9,6,2,4,0,2,7,460,16,10,8,8,27,20,1,2,1,2,1,5,2,40.0,640,66,166,299,180,34,640,16,6,6,6,4,5,11,45.5,6,9,3,6,8,24,9,0,0.9,0.9,-1.3,-1.3,0.5,0.9,-0.9,-0.9,-0.5,0.06,1,2.7,0.55,-0.3
Brighton,Chelsea,2024-09-28,L,A,2,4,-2,0,0,2,59,0,40,2,25.0,30.8,11,6,64.7,28,11,39.3,14,50.0,455,2344,1081,16,19,10,0,0.0,2,0,0,8,11,1,0,0,0,0,0,1,7,0.0,10.9,15,0.13,0.4,5,33.3,20.1,2,2,0,1,0,53,2,16.2,501,593,84.5,8,47,11,3,54,8352,3141,242,269,90.0,224,243,92.2,29,52,55.8,1,1,0,0.0,1,0,0.0,1,0,0,541,50,15,1,1,16,21,2,1,1,0,2,13,494,19,5,20,8,24,17,1,1,0,3,2,6,2,50.0,724,67,219,331,183,26,724,16,8,4,7,5,12,27,44.4,15,14,4,10,12,28,12,4,1.1,1.1,-3.1,-2.3,0.5,0.6,0.9,0.9,0.5,0.07,2,3.1,0.39,-0.9
Nott'ham Forest,Chelsea,2024-10-06,D,A,1,1,0,0,0,1,35,0,22,5,68.2,44.6,15,13,53.6,19,9,47.4,7,36.8,196,1073,610,14,10,23,0,0.0,4,1,1,11,11,2,1,1,0,0,0,0,14,92.9,61.1,16,0.06,0.11,9,56.3,20.2,2,3,0,0,0,35,0,2.0,249,339,73.5,9,20,6,3,20,3992,1708,141,162,87.0,80,101,79.2,18,54,33.3,0,0,0,,0,0,,0,0,0,292,44,11,4,1,11,14,3,1,1,0,3,9,246,10,3,14,7,26,18,2,1,3,1,1,8,7,87.5,459,86,180,177,113,20,459,12,6,6,4,2,4,15,26.7,11,18,5,13,6,18,33,1,0.9,0.9,-1.4,-1.4,0.5,0.4,0.1,0.1,0.5,0.05,2,1.9,0.25,0.9
Liverpool,Chelsea,2024-10-20,W,H,2,1,1,1,0,1,43,1,35,4,45.7,37.5,6,10,37.5,10,5,50.0,4,40.0,284,1218,555,10,6,14,0,0.0,4,0,0,12,13,4,2,0,0,1,1,0,9,44.4,33.9,8,0.13,0.25,4,50.0,22.7,1,5,1,0,0,40,1,17.0,345,439,78.6,6,22,3,1,29,5920,2024,165,185,89.2,148,165,89.7,27,72,37.5,0,0,0,,0,0,,0,0,0,394,40,11,2,3,4,17,1,1,0,0,5,8,339,6,4,9,8,17,14,0,0,1,2,0,2,1,50.0,527,81,197,254,84,15,526,25,18,12,10,3,17,27,63.0,10,11,4,7,6,31,18,0,1.9,1.1,0.9,0.2,1.0,0.3,0.1,-0.1,0.0,0.14,1,0.9,0.43,-0.1
Newcastle Utd,Chelsea,2024-10-27,L,A,1,2,-1,0,0,1,50,0,30,12,23.3,29.3,14,13,51.9,13,6,46.2,4,30.8,372,1733,789,7,6,16,2,12.5,3,0,0,16,13,2,2,0,0,0,0,0,7,14.3,23.0,11,0.09,0.5,2,18.2,14.0,1,1,0,0,0,37,5,12.2,400,495,80.8,9,33,10,1,37,7138,2719,180,213,84.5,177,193,91.7,41,74,55.4,0,0,0,,0,0,,0,0,0,445,49,14,2,0,11,21,4,4,0,0,1,12,400,6,3,16,8,20,13,3,0,2,2,0,7,5,71.4,581,84,247,223,116,23,581,13,8,4,7,2,7,14,50.0,7,10,4,6,6,19,13,2,1.8,1.8,0.2,0.2,1.7,1.3,-0.8,-0.8,-0.7,0.16,1,1.9,0.28,-0.1
Manchester Utd,Chelsea,2024-11-03,D,H,1,1,0,1,0,0,46,1,36,7,33.3,32.5,8,17,32.0,24,10,41.7,11,45.8,306,1718,813,17,9,12,1,8.3,6,0,0,19,13,2,1,0,0,0,1,0,7,28.6,25.9,10,0.0,0.0,3,30.0,18.3,1,4,1,0,0,41,0,8.7,344,441,78.0,7,24,4,1,30,6002,2133,153,178,86.0,164,186,88.2,22,59,37.3,0,0,0,,0,0,,0,1,0,400,37,12,2,0,13,12,4,2,0,0,4,9,339,9,5,5,9,21,15,1,1,0,2,2,3,2,66.7,554,67,225,222,113,19,553,22,13,11,9,2,9,24,37.5,15,15,5,10,11,33,20,3,2.0,1.2,0.9,0.1,0.7,0.4,-1.0,-1.2,-0.7,0.12,1,0.7,0.25,-0.3
