Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Brentford,Crystal Palace,2024-08-18,W,H,2,1,1,0,0,2,46,0,47,5,29.8,34.3,19,14,57.6,16,5,31.3,8,50.0,318,1617,814,16,12,11,1,9.1,1,0,0,6,15,3,2,0,0,1,0,0,8,50.0,44.0,9,0.22,0.4,5,55.6,12.5,0,1,0,0,1,47,2,14.9,331,440,75.2,7,22,4,3,31,6367,2592,136,164,82.9,142,179,79.3,47,75,62.7,0,0,0,,0,0,,0,0,1,394,45,17,2,3,17,14,4,3,0,0,1,9,325,12,3,9,14,15,11,1,2,1,0,0,6,6,83.3,542,87,222,214,114,12,542,19,10,5,10,4,14,17,82.4,3,13,4,9,11,30,20,0,1.6,1.6,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.2,0,1.0,0.17,1.0
West Ham,Crystal Palace,2024-08-24,W,A,2,0,2,0,0,2,42,0,32,3,40.6,33.8,23,13,63.9,26,14,53.8,9,34.6,225,1138,618,19,9,15,1,6.7,1,0,0,17,9,3,1,0,1,1,0,0,13,69.2,52.9,18,0.11,0.67,3,16.7,17.2,0,2,0,0,0,52,1,16.8,320,425,75.3,8,23,3,0,28,6024,2306,135,167,80.8,139,166,83.7,41,75,54.7,0,0,0,,0,0,,0,0,0,382,41,11,2,3,14,13,3,0,3,0,2,9,315,9,5,13,14,26,14,3,2,6,0,1,2,2,100.0,558,83,208,273,87,21,558,20,12,9,9,2,11,14,78.6,3,10,4,6,15,35,25,0,1.4,1.4,0.0,0.0,0.6,0.8,0.6,0.6,0.4,0.08,0,0.3,0.13,0.3
Chelsea,Crystal Palace,2024-09-01,D,H,1,1,0,0,0,1,62,0,34,5,14.7,23.5,10,7,58.8,27,11,40.7,13,48.1,378,2159,1202,23,7,6,1,16.7,4,0,0,9,13,2,2,0,0,0,0,0,2,50.0,38.5,13,0.08,0.14,7,53.8,15.9,1,0,0,0,0,46,7,19.6,553,628,88.1,10,58,7,0,50,10207,3075,204,226,90.3,299,324,92.3,47,64,73.4,0,0,0,,0,0,,0,0,0,593,35,13,3,3,19,14,4,4,0,0,0,7,548,7,2,22,6,25,19,2,1,1,2,0,3,2,66.7,749,45,171,410,176,19,749,13,7,5,5,3,7,13,53.8,6,13,5,8,8,21,18,0,2.4,2.4,1.8,1.8,2.0,1.1,-1.4,-1.4,-1.0,0.18,1,1.1,0.36,0.1
Leicester City,Crystal Palace,2024-09-14,D,A,2,2,0,0,0,2,34,0,30,8,66.7,50.1,12,21,36.4,19,11,57.9,6,31.6,200,1256,563,9,8,21,1,4.8,3,0,0,15,10,3,2,0,1,0,0,0,6,100.0,61.3,9,0.22,0.5,4,44.4,19.2,0,0,0,1,0,37,0,5.3,229,333,68.8,9,14,6,0,16,4085,1848,102,130,78.5,92,111,82.9,27,68,39.7,1,1,0,0.0,1,0,0.0,0,0,0,284,49,14,2,0,8,24,2,1,1,0,0,10,228,8,2,13,18,16,8,3,3,1,1,0,4,2,75.0,460,74,190,202,77,14,460,19,8,11,5,3,5,9,55.6,4,26,10,16,8,27,22,0,1.2,1.2,-1.3,-0.5,1.2,1.1,0.8,0.8,0.8,0.14,0,1.8,0.25,-0.2
Manchester Utd,Crystal Palace,2024-09-21,D,A,0,0,0,0,0,0,67,0,42,5,16.7,22.5,18,13,58.1,16,7,43.8,8,50.0,524,2651,1284,18,14,11,0,0.0,2,0,0,12,6,0,0,0,0,0,0,0,4,0.0,18.3,15,0.0,0.0,6,40.0,13.9,0,0,0,0,0,44,1,14.0,586,698,84.0,12,38,10,0,57,9740,3065,275,301,91.4,266,294,90.5,37,80,46.3,0,0,0,,0,0,,0,0,0,643,55,8,5,2,23,31,11,4,1,2,0,11,576,14,7,15,14,27,19,4,1,2,1,0,4,4,100.0,814,48,209,397,214,31,814,14,8,1,9,4,6,10,60.0,4,8,2,6,9,23,15,0,1.6,1.6,0.6,0.6,1.3,1.3,-1.6,-1.6,-1.3,0.12,0,0.5,0.13,0.5
Everton,Crystal Palace,2024-09-28,W,H,2,1,1,0,0,2,41,0,35,5,60.0,41.5,28,20,58.3,17,8,47.1,9,52.9,248,1272,610,7,9,17,3,17.6,2,0,0,13,9,4,1,0,0,0,1,2,8,75.0,54.6,8,0.25,1.0,2,25.0,15.3,0,2,0,0,0,45,2,14.8,287,399,71.9,7,23,8,1,37,5420,2543,124,149,83.2,110,141,78.0,40,80,50.0,0,0,0,,0,0,,0,1,0,350,47,10,1,0,23,22,5,5,0,0,2,8,286,9,0,11,16,15,8,3,0,0,2,2,4,3,75.0,509,65,155,207,154,16,509,14,5,3,11,0,2,7,28.6,5,11,7,4,16,30,24,0,0.9,0.9,0.0,0.0,0.8,0.9,1.1,1.1,0.2,0.11,0,0.7,0.18,-0.3
Liverpool,Crystal Palace,2024-10-05,W,A,1,0,1,0,0,1,68,0,41,11,29.3,28.6,27,7,79.4,9,8,88.9,0,0.0,448,2420,1222,20,12,8,0,0.0,2,0,0,15,7,2,2,0,0,0,0,0,7,42.9,33.7,16,0.06,0.25,4,25.0,18.9,0,0,0,0,0,43,1,13.1,584,691,84.5,16,46,8,0,54,10190,3431,258,283,91.2,260,286,90.9,50,85,58.8,0,0,0,,0,0,,0,0,0,645,46,8,3,6,16,22,8,7,0,0,0,12,578,12,10,16,8,31,28,2,0,0,1,0,5,5,100.0,778,69,217,368,199,26,778,13,6,5,7,1,7,11,63.6,4,4,0,4,13,26,15,0,1.4,1.4,0.8,0.8,1.4,1.5,-0.4,-0.4,-0.4,0.09,0,1.0,0.23,1.0
Nott'ham Forest,Crystal Palace,2024-10-21,W,H,1,0,1,0,0,1,51,0,21,6,47.6,37.9,18,14,56.3,27,16,59.3,8,29.6,290,1679,923,25,15,12,0,0.0,2,0,0,9,11,2,2,0,0,0,0,0,9,33.3,26.0,20,0.05,0.17,6,30.0,18.0,0,2,0,0,0,39,0,7.0,391,493,79.3,15,32,6,2,38,6668,2549,194,219,88.6,135,156,86.5,43,75,57.3,0,0,0,,0,0,,0,0,0,440,51,14,1,3,23,21,6,4,2,0,2,14,385,15,6,18,15,36,24,3,3,5,0,1,7,7,100.0,625,58,173,258,200,30,625,9,5,2,6,1,3,9,33.3,6,16,5,11,14,23,18,0,1.7,1.7,0.7,0.7,1.5,1.2,-0.7,-0.7,-1.5,0.09,0,0.9,0.12,0.9
Tottenham,Crystal Palace,2024-10-27,L,A,0,1,-1,0,0,0,66,0,30,7,13.3,25.0,15,21,41.7,28,9,32.1,16,57.1,428,2488,1245,20,17,22,2,9.1,4,0,0,12,16,0,0,0,0,0,0,0,12,0.0,13.8,11,0.0,0.0,3,27.3,12.9,0,1,0,0,0,51,0,5.1,445,571,77.9,6,32,16,4,55,7625,3071,189,227,83.3,204,240,85.0,33,60,55.0,0,0,0,,0,0,,0,0,0,510,60,20,2,0,28,18,8,1,5,0,1,20,441,17,2,7,16,20,15,3,0,2,0,0,6,5,83.3,690,99,279,249,167,24,690,19,14,11,6,2,7,11,63.6,4,9,1,8,10,29,23,2,0.7,0.7,-0.1,-0.1,0.4,0.5,-0.7,-0.7,-0.4,0.07,0,1.5,0.25,0.5
Wolves,Crystal Palace,2024-11-02,D,H,2,2,0,0,0,2,57,0,31,8,29.0,32.6,13,15,46.4,23,14,60.9,5,21.7,355,2038,990,14,7,20,1,5.0,1,0,0,7,8,4,3,0,1,0,0,0,8,62.5,45.9,11,0.18,0.33,6,54.5,17.6,0,4,0,0,0,41,0,8.2,423,534,79.2,9,28,8,2,38,7722,2795,175,206,85.0,178,197,90.4,55,90,61.1,0,0,0,,0,0,,0,1,0,480,50,10,2,6,12,26,3,1,1,1,4,13,422,7,1,20,9,21,17,0,3,1,0,0,6,4,66.7,654,80,259,303,99,20,654,25,10,9,9,7,10,19,52.6,9,12,5,7,13,38,24,1,1.5,1.5,-0.9,-0.9,1.5,0.6,0.5,0.5,0.5,0.14,0,2.9,0.48,0.9
