Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Brighton,Everton,2024-08-17,W,A,3,0,3,0,0,3,60,0,50,1,10.0,25.9,13,18,41.9,18,6,33.3,12,66.7,456,2515,1309,18,14,13,0,0.0,1,0,0,8,8,5,4,0,1,0,0,0,12,8.3,12.3,10,0.3,0.6,5,50.0,13.8,0,1,0,0,0,43,1,14.5,510,605,84.3,10,20,7,1,38,8272,3083,259,285,90.9,205,231,88.7,35,63,55.6,0,0,0,,0,0,,0,0,0,557,47,15,1,4,14,14,5,2,2,0,1,10,504,14,11,15,11,19,13,2,3,0,1,0,1,1,100.0,711,102,311,281,125,26,711,21,13,6,10,5,11,16,68.8,5,11,4,7,8,29,18,1,1.4,1.4,1.0,1.0,1.4,1.0,1.6,1.6,1.6,0.14,0,0.0,0.05,0.0
Tottenham,Everton,2024-08-24,W,H,4,0,4,0,0,4,70,0,43,10,0.0,16.3,11,14,44.0,24,7,29.2,13,54.2,525,2789,1510,22,16,9,1,11.1,0,0,0,11,15,4,2,1,1,0,0,0,2,0.0,15.5,13,0.31,0.57,7,53.8,14.1,1,0,0,0,0,43,0,14.2,574,658,87.2,11,33,12,3,52,8899,2733,294,324,90.7,218,240,90.8,36,56,64.3,0,0,0,,0,0,,0,0,0,606,52,18,3,5,20,19,12,6,1,0,0,9,566,16,6,13,16,21,14,3,2,1,1,0,1,1,100.0,765,63,248,325,197,30,765,22,16,10,11,1,16,21,76.2,5,10,5,5,4,26,14,1,2.4,2.4,1.5,1.5,1.4,1.1,1.6,1.6,1.6,0.19,1,0.1,0.14,0.1
Bournemouth,Everton,2024-08-31,W,A,3,2,1,0,0,3,53,0,18,4,11.1,24.2,17,22,43.6,18,5,27.8,11,61.1,317,1945,1142,22,12,18,0,0.0,1,0,0,11,6,6,6,0,0,0,0,0,14,28.6,30.9,17,0.18,0.43,7,41.2,14.9,0,2,0,0,0,51,0,11.0,327,441,74.1,14,23,11,8,36,5895,2374,141,170,82.9,150,181,82.9,31,68,45.6,0,0,0,,0,0,,0,0,0,391,48,8,0,2,24,19,4,3,1,0,2,9,324,12,5,17,6,33,25,3,2,2,1,0,8,6,75.0,569,69,217,217,142,28,569,26,10,13,8,5,9,19,47.4,10,10,2,8,7,33,24,0,2.4,2.4,0.6,0.6,2.2,1.8,0.6,0.6,0.8,0.15,0,1.5,0.2,-0.5
Aston Villa,Everton,2024-09-14,W,H,3,2,1,0,0,3,72,0,20,4,25.0,30.9,8,11,42.1,18,6,33.3,8,44.4,535,2375,1260,15,18,10,2,20.0,1,0,0,10,12,6,6,0,0,0,0,0,1,0.0,17.0,17,0.18,0.43,7,41.2,14.0,0,1,0,0,0,37,2,17.2,628,709,88.6,12,72,13,2,52,10146,2986,309,329,93.9,271,291,93.1,33,60,55.0,0,0,0,,0,0,,0,0,0,666,42,14,5,1,21,18,6,4,1,1,1,7,616,18,4,13,16,33,24,4,1,2,1,1,2,0,0.0,804,32,134,420,256,29,804,20,15,5,12,3,12,19,63.2,7,9,1,8,4,24,9,2,2.1,2.1,1.2,1.2,1.7,2.0,0.9,0.9,0.3,0.12,0,1.1,0.57,-0.9
Leicester City,Everton,2024-09-21,D,H,1,1,0,0,0,1,58,0,25,6,28.0,30.5,17,12,58.6,18,8,44.4,9,50.0,416,2350,1240,22,15,9,1,11.1,1,0,0,11,12,0,0,0,0,0,0,0,8,12.5,15.5,12,0.08,0.5,2,16.7,16.0,0,2,0,0,0,41,0,5.0,426,522,81.6,9,34,10,6,44,6858,2900,224,245,91.4,141,168,83.9,37,65,56.9,0,0,0,,0,0,,0,0,0,462,58,17,1,2,29,25,6,4,0,0,2,9,421,15,3,24,9,21,17,3,0,0,1,0,5,4,80.0,636,62,203,258,182,26,636,24,17,12,7,5,13,20,65.0,7,13,6,7,4,28,15,0,0.7,0.7,-0.4,-0.4,0.4,0.8,0.3,0.3,-0.4,0.06,0,1.5,0.3,0.5
Crystal Palace,Everton,2024-09-28,L,A,1,2,-1,0,0,1,59,0,16,5,12.5,22.4,20,28,41.7,7,5,71.4,2,28.6,383,1713,927,17,12,20,0,0.0,0,0,0,11,13,2,2,0,0,0,0,0,4,25.0,33.3,17,0.06,0.25,4,23.5,17.3,1,0,0,0,0,51,1,12.7,458,581,78.8,12,35,10,1,51,8574,3063,181,216,83.8,241,278,86.7,35,77,45.5,0,0,0,,0,0,,0,0,0,531,50,14,0,2,20,21,8,6,0,0,0,6,455,12,4,14,12,29,20,3,0,4,2,0,2,0,0.0,684,59,246,302,140,28,684,25,17,16,9,0,9,17,52.9,8,9,2,7,8,33,25,0,0.9,0.9,0.0,0.0,0.8,0.8,0.1,0.1,0.2,0.06,1,0.6,0.29,-1.4
Newcastle Utd,Everton,2024-10-05,D,A,0,0,0,0,1,0,67,1,25,6,12.0,24.4,11,13,45.8,20,6,30.0,9,45.0,525,2950,1558,28,18,2,1,50.0,2,0,0,8,12,0,0,0,0,0,0,0,7,14.3,22.6,13,0.0,0.0,1,7.7,13.8,0,3,1,0,0,53,0,11.8,594,703,84.5,9,34,8,2,54,9922,3240,290,325,89.2,263,293,89.8,37,64,57.8,0,0,0,,0,0,,0,0,0,653,47,13,2,3,22,16,10,9,0,0,3,8,590,18,11,12,10,26,20,4,0,0,2,0,2,2,100.0,816,54,276,365,179,40,815,25,13,12,9,4,9,22,40.9,13,14,1,13,8,33,8,0,2.1,1.3,1.4,0.6,1.1,1.0,-2.1,-1.3,-1.1,0.1,0,0.6,0.28,0.6
Ipswich Town,Everton,2024-10-19,L,H,0,2,-2,0,0,0,55,0,18,9,22.2,29.3,12,11,52.2,19,7,36.8,11,57.9,359,2035,1072,12,16,10,0,0.0,1,0,0,12,9,0,0,0,0,0,0,0,4,25.0,23.3,13,0.0,0.0,2,15.4,16.6,2,1,0,0,0,40,0,,449,539,83.3,11,31,8,3,48,7678,2548,208,226,92.0,203,229,88.6,33,67,49.3,0,0,0,,0,0,,0,1,0,500,38,8,2,3,27,18,5,4,1,0,1,7,446,16,5,12,7,25,18,2,2,0,3,0,8,6,75.0,647,56,193,302,155,22,647,13,9,9,3,1,6,15,40.0,9,12,0,12,9,22,17,3,1.3,1.3,-0.5,-0.5,1.1,0.8,-1.3,-1.3,-1.1,0.1,2,2.3,0.28,0.3
Fulham,Everton,2024-10-26,D,A,1,1,0,0,0,1,60,0,62,7,12.9,25.3,8,18,30.8,17,7,41.2,9,52.9,478,2241,1170,13,13,13,1,7.7,0,0,0,8,7,2,1,0,1,0,0,0,2,50.0,37.5,14,0.07,0.33,3,21.4,18.2,0,2,0,0,0,44,2,13.8,539,638,84.5,12,47,15,6,44,10009,3551,210,236,89.0,272,299,91.0,52,79,65.8,0,0,0,,0,0,,0,0,0,594,42,12,1,4,17,24,2,1,0,0,2,10,531,13,3,12,10,23,21,0,1,1,0,0,5,4,80.0,742,51,231,333,184,22,742,16,11,8,5,3,6,13,46.2,7,11,2,9,4,20,23,0,1.2,1.2,0.4,0.4,1.2,0.8,-0.2,-0.2,-0.2,0.09,0,1.3,0.26,0.3
Southampton,Everton,2024-11-02,W,H,1,0,1,0,0,1,65,0,36,7,25.0,25.9,7,5,58.3,26,12,46.2,12,46.2,522,2116,1159,18,17,13,2,15.4,4,0,0,14,16,2,2,0,0,0,0,0,9,22.2,20.4,9,0.11,0.5,2,22.2,13.4,0,3,0,0,0,43,0,7.0,559,626,89.3,9,43,8,2,42,9582,3336,249,265,94.0,257,281,91.5,40,58,69.0,0,0,0,,0,0,,0,0,0,583,40,19,2,2,19,8,3,3,0,0,3,4,554,17,5,16,9,17,12,2,1,0,1,1,5,5,100.0,736,101,301,292,149,21,736,14,8,8,5,1,4,15,26.7,11,6,3,3,7,21,25,2,0.7,0.7,-0.8,-0.8,0.7,0.8,0.3,0.3,0.3,0.08,0,0.9,0.17,0.9
