Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Manchester Utd,Fulham,2024-08-16,W,H,1,0,1,0,0,1,55,0,23,6,43.5,35.1,19,16,54.3,21,8,38.1,11,52.4,420,2298,1138,15,18,16,2,12.5,2,0,0,12,10,2,2,0,0,0,0,0,6,0.0,8.5,14,0.07,0.2,5,35.7,17.6,0,3,0,0,0,58,4,16.3,430,524,82.1,10,31,7,2,43,6600,2181,207,231,89.6,158,188,84.0,32,54,59.3,0,0,0,,0,0,,0,0,0,483,38,9,1,2,18,15,7,3,2,0,3,7,428,18,4,10,13,24,23,1,0,0,0,0,2,2,100.0,640,67,170,292,183,22,640,21,14,9,9,3,12,20,60.0,8,11,3,8,19,40,22,0,2.4,2.4,2.0,2.0,2.0,1.0,-1.4,-1.4,-1.0,0.17,0,0.9,0.46,0.9
Leicester City,Fulham,2024-08-24,L,A,1,2,-1,0,0,1,46,0,35,8,17.1,28.3,13,16,44.8,18,7,38.9,7,38.9,337,1571,738,8,4,19,2,10.5,2,0,0,13,14,2,1,1,0,0,0,0,12,16.7,24.4,10,0.1,0.25,4,40.0,22.5,1,5,0,0,0,38,0,5.5,402,489,82.2,6,18,1,1,22,6986,2369,187,209,89.5,182,209,87.1,32,59,54.2,0,0,0,,0,0,,0,0,0,441,43,13,1,2,12,10,5,5,0,0,5,7,398,4,2,12,7,16,8,4,1,1,2,0,6,4,66.7,606,99,326,229,59,9,606,21,14,10,9,2,9,13,69.2,4,20,5,15,7,28,30,1,0.6,0.6,-1.2,-1.2,0.4,0.4,0.4,0.4,0.6,0.06,1,1.9,0.31,-0.1
Ipswich Town,Fulham,2024-08-31,D,H,1,1,0,0,0,1,48,0,36,6,16.7,24.7,11,12,47.8,14,10,71.4,2,14.3,273,1545,675,13,9,21,1,4.8,2,0,0,15,15,2,1,0,1,0,0,0,4,75.0,58.8,11,0.09,0.25,4,36.4,18.0,1,4,0,0,0,39,1,13.5,360,434,82.9,9,28,3,1,26,6295,1931,163,174,93.7,158,178,88.8,29,58,50.0,0,0,0,,0,0,,0,0,0,396,34,13,3,4,16,7,8,7,0,0,4,8,357,9,1,12,9,20,12,3,3,0,1,1,4,3,75.0,529,66,180,224,131,13,529,13,9,5,1,7,6,20,30.0,14,11,3,8,4,17,30,0,0.4,0.4,-0.5,-0.5,0.4,0.4,0.6,0.6,0.6,0.04,1,1.1,0.28,0.1
West Ham,Fulham,2024-09-14,D,A,1,1,0,0,0,1,46,0,19,2,42.1,36.3,10,20,33.3,24,9,37.5,6,25.0,234,1255,595,12,11,16,0,0.0,3,0,0,18,15,2,1,1,0,0,0,0,13,38.5,32.8,11,0.09,0.33,3,27.3,18.0,0,2,0,0,0,40,0,4.0,283,379,74.7,9,27,5,3,31,5050,1796,133,155,85.8,112,134,83.6,32,66,48.5,0,0,0,,0,0,,0,0,0,317,60,17,0,10,16,26,2,1,1,0,2,12,281,11,0,12,24,21,14,4,1,0,2,0,5,4,80.0,503,63,176,211,122,12,503,18,10,7,8,3,9,21,42.9,12,16,6,10,10,28,24,0,0.8,0.8,-0.8,-0.8,0.7,0.3,0.2,0.2,0.3,0.07,0,0.8,0.16,-0.2
Newcastle Utd,Fulham,2024-09-21,L,A,1,3,-2,0,0,1,61,0,17,8,5.9,24.4,15,6,71.4,15,7,46.7,5,33.3,465,2334,957,15,13,13,0,0.0,0,0,0,8,16,2,2,0,0,0,0,0,11,18.2,23.6,16,0.06,0.2,5,31.3,16.9,1,6,0,0,0,37,0,2.0,537,605,88.8,12,33,7,3,46,8977,3070,260,280,92.9,232,247,93.9,36,57,63.2,0,0,0,,0,0,,0,0,0,549,50,16,6,3,12,19,0,0,0,0,6,3,531,13,6,17,14,30,22,2,1,1,3,1,11,8,72.7,702,81,288,269,148,18,702,9,5,6,2,1,7,11,63.6,4,6,2,4,10,19,15,3,1.5,1.5,-0.7,-0.7,0.9,0.8,-0.5,-0.5,0.1,0.1,1,3.0,0.29,0.0
Nott'ham Forest,Fulham,2024-09-28,L,H,0,1,-1,0,0,0,41,0,15,1,60.0,40.7,18,7,72.0,6,4,66.7,1,16.7,275,1703,997,26,23,14,0,0.0,2,0,0,11,15,0,0,0,0,0,0,0,5,40.0,31.0,11,0.0,0.0,1,9.1,19.3,0,7,0,1,0,34,0,4.3,291,398,73.1,5,23,7,1,26,4468,1529,155,179,86.6,101,134,75.4,20,52,38.5,1,1,0,0.0,1,0,0.0,0,0,0,350,41,15,1,1,26,13,6,4,2,0,7,8,288,23,6,16,6,18,13,3,1,0,1,0,2,1,100.0,494,53,162,176,167,29,494,8,3,5,1,2,5,14,35.7,9,13,7,6,9,17,21,0,0.8,0.8,-0.5,0.3,0.6,1.0,-0.8,-0.8,-0.6,0.07,0,0.8,0.05,-0.2
Manchester City,Fulham,2024-10-05,W,H,3,2,1,0,0,3,58,0,28,3,14.3,25.7,7,5,58.3,28,11,39.3,13,46.4,506,2724,1480,31,16,11,0,0.0,2,0,0,4,10,5,4,0,0,0,0,1,1,0.0,19.0,20,0.15,0.43,7,35.0,17.6,1,0,0,0,0,39,3,23.8,592,663,89.3,14,42,10,2,58,9069,2539,300,324,92.6,246,270,91.1,27,35,77.1,0,0,0,,0,0,,0,0,0,629,34,12,3,1,16,10,8,6,0,0,0,13,585,16,9,11,10,32,19,2,5,3,2,1,4,2,50.0,770,41,120,378,278,39,770,10,7,4,3,3,6,11,54.5,5,11,4,7,4,14,20,1,1.6,1.6,-1.0,-1.0,1.3,1.3,1.4,1.4,0.7,0.08,1,2.5,0.62,0.5
Aston Villa,Fulham,2024-10-19,W,A,3,1,2,0,0,2,48,0,26,2,26.9,30.6,5,14,26.3,17,8,47.1,6,35.3,281,1683,954,20,12,21,2,9.5,5,1,1,11,8,4,2,1,0,1,0,0,7,0.0,10.9,14,0.14,0.4,5,35.7,15.1,1,2,0,1,0,33,1,14.0,374,444,84.2,11,31,11,0,41,6197,2243,186,204,91.2,151,168,89.9,29,54,53.7,1,0,1,100.0,0,1,100.0,0,0,0,399,43,10,5,1,19,13,11,11,0,0,2,5,367,12,4,15,12,27,16,3,3,3,2,0,4,2,75.0,549,58,166,249,138,23,549,11,5,7,4,0,3,6,50.0,3,9,1,8,14,25,23,0,1.6,1.6,-0.1,0.7,1.4,0.9,0.4,0.4,0.6,0.12,1,1.4,0.17,0.4
Everton,Fulham,2024-10-26,D,H,1,1,0,0,0,1,40,0,29,6,51.7,41.9,18,8,69.2,13,7,53.8,6,46.2,253,1322,695,8,10,11,0,0.0,1,0,0,8,8,2,2,0,0,0,0,0,11,54.5,44.0,10,0.1,0.2,5,50.0,14.3,0,4,0,0,0,40,2,11.4,331,429,77.2,10,29,11,4,33,6032,2561,140,163,85.9,142,171,83.0,35,63,55.6,0,0,0,,0,0,,0,0,0,379,46,10,0,1,17,19,4,2,1,0,4,10,328,10,1,15,10,20,19,1,0,0,0,0,3,2,66.7,530,69,224,193,115,17,530,19,12,13,4,2,9,16,56.3,7,11,2,9,8,27,27,2,0.8,0.8,-0.4,-0.4,0.8,1.2,0.2,0.2,0.2,0.08,0,1.2,0.41,0.2
Brentford,Fulham,2024-11-04,L,A,1,2,-1,0,0,1,32,0,40,3,55.0,48.1,23,16,59.0,13,7,53.8,6,46.2,212,1225,579,8,4,33,2,6.1,1,0,0,10,3,2,2,0,0,0,0,0,11,27.3,28.1,5,0.2,0.5,2,40.0,18.0,0,0,0,0,0,40,0,6.5,237,338,70.1,4,28,1,0,36,4438,1902,116,140,82.9,97,119,81.5,21,67,31.3,0,0,0,,0,0,,0,0,0,308,30,5,1,0,6,8,3,3,0,0,0,6,235,4,3,17,9,9,7,0,1,1,0,0,12,10,83.3,472,114,220,177,80,9,472,16,12,7,8,1,5,17,29.4,12,17,10,7,12,28,39,0,0.6,0.6,-0.7,-0.7,0.5,0.2,0.4,0.4,0.5,0.13,0,2.3,0.2,0.3
