Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Liverpool,Ipswich Town,2024-08-17,W,A,2,0,2,0,0,2,62,0,47,3,19.1,25.6,18,11,62.1,23,11,47.8,11,47.8,407,1886,974,25,13,4,0,0.0,1,0,0,18,8,4,4,0,0,0,0,0,4,0.0,9.0,18,0.11,0.4,5,27.8,14.8,0,0,0,0,0,40,1,19.5,520,620,83.9,12,35,10,1,39,8751,3005,254,281,90.4,208,231,90.0,46,82,56.1,0,0,0,,0,0,,0,0,0,567,53,14,6,4,23,24,10,8,1,0,0,9,514,13,12,9,9,29,24,0,2,3,0,0,2,2,100.0,720,83,275,252,200,46,720,9,4,4,2,3,5,8,62.5,3,14,2,12,5,14,17,1,2.6,2.6,2.1,2.1,2.0,2.4,-0.6,-0.6,-1.0,0.15,0,0.2,0.12,0.2
Manchester City,Ipswich Town,2024-08-24,W,H,4,1,3,1,0,3,75,1,23,1,4.3,24.8,5,7,41.7,20,11,55.0,7,35.0,501,2654,1510,27,27,5,0,0.0,2,0,0,4,15,8,5,0,1,0,1,1,1,0.0,8.0,13,0.23,0.75,4,30.8,17.8,1,3,1,0,0,32,1,19.5,726,796,91.2,11,61,18,4,60,11491,2774,390,418,93.3,281,300,93.7,42,49,85.7,0,0,0,,0,0,,0,0,0,747,46,13,2,2,17,20,10,3,1,0,3,13,718,27,11,16,10,28,22,2,1,0,2,1,1,0,0.0,884,33,126,363,401,47,883,14,6,5,4,5,6,8,75.0,2,8,0,8,6,20,9,0,3.3,2.6,3.1,2.3,2.3,1.9,0.7,0.4,-0.3,0.2,1,0.3,0.29,-0.7
Fulham,Ipswich Town,2024-08-31,D,A,1,1,0,0,0,1,52,0,38,2,15.8,25.8,12,11,52.2,20,14,70.0,6,30.0,327,1564,760,14,8,12,1,8.3,3,0,0,15,15,2,2,0,0,0,0,0,7,57.1,46.6,9,0.11,0.25,4,44.4,13.1,0,0,0,0,0,30,1,12.3,383,469,81.7,8,21,5,2,29,6828,2007,166,177,93.8,175,198,88.4,36,75,48.0,0,0,0,,0,0,,0,0,0,412,57,19,0,4,26,23,6,4,1,0,0,9,377,8,6,10,7,17,11,2,3,1,0,0,4,3,75.0,545,60,198,232,118,19,545,11,7,6,4,1,2,12,16.7,10,9,3,6,6,17,13,0,0.9,0.9,0.5,0.5,0.9,1.0,0.1,0.1,0.1,0.11,0,0.4,0.1,-0.6
Brighton,Ipswich Town,2024-09-14,D,H,0,0,0,0,0,0,68,0,33,3,9.1,21.5,17,18,48.6,30,10,33.3,15,50.0,382,2125,1265,28,16,3,1,33.3,4,0,0,14,16,0,0,0,0,0,0,0,5,0.0,16.2,21,0.0,0.0,6,28.6,18.5,2,1,0,0,0,50,0,10.0,512,617,83.0,10,44,11,3,58,8594,2953,264,291,90.7,199,232,85.8,43,70,61.4,0,0,0,,0,0,,0,0,0,570,46,17,5,1,29,14,9,5,1,1,1,11,509,16,11,13,10,34,20,1,4,5,3,1,1,1,100.0,729,51,204,321,211,35,729,19,11,4,10,5,11,19,57.9,8,5,1,4,9,28,8,0,1.6,1.6,1.3,1.3,0.6,1.0,-1.6,-1.6,-0.6,0.09,2,0.1,0.07,0.1
Southampton,Ipswich Town,2024-09-21,D,H,1,1,0,0,0,1,53,0,30,3,50.0,40.3,8,18,30.8,16,10,62.5,5,31.3,310,1630,777,14,9,17,1,5.9,4,0,0,16,16,2,1,0,1,0,0,0,7,28.6,22.4,11,0.09,0.33,3,27.3,13.7,0,3,0,0,0,33,4,21.4,439,517,84.9,8,25,7,0,25,7273,2115,213,235,90.6,195,217,89.9,26,50,52.0,0,0,0,,0,0,,0,1,0,476,38,17,5,1,9,10,2,0,2,0,3,3,436,9,4,3,12,19,12,0,4,2,1,0,6,5,83.3,622,68,226,300,97,19,622,16,7,5,10,1,8,16,50.0,8,8,3,5,15,31,34,0,2.4,2.4,0.8,0.8,2.4,0.8,-1.4,-1.4,-1.4,0.23,0,2.4,0.51,1.4
Aston Villa,Ipswich Town,2024-09-29,D,A,2,2,0,0,0,2,56,0,28,2,21.4,32.0,7,8,46.7,13,5,38.5,5,38.5,478,2016,943,18,13,14,2,14.3,1,0,0,14,10,4,4,0,0,0,0,0,10,50.0,44.6,7,0.29,0.67,3,42.9,19.0,1,1,0,0,0,33,0,7.0,493,561,87.9,6,58,4,1,33,8284,2553,230,248,92.7,214,226,94.7,36,62,58.1,0,0,0,,0,0,,0,0,0,524,36,11,4,0,4,12,0,0,0,0,1,7,486,13,5,14,13,14,13,0,0,0,1,0,5,3,60.0,652,57,202,281,176,17,652,15,9,7,6,2,5,15,33.3,10,10,3,7,5,20,18,0,0.8,0.8,-0.4,-0.4,0.7,1.0,1.2,1.2,1.3,0.12,1,2.4,0.48,0.4
West Ham,Ipswich Town,2024-10-05,W,H,4,1,3,0,0,4,52,0,40,5,20.0,28.4,10,16,38.5,17,8,47.1,8,47.1,364,1704,866,19,6,13,2,15.4,0,0,0,12,5,5,2,0,0,3,0,0,7,57.1,46.0,23,0.17,0.33,12,52.2,16.4,1,3,0,0,0,49,0,5.5,452,528,85.6,15,32,7,2,36,8209,2825,196,218,89.9,205,226,90.7,42,69,60.9,0,0,0,,0,0,,0,1,0,492,33,6,2,6,11,13,5,3,2,0,3,3,451,6,10,17,7,36,27,1,1,4,1,2,2,1,50.0,643,71,269,267,112,27,643,19,11,12,6,1,6,17,35.3,11,14,3,11,8,27,17,0,3.6,3.6,2.9,2.9,2.1,1.7,0.4,0.4,-1.1,0.17,1,0.7,0.33,-0.3
Everton,Ipswich Town,2024-10-19,W,A,2,0,2,0,0,2,45,0,35,4,57.1,44.7,11,12,47.8,15,9,60.0,6,40.0,298,1589,756,23,9,20,0,0.0,1,0,0,10,12,4,3,0,1,0,0,0,9,88.9,64.0,11,0.18,0.25,8,72.7,16.4,1,0,0,0,0,39,3,17.5,336,435,77.2,7,23,10,1,32,6189,2173,154,172,89.5,126,154,81.8,49,87,56.3,0,0,0,,0,0,,0,0,0,391,44,12,1,6,13,15,7,3,2,0,0,12,334,9,8,12,7,21,15,3,2,0,1,0,2,2,100.0,538,76,233,199,112,24,538,18,12,10,7,1,11,18,61.1,7,7,3,4,6,24,33,0,1.7,1.7,0.5,0.5,0.8,0.7,0.3,0.3,0.2,0.16,1,0.3,0.16,0.3
Brentford,Ipswich Town,2024-10-26,W,H,4,3,1,1,0,3,65,1,45,4,17.8,30.0,25,14,64.1,16,5,31.3,9,56.3,427,2333,1190,18,10,14,1,7.1,0,0,0,7,10,8,6,1,0,0,1,0,8,25.0,26.9,19,0.16,0.38,8,42.1,16.0,1,2,1,0,0,38,1,14.3,499,612,81.5,17,35,10,4,64,9470,3164,186,213,87.3,272,310,87.7,41,71,57.7,0,0,0,,0,0,,0,0,0,560,50,9,1,1,26,25,4,4,0,0,2,8,492,10,6,11,4,38,32,4,0,0,2,0,5,2,40.0,718,86,262,314,147,30,717,8,6,3,3,2,3,6,50.0,3,7,0,7,4,12,33,2,4.0,3.3,2.8,2.0,3.2,1.9,0.0,-0.3,-0.2,0.17,1,2.0,0.41,-1.0
Leicester City,Ipswich Town,2024-11-02,D,A,1,1,0,0,0,1,57,0,32,5,46.9,39.0,18,20,47.4,26,12,46.2,12,46.2,352,1858,986,25,12,8,1,12.5,2,0,0,10,11,2,2,0,0,0,0,0,10,70.0,49.6,20,0.05,0.2,5,25.0,16.7,0,0,0,0,0,40,0,6.5,372,475,78.3,14,28,8,2,37,6774,2007,147,168,87.5,183,203,90.1,36,83,43.4,0,0,0,,0,0,,0,0,0,429,46,11,2,3,21,17,6,5,0,0,0,8,369,12,12,14,4,33,27,1,2,3,0,0,2,1,50.0,596,72,192,274,139,40,596,21,11,16,2,3,11,19,57.9,8,13,6,7,4,25,18,1,1.5,1.5,0.5,0.5,1.2,1.6,-0.5,-0.5,-0.2,0.08,0,0.6,0.29,-0.4
Tottenham,Ipswich Town,2024-11-10,L,H,1,2,-1,0,0,1,66,0,20,4,0.0,18.0,15,12,55.6,22,11,50.0,10,45.5,452,2693,1325,32,22,5,1,20.0,1,0,0,10,19,2,0,1,1,0,0,0,2,50.0,28.0,17,0.06,0.2,5,29.4,17.8,0,0,0,0,0,48,1,11.7,494,609,81.1,13,43,11,4,60,8430,2804,234,265,88.3,211,242,87.2,38,70,54.3,0,0,0,,0,0,,0,0,0,551,58,19,1,3,33,22,12,4,3,0,0,14,490,22,7,17,7,31,20,4,5,2,0,0,3,1,33.3,714,31,195,303,221,35,714,13,6,6,6,1,3,16,18.8,13,11,3,8,13,26,14,2,1.5,1.5,-0.1,-0.1,1.3,1.2,-0.5,-0.5,-0.3,0.09,0,2.4,0.8,0.4
Manchester Utd,Ipswich Town,2024-11-24,D,A,1,1,0,0,0,1,60,0,48,4,16.7,27.0,13,9,59.1,14,5,35.7,9,64.3,554,2441,1019,14,11,13,1,7.7,0,0,0,10,11,2,1,0,1,0,0,0,3,33.3,33.3,11,0.09,0.25,4,36.4,17.6,1,1,0,0,0,38,0,3.0,592,682,86.8,10,26,4,0,21,9986,2864,284,304,93.4,271,291,93.1,32,71,45.1,0,0,0,,0,0,,0,0,0,642,39,10,2,4,7,21,3,1,0,0,1,7,588,11,8,6,7,21,17,0,3,0,1,0,6,5,83.3,781,96,373,306,110,15,781,15,8,9,5,1,6,11,54.5,5,9,2,7,11,26,17,0,0.8,0.8,-0.8,-0.8,0.7,0.7,0.2,0.2,0.3,0.07,1,1.7,0.28,0.7
Nott'ham Forest,Ipswich Town,2024-11-30,W,H,1,0,1,1,0,0,45,1,15,2,73.3,47.1,16,17,48.5,20,7,35.0,9,45.0,247,1456,749,17,11,13,1,7.7,1,0,0,5,14,2,1,0,0,0,1,0,0,,,11,0.0,0.0,4,36.4,16.9,1,3,1,0,0,35,0,3.0,258,354,72.9,9,19,4,2,26,4206,1555,131,159,82.4,95,121,78.5,20,50,40.0,0,0,0,,0,0,,0,0,0,308,43,15,5,2,20,19,8,4,3,0,3,4,257,11,3,13,7,22,12,4,2,2,2,0,2,2,100.0,468,44,136,183,158,25,467,20,12,15,4,1,10,18,55.6,8,14,3,11,8,28,22,0,1.6,0.9,1.1,0.3,0.8,1.1,-0.6,-0.9,-0.8,0.08,1,0.4,0.19,0.4
Crystal Palace,Ipswich Town,2024-12-03,W,A,1,0,1,0,0,1,46,0,35,2,54.3,39.5,15,31,32.6,10,4,40.0,5,50.0,290,1576,648,16,7,13,2,15.4,4,0,0,13,14,2,1,0,1,0,0,0,5,80.0,55.4,13,0.08,0.33,3,23.1,15.2,0,1,0,0,0,43,1,12.8,371,474,78.3,9,30,10,0,40,7050,2445,143,163,87.7,196,222,88.3,32,87,36.8,0,0,0,,0,0,,0,0,0,432,41,15,1,0,18,13,7,6,0,0,1,0,366,7,6,11,13,23,18,2,1,2,0,0,2,2,100.0,570,58,200,242,131,22,570,15,9,4,9,2,6,15,40.0,9,10,3,7,4,19,26,0,1.6,1.6,1.1,1.1,1.4,0.8,-0.6,-0.6,-0.4,0.13,0,0.5,0.27,0.5
