Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Tottenham,Leicester City,2024-08-19,D,A,1,1,0,0,0,1,70,0,39,6,2.6,19.2,9,8,52.9,26,13,50.0,11,42.3,465,2247,1160,24,13,12,1,8.3,1,0,0,12,11,2,2,0,0,0,0,0,6,0.0,11.2,15,0.07,0.17,6,40.0,13.7,0,1,0,0,0,45,8,28.3,631,724,87.2,12,59,19,5,69,10258,3287,305,332,91.9,274,301,91.0,36,54,66.7,0,0,0,,0,0,,0,0,0,671,52,13,2,3,28,18,13,5,3,0,1,18,627,13,12,14,11,30,20,4,1,1,3,1,3,2,66.7,840,44,175,380,291,58,840,23,13,5,11,7,9,16,56.3,7,8,1,7,6,29,16,0,1.2,1.2,0.1,0.1,1.1,2.4,-0.2,-0.2,-0.1,0.08,0,1.3,0.44,0.3
Fulham,Leicester City,2024-08-24,W,H,2,1,1,0,0,2,54,0,33,2,33.3,35.4,16,13,55.2,19,4,21.1,9,47.4,404,2021,940,16,13,11,2,18.2,2,0,0,14,12,4,4,0,0,0,0,0,5,20.0,22.8,18,0.11,0.33,6,33.3,15.8,1,0,0,0,0,44,2,12.8,489,582,84.0,17,44,12,1,58,8889,2964,206,226,91.2,222,251,88.4,50,75,66.7,0,0,0,,0,0,,0,1,0,530,52,17,0,4,21,21,7,1,5,0,0,15,486,13,6,21,12,34,24,5,1,1,1,2,4,3,75.0,689,51,153,327,213,30,689,14,10,4,3,7,7,14,50.0,7,7,2,5,8,22,8,0,1.8,1.8,1.2,1.2,1.7,1.2,0.2,0.2,0.3,0.1,1,1.7,0.43,0.7
Aston Villa,Leicester City,2024-08-31,W,A,2,1,1,0,0,2,43,0,28,2,35.7,35.4,10,9,52.6,22,13,59.1,7,31.8,251,1675,750,17,13,13,2,15.4,5,0,0,21,13,3,2,0,0,1,0,0,10,70.0,46.6,10,0.2,0.4,5,50.0,17.9,0,1,0,0,0,38,2,12.9,333,411,81.0,7,18,9,3,19,5783,2163,166,182,91.2,126,148,85.1,32,54,59.3,0,0,0,,0,0,,0,0,0,363,47,16,3,4,10,15,4,4,0,0,1,8,333,13,3,19,15,17,13,1,1,1,0,1,3,2,66.7,520,64,203,230,94,20,520,17,10,5,11,1,7,13,53.8,6,7,1,6,7,24,26,1,1.4,1.4,0.9,0.9,1.5,1.3,0.6,0.6,0.5,0.16,0,0.4,0.13,-0.6
Crystal Palace,Leicester City,2024-09-14,D,H,2,2,0,1,0,1,66,1,26,10,15.4,26.0,21,12,63.6,10,4,40.0,5,50.0,503,2407,1191,20,17,7,0,0.0,0,0,0,11,14,3,2,0,0,0,1,0,5,20.0,27.8,19,0.05,0.33,3,15.8,15.4,1,3,1,0,0,44,2,17.5,533,652,81.7,14,46,14,3,66,9619,3471,239,270,88.5,229,262,87.4,58,84,69.0,0,0,0,,0,0,,0,0,0,606,43,13,2,5,27,17,5,3,0,0,3,19,530,17,6,12,14,37,29,2,1,3,2,0,4,2,50.0,766,56,216,341,215,37,765,24,15,8,11,5,6,17,35.3,11,10,1,9,8,32,13,2,2.5,1.7,1.3,0.5,1.4,1.5,-0.5,-0.7,-0.4,0.09,1,2.2,0.55,0.2
Everton,Leicester City,2024-09-21,D,A,1,1,0,0,0,1,42,0,23,2,52.2,43.1,12,17,41.4,22,7,31.8,13,59.1,247,1365,648,15,8,24,2,8.3,2,0,0,12,11,2,2,0,0,0,0,0,11,81.8,56.4,17,0.06,0.2,5,29.4,17.7,1,5,0,0,0,47,1,13.2,295,380,77.6,13,25,8,2,24,5336,2385,146,162,90.1,107,128,83.6,37,64,57.8,0,0,0,,0,0,,0,1,0,326,49,11,3,2,14,24,1,1,0,0,5,9,293,8,5,13,11,30,23,3,2,1,1,0,2,1,50.0,511,68,192,186,139,23,511,18,13,14,3,1,9,17,52.9,8,9,3,6,9,27,33,0,1.1,1.1,0.4,0.4,0.8,0.7,-0.1,-0.1,0.2,0.06,1,1.0,0.48,0.0
Arsenal,Leicester City,2024-09-28,W,H,4,2,2,0,0,3,74,0,22,2,36.4,34.1,18,15,54.5,33,18,54.5,10,30.3,485,2565,1420,39,22,2,0,0.0,2,0,0,11,6,5,4,0,0,1,0,0,3,0.0,20.3,35,0.09,0.19,16,45.7,14.1,0,0,0,0,0,42,0,,620,723,85.8,25,45,23,3,91,10367,2747,311,342,90.9,268,297,90.2,35,62,56.5,0,0,0,,0,0,,0,0,0,674,49,7,0,3,38,19,17,17,0,0,0,12,617,22,15,15,14,58,44,3,2,6,1,2,3,1,33.3,837,24,97,315,432,70,837,19,12,2,11,6,11,15,73.3,4,6,1,5,4,23,8,0,4.4,4.4,4.1,4.1,2.3,2.5,-1.4,-1.4,-0.3,0.14,0,0.2,0.07,-1.8
Bournemouth,Leicester City,2024-10-05,L,A,0,1,-1,0,0,0,55,0,26,3,26.9,29.5,16,21,43.2,17,9,52.9,4,23.5,365,2272,1222,20,15,4,1,25.0,1,0,0,14,11,0,0,0,0,0,0,0,8,25.0,27.3,19,0.0,0.0,2,10.5,14.3,0,1,0,0,0,49,3,20.0,385,494,77.9,17,38,9,3,61,6838,2666,167,188,88.8,180,218,82.6,32,63,50.8,0,0,0,,0,0,,0,0,0,444,49,13,1,2,30,17,9,9,0,0,1,15,382,15,4,17,10,35,26,4,0,4,1,0,2,1,50.0,607,48,156,255,204,33,607,22,14,9,6,7,11,17,64.7,6,9,0,9,6,28,20,0,2.1,2.1,1.3,1.3,1.9,1.6,-2.1,-2.1,-1.9,0.11,0,0.8,0.4,-0.2
Southampton,Leicester City,2024-10-19,L,H,2,3,-1,0,0,2,42,0,34,3,55.9,44.9,12,7,63.2,19,6,31.6,12,63.2,235,1176,611,13,7,21,0,0.0,5,1,0,10,10,4,3,1,0,0,0,0,11,18.2,24.5,14,0.14,0.29,7,50.0,9.6,0,1,0,1,0,27,0,16.0,317,398,79.6,12,22,5,1,30,5616,2230,151,169,89.3,131,149,87.9,31,64,48.4,1,1,0,0.0,1,0,0.0,0,1,0,344,53,12,1,2,19,16,10,9,1,0,1,6,315,7,7,16,18,24,15,5,1,3,0,0,4,1,50.0,530,72,219,192,124,27,530,21,16,14,6,1,13,20,65.0,7,11,4,7,9,30,34,0,2.1,2.1,-0.9,-0.3,1.6,1.3,-0.1,-0.1,-0.6,0.15,0,2.2,0.39,-0.8
Nott'ham Forest,Leicester City,2024-10-25,W,A,3,1,2,0,0,3,35,0,14,1,107.1,62.5,15,24,38.5,24,15,62.5,5,20.8,200,1160,626,19,11,20,1,5.0,3,0,0,9,15,4,3,0,0,1,0,0,12,50.0,41.8,20,0.15,0.6,5,25.0,21.6,1,1,0,0,0,46,0,5.4,240,338,71.0,10,24,5,1,31,4348,2030,127,147,86.4,76,97,78.4,33,73,45.2,0,0,0,,0,0,,0,0,0,293,44,13,0,1,21,10,7,3,4,0,1,10,238,11,11,12,9,29,18,1,3,4,2,1,1,0,0.0,464,58,159,159,151,29,464,19,11,11,5,3,11,17,64.7,6,10,3,7,10,29,28,1,1.7,1.7,0.9,0.9,0.8,0.4,1.3,1.3,0.2,0.09,1,1.0,0.97,0.0
Ipswich Town,Leicester City,2024-11-02,D,H,1,1,0,0,0,1,43,0,15,2,33.3,37.2,20,18,52.6,20,8,40.0,11,55.0,222,1304,566,13,6,14,3,21.4,6,1,1,11,10,2,2,0,0,0,0,0,12,58.3,43.2,14,0.07,0.5,2,14.3,16.9,1,0,0,0,0,32,0,4.7,266,359,74.1,10,25,3,0,23,4291,1574,141,158,89.2,102,122,83.6,17,57,29.8,0,0,0,,0,0,,0,0,0,307,52,9,1,1,12,25,4,2,2,0,0,8,265,6,7,16,10,26,15,6,1,2,2,0,5,4,80.0,487,71,179,166,145,24,487,16,7,6,8,2,12,24,50.0,12,16,9,7,9,25,23,0,1.0,1.0,-0.5,-0.5,0.9,0.9,0.0,0.0,0.1,0.07,1,1.1,0.22,0.1
