Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Ipswich Town,Liverpool,2024-08-17,L,H,0,2,-2,0,0,0,38,0,36,7,33.3,30.4,11,18,37.9,10,3,30.0,5,50.0,254,1365,608,16,7,16,1,6.3,3,0,0,9,17,0,0,0,0,0,0,0,6,33.3,31.3,7,0.0,0.0,2,28.6,16.0,0,5,0,0,0,36,1,13.8,290,381,76.1,4,19,5,0,21,4991,2077,138,152,90.8,114,140,81.4,26,51,51.0,0,0,0,,0,0,,0,0,0,333,43,18,0,2,8,14,2,0,1,0,5,13,286,7,5,11,4,12,6,4,1,0,1,0,5,3,60.0,497,125,244,158,98,16,497,20,10,17,2,1,11,22,50.0,11,15,6,9,9,29,28,0,0.5,0.5,-2.1,-2.1,0.3,0.2,-0.5,-0.5,-0.3,0.06,0,2.3,0.47,0.3
Brentford,Liverpool,2024-08-25,L,A,0,2,-2,0,0,0,38,0,50,3,30.0,34.9,8,6,57.1,22,6,27.3,13,59.1,282,1646,866,11,9,14,0,0.0,3,0,0,7,10,0,0,0,0,0,0,0,4,75.0,61.0,8,0.0,0.0,2,25.0,18.1,0,2,0,0,0,42,2,17.5,322,399,80.7,5,18,5,1,26,6275,2100,106,125,84.8,163,177,92.1,43,68,63.2,0,0,0,,0,0,,0,0,0,355,42,11,0,5,10,20,4,2,0,0,2,13,316,9,2,15,4,15,7,3,1,1,3,0,8,6,75.0,493,92,211,183,104,8,493,10,6,8,2,0,5,13,38.5,8,11,7,4,5,15,15,0,0.5,0.5,-2.0,-2.0,0.5,0.4,-0.5,-0.5,-0.5,0.07,0,2.8,0.35,0.8
Manchester Utd,Liverpool,2024-09-01,L,H,0,3,-3,0,0,0,53,0,47,4,19.1,26.3,5,13,27.8,22,8,36.4,13,59.1,407,2038,916,12,5,6,0,0.0,4,0,0,7,7,0,0,0,0,0,0,0,8,25.0,22.1,8,0.0,0.0,3,37.5,15.6,0,0,0,0,0,51,3,27.3,453,556,81.5,7,31,6,3,33,7103,2494,215,243,88.5,185,212,87.3,28,55,50.9,0,0,0,,0,0,,0,0,0,504,52,9,1,1,19,26,5,3,0,1,0,14,446,5,8,19,11,16,16,0,0,0,0,0,3,0,0.0,661,73,248,287,133,26,661,32,20,15,14,3,14,19,73.7,5,6,1,5,7,39,10,4,1.4,1.4,-0.4,-0.4,1.3,1.0,-1.4,-1.4,-1.3,0.17,0,2.4,0.81,-0.6
Nott'ham Forest,Liverpool,2024-09-14,W,A,1,0,1,0,0,1,32,0,18,0,111.1,64.0,12,21,36.4,14,6,42.9,5,35.7,196,1108,509,10,5,16,1,6.3,4,0,0,6,15,2,2,0,0,0,0,0,12,75.0,53.9,5,0.2,0.33,3,60.0,18.6,0,5,0,0,0,44,1,12.0,197,304,64.8,5,20,3,0,21,3484,1818,109,132,82.6,66,93,71.0,18,61,29.5,0,0,0,,0,0,,0,0,0,250,49,14,2,2,6,20,2,0,2,0,5,4,195,5,2,19,7,10,9,1,0,0,0,0,5,5,100.0,421,70,154,178,98,5,421,22,15,13,7,2,13,19,68.4,6,11,3,8,11,33,32,2,0.4,0.4,-0.5,-0.5,0.4,0.2,0.6,0.6,0.6,0.09,0,0.6,0.11,0.6
Bournemouth,Liverpool,2024-09-21,L,A,0,3,-3,0,0,0,42,0,32,7,18.8,30.7,6,9,40.0,23,11,47.8,12,52.2,254,1439,840,15,11,6,1,16.7,4,0,0,12,9,0,0,0,0,0,0,0,2,100.0,54.0,19,0.0,0.0,6,31.6,18.7,1,3,0,0,0,48,2,10.5,360,442,81.4,14,28,10,1,42,6752,2440,150,169,88.8,172,196,87.8,38,66,57.6,0,0,0,,0,0,,0,0,0,396,43,9,3,1,24,19,9,8,0,0,3,9,357,11,6,12,8,33,25,2,2,2,2,0,12,9,75.0,556,75,186,226,149,27,556,20,11,8,7,5,5,21,23.8,16,12,4,8,7,27,16,1,1.1,1.1,-0.9,-0.9,0.9,0.7,-1.1,-1.1,-0.9,0.06,1,3.8,0.32,0.8
Wolves,Liverpool,2024-09-28,L,H,1,2,-1,0,0,1,45,0,35,8,22.9,28.8,10,10,50.0,12,7,58.3,4,33.3,294,1855,1049,21,14,16,2,12.5,2,0,0,16,8,1,1,0,0,0,0,0,7,28.6,31.1,8,0.13,0.33,3,37.5,22.9,0,1,0,1,0,38,2,12.3,382,465,82.2,6,17,3,2,35,6620,2110,179,205,87.3,164,185,88.6,33,54,61.1,1,1,0,0.0,1,0,0.0,0,1,0,428,36,9,1,1,15,15,2,1,0,0,1,11,381,14,8,19,6,13,12,1,0,0,0,0,6,4,83.3,561,87,210,247,112,18,561,14,11,9,3,2,7,11,63.6,4,7,1,6,9,23,23,1,0.6,0.6,-1.9,-1.1,0.2,0.3,0.4,0.4,-0.2,0.08,0,1.5,0.15,-0.5
Crystal Palace,Liverpool,2024-10-05,L,H,0,1,-1,0,0,0,32,0,23,5,52.2,39.8,7,27,20.6,11,4,36.4,7,63.6,195,1239,560,7,8,11,0,0.0,4,0,0,7,15,0,0,0,0,0,0,0,10,60.0,50.5,9,0.0,0.0,5,55.6,21.9,0,1,0,0,0,49,3,17.5,221,325,68.0,6,17,3,1,24,4020,1680,86,112,76.8,107,132,81.1,24,66,36.4,0,0,0,,0,0,,0,0,0,284,40,15,2,0,9,10,3,0,2,0,1,5,219,8,2,11,6,14,12,1,0,0,1,0,4,3,75.0,423,76,192,154,82,7,423,8,6,6,1,1,0,8,0.0,8,15,5,10,5,13,27,0,0.6,0.6,-0.8,-0.8,0.6,0.5,-0.6,-0.6,-0.6,0.07,0,0.5,0.13,-0.5
Chelsea,Liverpool,2024-10-20,L,A,1,2,-1,0,0,1,57,0,38,6,23.7,29.1,10,6,62.5,29,10,34.5,17,58.6,405,2173,1099,24,24,3,0,0.0,3,0,0,13,12,2,2,0,0,0,0,0,4,0.0,12.5,12,0.08,0.5,2,16.7,16.1,1,0,0,1,0,39,1,14.3,499,579,86.2,8,39,10,3,43,8701,2866,217,231,93.9,220,249,88.4,45,71,63.4,1,1,0,0.0,1,0,0.0,0,0,0,537,42,16,2,5,17,14,5,2,0,0,0,7,496,24,8,12,8,19,15,1,0,1,2,0,5,3,80.0,674,58,218,297,164,25,674,12,10,5,7,0,4,9,44.4,5,7,0,7,8,20,12,0,1.0,1.0,-0.9,-0.2,0.7,0.9,0.0,0.0,0.3,0.08,1,2.0,0.24,0.0
Arsenal,Liverpool,2024-10-27,D,H,2,2,0,0,0,2,45,0,29,2,55.2,40.4,18,11,62.1,13,6,46.2,6,46.2,230,1434,684,19,13,21,1,4.8,2,0,0,14,14,4,1,1,1,0,1,0,6,33.3,28.3,9,0.22,0.67,3,33.3,14.1,0,2,0,0,0,34,0,6.5,320,415,77.1,8,24,8,1,39,5610,2004,163,188,86.7,128,159,80.5,28,54,51.9,0,0,0,,0,0,,0,1,0,374,39,14,0,2,13,15,1,1,0,0,2,6,320,13,9,17,10,17,10,2,2,1,2,0,4,2,50.0,514,65,149,207,162,29,514,17,11,6,7,4,4,13,30.8,9,10,2,8,7,24,28,1,0.9,0.9,0.1,0.1,0.9,1.2,1.1,1.1,1.1,0.1,0,1.8,0.45,-0.2
Brighton,Liverpool,2024-11-02,L,A,1,2,-1,0,0,1,51,0,30,3,40.0,34.6,8,10,44.4,26,8,30.8,17,65.4,321,1892,1048,19,12,18,0,0.0,1,0,0,18,10,2,2,0,0,0,0,0,8,0.0,12.0,13,0.08,0.2,5,38.5,19.6,2,0,0,0,0,46,2,19.0,429,505,85.0,10,31,8,3,42,7227,2337,211,227,93.0,169,187,90.4,38,66,57.6,0,0,0,,0,0,,0,0,0,460,45,9,3,4,15,18,7,4,2,0,0,10,427,12,8,17,11,22,17,1,1,0,3,0,8,6,75.0,635,85,231,270,139,23,635,18,13,6,10,2,8,16,50.0,8,12,6,6,9,27,27,0,1.0,1.0,-0.6,-0.6,0.8,1.0,0.0,0.0,0.2,0.08,2,1.8,0.23,-0.2
