Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Chelsea,Manchester City,2024-08-18,L,H,0,2,-2,0,0,0,48,0,23,4,21.7,29.3,3,5,37.5,11,4,36.4,7,63.6,370,1673,827,16,6,6,1,16.7,1,0,0,12,9,0,0,0,0,0,0,0,6,0.0,14.3,10,0.0,0.0,3,30.0,17.1,0,2,0,0,0,43,0,9.8,461,531,86.8,9,34,11,5,26,7768,2625,223,244,91.4,204,222,91.9,29,53,54.7,0,0,0,,0,0,,0,0,0,489,40,10,2,2,18,17,4,3,0,0,2,3,459,6,2,10,9,20,18,0,1,1,0,0,5,3,60.0,629,64,195,259,175,24,629,20,14,7,9,4,8,23,34.8,15,10,3,7,10,30,13,1,1.0,1.0,0.2,0.2,1.0,0.9,-1.0,-1.0,-1.0,0.1,0,0.8,0.16,-1.2
Ipswich Town,Manchester City,2024-08-24,L,A,1,4,-3,0,0,1,25,0,30,4,23.3,28.2,7,5,58.3,8,2,25.0,6,75.0,210,852,304,3,5,15,0,0.0,3,0,0,15,3,2,2,0,0,0,0,0,6,50.0,44.0,1,1.0,1.0,1,100.0,21.1,0,1,0,1,0,24,3,20.0,211,266,79.3,1,11,1,1,9,3269,1169,129,139,92.8,68,77,88.3,13,40,32.5,1,1,0,0.0,1,0,0.0,0,0,0,236,29,7,1,0,6,10,1,1,0,0,1,7,210,5,0,14,8,2,2,0,0,0,0,0,5,1,40.0,387,94,232,116,42,5,387,17,8,13,3,1,7,18,38.9,11,16,3,13,10,27,41,2,0.3,0.3,-3.1,-2.3,0.3,0.3,0.7,0.7,0.7,0.29,0,3.5,0.52,-0.5
West Ham,Manchester City,2024-08-31,L,H,1,3,-2,0,0,0,33,0,19,6,36.8,35.8,9,7,56.3,17,10,58.8,5,29.4,283,1759,850,17,12,15,1,6.7,3,0,0,10,2,0,0,0,0,0,0,0,8,50.0,43.0,10,0.0,0.0,2,20.0,16.9,0,0,0,0,0,29,0,5.5,310,379,81.8,6,25,8,2,23,4964,1915,158,176,89.8,105,121,86.8,27,45,60.0,0,0,0,,0,0,,0,0,0,341,38,4,0,4,14,19,3,1,1,0,0,13,306,12,5,10,10,17,12,2,1,1,0,1,8,5,62.5,468,76,164,199,111,23,468,11,6,7,3,1,3,15,20.0,12,13,5,8,6,17,20,1,0.7,0.7,-2.3,-2.3,0.4,0.6,-0.7,-0.7,-0.4,0.07,0,2.9,0.36,-0.1
Brentford,Manchester City,2024-09-14,L,A,1,2,-1,0,0,1,46,0,61,2,29.5,32.3,11,6,64.7,11,3,27.3,6,54.5,337,1544,654,12,8,9,2,22.2,1,0,0,3,8,2,2,0,0,0,0,0,6,0.0,13.5,8,0.13,0.2,5,62.5,12.9,0,1,0,0,0,32,3,19.4,414,492,84.1,6,19,11,3,22,7716,2800,170,192,88.5,200,216,92.6,42,72,58.3,0,0,0,,0,0,,0,0,0,460,31,10,4,3,12,9,3,3,0,0,1,9,411,8,2,15,6,15,12,3,0,0,0,0,7,5,71.4,605,127,318,191,100,19,605,20,15,13,5,2,8,11,72.7,3,13,4,9,9,29,24,1,1.0,1.0,-1.1,-1.1,0.6,0.8,0.0,0.0,-0.6,0.12,0,2.0,0.3,0.0
Arsenal,Manchester City,2024-09-22,D,A,2,2,0,0,0,2,23,0,28,0,67.9,47.9,11,16,40.7,11,4,36.4,4,36.4,146,801,473,11,1,18,3,16.7,6,1,1,10,6,4,2,2,0,0,0,0,12,100.0,69.4,5,0.4,0.67,3,60.0,11.3,0,1,0,0,0,25,0,6.0,154,221,69.7,4,9,1,1,11,2884,1326,70,81,86.4,60,82,73.2,17,47,36.2,0,0,0,,0,0,,0,1,0,191,29,7,0,2,7,5,2,2,0,0,1,2,154,1,2,12,6,7,4,3,0,0,0,0,11,9,81.8,332,94,187,107,40,8,332,16,10,11,4,1,9,19,47.4,10,21,13,8,4,20,41,1,0.7,0.7,-1.5,-1.5,0.6,0.5,1.3,1.3,1.4,0.13,0,2.2,0.2,0.2
Newcastle Utd,Manchester City,2024-09-28,D,H,1,1,0,1,0,0,38,1,18,6,33.3,35.1,13,6,68.4,12,8,66.7,2,16.7,271,1408,642,14,5,16,1,6.3,4,0,0,14,10,2,1,0,0,0,1,0,8,25.0,30.4,10,0.0,0.0,3,30.0,15.1,0,1,1,0,0,45,1,14.0,285,368,77.4,9,26,10,3,30,5019,2088,152,178,85.4,100,116,86.2,32,66,48.5,0,0,0,,0,0,,0,0,0,329,38,9,3,2,16,14,5,5,0,0,1,5,284,5,7,9,13,21,16,2,0,2,1,0,6,5,83.3,463,77,179,167,122,24,462,15,7,10,4,1,7,20,35.0,13,12,6,6,10,25,23,1,1.6,0.8,0.7,-0.1,0.8,0.7,-0.6,-0.8,-0.8,0.08,0,1.4,0.23,0.4
Fulham,Manchester City,2024-10-05,L,A,2,3,-1,0,0,2,42,0,17,4,5.9,29.6,5,7,41.7,12,5,41.7,6,50.0,401,1685,839,19,20,12,1,8.3,1,0,0,10,4,4,4,0,0,0,0,0,8,12.5,14.9,11,0.18,0.5,4,36.4,14.0,0,3,0,0,0,32,0,7.3,410,486,84.4,11,41,6,2,34,6845,2176,208,230,90.4,152,172,88.4,40,59,67.8,0,0,0,,0,0,,0,1,0,452,31,4,1,5,15,12,3,1,2,0,3,8,410,20,6,11,4,21,17,1,0,2,0,1,7,4,57.1,598,76,221,219,163,24,598,23,9,14,7,2,13,24,54.2,11,19,6,13,7,30,22,1,2.6,2.6,1.0,1.0,2.6,2.1,-0.6,-0.6,-0.6,0.24,0,1.3,0.18,-1.7
Wolves,Manchester City,2024-10-20,L,H,1,2,-1,0,0,1,23,0,31,4,83.9,52.1,14,13,51.9,9,4,44.4,4,44.4,161,916,478,7,3,28,3,10.7,4,0,0,8,4,2,2,0,0,0,0,0,9,100.0,67.8,3,0.33,0.5,2,66.7,17.6,0,2,0,0,0,31,0,4.3,158,237,66.7,3,8,2,1,8,3118,1313,75,89,84.3,54,67,80.6,26,68,38.2,0,0,0,,0,0,,0,1,0,205,30,6,1,3,4,11,1,0,0,1,2,6,157,3,3,7,10,6,6,0,0,0,0,0,7,5,71.4,374,112,236,106,33,4,374,26,13,22,3,1,12,22,54.5,10,24,7,17,6,32,50,0,0.8,0.8,-0.8,-0.8,0.8,0.3,0.2,0.2,0.2,0.26,0,1.8,0.26,-0.2
Southampton,Manchester City,2024-10-26,L,A,0,1,-1,0,0,0,43,0,57,9,17.5,24.7,8,6,57.1,17,6,35.3,9,52.9,406,1925,943,15,10,19,1,5.3,3,0,0,9,9,0,0,0,0,0,0,0,8,0.0,9.1,5,0.0,0.0,2,40.0,13.8,0,2,0,0,0,18,0,6.8,454,503,90.3,5,9,4,0,21,7201,2391,231,245,94.3,180,194,92.8,28,43,65.1,0,0,0,,0,0,,0,0,0,469,32,10,1,2,2,11,1,1,0,0,2,5,450,10,5,8,3,10,8,1,0,0,1,0,7,6,85.7,600,140,336,206,61,14,600,14,9,10,3,1,2,11,18.2,9,16,8,8,6,20,30,1,0.2,0.2,-2.7,-2.7,0.2,0.3,-0.2,-0.2,-0.2,0.04,0,0.8,0.11,-0.2
Bournemouth,Manchester City,2024-11-02,W,H,2,1,1,0,0,2,36,0,20,4,60.0,40.6,13,14,48.1,20,11,55.0,5,25.0,273,1555,754,19,12,19,0,0.0,2,0,0,11,5,4,3,0,1,0,0,0,11,72.7,54.0,12,0.17,0.33,6,50.0,16.0,0,2,0,0,0,36,0,5.0,297,362,82.0,10,33,7,3,26,5904,2390,126,139,90.6,119,132,90.2,45,73,61.6,0,0,0,,0,0,,0,1,0,328,32,6,4,1,12,10,3,3,0,0,2,8,295,12,8,13,9,20,16,0,2,2,0,0,4,3,75.0,480,82,172,197,119,22,480,16,12,9,7,0,6,12,50.0,6,8,4,4,12,28,39,0,2.0,2.0,0.5,0.5,1.2,1.0,0.0,0.0,0.8,0.18,0,1.9,0.48,0.9
Brighton,Manchester City,2024-11-09,W,H,2,1,1,0,0,2,40,0,23,4,17.4,24.8,6,5,54.5,11,2,18.2,5,45.5,347,1674,901,10,9,10,1,10.0,3,0,0,12,10,4,4,0,0,0,0,0,7,42.9,33.4,10,0.2,0.5,4,40.0,13.5,1,3,0,0,0,40,3,18.6,390,453,86.1,7,21,10,4,23,6741,2293,182,201,90.5,169,182,92.9,32,50,64.0,0,0,0,,0,0,,0,0,0,419,31,10,2,2,8,12,0,0,0,0,3,5,387,9,3,16,7,18,16,0,0,1,1,0,6,5,83.3,568,74,212,270,91,19,568,16,6,7,7,2,4,19,21.1,15,14,3,11,12,28,21,0,2.3,2.3,0.1,0.1,1.9,1.2,-0.3,-0.3,-0.9,0.23,1,2.6,0.5,1.6
Tottenham,Manchester City,2024-11-23,W,A,4,0,4,0,0,4,42,0,41,4,12.2,27.6,5,10,33.3,16,8,50.0,8,50.0,356,1914,947,21,10,25,3,12.0,2,0,0,9,19,7,7,0,0,0,0,0,17,11.8,19.1,9,0.44,0.57,7,77.8,13.0,0,3,0,0,0,39,0,3.5,373,453,82.3,9,12,6,1,19,6133,2259,177,194,91.2,166,184,90.2,21,46,45.7,0,0,0,,0,0,,0,0,0,399,51,21,1,4,10,9,3,2,0,0,3,11,373,10,6,12,5,17,15,0,2,0,0,0,5,5,100.0,550,109,284,187,88,15,550,13,11,7,6,0,5,14,35.7,9,12,7,5,5,18,29,1,2.5,2.5,0.4,0.4,2.5,1.0,1.5,1.5,1.5,0.28,0,1.1,0.22,1.1
