Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Fulham,Manchester Utd,2024-08-16,L,A,0,1,-1,0,0,0,45,0,32,3,31.3,33.5,16,19,45.7,22,8,36.4,12,54.5,329,1746,927,17,19,17,0,0.0,3,0,0,10,11,0,0,0,0,0,0,0,10,20.0,23.1,10,0.0,0.0,2,20.0,16.9,0,1,0,0,0,53,1,18.3,329,424,77.6,9,20,4,1,28,5642,2143,131,155,84.5,154,183,84.2,29,58,50.0,0,0,0,,0,0,,0,0,0,372,51,16,2,0,21,15,8,6,2,0,1,10,322,19,7,17,9,19,11,5,1,1,1,0,5,4,80.0,540,75,223,212,117,21,540,24,17,12,11,1,11,19,57.9,8,9,2,7,9,33,18,2,0.4,0.4,-2.0,-2.0,0.4,0.5,-0.4,-0.4,-0.4,0.04,0,2.1,0.41,1.1
Brighton,Manchester Utd,2024-08-24,W,H,2,1,1,0,0,2,48,0,45,6,22.2,30.6,8,6,57.1,24,10,41.7,14,58.3,369,2176,1256,24,12,9,2,22.2,1,0,0,9,13,4,4,0,0,0,0,0,5,0.0,6.4,14,0.14,0.5,4,28.6,14.2,1,0,0,0,0,42,2,16.7,435,514,84.6,12,34,10,2,46,7745,2737,195,219,89.0,188,210,89.5,40,60,66.7,0,0,0,,0,0,,0,0,0,466,48,18,2,5,12,19,4,2,2,0,0,8,433,12,8,12,5,27,20,1,2,1,3,0,3,2,66.7,616,81,229,246,146,33,616,17,12,9,7,1,9,19,47.4,10,13,2,11,7,24,11,0,2.1,2.1,0.7,0.7,2.0,2.3,-0.1,-0.1,0.0,0.15,1,0.4,0.14,-0.6
Liverpool,Manchester Utd,2024-09-01,W,A,3,0,3,0,0,3,47,0,31,3,12.9,20.6,13,5,72.2,20,5,25.0,14,70.0,282,1688,934,20,16,14,1,7.1,1,0,0,7,7,6,6,0,0,0,0,0,5,0.0,15.4,11,0.27,1.0,3,27.3,13.4,0,2,0,0,0,53,5,17.7,414,497,83.3,9,21,8,3,30,6917,2308,189,212,89.2,196,223,87.9,22,46,47.8,0,0,0,,0,0,,0,0,0,458,37,7,1,3,6,22,2,1,0,0,2,5,410,16,10,8,18,21,16,0,2,1,0,2,3,3,100.0,615,77,210,273,139,26,615,24,17,13,8,3,13,21,61.9,8,13,0,13,10,34,28,0,1.8,1.8,0.4,0.4,1.4,1.1,1.2,1.2,1.6,0.16,0,0.6,0.21,0.6
Southampton,Manchester Utd,2024-09-14,L,H,0,3,-3,0,1,0,44,1,32,7,28.1,29.7,4,7,36.4,20,4,20.0,13,65.0,349,1736,947,21,8,7,2,28.6,1,1,0,11,12,0,0,0,0,0,0,0,5,0.0,5.8,5,0.0,0.0,2,40.0,17.4,0,0,1,0,0,32,2,15.5,439,505,86.9,4,27,3,0,22,6902,2174,207,227,91.2,193,212,91.0,21,41,51.2,0,0,0,,0,0,,0,2,0,472,33,13,1,2,7,11,0,0,0,0,0,6,436,8,9,11,9,10,5,1,1,1,2,0,10,7,70.0,616,71,247,269,105,15,615,21,14,7,12,2,7,21,33.3,14,15,7,8,11,32,16,0,1.1,0.3,-1.5,-2.3,0.3,0.3,-1.1,-0.3,-0.3,0.06,0,3.6,0.4,0.6
Crystal Palace,Manchester Utd,2024-09-21,D,H,0,0,0,0,0,0,33,0,31,5,45.2,37.2,13,18,41.9,13,4,30.8,6,46.2,196,1101,447,10,6,17,3,17.6,3,0,0,7,11,0,0,0,0,0,0,0,11,72.7,52.5,9,0.0,0.0,4,44.4,14.6,0,1,0,0,0,47,4,17.9,239,342,69.9,8,13,6,3,17,4339,1936,109,132,82.6,89,108,82.4,28,70,40.0,0,0,0,,0,0,,0,0,0,304,37,12,1,0,14,9,4,0,3,0,1,6,236,6,2,8,8,17,10,2,2,2,1,0,6,6,100.0,479,94,244,169,73,15,479,22,10,13,9,0,8,15,53.3,7,13,3,10,13,35,31,1,1.0,1.0,-0.6,-0.6,0.8,0.4,-1.0,-1.0,-0.8,0.12,0,1.8,0.32,1.8
Tottenham,Manchester Utd,2024-09-29,W,A,3,0,3,0,0,3,61,0,42,7,4.8,19.7,8,6,57.1,19,6,31.6,12,63.2,548,2920,1680,33,26,15,1,6.7,3,0,0,14,15,5,3,0,0,1,0,1,9,0.0,17.9,24,0.13,0.3,10,41.7,14.6,0,1,0,0,0,46,2,16.8,591,675,87.6,19,33,15,2,54,9890,3227,264,286,92.3,277,304,91.1,39,59,66.1,0,0,0,,0,0,,0,0,0,627,47,18,2,2,15,16,3,3,0,0,1,7,582,26,8,12,15,41,31,2,0,6,1,1,2,2,100.0,781,75,223,372,195,41,781,7,6,5,2,0,6,8,75.0,2,19,4,15,11,18,16,0,4.4,4.4,3.4,3.4,3.9,1.5,-1.4,-1.4,-1.9,0.2,0,0.3,0.14,0.3
Aston Villa,Manchester Utd,2024-10-06,D,H,0,0,0,0,0,0,53,0,30,3,23.3,28.7,8,14,36.4,18,7,38.9,9,50.0,363,1863,982,21,14,9,1,11.1,1,0,0,12,11,0,0,0,0,0,0,0,5,20.0,20.4,11,0.0,0.0,1,9.1,20.3,1,0,0,0,0,39,1,17.5,359,454,79.1,8,30,8,1,38,6144,2102,156,178,87.6,172,201,85.6,23,51,45.1,0,0,0,,0,0,,0,0,0,416,38,11,1,3,20,15,6,3,0,0,0,10,349,14,5,12,12,22,18,2,0,0,2,0,4,4,100.0,541,58,185,223,139,24,541,12,10,6,6,0,8,12,66.7,4,4,2,2,6,18,14,0,0.5,0.5,-0.1,-0.1,0.4,0.6,-0.5,-0.5,-0.4,0.05,1,1.0,0.24,1.0
Brentford,Manchester Utd,2024-10-19,L,A,1,2,-1,0,0,1,50,0,35,6,28.6,32.5,18,22,45.0,24,12,50.0,12,50.0,442,2427,1218,17,15,16,0,0.0,2,0,0,5,4,2,1,1,0,0,0,0,8,12.5,19.8,8,0.13,0.5,2,25.0,17.9,1,3,0,0,0,52,5,15.9,435,522,83.3,6,35,4,2,32,7301,2487,218,239,91.2,172,202,85.1,34,59,57.6,0,0,0,,0,0,,0,0,0,486,33,4,2,4,13,16,2,2,0,0,3,5,426,15,2,19,13,15,11,1,2,0,1,0,11,9,81.8,652,94,235,297,128,15,652,15,11,6,7,2,7,12,58.3,5,14,6,8,10,25,30,0,0.9,0.9,-0.5,-0.5,0.7,0.7,0.1,0.1,0.3,0.11,1,2.0,0.18,0.0
West Ham,Manchester Utd,2024-10-27,W,H,2,1,1,1,0,1,42,1,23,3,47.8,37.6,13,14,48.1,16,10,62.5,6,37.5,284,1459,694,21,12,19,1,5.3,5,0,0,6,6,3,1,0,0,1,1,0,7,42.9,39.1,11,0.09,0.5,2,18.2,12.3,0,3,1,0,0,52,2,13.2,338,436,77.5,10,26,10,4,35,5808,2291,165,189,87.3,121,150,80.7,39,60,65.0,0,0,0,,0,0,,0,1,0,395,38,9,2,3,23,14,6,3,3,0,3,16,331,12,6,13,13,22,15,2,2,2,1,0,5,4,80.0,562,84,212,208,144,29,561,11,5,7,2,2,7,14,50.0,7,11,5,6,12,23,42,1,2.8,2.1,0.5,-0.2,2.2,1.1,-0.8,-1.1,-1.2,0.2,0,2.0,0.4,1.0
Chelsea,Manchester Utd,2024-11-03,D,A,1,1,0,0,0,1,54,0,31,5,19.4,26.4,17,8,68.0,29,15,51.7,9,31.0,340,1724,867,16,13,11,1,9.1,2,0,0,14,19,2,1,0,1,0,0,0,3,33.3,31.0,12,0.08,0.33,3,25.0,16.0,0,0,0,1,0,41,0,8.8,414,512,80.9,8,22,8,0,38,6922,2249,205,234,87.6,178,208,85.6,24,52,46.2,1,1,0,0.0,1,0,0.0,0,0,0,463,49,23,2,1,19,13,8,6,0,0,0,14,410,13,7,10,13,21,11,4,3,2,0,1,4,3,100.0,616,53,188,302,131,28,616,20,11,10,8,2,11,21,52.4,10,12,3,9,7,27,17,1,1.1,1.1,-0.9,-0.1,0.9,1.0,-0.1,-0.1,-0.9,0.09,0,0.9,0.03,-0.1
