Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Southampton,Newcastle Utd,2024-08-17,L,A,0,1,-1,0,0,0,77,0,19,3,21.1,24.3,9,7,56.3,14,6,42.9,7,50.0,476,2657,1550,31,19,12,2,16.7,4,0,0,16,15,0,0,0,0,0,0,0,3,0.0,11.3,19,0.0,0.0,3,15.8,17.0,1,2,0,0,0,35,0,7.2,604,702,86.0,15,58,14,3,62,9503,2647,323,352,91.8,233,263,88.6,35,54,64.8,0,0,0,,0,0,,0,0,0,650,50,15,1,3,30,18,12,5,2,0,2,17,597,19,9,10,9,34,28,0,0,4,2,0,1,0,0.0,788,51,179,343,270,46,788,13,6,4,3,6,5,6,83.3,1,8,2,6,3,16,13,1,1.8,1.8,1.5,1.5,1.5,1.6,-1.8,-1.8,-1.5,0.1,1,0.6,0.63,-0.4
Bournemouth,Newcastle Utd,2024-08-25,D,H,1,1,0,0,0,1,39,0,19,1,63.2,43.9,13,10,56.5,14,2,14.3,12,85.7,211,1085,559,16,9,19,2,10.5,2,0,0,20,8,1,1,0,0,0,0,0,9,77.8,56.1,16,0.06,0.25,4,25.0,16.5,1,0,0,0,0,60,0,4.5,263,359,73.3,14,28,6,1,31,5183,2158,115,130,88.5,110,130,84.6,36,84,42.9,0,0,0,,0,0,,0,0,0,315,44,7,0,0,19,18,8,6,1,0,0,8,259,9,8,13,9,29,23,2,0,1,2,1,5,4,80.0,515,68,149,215,157,26,515,21,16,11,5,5,7,13,53.8,6,24,5,19,6,27,35,0,2.2,2.2,0.6,0.6,2.2,1.8,-1.2,-1.2,-1.2,0.14,1,2.6,0.53,1.6
Tottenham,Newcastle Utd,2024-09-01,L,A,1,2,-1,0,0,0,65,0,20,6,25.0,29.9,13,9,59.1,26,10,38.5,13,50.0,377,2179,1176,29,26,10,1,10.0,4,0,0,13,16,0,0,0,0,0,0,0,3,0.0,17.7,20,0.0,0.0,6,30.0,19.9,1,4,0,0,0,45,0,9.8,450,557,80.8,13,38,14,2,48,6707,1912,250,276,90.6,167,194,86.1,17,44,38.6,0,0,0,,0,0,,0,0,0,498,55,17,2,0,27,20,12,3,2,0,4,16,445,26,11,14,4,35,24,2,1,5,3,0,3,1,33.3,675,37,130,254,303,44,675,22,16,6,11,5,10,18,55.6,8,16,3,13,7,29,12,0,1.2,1.2,-0.6,-0.6,0.6,0.9,-1.2,-1.2,-0.6,0.06,1,2.1,0.71,0.1
Wolves,Newcastle Utd,2024-09-15,L,H,1,2,-1,0,0,1,49,0,39,5,53.8,38.1,8,13,38.1,23,15,65.2,8,34.8,341,1804,948,13,14,10,1,10.0,3,0,0,17,6,2,2,0,0,0,0,0,8,37.5,32.4,12,0.08,0.2,5,41.7,15.2,0,3,0,0,0,36,1,10.0,389,483,80.5,8,32,9,3,31,7281,2506,162,180,90.0,176,206,85.4,42,69,60.9,0,0,0,,0,0,,0,0,0,436,44,8,4,4,21,21,4,0,3,0,3,12,384,14,5,10,6,24,18,0,5,0,0,1,6,4,66.7,582,74,197,262,133,24,582,23,14,15,5,3,8,20,40.0,12,12,4,8,10,33,20,0,1.2,1.2,-0.3,-0.3,0.9,1.0,-0.2,-0.2,0.1,0.1,0,1.7,0.29,-0.3
Fulham,Newcastle Utd,2024-09-21,W,H,3,1,2,0,0,3,39,0,19,3,78.9,60.6,6,15,28.6,17,4,23.5,7,41.2,293,1539,904,27,16,11,1,9.1,6,0,0,16,8,4,4,0,0,0,0,0,12,33.3,28.8,22,0.14,0.27,11,50.0,15.4,0,1,0,0,0,38,0,11.0,305,379,80.5,17,29,9,3,30,5096,1850,157,173,90.8,121,136,89.0,20,55,36.4,0,0,0,,0,0,,0,0,0,331,47,13,3,2,17,14,6,1,4,0,1,4,300,16,10,16,2,36,24,4,1,5,1,1,5,4,80.0,484,58,149,170,169,37,484,19,9,9,7,3,5,12,41.7,7,6,3,3,6,25,21,1,2.2,2.2,0.7,0.7,2.0,1.2,0.8,0.8,1.0,0.1,0,1.0,0.21,0.0
Manchester City,Newcastle Utd,2024-09-28,D,A,1,1,0,0,0,1,62,0,44,7,31.8,31.0,6,13,31.6,24,13,54.2,7,29.2,493,2605,1395,31,22,13,0,0.0,4,0,0,10,14,2,1,0,1,0,0,0,5,20.0,21.8,16,0.06,0.17,6,37.5,17.6,0,0,0,1,0,45,0,11.0,511,598,85.5,13,31,12,0,40,7944,2334,291,315,92.4,181,201,90.0,28,60,46.7,1,1,0,0.0,1,0,0.0,0,0,0,556,42,15,5,3,19,14,6,2,3,0,0,8,506,22,12,15,8,31,27,1,2,0,1,0,4,3,100.0,705,70,200,272,240,38,705,15,11,2,12,1,2,10,20.0,8,8,3,5,7,22,21,0,0.9,0.9,-0.7,0.1,0.8,1.4,0.1,0.1,0.2,0.06,0,1.1,0.11,0.1
Everton,Newcastle Utd,2024-10-05,D,H,0,0,0,0,0,0,33,0,31,5,54.8,42.6,13,11,54.2,24,13,54.2,9,37.5,232,1196,592,10,5,18,1,5.6,1,0,0,12,8,0,0,0,0,0,0,0,9,77.8,61.4,8,0.0,0.0,2,25.0,24.3,1,2,0,1,0,54,1,12.8,246,340,72.4,6,24,3,0,25,4629,1800,105,127,82.7,110,125,88.0,29,67,43.3,1,0,1,100.0,0,1,100.0,0,0,0,304,34,10,1,3,9,14,0,0,0,0,2,15,244,5,2,10,16,15,12,0,1,1,1,0,2,1,100.0,469,74,184,197,96,13,469,19,11,7,10,2,9,15,60.0,6,10,4,6,10,29,30,0,0.7,0.7,-1.4,-0.6,0.3,0.2,-0.7,-0.7,-0.3,0.09,1,0.9,0.04,0.9
Brighton,Newcastle Utd,2024-10-19,W,A,1,0,1,0,0,1,40,0,46,6,50.0,35.3,16,10,61.5,19,3,15.8,14,73.7,267,1406,702,8,5,17,1,5.9,2,0,0,9,11,2,2,0,0,0,0,0,8,62.5,42.8,10,0.1,0.2,5,50.0,16.0,0,0,0,0,0,47,1,10.1,313,399,78.4,6,18,5,0,19,5312,2303,163,182,89.6,102,119,85.7,36,68,52.9,0,0,0,,0,0,,0,0,0,358,41,14,6,1,8,14,4,0,4,0,0,9,309,5,2,14,12,19,14,2,0,1,1,1,6,6,100.0,559,99,247,243,78,12,559,26,15,14,9,3,8,18,44.4,10,16,8,8,9,35,38,0,1.1,1.1,-0.9,-0.9,0.7,0.5,-0.1,-0.1,0.3,0.11,0,0.9,0.15,0.9
Chelsea,Newcastle Utd,2024-10-27,W,H,2,1,1,0,0,2,50,0,34,2,55.9,43.1,13,14,48.1,17,7,41.2,7,41.2,399,1918,959,22,8,9,1,11.1,6,0,0,13,15,4,2,0,1,0,0,1,8,25.0,24.5,17,0.12,0.29,7,41.2,16.7,0,2,0,0,0,45,2,15.0,404,495,81.6,14,42,5,3,33,7079,2102,199,211,94.3,163,187,87.2,35,76,46.1,0,0,0,,0,0,,0,0,0,447,46,17,3,5,20,12,7,7,0,0,2,7,399,8,10,11,6,29,20,1,5,1,0,2,2,1,50.0,618,60,189,269,165,30,618,12,8,4,6,2,4,10,40.0,6,15,4,11,16,28,25,0,1.6,1.6,-0.2,-0.2,1.5,0.9,0.4,0.4,0.5,0.09,0,1.2,0.58,0.2
Arsenal,Newcastle Utd,2024-11-02,L,A,0,1,-1,0,0,0,63,0,31,8,32.3,31.0,14,18,43.8,17,3,17.6,10,58.8,372,2036,1022,15,17,11,2,18.2,4,0,0,18,16,0,0,0,0,0,0,0,1,0.0,17.0,10,0.0,,0,0.0,14.9,0,0,0,0,0,43,3,18.7,463,554,83.6,9,38,13,3,55,7662,2338,220,242,90.9,198,222,89.2,33,64,51.6,0,0,0,,0,0,,0,0,0,512,42,16,2,3,27,17,6,6,0,0,0,9,460,17,5,13,13,19,13,3,1,1,1,0,4,3,75.0,659,45,159,293,213,29,659,17,10,5,8,4,3,9,33.3,6,16,3,13,6,23,18,0,1.1,1.1,0.5,0.5,1.1,1.7,-1.1,-1.1,-1.1,0.11,0,1.3,0.32,0.3
