Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Bournemouth,Nott'ham Forest,2024-08-17,D,A,1,1,0,0,0,1,47,0,27,6,29.6,31.8,15,25,37.5,20,5,25.0,10,50.0,327,1992,1085,18,12,11,0,0.0,3,0,0,8,17,2,2,0,0,0,0,0,6,0.0,13.0,13,0.08,0.25,4,30.8,19.6,1,4,0,0,0,57,3,14.6,363,485,74.8,7,33,6,0,49,6628,2447,153,177,86.4,166,197,84.3,39,85,45.9,0,0,0,,0,0,,0,0,0,433,48,16,0,3,25,18,6,4,0,0,4,11,359,12,5,8,14,24,19,2,0,1,1,1,8,7,87.5,628,71,201,274,160,22,628,18,7,8,7,3,10,19,52.6,9,13,3,10,14,32,29,1,1.2,1.2,-0.1,-0.1,0.5,0.5,-0.2,-0.2,-0.5,0.09,1,1.7,0.23,0.7
Southampton,Nott'ham Forest,2024-08-24,L,H,0,1,-1,0,0,0,64,0,22,8,13.6,22.0,4,11,26.7,22,7,31.8,12,54.5,481,2902,1650,29,25,14,1,7.1,3,0,0,14,13,0,0,0,0,0,0,0,9,0.0,20.1,5,0.0,0.0,1,20.0,19.7,0,0,0,0,0,39,0,6.0,618,691,89.4,4,31,9,2,49,9663,2830,306,325,94.2,279,307,90.9,19,37,51.4,0,0,0,,0,0,,0,1,0,648,43,15,0,0,14,13,4,1,2,0,0,5,609,25,5,13,12,9,6,1,0,1,1,0,8,7,87.5,800,70,240,387,175,20,800,18,12,12,5,1,11,18,61.1,7,15,6,9,2,20,19,2,0.1,0.1,-2.1,-2.1,0.1,0.4,-0.1,-0.1,-0.1,0.03,0,1.6,0.2,0.6
Wolves,Nott'ham Forest,2024-08-31,D,A,1,1,0,0,0,1,48,0,25,0,76.0,49.8,16,14,53.3,19,8,42.1,6,31.6,275,1824,944,11,16,17,1,5.9,4,0,0,18,13,1,1,0,0,0,0,0,7,0.0,8.6,11,0.09,0.5,2,18.2,20.7,0,0,0,0,0,44,1,11.0,292,383,76.2,8,22,3,0,21,5227,1962,136,159,85.5,123,148,83.1,30,59,50.8,0,0,0,,0,0,,0,1,0,335,48,19,3,5,7,17,3,3,0,0,0,7,291,16,4,21,11,18,14,0,1,3,0,0,5,4,80.0,520,70,188,232,111,13,520,23,14,9,11,3,8,16,50.0,8,14,6,8,10,33,27,0,0.7,0.7,-0.3,-0.3,0.5,0.5,0.3,0.3,0.5,0.07,0,1.7,0.35,0.7
Liverpool,Nott'ham Forest,2024-09-14,L,H,0,1,-1,0,0,0,68,0,16,1,12.5,21.1,21,12,63.6,20,6,30.0,13,65.0,465,2433,1306,27,16,5,0,0.0,4,0,0,15,6,0,0,0,0,0,0,0,4,0.0,13.3,14,0.0,0.0,5,35.7,14.9,0,0,0,0,0,47,1,21.3,543,655,82.9,13,51,9,3,63,8838,3200,283,312,90.7,203,240,84.6,39,68,57.4,0,0,0,,0,0,,0,0,0,600,55,11,0,6,19,31,7,4,2,0,0,11,537,16,11,14,9,27,19,4,1,2,0,1,3,2,66.7,760,35,160,406,199,31,760,12,8,2,8,2,5,11,45.5,6,5,0,5,11,23,16,0,0.9,0.9,0.5,0.5,0.9,1.4,-0.9,-0.9,-0.9,0.07,0,0.7,0.25,-0.3
Brighton,Nott'ham Forest,2024-09-22,D,H,2,2,0,0,0,2,70,0,35,9,11.4,21.0,18,9,66.7,20,10,50.0,7,35.0,441,2614,1574,35,26,3,1,33.3,3,0,0,12,9,4,3,0,0,0,1,0,1,0.0,8.0,14,0.14,0.67,3,21.4,17.4,1,0,0,1,0,30,6,22.5,510,619,82.4,11,51,8,1,75,8335,2829,264,293,90.1,187,224,83.5,44,69,63.8,1,1,0,0.0,1,0,0.0,0,0,0,567,52,14,1,4,43,25,9,4,5,0,0,8,501,26,6,16,11,25,19,3,2,0,1,0,3,1,66.7,709,36,142,310,262,30,709,12,5,4,3,5,3,11,27.3,8,14,1,13,7,19,8,0,1.0,1.0,-0.4,0.4,0.6,0.9,1.0,1.0,0.4,0.07,1,1.7,0.27,-0.3
Fulham,Nott'ham Forest,2024-09-28,W,A,1,0,1,1,0,0,59,1,30,2,13.3,25.0,7,18,28.0,16,9,56.3,5,31.3,439,2412,1385,29,21,20,1,5.0,4,0,0,15,11,2,1,0,0,0,1,0,6,33.3,29.2,13,0.0,0.0,1,7.7,20.2,0,1,1,0,0,29,0,7.3,473,563,84.0,7,43,7,0,47,8292,2514,206,235,87.7,223,249,89.6,36,58,62.1,0,0,0,,0,0,,0,0,0,524,38,16,1,2,23,10,5,0,4,0,1,5,470,21,7,14,3,24,17,2,1,3,1,0,1,1,100.0,677,63,217,279,184,23,676,7,2,5,1,1,1,5,20.0,4,8,5,3,9,16,44,1,1.3,0.5,0.5,-0.3,0.3,0.4,-0.3,-0.5,-0.3,0.04,0,0.0,0.01,0.0
Chelsea,Nott'ham Forest,2024-10-06,D,H,1,1,0,0,0,1,65,0,26,8,26.9,27.8,13,15,46.4,16,11,68.8,4,25.0,351,2271,1440,39,16,9,1,11.1,6,0,0,12,10,2,2,0,0,0,0,0,3,0.0,7.0,22,0.05,0.13,8,36.4,17.2,0,1,0,0,0,39,3,21.2,543,641,84.7,17,55,18,4,69,9300,3012,244,269,90.7,263,293,89.8,34,62,54.8,0,0,0,,0,0,,0,0,0,598,42,14,3,4,29,12,11,6,0,0,1,13,539,16,11,10,8,41,33,2,4,2,0,0,9,8,88.9,741,48,152,324,271,46,741,14,10,4,6,4,7,16,43.8,9,14,6,8,8,22,18,1,2.3,2.3,1.4,1.4,2.3,1.7,-1.3,-1.3,-1.3,0.11,0,1.6,0.18,0.6
Crystal Palace,Nott'ham Forest,2024-10-21,L,A,0,1,-1,0,0,0,49,0,16,1,18.8,24.3,14,18,43.8,9,6,66.7,3,33.3,279,1385,827,18,9,17,1,5.9,3,0,0,12,9,0,0,0,0,0,0,0,6,0.0,17.7,20,0.0,0.0,7,35.0,21.1,0,2,0,0,0,45,0,10.0,375,482,77.8,16,33,8,3,42,6744,2269,152,181,84.0,188,217,86.6,28,54,51.9,0,0,0,,0,0,,0,0,0,440,40,11,1,5,16,15,6,2,0,0,2,12,370,9,4,13,6,30,22,2,3,1,1,1,6,5,83.3,609,57,205,277,132,22,609,23,14,11,8,4,8,24,33.3,16,22,9,13,5,28,25,1,1.0,1.0,-0.7,-0.7,0.8,0.4,-1.0,-1.0,-0.8,0.05,0,1.8,0.3,0.8
Leicester City,Nott'ham Forest,2024-10-25,L,H,1,3,-2,0,0,1,65,0,28,6,25.0,31.0,24,15,61.5,20,6,30.0,11,55.0,511,2562,1339,35,15,19,0,0.0,5,0,0,16,9,2,2,0,0,0,0,0,8,0.0,11.5,11,0.09,1.0,1,9.1,21.5,0,0,0,0,0,45,3,21.2,518,615,84.2,10,57,10,2,55,8199,2974,263,294,89.5,209,230,90.9,28,55,50.9,0,0,0,,0,0,,0,0,0,564,51,10,2,3,26,23,6,4,1,0,0,8,509,15,6,16,8,18,16,1,1,0,0,0,5,2,40.0,740,69,188,376,184,24,740,14,10,8,4,2,5,20,25.0,15,15,6,9,6,20,26,1,0.8,0.8,-0.9,-0.9,0.7,1.0,0.2,0.2,0.3,0.07,0,1.7,0.34,-1.3
West Ham,Nott'ham Forest,2024-11-02,L,A,0,3,-3,0,0,0,46,0,21,2,38.1,33.3,15,13,53.6,20,10,50.0,7,35.0,300,1696,896,17,11,15,1,6.7,4,1,1,9,7,0,0,0,0,0,0,0,12,58.3,42.3,4,0.0,0.0,1,25.0,23.2,0,1,0,0,0,33,0,7.0,326,423,77.1,2,17,3,1,20,5783,1864,139,166,83.7,160,177,90.4,23,62,37.1,0,0,0,,0,0,,0,0,0,379,43,8,1,3,15,13,6,2,3,0,1,10,323,11,2,9,11,5,4,1,0,0,0,0,6,3,50.0,529,73,212,214,112,9,529,13,11,9,2,2,4,10,40.0,6,9,3,6,11,24,32,1,0.1,0.1,-2.0,-2.0,0.0,0.3,-0.1,-0.1,0.0,0.03,0,2.9,0.48,-0.1
