Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Newcastle Utd,Southampton,2024-08-17,W,H,1,0,1,0,0,1,23,0,16,2,81.3,52.4,7,9,43.8,7,1,14.3,5,71.4,108,694,373,8,6,24,1,4.2,2,1,0,15,16,2,1,0,0,0,0,1,10,100.0,65.6,3,0.33,1.0,1,33.3,13.2,0,1,0,0,0,31,1,20.5,128,207,61.8,3,6,4,0,15,2221,1134,72,93,77.4,36,53,67.9,15,50,30.0,0,0,0,,0,0,,0,0,0,163,43,18,0,1,12,11,3,3,0,0,1,6,127,6,1,10,8,6,2,1,0,0,2,1,3,3,100.0,317,84,150,101,72,12,317,16,14,8,7,1,7,13,53.8,6,24,11,13,4,20,39,0,0.3,0.3,-1.5,-1.5,0.3,0.2,0.7,0.7,0.7,0.08,0,0.4,0.14,0.4
Nott'ham Forest,Southampton,2024-08-24,W,A,1,0,1,0,0,1,36,0,14,0,85.7,55.9,11,4,73.3,20,7,35.0,11,55.0,280,1792,873,23,18,10,2,20.0,3,0,0,14,14,1,0,0,0,1,0,0,4,50.0,37.0,23,0.04,0.13,8,34.8,17.2,0,1,0,0,0,50,0,3.5,306,383,79.9,17,24,7,2,29,5229,1881,157,174,90.2,106,124,85.5,34,63,54.0,0,0,0,,0,0,,0,0,0,342,40,14,1,2,19,11,10,5,5,0,1,11,303,18,13,9,7,37,27,2,2,6,0,0,1,1,100.0,503,44,131,225,156,33,503,24,15,12,10,2,12,19,63.2,7,8,3,5,11,35,23,0,2.2,2.2,2.1,2.1,1.9,1.0,-1.2,-1.2,-1.9,0.11,0,0.0,0.02,0.0
Brentford,Southampton,2024-08-31,W,H,3,1,2,0,0,3,37,0,33,4,30.3,32.6,9,3,75.0,11,6,54.5,5,45.5,291,1435,739,20,5,14,0,0.0,2,0,0,10,7,5,3,1,0,1,0,0,4,50.0,31.0,20,0.15,0.43,7,35.0,14.5,0,1,0,0,0,40,1,17.0,331,398,83.2,16,27,9,2,38,5898,2424,156,175,89.1,135,154,87.7,33,51,64.7,0,0,0,,0,0,,0,0,0,358,39,9,2,3,13,22,2,1,0,0,1,3,328,5,9,12,10,37,29,2,2,2,1,1,6,5,83.3,521,79,214,152,160,41,521,17,13,9,2,6,5,12,41.7,7,16,5,11,11,28,24,0,2.8,2.8,1.3,1.3,1.5,1.4,0.2,0.2,-0.5,0.14,0,0.7,0.12,-0.3
Manchester Utd,Southampton,2024-09-14,W,A,3,0,3,0,0,3,56,0,32,3,21.9,28.9,7,4,63.6,25,14,56.0,7,28.0,466,2277,1169,27,13,6,0,0.0,4,0,0,14,11,6,4,2,0,0,0,0,3,0.0,9.7,20,0.15,0.3,10,50.0,17.4,0,0,0,1,0,45,0,13.0,576,640,90.0,17,41,15,1,54,9585,2992,283,308,91.9,264,279,94.6,27,44,61.4,1,0,1,100.0,0,1,100.0,0,0,0,601,39,11,5,3,9,17,7,2,0,3,0,8,569,13,8,10,14,39,36,2,0,0,0,1,3,2,100.0,744,56,203,374,174,34,744,22,13,8,10,4,13,17,76.5,4,8,2,6,12,34,12,0,2.6,2.6,1.5,2.3,2.6,2.2,0.4,0.4,0.4,0.13,0,1.0,0.09,1.0
Ipswich Town,Southampton,2024-09-21,D,A,1,1,0,0,0,1,47,0,24,5,4.2,21.0,18,8,69.2,17,8,47.1,8,47.1,305,1496,731,13,12,8,2,25.0,4,0,0,16,16,1,0,0,0,1,0,0,1,0.0,9.0,13,0.08,0.17,6,46.2,14.1,0,1,0,0,0,37,0,6.7,371,452,82.1,12,30,10,3,41,6314,2508,178,207,86.0,160,183,87.4,29,47,61.7,0,0,0,,0,0,,0,0,0,405,46,19,3,1,23,14,10,4,4,0,1,6,368,12,5,14,8,22,11,5,0,2,2,2,3,2,66.7,552,41,151,250,154,24,552,17,8,4,11,2,5,15,33.3,10,5,2,3,13,30,15,0,1.6,1.6,-0.8,-0.8,1.6,1.1,-0.6,-0.6,-1.6,0.13,0,1.2,0.41,0.2
Bournemouth,Southampton,2024-09-30,W,H,3,1,2,0,0,3,40,0,20,3,35.0,36.0,9,16,36.0,17,8,47.1,5,29.4,306,1424,669,16,13,11,1,9.1,2,0,0,19,11,5,1,1,1,1,1,0,4,25.0,22.0,14,0.21,0.5,6,42.9,18.8,0,1,0,0,0,57,1,12.3,321,420,76.4,11,31,6,1,36,6009,2080,124,152,81.6,159,179,88.8,34,70,48.6,0,0,0,,0,0,,0,0,0,376,43,12,2,2,19,19,6,4,1,0,1,7,314,13,5,11,15,25,20,1,1,1,1,1,3,2,66.7,534,41,159,227,158,25,534,20,8,6,11,3,8,15,53.3,7,15,3,12,11,31,18,0,1.3,1.3,0.7,0.7,1.3,0.7,1.7,1.7,1.7,0.1,0,1.3,0.43,0.3
Arsenal,Southampton,2024-10-05,W,H,3,1,2,0,0,3,59,0,25,3,20.0,26.2,9,14,39.1,20,14,70.0,5,25.0,389,2074,1175,29,15,4,0,0.0,0,0,0,10,9,3,3,0,0,0,0,0,1,0.0,9.0,29,0.1,0.5,6,20.7,14.6,0,1,0,0,0,46,4,23.5,505,590,85.6,22,47,15,2,54,8651,2466,227,242,93.8,244,271,90.0,32,59,54.2,0,0,0,,0,0,,0,0,0,546,43,9,1,1,32,18,13,12,0,0,1,11,504,15,17,7,10,52,40,5,2,3,1,1,2,1,50.0,677,27,111,276,295,57,677,16,12,2,7,7,7,13,53.8,6,8,4,4,9,25,10,0,2.8,2.8,2.2,2.2,2.3,1.8,0.2,0.2,-0.3,0.1,0,0.6,0.32,-0.4
Leicester City,Southampton,2024-10-19,W,A,3,2,1,1,0,2,58,1,27,8,33.3,35.1,7,12,36.8,20,7,35.0,13,65.0,338,1834,957,22,11,16,2,12.5,3,0,0,10,10,5,2,1,0,1,1,0,7,0.0,20.7,17,0.12,0.67,3,17.6,16.5,0,2,1,0,0,37,1,11.5,452,546,82.8,17,51,15,2,55,7867,2763,200,225,88.9,190,213,89.2,46,71,64.8,0,0,0,,0,0,,0,0,0,501,43,10,2,2,27,17,6,3,1,0,2,11,447,11,7,6,8,35,22,5,3,2,3,0,7,5,71.4,669,58,156,301,214,38,668,30,17,11,12,7,12,18,66.7,6,6,2,4,5,35,23,0,3.1,2.4,0.9,0.3,2.4,1.5,-0.1,-0.4,-0.4,0.14,0,2.6,0.37,0.6
Manchester City,Southampton,2024-10-26,W,H,1,0,1,0,0,1,57,0,20,2,25.0,29.4,6,8,42.9,12,9,75.0,2,16.7,526,2460,1383,38,20,1,0,0.0,1,0,0,9,9,2,2,0,0,0,0,0,3,0.0,28.3,22,0.05,0.14,7,31.8,16.6,0,1,0,0,0,32,1,17.0,595,660,90.2,19,48,22,3,65,9155,2147,317,333,95.2,233,250,93.2,28,47,59.6,0,0,0,,0,0,,0,0,0,620,39,11,2,2,29,12,12,11,0,0,1,8,592,20,16,3,12,40,33,4,1,1,1,0,2,2,100.0,735,30,84,237,418,52,735,12,7,2,6,4,9,15,60.0,6,6,1,5,10,22,14,0,2.9,2.9,2.7,2.7,2.8,2.7,-1.9,-1.9,-1.8,0.13,0,0.1,0.03,0.1
Everton,Southampton,2024-11-02,L,A,0,1,-1,0,0,0,35,0,26,3,50.0,38.7,5,7,41.7,17,11,64.7,4,23.5,202,1088,580,17,17,13,0,0.0,2,0,0,18,14,0,0,0,0,0,0,0,7,42.9,43.7,16,0.0,0.0,5,31.3,17.9,2,1,0,0,0,46,0,7.0,263,340,77.4,9,21,5,3,24,4987,1871,113,129,87.6,116,131,88.5,31,70,44.3,0,0,0,,0,0,,0,0,0,297,42,15,0,2,19,12,6,5,0,0,1,7,261,17,5,11,10,28,12,5,4,2,4,1,2,1,50.0,437,47,142,181,123,24,437,21,8,12,6,3,12,24,50.0,12,6,2,4,8,29,17,0,1.6,1.6,0.8,0.8,1.4,0.9,-1.6,-1.6,-1.4,0.1,2,0.8,0.4,-0.2
