Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Leicester City,Tottenham,2024-08-19,D,H,1,1,0,0,0,1,30,0,21,5,52.4,46.0,8,9,47.1,19,7,36.8,9,47.4,212,1128,483,12,5,23,0,0.0,1,0,0,11,12,2,2,0,0,0,0,0,6,66.7,43.8,7,0.14,0.33,3,42.9,16.4,0,2,0,0,0,37,0,15.5,237,313,75.7,5,20,7,4,23,4016,1704,125,145,86.2,91,105,86.7,16,49,32.7,0,0,0,,0,0,,0,0,0,272,39,13,3,1,15,16,2,0,2,0,2,5,235,5,2,14,14,13,9,1,1,1,1,0,6,5,83.3,454,89,216,171,73,10,454,22,15,16,3,3,11,24,45.8,13,20,6,14,10,32,42,0,1.0,1.0,-0.1,-0.1,0.9,1.0,0.0,0.0,0.1,0.15,0,1.9,0.32,0.9
Everton,Tottenham,2024-08-24,L,A,0,4,-4,0,0,0,30,0,27,2,63.0,42.7,14,11,56.0,22,5,22.7,16,72.7,209,1008,417,10,7,14,0,0.0,0,0,0,15,11,0,0,0,0,0,0,0,6,50.0,48.2,10,0.0,0.0,1,10.0,10.0,0,4,0,0,0,43,2,14.8,211,287,73.5,8,16,5,2,22,4422,1978,84,99,84.8,90,108,83.3,36,63,57.1,0,0,0,,0,0,,0,1,0,241,42,11,2,0,15,15,5,3,2,0,4,8,209,7,4,9,6,17,7,4,1,4,1,0,7,3,42.9,401,61,164,153,90,23,401,29,19,16,9,4,13,20,65.0,7,8,1,7,15,44,16,1,1.0,1.0,-1.5,-1.5,0.9,0.9,-1.0,-1.0,-0.9,0.1,0,2.6,0.37,-1.4
Newcastle Utd,Tottenham,2024-09-01,W,H,2,1,1,0,0,2,35,0,22,5,68.2,47.7,9,13,40.9,20,8,40.0,10,50.0,217,1081,438,9,4,22,1,4.5,4,0,0,16,13,4,3,1,0,0,0,0,9,66.7,53.4,9,0.22,0.67,3,33.3,14.0,0,2,0,0,1,40,2,15.7,207,296,69.9,6,15,4,1,13,3548,1659,105,123,85.4,69,83,83.1,25,60,41.7,0,0,0,,0,0,,0,0,1,243,51,17,1,1,12,16,7,5,2,0,2,12,206,4,4,11,12,15,10,3,0,1,0,1,6,6,83.3,443,92,217,153,79,13,443,17,8,7,5,5,13,23,56.5,10,22,7,15,14,31,32,1,1.8,1.8,0.6,0.6,1.8,1.4,0.2,0.2,0.2,0.2,0,1.5,0.26,1.5
Arsenal,Tottenham,2024-09-15,W,A,1,0,1,0,0,1,37,0,31,6,45.2,34.9,14,14,50.0,22,12,54.5,8,36.4,160,958,500,12,4,25,2,8.0,3,0,0,10,12,2,0,1,0,1,0,0,7,85.7,52.1,7,0.14,0.25,4,57.1,12.1,0,3,0,0,0,32,2,12.4,235,320,73.4,6,16,6,2,17,4331,1823,94,116,81.0,102,119,85.7,27,55,49.1,0,0,0,,0,0,,0,0,0,272,45,15,1,2,13,16,6,4,0,2,3,11,233,4,7,7,12,12,9,1,1,1,0,0,5,5,100.0,439,73,193,150,99,20,439,21,12,14,3,4,13,20,65.0,7,16,5,11,9,30,32,1,0.7,0.7,0.0,0.0,0.7,0.6,0.3,0.3,0.3,0.11,0,0.3,0.06,0.3
Brentford,Tottenham,2024-09-21,L,A,1,3,-2,0,0,1,52,0,59,4,47.5,40.2,7,13,35.0,17,8,47.1,8,47.1,322,1539,663,10,9,16,1,6.3,1,0,0,9,11,2,2,0,0,0,0,0,10,20.0,25.6,6,0.17,0.17,6,100.0,14.4,0,2,0,0,0,54,1,11.0,411,523,78.6,6,20,5,1,26,7426,2653,187,209,89.5,157,187,84.0,53,99,53.5,0,0,0,,0,0,,0,0,0,475,46,12,1,6,12,16,4,3,0,0,2,7,407,9,1,10,10,9,8,0,1,0,0,0,9,6,66.7,654,137,355,186,116,17,654,27,16,17,8,2,11,22,50.0,11,27,10,17,11,38,27,3,0.8,0.8,-2.7,-2.7,0.8,0.8,0.2,0.2,0.2,0.13,0,1.9,0.22,-1.1
Manchester Utd,Tottenham,2024-09-29,L,H,0,3,-3,0,0,0,39,0,25,9,36.0,32.6,6,8,42.9,9,2,22.2,6,66.7,308,1440,624,7,6,10,1,10.0,5,1,0,16,11,0,0,0,0,0,0,0,10,60.0,45.7,11,0.0,0.0,2,18.2,15.1,0,2,0,0,0,43,0,5.0,336,436,77.1,9,30,5,2,32,5950,2476,182,202,90.1,114,138,82.6,35,70,50.0,0,0,0,,0,0,,0,1,0,391,43,15,4,3,21,9,5,5,0,0,2,16,333,6,6,14,1,20,18,2,0,0,0,0,10,7,70.0,555,85,251,179,129,24,555,27,15,17,7,3,12,18,66.7,6,14,6,8,17,44,16,0,1.0,1.0,-3.4,-3.4,0.8,0.5,-1.0,-1.0,-0.8,0.09,0,3.4,0.35,0.4
Brighton,Tottenham,2024-10-06,W,H,3,2,1,0,0,3,41,0,26,4,46.2,39.4,7,8,46.7,24,7,29.2,13,54.2,287,1590,858,18,11,11,0,0.0,2,0,0,14,10,6,4,1,1,0,0,0,9,22.2,23.4,11,0.27,0.75,4,36.4,14.8,0,2,0,0,0,42,1,10.7,319,397,80.4,8,18,10,4,38,5407,2071,152,165,92.1,139,161,86.3,22,48,45.8,0,0,0,,0,0,,0,0,0,355,40,12,1,2,15,12,4,3,0,0,2,10,317,11,8,10,7,21,16,2,3,0,0,0,3,1,33.3,517,91,206,194,121,25,517,12,7,5,5,2,9,23,39.1,14,15,3,12,11,23,20,2,1.8,1.8,0.4,0.4,0.9,0.5,1.2,1.2,0.1,0.16,0,1.3,0.43,-0.7
West Ham,Tottenham,2024-10-19,L,A,1,4,-3,0,0,1,43,0,29,4,55.2,38.0,7,9,43.8,33,15,45.5,15,45.5,247,1250,657,16,11,19,2,10.5,3,1,0,15,9,2,1,0,0,1,0,0,11,63.6,45.8,11,0.09,0.33,3,27.3,16.9,0,1,0,0,1,34,4,17.9,317,400,79.3,8,23,6,2,29,6046,2202,129,148,87.2,132,156,84.6,50,79,63.3,0,0,0,,0,0,,0,0,1,349,50,12,0,1,12,17,5,3,2,0,1,7,315,11,3,13,10,20,15,0,3,2,0,0,7,4,42.9,530,80,209,209,123,20,530,33,25,19,9,5,18,25,72.0,7,10,6,4,11,44,28,1,0.8,0.8,-1.1,-1.1,0.7,0.9,0.2,0.2,-0.7,0.07,0,0.8,0.11,-2.2
Crystal Palace,Tottenham,2024-10-27,W,H,1,0,1,0,0,1,34,0,23,3,82.6,53.2,21,15,58.3,12,4,33.3,7,58.3,171,1017,491,15,6,21,2,9.5,4,0,0,16,12,2,2,0,0,0,0,0,9,100.0,69.1,14,0.07,0.17,6,42.9,19.6,1,4,0,0,0,53,0,6.0,181,296,61.1,8,26,8,3,33,3674,1896,81,95,85.3,58,80,72.5,35,84,41.7,0,0,0,,0,0,,0,0,0,249,43,12,1,2,29,13,8,4,1,0,4,10,179,6,5,12,12,22,15,2,0,2,2,1,3,3,100.0,450,72,145,147,161,22,450,32,19,13,13,6,16,25,64.0,9,18,3,15,11,43,38,0,0.8,0.8,0.1,0.1,0.5,0.8,0.2,0.2,0.5,0.06,1,0.4,0.15,0.4
Aston Villa,Tottenham,2024-11-03,L,A,1,4,-3,0,0,1,49,0,30,6,26.7,34.9,11,12,47.8,25,14,56.0,10,40.0,300,1799,891,13,11,18,3,16.7,0,0,0,14,14,1,0,0,0,1,0,0,12,41.7,35.0,12,0.08,1.0,1,8.3,16.2,0,0,0,0,0,36,0,5.5,342,420,81.4,11,18,7,3,24,6241,2425,142,163,87.1,159,178,89.3,34,57,59.6,0,0,0,,0,0,,1,0,0,369,51,14,2,1,12,16,4,3,1,0,0,12,338,11,3,11,7,20,14,1,1,2,2,0,6,2,33.3,525,88,248,196,87,15,525,19,11,15,4,0,12,17,70.6,5,9,2,7,11,30,26,3,1.8,1.8,-0.7,-0.7,1.1,0.5,-0.8,-0.8,-1.1,0.15,0,2.8,0.47,-1.2
