Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Aston Villa,West Ham,2024-08-17,W,A,2,1,1,0,0,2,48,0,31,4,48.4,40.5,12,14,46.2,15,8,53.3,7,46.7,310,1892,1152,23,12,19,1,5.3,2,0,0,11,18,3,2,1,0,0,0,0,6,33.3,33.3,15,0.13,0.67,3,20.0,15.2,0,1,0,1,0,38,1,14.7,348,433,80.4,12,28,6,0,25,6106,2145,154,170,90.6,160,185,86.5,27,57,47.4,1,1,0,0.0,1,0,0.0,0,0,0,383,49,19,4,1,15,19,3,3,0,0,1,11,344,12,4,15,7,23,16,2,2,3,0,0,3,2,100.0,561,67,192,237,139,21,561,24,15,8,13,3,6,10,60.0,4,13,4,9,7,31,22,0,2.0,2.0,-0.3,0.5,1.7,0.9,0.0,0.0,0.3,0.14,0,1.3,0.23,0.3
Crystal Palace,West Ham,2024-08-24,L,H,0,2,-2,0,0,0,58,0,22,4,54.5,39.5,13,23,36.1,14,3,21.4,11,78.6,386,1846,924,16,11,8,0,0.0,1,0,0,9,16,0,0,0,0,0,0,0,10,0.0,21.6,14,0.0,0.0,2,14.3,19.5,0,3,0,0,0,47,0,2.0,478,596,80.2,13,43,5,2,49,8964,3000,181,217,83.4,255,291,87.6,40,78,51.3,0,0,0,,0,0,,0,0,0,541,52,19,2,3,20,17,3,2,0,0,3,6,473,11,7,16,9,26,23,2,0,1,0,0,3,1,33.3,709,64,234,314,164,22,709,23,11,9,10,4,9,23,39.1,14,11,5,6,9,32,12,0,1.3,1.3,0.0,0.0,1.3,0.9,-1.3,-1.3,-1.3,0.1,0,0.9,0.3,-1.1
Manchester City,West Ham,2024-08-31,W,A,3,1,2,0,0,3,67,0,32,2,18.8,28.1,7,9,43.8,19,12,63.2,3,15.8,461,2857,1695,39,20,10,0,0.0,2,0,0,3,10,5,4,0,1,0,0,0,6,16.7,21.2,23,0.13,0.38,8,34.8,15.0,1,1,0,0,1,43,2,24.0,691,762,90.7,20,67,19,1,77,11460,3117,361,389,92.8,265,288,92.0,58,70,82.9,0,0,0,,0,0,,0,0,1,722,39,9,4,2,22,11,11,2,3,1,1,9,681,20,16,7,8,42,31,5,2,3,1,0,2,2,50.0,857,74,195,362,303,57,857,15,12,8,4,3,5,15,33.3,10,14,3,11,7,22,19,1,3.0,3.0,2.3,2.3,2.7,2.7,0.0,0.0,0.3,0.13,1,0.2,0.09,0.2
Fulham,West Ham,2024-09-14,D,H,1,1,0,0,0,1,54,0,29,3,17.2,27.4,20,10,66.7,29,12,41.4,9,31.0,335,1562,886,22,13,12,0,0.0,2,0,0,15,18,2,2,0,0,0,0,0,6,50.0,37.3,21,0.05,0.2,5,23.8,16.4,2,3,0,0,0,44,1,12.7,351,451,77.8,16,24,13,5,37,6501,2325,139,157,88.5,164,197,83.2,38,67,56.7,0,0,0,,0,0,,0,0,0,391,57,18,1,5,22,28,3,0,3,0,3,9,349,13,4,12,9,35,24,2,0,5,3,1,3,2,66.7,592,77,197,232,172,29,592,30,19,13,12,5,6,15,40.0,9,14,3,11,13,43,23,0,1.5,1.5,0.8,0.8,1.2,1.6,-0.5,-0.5,-0.2,0.07,2,0.9,0.29,-0.1
Chelsea,West Ham,2024-09-21,W,A,3,0,3,0,0,3,47,0,36,8,33.3,35.8,10,9,52.6,19,6,31.6,5,26.3,376,1893,1077,24,8,21,3,14.3,2,0,0,9,17,6,6,0,0,0,0,0,7,14.3,17.9,12,0.25,0.6,5,41.7,15.0,0,1,0,0,0,37,2,12.1,410,479,85.6,12,24,4,1,22,7176,2725,182,195,93.3,184,203,90.6,33,58,56.9,0,0,0,,0,0,,0,0,0,439,39,18,6,1,8,8,5,3,0,0,1,6,409,8,14,9,11,22,22,0,0,0,0,0,7,7,100.0,598,107,296,202,105,31,598,19,9,14,5,0,11,20,55.0,9,9,5,4,8,27,35,1,2.2,2.2,1.3,1.3,2.2,1.3,0.8,0.8,0.8,0.18,0,0.8,0.12,0.8
Brentford,West Ham,2024-09-28,D,H,1,1,0,0,0,1,57,0,38,3,34.2,39.3,16,17,48.5,16,4,25.0,9,56.3,402,2181,1062,18,10,14,1,7.1,2,0,0,2,8,2,2,0,0,0,0,0,13,15.4,20.6,8,0.13,0.33,3,37.5,20.7,1,1,0,0,0,39,1,13.7,448,578,77.5,4,43,9,3,37,7843,2607,211,244,86.5,189,227,83.3,44,86,51.2,0,0,0,,0,0,,0,0,0,525,52,12,0,2,28,18,7,3,1,0,1,11,440,10,3,17,8,15,13,0,0,0,2,0,3,2,66.7,700,89,233,279,192,22,700,25,15,10,5,10,8,18,44.4,10,12,5,7,10,35,19,0,0.4,0.4,-0.6,-0.6,0.2,0.8,0.6,0.6,0.8,0.05,1,1.3,0.43,0.3
Ipswich Town,West Ham,2024-10-05,L,A,1,4,-3,0,0,1,48,0,26,9,23.1,27.9,16,10,61.5,18,11,61.1,6,33.3,400,2113,1106,21,13,9,6,66.7,1,0,0,6,10,0,0,0,0,0,0,0,5,40.0,35.4,9,0.11,0.5,2,22.2,17.2,0,1,0,0,0,32,0,8.7,393,479,82.0,8,35,6,1,35,6555,2371,202,220,91.8,150,178,84.3,33,54,61.1,0,0,0,,0,0,,0,0,0,424,54,15,1,4,15,24,5,3,0,1,1,11,391,13,1,20,13,16,12,2,1,0,1,0,12,8,66.7,568,65,166,281,123,14,568,15,11,4,9,2,8,16,50.0,8,8,5,3,6,21,14,2,0.6,0.6,-2.9,-2.9,0.6,0.6,0.4,0.4,-0.6,0.07,0,3.3,0.28,-0.7
Tottenham,West Ham,2024-10-19,W,H,4,1,3,0,0,3,57,0,28,2,3.6,21.6,9,7,56.3,26,7,26.9,18,69.2,433,2398,1206,22,18,9,2,22.2,1,0,0,10,15,5,5,0,0,0,0,0,7,0.0,13.1,22,0.14,0.43,7,31.8,15.8,0,2,0,0,0,49,0,11.7,443,527,84.1,19,48,14,2,62,7522,2425,201,228,88.2,198,222,89.2,33,54,61.1,0,0,0,,0,0,,0,0,0,469,56,16,1,0,28,18,13,5,3,0,2,7,438,18,5,12,15,37,33,2,1,0,1,0,3,2,66.7,650,52,197,236,225,41,650,25,16,10,10,5,15,30,50.0,15,9,4,5,5,30,16,0,1.9,1.9,1.1,1.1,1.7,1.6,1.1,1.1,1.3,0.09,0,0.9,0.29,-0.1
Manchester Utd,West Ham,2024-10-27,L,A,1,2,-1,0,0,1,58,0,31,6,32.3,30.7,14,13,51.9,14,7,50.0,7,50.0,417,2033,1008,17,15,15,1,6.7,1,0,0,7,6,1,0,0,0,1,0,0,6,16.7,28.0,18,0.06,0.2,5,27.8,18.0,1,3,0,1,0,41,0,11.0,486,595,81.7,14,46,10,3,47,8131,2578,245,279,87.8,174,202,86.1,52,86,60.5,1,1,0,0.0,1,0,0.0,0,0,0,546,46,8,6,6,24,24,5,3,2,0,3,9,483,15,7,12,4,35,28,1,3,1,2,0,3,1,66.7,714,76,210,318,188,32,714,19,11,6,10,3,6,16,37.5,10,13,1,12,6,25,31,1,2.3,2.3,-0.5,0.2,2.1,1.2,-1.3,-1.3,-1.1,0.13,1,2.0,0.37,0.0
Nott'ham Forest,West Ham,2024-11-02,W,H,3,0,3,0,0,3,54,0,17,2,70.6,43.3,13,15,46.4,12,6,50.0,4,33.3,369,1640,926,23,12,10,0,0.0,1,0,0,7,8,5,2,1,0,0,1,1,3,66.7,43.7,19,0.16,0.5,6,31.6,18.7,1,1,0,0,0,41,0,14.0,397,489,81.2,14,32,8,0,45,6312,2296,225,249,90.4,122,148,82.4,34,63,54.0,0,0,0,,0,0,,0,0,0,445,43,9,2,1,20,20,10,3,5,0,1,8,396,12,9,17,9,34,22,5,2,2,2,1,1,1,100.0,606,36,169,209,231,31,606,18,12,10,6,2,7,17,41.2,10,7,1,6,6,24,25,0,2.2,2.2,2.0,2.0,1.7,1.5,0.8,0.8,0.3,0.11,1,0.0,0.03,0.0
