Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Arsenal,Wolves,2024-08-17,W,H,2,0,2,0,0,2,53,0,31,5,22.6,30.1,17,13,56.7,22,9,40.9,10,45.5,340,1745,749,18,8,11,1,9.1,2,0,0,17,14,4,3,1,0,0,0,0,6,83.3,55.5,18,0.11,0.33,6,33.3,17.3,0,0,0,0,0,30,0,9.0,382,458,83.4,17,24,17,2,53,6872,2400,163,184,88.6,190,213,89.2,28,51,54.9,0,0,0,,0,0,,0,0,0,410,48,15,0,4,15,18,8,6,0,0,0,7,376,8,10,13,9,35,29,3,1,2,0,0,3,3,100.0,569,63,190,229,156,42,569,18,13,9,6,3,8,16,50.0,8,6,1,5,8,26,16,2,1.2,1.2,0.8,0.8,1.2,0.9,0.8,0.8,0.8,0.07,0,0.2,0.06,0.2
Chelsea,Wolves,2024-08-25,W,A,6,2,4,0,0,6,60,0,37,5,18.9,27.3,5,8,38.5,19,9,47.4,9,47.4,406,2221,1197,26,17,8,2,25.0,3,0,0,13,13,11,8,1,1,1,0,0,11,27.3,30.4,14,0.43,0.75,8,57.1,15.4,1,1,0,0,0,39,2,15.7,445,525,84.8,12,26,7,0,32,7681,2530,206,227,90.7,189,207,91.3,37,63,58.7,0,0,0,,0,0,,0,0,0,477,47,15,1,2,11,13,5,3,0,0,1,10,440,17,8,13,10,27,21,1,3,1,1,0,4,2,50.0,623,70,231,253,144,20,623,14,11,4,8,2,8,16,50.0,8,11,2,9,9,23,20,2,1.6,1.6,-0.3,-0.3,1.5,0.6,4.4,4.4,3.5,0.12,1,0.8,0.19,-1.2
Nott'ham Forest,Wolves,2024-08-31,D,H,1,1,0,0,0,1,52,0,14,1,107.1,63.6,14,16,46.7,21,8,38.1,8,38.1,275,1377,724,25,7,6,0,0.0,3,0,0,15,17,2,0,1,0,0,1,0,7,0.0,9.6,16,0.06,0.2,5,31.3,14.6,1,4,0,0,0,44,0,5.7,312,412,75.7,15,34,6,1,38,5668,2317,140,162,86.4,132,167,79.0,35,66,53.0,0,0,0,,0,0,,0,0,0,358,50,17,0,1,23,17,7,4,3,0,4,10,312,7,10,18,15,30,21,3,2,1,2,1,2,1,50.0,525,44,163,226,140,36,525,17,12,7,10,0,6,14,42.9,8,9,3,6,10,27,13,0,1.0,1.0,0.3,0.3,1.0,1.2,0.0,0.0,0.0,0.06,1,0.6,0.29,-0.4
Newcastle Utd,Wolves,2024-09-15,W,A,2,1,1,0,0,2,51,0,28,3,32.1,37.0,13,8,61.9,22,12,54.5,8,36.4,398,2086,1057,26,11,13,1,7.7,3,0,0,6,16,4,3,0,1,0,0,0,6,0.0,19.2,14,0.14,0.33,6,42.9,17.9,0,2,0,0,0,33,2,17.0,434,505,85.9,13,44,8,1,47,7391,2621,208,229,90.8,194,216,89.8,29,48,60.4,0,0,0,,0,0,,0,0,0,452,51,20,1,3,13,16,7,3,1,0,2,9,429,11,6,6,15,27,19,1,5,1,1,0,5,4,80.0,609,62,189,251,172,20,609,14,9,6,7,1,8,23,34.8,15,10,1,9,5,19,25,1,1.5,1.5,0.3,0.3,1.5,1.2,0.5,0.5,0.5,0.11,0,1.3,0.25,0.3
Aston Villa,Wolves,2024-09-21,W,H,3,1,2,0,0,3,53,0,29,4,13.8,25.1,7,10,41.2,24,9,37.5,11,45.8,374,1842,1000,23,17,10,0,0.0,3,0,0,11,15,5,5,0,0,0,0,0,1,0.0,19.0,9,0.33,1.0,3,33.3,13.7,1,1,0,0,0,36,2,16.3,412,480,85.8,7,39,12,2,54,6613,2226,205,222,92.3,179,198,90.4,21,37,56.8,0,0,0,,0,0,,0,0,0,439,40,20,2,2,17,11,6,5,0,0,1,11,406,17,8,14,12,15,12,2,0,0,1,0,4,3,75.0,584,40,123,277,186,28,584,15,10,7,6,2,8,15,53.3,7,11,5,6,5,20,15,1,1.7,1.7,1.2,1.2,1.6,1.7,1.3,1.3,1.4,0.19,1,1.1,0.28,0.1
Liverpool,Wolves,2024-09-28,W,A,2,1,1,1,0,1,55,1,27,3,18.5,28.1,10,10,50.0,12,4,33.3,7,58.3,317,1753,887,20,16,13,1,7.7,3,0,0,8,15,4,3,0,0,0,1,0,5,0.0,13.8,9,0.11,0.2,5,55.6,18.0,1,2,1,0,0,45,2,14.6,476,574,82.9,7,30,10,3,42,8170,2729,211,238,88.7,225,252,89.3,30,61,49.2,0,0,0,,0,0,,0,0,0,526,46,15,0,3,21,14,10,5,3,0,2,6,470,16,10,9,7,16,12,1,0,1,2,0,3,2,66.7,655,57,202,295,162,35,654,10,9,3,5,2,4,11,36.4,7,11,2,9,7,17,12,1,2.5,1.7,1.9,1.1,1.1,1.2,-0.5,-0.7,-0.1,0.19,1,1.1,0.37,0.1
Brentford,Wolves,2024-10-05,W,H,5,3,2,1,0,4,44,1,35,2,40.0,38.4,22,20,52.4,16,5,31.3,8,50.0,247,1420,655,17,10,16,1,6.3,2,0,0,9,9,9,7,1,0,0,1,0,10,50.0,42.3,18,0.22,0.36,11,61.1,13.0,1,5,1,0,0,47,0,5.8,308,410,75.1,14,26,9,4,35,6102,2632,135,160,84.4,135,169,79.9,37,67,55.2,0,0,0,,0,0,,0,0,0,363,42,7,2,0,27,11,10,10,0,0,5,5,306,10,9,15,9,33,19,7,1,4,2,0,6,3,50.0,538,83,223,166,153,42,537,16,8,6,7,3,9,11,81.8,2,13,4,9,6,22,31,0,4.2,3.4,3.1,2.3,2.4,1.9,0.8,0.6,0.6,0.19,1,1.4,0.24,-1.6
Manchester City,Wolves,2024-10-20,W,A,2,1,1,0,0,2,77,0,12,3,0.0,21.3,13,14,48.1,30,10,33.3,12,40.0,601,3597,2182,65,42,3,0,0.0,1,0,0,5,8,4,2,1,0,1,0,0,3,0.0,18.0,22,0.09,0.29,7,31.8,18.3,2,1,0,0,0,43,3,22.0,686,795,86.3,19,57,26,1,100,10077,2543,389,424,91.7,251,284,88.4,25,42,59.5,0,0,0,,0,0,,0,0,0,742,52,9,1,0,40,20,18,10,3,0,1,23,681,42,23,10,14,42,27,6,3,4,2,0,2,1,50.0,890,14,82,269,546,80,890,14,10,2,6,6,4,8,50.0,4,6,0,6,3,17,5,0,1.6,1.6,0.8,0.8,1.5,2.5,0.4,0.4,0.5,0.07,2,1.3,0.64,0.3
Brighton,Wolves,2024-10-26,D,H,2,2,0,0,0,2,51,0,36,6,19.4,30.4,11,15,42.3,24,11,45.8,12,50.0,366,1939,1214,21,25,15,0,0.0,3,0,0,12,10,3,3,0,0,0,0,0,6,66.7,43.8,19,0.11,0.33,6,31.6,17.5,1,2,0,0,0,55,1,17.3,417,500,83.4,12,23,14,3,50,7676,2516,186,207,89.9,178,197,90.4,49,81,60.5,0,0,0,,0,0,,0,1,0,456,42,10,3,2,26,14,9,7,0,0,2,10,411,25,8,20,12,27,18,3,2,2,2,0,7,5,71.4,637,82,185,272,192,32,637,17,10,6,8,3,9,21,42.9,12,15,5,10,9,26,22,1,1.3,1.3,0.0,0.0,1.0,0.9,0.7,0.7,1.0,0.07,1,1.7,0.24,-0.3
Crystal Palace,Wolves,2024-11-02,D,A,2,2,0,0,0,2,43,0,23,3,39.1,35.0,15,13,53.6,21,9,42.9,10,47.6,241,1422,790,17,8,11,1,9.1,2,0,0,9,6,3,0,1,0,1,1,0,5,40.0,39.2,19,0.11,0.33,6,31.6,13.3,0,1,0,0,0,42,1,18.3,299,403,74.2,12,32,4,3,31,5565,2033,118,141,83.7,147,180,81.7,29,62,46.8,0,0,0,,0,0,,0,0,0,358,44,11,0,0,23,19,6,5,0,0,1,9,297,8,4,18,15,29,18,3,1,6,1,0,6,4,66.7,546,53,158,246,148,28,546,14,7,5,5,4,5,19,26.3,14,14,1,13,9,23,28,1,2.4,2.4,0.9,0.9,2.0,0.5,-0.4,-0.4,-1.0,0.13,0,1.7,0.29,-0.3
