Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Atalanta,Lecce,2024-08-19,W,A,4,0,4,3,1,1,0,52,19,4,36.8,33.1,20,23,46.5,17,6,35.3,8,47.1,331,1751,897,16,11,15,0,0.0,2,0,0,24,10,7,5,0,0,1,1,0,14,92.9,56.9,10,0.3,0.6,5,50.0,13.4,0,1,1,0,0,46,1,17.5,411,498,82.5,7,42,7,3,37,7691,2193,170,193,88.1,185,207,89.4,54,86,62.8,0,0,0,,0,0,,0,0,0,456,41,10,1,4,15,13,3,0,3,0,1,6,408,11,3,16,11,18,13,1,0,3,1,0,4,4,100.0,595,49,165,334,101,19,594,10,6,7,3,0,2,6,33.3,4,7,4,3,12,22,16,0,1.7,0.9,0.2,-0.6,0.6,0.7,2.3,2.1,1.4,0.1,0,0.7,0.19,0.7
Atalanta,Torino,2024-08-25,L,A,1,2,-1,1,0,1,1,58,24,4,12.5,29.8,17,9,65.4,6,2,33.3,4,66.7,342,1841,959,16,18,9,0,0.0,4,0,0,14,11,2,2,0,0,0,0,0,8,12.5,22.9,24,0.04,0.13,8,33.3,16.0,1,0,1,0,0,35,0,12.7,427,509,83.9,18,39,18,6,52,7637,2551,183,203,90.1,198,231,85.7,42,64,65.6,0,0,0,,0,0,,0,0,0,464,45,10,0,5,26,18,6,1,2,0,0,3,424,18,7,11,9,43,32,1,2,4,2,2,6,4,66.7,596,56,164,225,210,40,595,8,5,3,4,1,5,8,62.5,3,10,3,7,6,14,9,1,3.0,2.2,0.7,-0.1,1.8,1.2,-2.0,-1.2,-0.8,0.1,1,2.0,0.4,0.0
Atalanta,Inter,2024-08-30,L,A,0,4,-4,0,0,0,0,45,21,6,28.6,34.9,8,8,50.0,12,5,41.7,7,58.3,344,1805,905,22,16,7,0,0.0,2,0,0,15,6,0,0,0,0,0,0,0,5,100.0,64.6,11,0.0,0.0,1,9.1,17.1,0,1,0,0,1,25,1,35.0,396,456,86.8,9,32,9,3,44,6666,2029,175,188,93.1,192,207,92.8,25,46,54.3,0,0,0,,0,0,,0,1,1,413,42,11,1,1,19,17,4,2,0,0,1,8,393,16,5,14,10,18,16,0,1,1,0,0,4,1,0.0,537,53,139,211,193,18,537,13,9,4,8,1,7,11,63.6,4,7,4,3,5,18,11,1,1.4,1.4,0.1,0.1,0.6,1.1,-1.4,-1.4,-0.6,0.12,0,1.9,0.49,-1.1
Atalanta,Fiorentina,2024-09-15,W,H,3,2,1,3,0,0,0,51,27,3,37.0,34.0,22,17,56.4,15,6,40.0,8,53.3,296,1505,760,15,11,11,2,18.2,2,0,0,16,15,6,5,0,1,0,0,0,6,100.0,63.7,13,0.23,0.43,7,53.8,13.6,0,2,0,0,0,38,0,4.7,365,457,79.9,12,27,9,4,38,6350,2376,149,163,91.4,166,189,87.8,34,70,48.6,0,0,0,,0,0,,0,1,0,402,53,19,1,3,14,20,5,2,2,0,2,6,359,11,5,17,9,24,20,0,4,0,0,0,5,3,60.0,561,45,179,276,115,20,561,14,8,6,5,3,8,15,53.3,7,16,3,13,5,19,18,1,1.7,1.7,-0.1,-0.1,1.6,1.0,1.3,1.3,1.4,0.13,0,1.8,0.41,-0.2
Atalanta,Como,2024-09-24,L,H,2,3,-1,1,1,1,0,59,21,2,38.1,36.0,22,13,62.9,25,10,40.0,11,44.0,448,2434,1267,22,27,6,1,16.7,1,0,0,12,16,3,2,0,0,0,1,0,7,57.1,42.9,7,0.14,0.25,4,57.1,20.0,0,0,1,0,1,41,2,16.8,487,583,83.5,3,50,11,2,71,9503,2837,162,186,87.1,276,310,89.0,47,72,65.3,0,0,0,,0,0,,0,0,1,531,52,16,0,4,29,19,6,3,3,0,0,7,484,27,3,13,18,15,12,0,2,0,1,0,7,5,57.1,687,42,130,335,227,25,686,14,7,6,6,2,3,7,42.9,4,13,3,10,6,20,9,0,1.6,0.8,0.5,-0.3,0.6,0.7,0.4,0.2,-0.6,0.11,0,2.2,0.33,0.2
Atalanta,Bologna,2024-09-28,D,A,1,1,0,1,0,0,0,64,18,1,22.2,29.4,23,13,63.9,18,8,44.4,10,55.6,339,2126,1278,38,30,5,0,0.0,3,0,0,12,15,2,2,0,0,0,0,0,5,60.0,50.4,23,0.04,0.25,4,17.4,16.2,0,1,0,0,0,54,6,28.0,474,569,83.3,18,33,14,1,67,8473,2851,201,228,88.2,231,257,89.9,37,59,62.7,0,0,0,,0,0,,0,0,0,515,53,19,3,2,25,18,9,4,2,0,1,11,472,30,8,12,7,42,27,6,1,6,1,1,1,0,0.0,671,34,155,295,230,47,671,18,12,5,11,2,9,15,60.0,6,8,3,5,10,28,15,1,2.0,2.0,1.9,1.9,1.5,2.0,-1.0,-1.0,-0.5,0.09,0,0.2,0.16,-0.8
Atalanta,Genoa,2024-10-05,W,H,5,1,4,4,1,1,0,63,22,3,22.7,30.4,7,12,36.8,19,8,42.1,11,57.9,460,1935,949,17,20,8,0,0.0,0,0,0,9,13,8,6,0,0,2,0,0,1,100.0,46.0,22,0.18,0.57,7,31.8,15.3,0,1,0,0,0,50,2,19.0,538,615,87.5,18,48,12,1,51,9628,2816,223,244,91.4,252,277,91.0,51,71,71.8,0,0,0,,0,0,,0,0,0,578,36,15,2,2,18,14,4,2,2,0,1,8,536,20,7,15,6,41,30,4,1,4,2,0,2,1,50.0,719,35,135,327,263,40,718,10,7,2,7,1,4,7,57.1,3,6,2,4,15,25,12,0,3.6,2.9,2.9,2.1,2.4,2.6,1.4,1.1,-0.4,0.13,0,1.3,0.65,0.3
Atalanta,Venezia,2024-10-20,W,A,2,0,2,2,0,0,0,57,41,4,39.0,34.2,16,13,55.2,18,6,33.3,9,50.0,327,1632,729,22,9,8,1,12.5,1,0,0,6,11,4,4,0,0,0,0,0,9,88.9,62.9,16,0.13,0.29,7,43.8,15.7,0,2,0,0,0,51,2,14.7,436,540,80.7,14,34,11,2,50,8241,2923,178,201,88.6,201,232,86.6,50,89,56.2,0,0,0,,0,0,,0,0,0,491,47,14,2,2,13,18,5,3,2,0,2,8,434,9,7,18,6,31,21,3,3,2,1,1,4,4,100.0,644,79,242,278,128,26,644,12,11,6,5,1,8,19,42.1,11,6,1,5,8,20,19,1,1.4,1.4,0.6,0.6,1.2,0.7,0.6,0.6,-0.2,0.09,0,0.1,0.03,0.1
Atalanta,Hellas Verona,2024-10-26,W,H,6,1,5,6,0,0,0,69,27,5,18.5,28.4,12,13,48.0,22,8,36.4,11,50.0,539,2429,1433,22,27,6,1,16.7,0,0,0,3,15,10,7,1,0,2,0,0,5,20.0,26.4,19,0.32,0.6,10,52.6,15.3,0,1,0,0,0,52,2,11.9,730,812,89.9,13,59,13,3,66,11955,3166,357,381,93.7,326,353,92.4,36,56,64.3,0,0,0,,0,0,,0,0,0,772,39,17,1,4,11,11,4,2,2,0,1,7,728,27,8,7,15,34,30,1,1,2,0,0,2,1,50.0,905,43,181,455,271,29,905,15,10,8,6,1,10,17,58.8,7,5,0,5,6,21,7,0,2.4,2.4,2.1,2.1,1.8,1.9,3.6,3.6,2.2,0.13,0,0.7,0.35,-0.3
Atalanta,Monza,2024-10-30,W,H,2,0,2,2,0,0,0,53,25,2,44.0,37.2,15,12,55.6,21,10,47.6,9,42.9,425,2030,948,29,21,5,0,0.0,2,0,0,14,11,4,4,0,0,0,0,0,3,66.7,53.7,16,0.13,0.4,5,31.3,19.1,2,0,0,0,0,50,2,15.8,473,566,83.6,13,65,13,0,73,8699,3136,192,215,89.3,226,260,86.9,47,75,62.7,0,0,0,,0,0,,0,0,0,524,42,12,0,2,19,21,5,2,2,0,0,7,472,21,8,18,11,29,19,4,2,2,2,0,3,3,100.0,671,38,138,299,241,30,671,17,11,4,12,1,8,14,57.1,6,8,0,8,6,23,13,0,1.2,1.2,1.1,1.1,0.8,0.9,0.8,0.8,1.2,0.08,2,0.1,0.04,0.1
