Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Bologna,Udinese,2024-08-18,D,H,1,1,0,0,1,1,0,73,33,6,15.2,29.0,16,10,61.5,14,6,42.9,4,28.6,501,2324,1141,23,18,12,0,0.0,0,0,0,17,16,2,0,0,0,1,1,0,4,25.0,27.3,21,0.0,0.0,5,23.8,16.8,1,1,1,1,0,44,2,23.5,523,617,84.8,14,42,12,5,51,10053,2932,169,189,89.4,274,307,89.3,60,80,75.0,1,0,1,100.0,0,1,100.0,0,1,0,568,48,16,3,3,31,17,9,1,7,0,1,11,520,18,6,11,11,37,21,6,1,6,2,1,2,0,50.0,718,65,209,309,210,39,717,16,9,7,5,4,10,17,58.8,7,8,2,6,3,19,17,0,3.2,2.4,2.3,2.3,2.0,1.5,-2.2,-2.4,-2.0,0.12,1,0.9,0.0,-0.1
Bologna,Napoli,2024-08-25,L,A,0,3,-3,0,0,0,0,61,29,5,17.2,27.1,12,3,80.0,22,3,13.6,16,72.7,290,1654,936,15,6,10,2,20.0,2,0,0,17,10,0,0,0,0,0,0,0,4,25.0,36.3,8,0.0,0.0,2,25.0,21.0,0,1,0,0,0,43,2,11.7,483,580,83.3,6,57,3,2,47,9438,2914,161,188,85.6,264,299,88.3,56,81,69.1,0,0,0,,0,0,,0,0,0,533,46,12,3,4,17,21,5,3,2,0,1,9,480,6,4,11,6,15,12,0,1,1,0,1,5,2,40.0,680,48,149,383,152,12,680,19,16,8,8,3,10,20,50.0,10,17,7,10,10,29,7,0,0.6,0.6,-1.8,-1.8,0.6,0.4,-0.6,-0.6,-0.6,0.08,0,2.4,0.49,-0.6
Bologna,Empoli,2024-08-31,D,H,1,1,0,1,0,0,0,69,30,3,10.0,28.3,19,16,54.3,14,4,28.6,8,57.1,425,2068,831,17,11,6,0,0.0,0,0,0,15,15,1,0,0,0,1,0,0,4,0.0,13.3,14,0.07,0.33,3,21.4,15.0,0,2,0,0,0,37,0,8.7,557,673,82.8,12,46,9,4,43,10686,3278,211,232,90.9,257,300,85.7,79,111,71.2,0,0,0,,0,0,,0,0,0,600,71,19,1,6,27,40,6,1,4,0,2,9,555,11,4,12,10,23,18,4,0,1,0,0,2,1,50.0,755,50,198,349,213,23,755,15,7,7,3,5,4,17,23.5,13,7,0,7,5,20,10,0,1.3,1.3,0.4,0.4,0.9,0.7,-0.3,-0.3,0.1,0.1,0,1.5,0.77,0.5
Bologna,Como,2024-09-14,D,A,2,2,0,2,0,0,0,56,30,9,6.7,21.8,11,7,61.1,21,10,47.6,10,47.6,328,1868,948,10,6,9,0,0.0,1,0,0,12,15,3,1,0,1,1,0,0,8,12.5,29.5,14,0.14,0.5,4,28.6,17.1,2,4,0,0,1,53,2,15.5,429,521,82.3,9,39,5,2,47,8267,2858,157,173,90.8,220,244,90.2,46,77,59.7,0,0,0,,0,0,,0,0,1,466,51,16,1,10,17,21,3,0,3,0,4,11,427,6,4,19,13,21,10,2,3,2,4,0,4,3,50.0,623,60,212,267,150,22,623,21,13,7,10,4,10,19,52.6,9,10,4,6,5,26,9,1,1.2,1.2,0.0,0.0,0.6,0.6,0.8,0.8,0.4,0.09,2,1.0,0.24,0.0
Bologna,Monza,2024-09-22,W,A,2,1,1,2,0,0,0,57,23,4,34.8,33.6,11,15,42.3,13,6,46.2,6,46.2,450,2146,1109,22,11,12,2,16.7,2,0,0,16,20,4,4,0,0,0,0,0,7,28.6,28.3,15,0.13,0.25,8,53.3,17.4,1,1,0,0,0,38,1,12.7,483,570,84.7,14,47,7,2,50,8212,2739,215,234,91.9,212,235,90.2,36,64,56.3,0,0,0,,0,0,,0,0,0,526,43,20,2,3,14,12,2,0,2,0,1,10,479,11,5,15,14,27,25,0,0,0,1,1,3,2,66.7,670,45,151,385,138,20,670,17,8,4,10,3,5,11,45.5,6,8,0,8,4,21,12,0,0.8,0.8,0.2,0.2,0.7,0.7,1.2,1.2,1.3,0.05,1,0.7,0.26,-0.3
Bologna,Atalanta,2024-09-28,D,H,1,1,0,1,0,0,0,36,33,1,51.5,43.7,13,23,36.1,15,6,40.0,9,60.0,172,911,426,10,0,21,2,9.5,3,1,0,16,12,2,1,0,1,0,0,0,10,60.0,45.9,5,0.2,1.0,1,20.0,19.7,0,3,0,0,0,46,0,8.3,239,321,74.5,4,15,3,1,17,5195,2089,73,89,82.0,124,144,86.1,40,74,54.1,0,0,0,,0,0,,0,0,0,278,40,13,2,6,7,13,2,1,1,0,3,6,232,0,1,15,9,7,5,0,1,1,0,0,4,3,75.0,439,99,210,184,50,9,439,17,11,10,7,0,10,18,55.6,8,15,8,7,7,24,36,0,0.1,0.1,-1.9,-1.9,0.1,0.1,0.9,0.9,0.9,0.02,0,1.2,0.31,0.2
Bologna,Parma,2024-10-06,D,H,0,0,0,0,0,0,0,71,25,4,12.0,25.2,16,15,51.6,15,6,40.0,6,40.0,431,2478,1357,29,20,7,1,14.3,1,0,0,15,16,0,0,0,0,0,0,0,5,20.0,29.4,19,0.0,0.0,3,15.8,17.4,0,3,0,0,0,46,0,8.0,521,626,83.2,17,45,12,4,68,10005,3004,194,224,86.6,277,301,92.0,50,84,59.5,0,0,0,,0,0,,0,0,0,571,52,16,0,4,32,17,13,0,7,0,3,18,515,20,8,18,7,36,27,5,3,0,0,1,2,2,100.0,730,54,184,313,237,29,730,18,8,13,3,2,9,15,60.0,6,14,6,8,4,22,9,1,0.8,0.8,0.0,0.0,0.6,0.9,-0.8,-0.8,-0.6,0.04,0,0.2,0.12,0.2
Bologna,Genoa,2024-10-19,D,A,2,2,0,2,0,0,0,61,46,3,21.7,28.0,19,15,55.9,11,5,45.5,5,45.5,360,1689,729,15,10,9,1,11.1,0,0,0,12,20,3,2,1,0,0,0,0,7,57.1,43.9,12,0.17,0.29,7,58.3,21.6,0,3,0,0,0,41,3,16.4,386,489,78.9,10,26,14,3,37,7317,2362,141,161,87.6,198,233,85.0,40,76,52.6,0,0,0,,0,0,,0,0,0,430,56,23,1,2,17,16,7,0,4,0,3,6,384,10,5,16,12,20,16,2,0,2,0,0,4,2,50.0,582,79,213,254,123,23,582,11,7,6,5,0,6,9,66.7,3,10,4,6,5,16,13,1,0.7,0.7,0.2,0.2,0.3,0.4,1.3,1.3,0.7,0.06,0,0.8,0.19,-1.2
Bologna,Cagliari,2024-10-29,W,A,2,0,2,2,0,0,0,58,35,3,40.0,33.3,15,21,41.7,16,6,37.5,7,43.8,328,1952,868,21,7,13,1,7.7,2,0,0,18,15,4,3,0,0,0,0,1,6,50.0,41.7,11,0.18,0.5,4,36.4,17.1,0,1,0,0,0,47,0,6.0,455,547,83.2,6,35,6,2,45,8223,3018,213,235,90.6,190,215,88.4,49,86,57.0,0,0,0,,0,0,,0,0,0,503,43,17,2,1,13,17,2,0,1,0,1,4,453,7,5,16,9,21,18,0,0,1,1,1,2,2,100.0,662,73,197,348,120,18,662,12,7,5,6,1,5,11,45.5,6,19,5,14,5,17,24,0,0.9,0.9,0.1,0.1,0.6,0.3,1.1,1.1,1.4,0.08,0,0.4,0.22,0.4
Bologna,Lecce,2024-11-02,W,H,1,0,1,1,0,0,0,72,19,4,5.3,21.2,19,21,47.5,19,2,10.5,13,68.4,500,2622,1396,19,21,4,1,25.0,2,0,0,9,13,2,2,0,0,0,0,0,3,0.0,17.3,20,0.05,0.25,4,20.0,17.0,1,1,0,0,0,39,0,9.5,537,621,86.5,16,74,17,9,78,9550,3224,233,250,93.2,260,287,90.6,39,63,61.9,0,0,0,,0,0,,0,0,0,565,55,13,0,6,34,29,9,0,5,0,1,10,531,21,4,16,21,37,27,4,0,4,2,0,0,0,,739,33,118,357,268,31,739,17,12,4,9,4,7,12,58.3,5,12,2,10,4,21,13,0,1.4,1.4,0.7,0.7,0.9,1.2,-0.4,-0.4,0.1,0.07,1,0.0,,0.0
Bologna,Roma,2024-11-10,W,A,3,2,1,3,0,0,0,46,40,5,47.5,38.7,14,17,45.2,10,3,30.0,7,70.0,300,1512,679,12,8,8,0,0.0,3,0,0,21,16,5,4,0,0,1,0,0,5,40.0,33.8,15,0.2,0.75,4,26.7,14.8,1,0,0,0,0,36,0,9.0,299,386,77.5,11,19,5,2,26,5883,2192,80,99,80.8,166,187,88.8,40,77,51.9,0,0,0,,0,0,,0,0,0,345,41,16,1,2,8,14,3,2,1,0,0,6,293,8,6,17,9,25,18,2,2,2,1,0,5,3,60.0,502,68,189,229,88,17,502,5,3,1,4,0,2,6,33.3,4,17,5,12,10,15,19,0,1.7,1.7,0.4,0.4,1.0,0.3,1.3,1.3,1.0,0.11,1,1.5,0.29,-0.5
Bologna,Lazio,2024-11-24,L,A,0,3,-3,0,0,0,0,30,41,7,34.1,32.6,11,16,40.7,13,8,61.5,5,38.5,176,991,437,7,6,15,1,6.7,3,1,1,14,12,0,0,0,0,0,0,0,7,42.9,34.4,3,0.0,0.0,1,33.3,35.3,0,0,0,0,0,31,1,9.7,210,284,73.9,3,13,3,1,15,3938,1546,91,104,87.5,101,126,80.2,16,49,32.7,0,0,0,,0,0,,0,1,0,250,34,16,0,3,4,8,0,0,0,0,0,3,201,6,1,12,4,6,4,0,2,0,0,0,4,1,25.0,390,85,219,124,53,4,390,7,4,3,1,3,2,9,22.2,7,9,4,5,10,17,36,1,0.1,0.1,-1.9,-1.9,0.1,0.2,-0.1,-0.1,-0.1,0.02,0,3.3,0.82,0.3
Bologna,Venezia,2024-11-30,W,H,3,0,3,1,2,2,0,60,21,3,33.3,33.7,10,12,45.5,14,7,50.0,7,50.0,397,1965,924,20,17,5,0,0.0,0,0,0,14,14,6,3,0,0,0,2,1,4,0.0,9.5,14,0.07,0.14,7,50.0,20.2,0,2,2,0,0,54,0,,447,530,84.3,12,38,8,1,41,7678,2464,213,231,92.2,186,209,89.0,40,66,60.6,0,0,0,,0,0,,0,0,0,489,39,13,1,2,14,20,1,0,1,0,2,10,445,17,6,21,7,30,20,2,3,0,3,2,1,1,100.0,635,41,142,327,171,26,633,23,14,2,10,11,11,18,61.1,7,9,2,7,7,30,11,0,3.2,1.6,2.8,1.2,1.6,1.4,-0.2,-0.6,-0.6,0.12,0,0.4,0.4,0.4
Bologna,Juventus,2024-12-07,D,A,2,2,0,2,0,0,0,46,28,5,42.9,39.0,13,11,54.2,16,8,50.0,7,43.8,265,1342,539,13,6,9,1,11.1,4,0,0,14,17,4,4,0,0,0,0,0,5,80.0,53.6,10,0.2,0.5,4,40.0,21.0,1,0,0,0,0,42,0,9.7,311,409,76.0,7,27,7,1,27,5812,1982,134,158,84.8,136,155,87.7,36,75,48.0,0,0,0,,0,0,,0,0,0,358,51,16,3,3,13,23,4,2,2,0,0,10,308,6,0,8,14,16,10,1,2,1,1,1,3,1,33.3,520,54,133,269,122,17,520,19,10,5,9,5,10,18,55.6,8,11,3,8,16,35,17,0,0.9,0.9,-0.1,-0.1,0.8,0.7,1.1,1.1,1.2,0.09,1,1.8,0.6,-0.2
Bologna,Fiorentina,2024-12-15,W,H,1,0,1,1,0,0,0,50,23,5,56.5,39.1,13,17,43.3,28,10,35.7,14,50.0,264,1562,947,20,18,10,2,20.0,2,0,0,16,9,2,2,0,0,0,0,0,5,80.0,51.6,16,0.06,0.17,6,37.5,21.1,0,2,0,0,0,45,0,8.5,297,390,76.2,12,25,4,1,32,5178,2006,156,177,88.1,108,131,82.4,30,64,46.9,0,0,0,,0,0,,0,0,0,353,35,12,0,5,9,16,1,0,1,0,2,7,289,18,4,10,10,29,24,1,2,0,1,1,4,4,100.0,520,56,132,273,124,20,520,18,10,7,9,2,10,26,38.5,16,13,4,9,10,28,26,0,1.2,1.2,0.2,0.2,1.0,0.8,-0.2,-0.2,0.0,0.07,0,1.1,0.31,1.1
Bologna,Torino,2024-12-21,W,A,2,0,2,2,0,1,1,58,46,8,23.9,30.0,14,11,56.0,11,4,36.4,7,63.6,450,2400,997,17,12,14,2,14.3,2,0,0,17,11,4,2,1,0,0,1,0,5,40.0,37.2,7,0.29,0.5,4,57.1,18.5,0,1,1,0,0,40,0,6.0,478,560,85.4,4,44,7,3,25,8681,2785,193,214,90.2,244,269,90.7,35,65,53.8,0,0,0,,0,0,,0,0,0,521,38,11,0,2,10,21,0,0,0,0,1,4,473,12,4,19,8,13,8,1,1,1,2,0,0,0,,668,72,233,305,143,16,667,13,9,5,6,2,12,19,63.2,7,11,4,7,6,19,26,0,1.7,0.9,1.5,0.7,0.9,1.0,0.3,1.1,0.1,0.13,0,0.0,,0.0
