Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Cagliari,Roma,2024-08-18,D,H,0,0,0,0,0,0,0,43,21,4,28.6,30.3,11,10,52.4,13,8,61.5,3,23.1,272,1515,756,15,14,17,2,11.8,2,0,0,15,7,0,0,0,0,0,0,0,5,60.0,41.2,13,0.0,0.0,2,15.4,18.1,0,3,0,0,0,41,0,4.7,281,380,73.9,8,20,2,0,27,5668,2200,91,102,89.2,142,176,80.7,42,80,52.5,0,0,0,,0,0,,0,0,0,333,44,9,2,1,16,24,5,0,5,0,3,5,279,14,3,16,6,20,15,1,0,2,1,1,3,3,100.0,498,64,210,201,97,13,498,13,6,6,7,0,8,13,61.5,5,8,5,3,15,28,27,0,1.0,1.0,0.0,0.0,0.7,0.4,-1.0,-1.0,-0.7,0.08,0,0.5,0.16,0.5
Cagliari,Como,2024-08-26,D,H,1,1,0,1,0,0,0,47,30,12,13.3,26.9,22,22,50.0,11,5,45.5,5,45.5,286,1470,823,22,10,17,0,0.0,2,0,0,12,10,2,2,0,0,0,0,0,4,25.0,32.0,11,0.09,0.2,5,45.5,15.3,0,1,0,0,0,42,2,15.4,304,415,73.3,7,24,6,2,19,5961,2248,102,127,80.3,163,188,86.7,37,79,46.8,0,0,0,,0,0,,0,1,0,372,42,13,0,4,22,18,5,0,5,0,1,13,299,10,3,6,7,20,13,4,1,1,1,0,4,3,75.0,525,70,234,187,108,16,525,14,5,4,9,1,5,12,41.7,7,10,6,4,3,17,32,1,0.8,0.8,-0.7,-0.7,0.7,1.1,0.2,0.2,0.3,0.07,0,1.1,0.27,0.1
Cagliari,Lecce,2024-08-31,L,A,0,1,-1,0,0,0,0,65,15,4,26.7,28.0,24,21,53.3,23,12,52.2,11,47.8,345,2211,1219,25,23,13,0,0.0,3,0,0,13,9,0,0,0,0,0,0,0,11,27.3,32.8,21,0.0,0.0,2,9.5,15.2,0,0,0,0,0,33,2,18.6,405,524,77.3,15,46,14,3,58,7294,2526,162,190,85.3,217,257,84.4,26,62,41.9,0,0,0,,0,0,,0,1,0,466,58,12,0,0,34,23,10,3,6,0,0,8,399,23,10,6,13,40,27,4,4,3,1,1,3,2,66.7,629,54,148,281,207,39,629,15,11,4,5,6,10,17,58.8,7,13,6,7,8,23,19,1,1.8,1.8,0.1,0.1,1.5,1.9,-1.8,-1.8,-1.5,0.09,0,1.1,0.35,0.1
Cagliari,Napoli,2024-09-15,L,H,0,4,-4,0,0,0,0,51,23,3,34.8,34.8,20,15,57.1,21,7,33.3,11,52.4,248,1475,708,7,8,9,1,11.1,1,0,0,22,9,0,0,0,0,0,0,0,7,14.3,21.0,19,0.0,0.0,5,26.3,15.0,1,2,0,0,0,55,1,12.0,363,470,77.2,12,27,6,2,37,6339,2413,173,199,86.9,149,183,81.4,35,69,50.7,0,0,0,,0,0,,0,1,0,425,43,14,1,1,32,10,7,0,7,0,2,8,358,8,1,11,13,32,20,5,1,4,2,0,5,1,20.0,581,61,189,280,116,22,581,19,10,9,8,2,11,17,64.7,6,13,5,8,5,24,20,2,1.0,1.0,-0.9,-0.9,0.8,0.9,-1.0,-1.0,-0.8,0.05,1,2.6,0.51,-1.4
Cagliari,Empoli,2024-09-20,L,H,0,2,-2,0,0,0,0,61,31,0,61.3,40.2,34,28,54.8,11,6,54.5,5,45.5,300,1346,476,9,4,13,0,0.0,1,0,0,15,20,0,0,0,0,0,0,0,8,37.5,37.5,21,0.0,0.0,2,9.5,14.3,0,0,0,0,0,37,0,10.0,383,518,73.9,12,36,8,3,31,7765,3032,140,170,82.4,174,207,84.1,61,108,56.5,0,0,0,,0,0,,0,0,0,442,76,23,0,1,32,32,10,1,9,0,0,14,381,4,1,19,7,32,20,4,1,6,1,0,4,2,50.0,631,63,216,267,151,30,631,16,10,7,8,1,5,10,50.0,5,10,2,8,8,24,21,0,2.2,2.2,1.4,1.4,1.3,1.4,-2.2,-2.2,-1.3,0.11,0,0.5,0.12,-1.5
Cagliari,Parma,2024-09-30,W,A,3,2,1,3,0,0,0,40,25,5,32.0,33.4,8,12,40.0,15,8,53.3,7,46.7,253,1458,756,17,11,10,0,0.0,2,0,0,16,10,6,6,0,0,0,0,0,9,77.8,52.4,12,0.25,0.75,4,33.3,16.8,0,4,0,1,0,42,0,10.8,291,392,74.2,8,14,8,2,33,5400,2272,117,136,86.0,147,181,81.2,27,62,43.5,1,1,0,0.0,1,0,0.0,0,0,0,344,44,11,3,0,14,18,3,1,2,0,4,7,290,11,3,16,3,21,17,1,2,1,0,0,4,2,75.0,483,68,174,245,74,15,483,13,5,10,3,0,4,7,57.1,3,9,3,6,11,24,19,0,2.4,2.4,0.0,0.8,1.8,1.0,0.6,0.6,1.2,0.2,0,2.4,0.38,0.4
Cagliari,Juventus,2024-10-06,D,A,1,1,0,0,1,1,0,27,13,4,53.8,40.2,11,12,47.8,10,4,40.0,6,60.0,159,935,508,14,7,18,0,0.0,2,0,0,10,11,2,1,0,0,0,1,0,11,36.4,30.3,8,0.0,0.0,1,12.5,24.5,0,1,1,1,0,33,0,,207,279,74.2,5,18,6,2,22,3606,1695,107,118,90.7,73,99,73.7,22,43,51.2,1,1,0,0.0,1,0,0.0,0,0,0,237,41,13,0,0,22,12,3,1,2,0,1,6,205,7,3,10,12,12,9,0,1,1,1,0,9,8,100.0,378,80,169,114,98,14,377,8,6,3,5,0,4,15,26.7,11,7,4,3,8,16,30,1,1.1,0.3,-1.3,-1.3,0.3,0.6,-0.1,-0.3,-0.3,0.04,0,1.8,0.1,0.8
Cagliari,Torino,2024-10-20,W,H,3,2,1,2,0,0,0,41,18,2,38.9,35.6,15,11,57.7,9,3,33.3,6,66.7,233,1108,532,9,8,23,0,0.0,1,0,0,9,8,3,1,0,0,1,1,0,6,33.3,33.2,17,0.12,0.5,4,23.5,14.2,2,0,0,0,0,41,1,11.7,304,368,82.6,11,24,11,4,25,5988,2576,122,134,91.0,145,166,87.3,35,62,56.5,0,0,0,,0,0,,0,1,0,333,35,8,0,0,22,9,9,2,4,0,0,5,302,8,0,21,5,29,17,4,2,4,2,0,5,3,60.0,496,84,222,174,105,23,496,13,7,5,7,1,4,9,44.4,5,6,4,2,8,21,36,0,1.6,1.6,0.2,0.2,1.3,0.9,0.4,0.4,-0.3,0.1,2,1.7,0.34,-0.3
Cagliari,Udinese,2024-10-25,L,A,0,2,-2,0,0,0,0,36,16,2,37.5,34.8,10,10,50.0,18,5,27.8,12,66.7,218,1194,514,8,4,12,0,0.0,3,1,1,9,13,0,0,0,0,0,0,0,10,60.0,48.5,3,0.0,,0,0.0,23.6,0,1,0,0,0,37,0,6.0,251,322,78.0,2,15,1,1,19,4799,1783,82,95,86.3,144,165,87.3,24,57,42.1,0,0,0,,0,0,,0,1,0,275,46,16,1,0,11,14,4,2,1,0,1,4,248,4,1,14,3,3,1,1,0,0,1,0,4,2,50.0,413,67,197,180,43,3,413,15,12,9,4,2,8,14,57.1,6,5,2,3,3,18,22,0,0.4,0.4,-0.6,-0.6,0.4,0.3,-0.4,-0.4,-0.4,0.14,0,1.7,0.45,-0.3
Cagliari,Bologna,2024-10-29,L,H,0,2,-2,0,0,0,0,42,31,3,54.8,39.7,21,15,58.3,17,6,35.3,5,29.4,196,1064,443,12,6,11,1,9.1,2,0,0,17,18,0,0,0,0,0,0,0,6,83.3,52.3,14,0.0,0.0,2,14.3,15.7,0,1,0,0,0,44,0,12.2,299,404,74.0,10,19,3,0,28,6081,2471,102,123,82.9,156,180,86.7,38,79,48.1,0,0,0,,0,0,,0,0,0,349,54,19,1,0,16,19,7,0,7,0,1,13,295,6,3,15,7,27,19,5,0,1,2,0,4,2,50.0,502,62,220,200,89,16,502,16,9,2,14,0,7,13,53.8,6,6,3,3,8,24,19,0,0.8,0.8,-0.1,-0.1,0.5,0.5,-0.8,-0.8,-0.5,0.06,0,1.2,0.3,-0.8
Cagliari,Lazio,2024-11-04,L,A,1,2,-1,1,0,0,0,46,26,5,34.6,33.8,14,14,50.0,11,4,36.4,6,54.5,316,1377,550,12,6,15,0,0.0,8,2,2,17,12,2,2,0,0,0,0,0,11,54.5,43.5,6,0.17,1.0,1,16.7,22.9,1,1,0,1,0,31,0,4.0,354,432,81.9,5,34,2,0,24,6172,2685,171,186,91.9,146,169,86.4,32,55,58.2,1,1,0,0.0,1,0,0.0,0,0,0,384,47,11,1,1,19,19,3,1,2,0,1,8,348,6,2,8,14,12,11,0,0,0,1,0,4,2,75.0,517,78,221,198,101,7,517,12,6,7,4,1,5,11,45.5,6,7,6,1,2,14,23,1,0.3,0.3,-2.6,-1.8,0.1,0.2,0.7,0.7,0.9,0.04,1,2.0,0.28,0.0
Cagliari,Milan,2024-11-09,D,H,3,3,0,3,0,0,0,45,14,6,50.0,34.6,17,8,68.0,14,6,42.9,6,42.9,339,1773,928,16,5,9,0,0.0,0,0,0,7,11,3,2,0,0,1,0,0,10,30.0,31.0,16,0.19,0.5,6,37.5,15.2,0,8,0,0,0,31,1,12.5,372,447,83.2,10,21,10,4,37,6805,2369,164,177,92.7,167,185,90.3,39,63,61.9,0,0,0,,0,0,,0,0,0,398,41,12,1,2,24,9,6,2,4,0,8,8,370,5,3,8,4,26,19,2,2,3,0,0,6,3,50.0,520,53,195,237,96,24,520,9,1,4,4,1,4,12,33.3,8,5,2,3,7,16,16,0,1.7,1.7,-1.7,-1.7,1.2,0.7,1.3,1.3,0.8,0.11,0,2.6,0.45,-0.4
Cagliari,Genoa,2024-11-24,D,A,2,2,0,0,2,2,0,48,21,2,38.1,33.8,19,26,42.2,20,9,45.0,7,35.0,323,1592,823,13,9,13,2,15.4,2,0,0,7,10,3,1,0,0,1,1,0,10,50.0,37.9,15,0.0,0.0,4,26.7,17.2,0,1,1,0,0,41,1,9.2,350,452,77.4,13,23,10,2,35,5935,2130,158,177,89.3,168,204,82.4,21,52,40.4,0,0,0,,0,0,,0,0,0,398,53,11,1,1,24,21,8,2,5,0,1,10,343,9,3,8,15,30,19,5,1,4,1,0,6,4,66.7,568,76,190,261,121,27,566,10,7,7,3,0,6,12,50.0,6,11,6,5,8,18,28,1,3.0,1.4,1.2,-0.3,1.3,0.9,-1.0,-1.4,-1.3,0.1,0,2.1,0.34,0.1
Cagliari,Hellas Verona,2024-11-29,W,H,1,0,1,1,0,0,0,63,28,4,21.4,28.0,27,24,52.9,18,9,50.0,8,44.4,391,1883,893,19,9,9,1,11.1,1,0,0,10,11,2,2,0,0,0,0,0,9,33.3,35.0,19,0.05,0.2,5,26.3,15.2,0,2,0,0,0,42,2,12.3,449,557,80.6,13,36,8,4,44,7309,3109,212,243,87.2,189,227,83.3,33,58,56.9,0,0,0,,0,0,,0,0,0,492,63,15,0,1,23,31,7,0,7,0,2,8,447,9,9,23,18,31,16,4,4,5,2,0,2,2,100.0,680,54,227,293,164,36,680,18,10,7,10,1,5,11,45.5,6,12,3,9,3,21,15,0,1.8,1.8,1.1,1.1,1.1,1.2,-0.8,-0.8,-0.1,0.1,0,0.1,0.04,0.1
Cagliari,Fiorentina,2024-12-08,L,A,0,1,-1,0,0,0,0,51,18,3,0.0,17.2,17,7,70.8,22,12,54.5,5,22.7,364,1909,1056,19,12,12,0,0.0,2,0,0,20,9,0,0,0,0,0,0,0,8,0.0,15.0,8,0.0,0.0,1,12.5,13.1,0,3,0,0,0,48,0,7.8,385,484,79.5,6,24,6,2,38,6342,2196,187,213,87.8,165,194,85.1,26,59,44.1,0,0,0,,0,0,,0,0,0,438,43,10,0,1,24,19,4,0,4,0,3,6,384,12,1,18,11,15,7,3,2,2,1,0,3,2,66.7,589,65,218,279,100,15,589,15,8,9,5,1,8,15,53.3,7,8,2,6,10,25,24,0,0.8,0.8,0.5,0.5,0.6,0.8,-0.8,-0.8,-0.6,0.11,0,0.9,0.29,-0.1
