Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Como,Juventus,2024-08-19,L,A,0,3,-3,0,0,0,0,43,21,3,42.9,37.2,3,12,20.0,10,2,20.0,6,60.0,335,1676,841,9,15,9,0,0.0,4,0,0,12,11,0,0,0,0,0,0,0,7,0.0,9.7,3,0.0,,0,0.0,19.4,0,1,0,0,0,24,2,16.0,358,415,86.3,2,22,2,1,34,6476,1763,142,152,93.4,185,197,93.9,27,52,51.9,0,0,0,,0,0,,0,0,0,372,42,14,0,4,12,17,0,0,0,0,1,8,350,15,0,12,9,4,4,0,0,0,0,0,6,3,50.0,477,49,159,229,90,5,477,7,4,1,3,3,3,10,30.0,7,4,1,3,4,11,10,2,0.2,0.2,-1.0,-1.0,0.2,0.3,-0.2,-0.2,-0.2,0.06,0,2.3,0.38,-0.7
Como,Cagliari,2024-08-26,D,A,1,1,0,1,0,0,0,53,33,5,51.5,39.6,22,22,50.0,12,7,58.3,5,41.7,244,1228,619,12,11,18,1,5.6,2,0,0,10,10,1,0,0,0,1,0,0,6,33.3,25.2,14,0.07,0.25,4,28.6,17.5,0,3,0,0,0,40,0,12.0,355,469,75.7,11,25,9,2,26,6282,2552,169,197,85.8,125,149,83.9,45,89,50.6,0,0,0,,0,0,,0,0,0,422,44,13,1,2,22,17,6,1,4,0,3,4,342,11,1,10,9,23,15,3,1,4,0,0,5,4,80.0,576,59,191,255,134,26,576,12,6,8,1,3,5,10,50.0,5,13,2,11,9,21,34,0,1.5,1.5,0.7,0.7,1.2,0.7,-0.5,-0.5,-0.2,0.11,0,1.4,0.28,0.4
Como,Udinese,2024-09-01,L,A,0,1,-1,0,0,1,1,56,22,2,18.2,29.1,15,18,45.5,15,11,73.3,4,26.7,385,1927,928,25,20,11,0,0.0,0,0,0,9,13,0,0,0,0,0,0,0,3,33.3,28.7,20,0.0,0.0,4,20.0,17.5,0,1,0,0,0,48,0,18.0,447,540,82.8,13,30,8,4,49,7445,2550,217,238,91.2,187,215,87.0,34,55,61.8,0,0,0,,0,0,,0,0,0,490,49,17,1,1,25,21,6,1,3,0,1,21,443,20,7,13,18,36,23,4,1,5,1,2,2,1,50.0,649,51,156,305,198,28,648,26,19,9,13,4,12,26,46.2,14,10,3,7,11,37,21,0,1.6,0.9,0.6,-0.1,0.7,0.8,-1.6,-0.9,-0.7,0.04,0,0.6,0.31,-0.4
Como,Bologna,2024-09-14,D,H,2,2,0,1,0,0,0,44,35,2,31.4,33.9,7,11,38.9,19,9,47.4,10,52.6,242,1482,745,19,12,12,1,8.3,2,0,0,17,12,2,2,0,0,0,0,0,5,0.0,8.4,14,0.07,0.25,4,28.6,18.2,0,2,0,0,0,57,0,1.0,326,410,79.5,11,15,5,0,26,5682,2093,136,158,86.1,147,168,87.5,28,59,47.5,0,0,0,,0,0,,0,0,0,363,45,16,3,1,14,17,4,1,3,0,2,7,324,12,9,11,11,27,15,4,5,1,1,1,4,2,50.0,516,70,211,226,87,21,516,23,15,18,3,2,10,20,50.0,10,16,5,11,8,31,21,0,1.2,1.2,0.0,0.0,1.1,0.5,-0.2,-0.2,-0.1,0.08,0,1.3,0.33,-0.7
Como,Atalanta,2024-09-24,W,A,3,2,1,2,0,0,0,41,36,3,41.7,36.4,13,22,37.1,9,4,44.4,3,33.3,295,1592,732,15,5,26,2,7.7,3,0,0,17,12,4,4,0,0,0,0,0,6,33.3,32.7,14,0.14,0.29,7,50.0,20.6,0,0,0,1,0,46,0,7.7,325,408,79.7,11,20,4,1,24,5268,1972,170,190,89.5,139,160,86.9,14,44,31.8,1,1,0,0.0,1,0,0.0,0,1,0,375,33,11,2,1,7,12,2,0,1,0,0,9,321,5,4,13,11,21,18,0,0,2,0,1,5,3,80.0,532,95,233,216,87,12,532,29,18,12,16,1,11,21,52.4,10,6,0,6,13,42,32,0,1.1,1.1,-0.5,0.3,1.0,0.4,0.9,0.9,1.0,0.08,0,1.5,0.17,-0.5
Como,Hellas Verona,2024-09-29,W,H,3,2,1,3,0,0,0,71,34,3,23.5,29.8,16,15,51.6,19,6,31.6,10,52.6,480,2261,1093,12,16,4,1,25.0,2,0,0,10,16,6,5,0,1,0,0,0,2,0.0,8.0,24,0.13,0.27,11,45.8,19.2,0,2,0,1,0,36,1,14.3,538,623,86.4,23,33,12,1,43,8570,2898,273,290,94.1,204,228,89.5,35,66,53.0,1,1,0,0.0,1,0,0.0,0,0,0,568,53,20,4,3,22,19,9,1,5,0,2,10,528,16,6,17,7,45,37,3,2,2,1,0,3,1,66.7,722,48,200,343,182,36,722,15,12,5,4,6,8,15,53.3,7,5,1,4,7,22,7,1,2.2,2.2,1.1,1.9,2.2,2.1,0.8,0.8,0.8,0.09,0,1.3,0.19,-0.7
Como,Napoli,2024-10-04,L,A,1,3,-2,1,0,0,0,59,22,3,13.6,28.0,13,6,68.4,10,5,50.0,3,30.0,480,2180,1089,13,16,7,0,0.0,1,0,0,10,7,2,2,0,0,0,0,0,0,,,11,0.09,0.5,2,18.2,24.3,0,0,0,1,0,44,3,15.2,589,656,89.8,10,47,4,0,42,9592,2693,296,317,93.4,232,252,92.1,46,58,79.3,1,1,0,0.0,1,0,0.0,0,0,0,628,28,9,1,4,7,14,1,0,0,0,0,6,585,16,5,13,9,22,21,0,1,0,0,0,6,3,66.7,751,47,188,388,181,13,751,17,10,11,5,1,8,18,44.4,10,11,3,8,10,27,16,0,0.4,0.4,-1.5,-0.8,0.3,0.5,0.6,0.6,0.7,0.03,0,2.6,0.28,-0.4
Como,Parma,2024-10-19,D,H,1,1,0,1,0,0,0,61,26,6,15.4,24.8,6,4,60.0,9,4,44.4,5,55.6,524,2709,1462,36,13,10,0,0.0,1,0,0,14,9,2,2,0,0,0,0,0,11,0.0,18.2,12,0.08,0.33,3,25.0,16.0,0,7,0,0,0,51,1,16.5,535,633,84.5,10,47,12,3,54,8628,3160,265,284,93.3,221,248,89.1,36,58,62.1,0,0,0,,0,0,,0,0,0,579,47,12,1,1,20,15,7,1,1,0,7,15,533,13,11,15,4,19,16,2,0,1,0,0,3,2,66.7,727,78,248,325,165,26,727,18,11,14,3,1,9,18,50.0,9,6,0,6,10,28,17,0,1.3,1.3,0.8,0.8,1.1,0.9,-0.3,-0.3,-0.1,0.11,0,1.0,0.34,0.0
Como,Torino,2024-10-25,L,A,0,1,-1,0,0,0,0,68,21,3,14.3,29.1,20,9,69.0,16,8,50.0,7,43.8,451,1993,985,15,10,15,1,6.7,3,0,0,12,13,0,0,0,0,0,0,0,5,40.0,28.0,20,0.0,0.0,6,30.0,18.3,0,1,0,0,0,41,3,15.4,575,671,85.7,12,45,10,1,48,9559,3140,270,286,94.4,235,268,87.7,46,73,63.0,0,0,0,,0,0,,0,0,0,622,48,16,2,2,19,22,3,2,0,0,1,11,571,10,4,16,9,34,26,2,1,5,0,0,2,1,50.0,780,45,201,424,160,27,780,18,10,5,11,2,8,14,57.1,6,7,3,4,6,24,19,1,1.4,1.4,0.1,0.1,1.1,0.6,-1.4,-1.4,-1.1,0.07,0,1.1,0.53,0.1
Como,Lazio,2024-10-31,L,H,1,5,-4,1,0,0,0,51,19,4,31.6,33.5,12,17,41.4,8,6,75.0,2,25.0,321,1817,883,17,8,12,0,0.0,2,1,1,14,18,1,1,0,0,0,0,0,3,0.0,10.3,14,0.07,0.5,2,14.3,18.9,1,1,0,1,0,41,0,5.0,378,459,82.4,11,29,3,3,28,6646,2151,174,197,88.3,172,193,89.1,30,58,51.7,1,1,0,0.0,1,0,0.0,0,1,0,408,50,19,1,4,17,19,3,0,2,0,1,5,374,8,9,16,6,25,21,2,1,0,1,0,7,2,42.9,555,51,165,264,133,18,555,17,11,8,5,4,10,20,50.0,10,7,3,4,6,23,19,2,1.1,1.1,-1.9,-1.1,0.9,0.6,-0.1,-0.1,-0.9,0.08,1,2.7,0.28,-2.3
