Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Empoli,Monza,2024-08-17,D,H,0,0,0,0,0,0,0,39,15,2,73.3,48.7,16,22,42.1,16,6,37.5,8,50.0,174,939,463,8,9,11,1,9.1,0,0,0,16,18,0,0,0,0,0,0,0,4,50.0,39.0,11,0.0,0.0,2,18.2,17.8,1,4,0,0,0,41,0,3.0,198,307,64.5,7,23,3,0,35,3341,1417,97,132,73.5,74,100,74.0,17,49,34.7,0,0,0,,0,0,,0,0,0,252,51,19,0,2,21,20,7,2,4,0,4,4,194,9,3,17,6,17,6,5,2,1,3,0,1,1,100.0,403,38,88,205,117,14,403,17,9,3,10,4,6,10,60.0,4,9,3,6,4,21,21,0,0.5,0.5,0.1,0.1,0.3,0.3,-0.5,-0.5,-0.3,0.04,1,0.1,0.14,0.1
Empoli,Roma,2024-08-25,W,A,2,1,1,1,1,1,0,27,25,4,76.0,53.4,14,18,43.8,9,4,44.4,3,33.3,178,1156,690,14,9,26,2,7.7,3,0,0,11,10,2,0,0,0,1,1,0,12,25.0,27.6,13,0.08,0.33,3,23.1,13.6,0,0,1,0,0,32,0,5.2,187,251,74.5,12,11,5,3,17,3472,1397,87,105,82.9,67,80,83.8,31,58,53.4,0,0,0,,0,0,,0,0,0,215,36,9,1,3,9,8,5,1,2,0,0,4,186,9,7,12,9,22,16,1,1,3,1,0,7,6,85.7,379,87,189,129,69,19,378,21,12,12,9,0,11,16,68.8,5,20,10,10,6,27,37,0,2.7,1.9,0.5,-0.2,1.4,0.8,-0.7,-0.9,-0.4,0.17,0,1.5,0.23,0.5
Empoli,Bologna,2024-08-31,D,A,1,1,0,1,0,0,0,31,30,4,66.7,47.8,16,19,45.7,24,13,54.2,4,16.7,221,1120,472,11,8,21,1,4.8,3,0,0,18,14,2,2,0,0,0,0,0,11,45.5,29.3,3,0.33,0.5,2,66.7,7.3,0,1,0,0,0,31,2,16.4,214,309,69.3,2,18,1,0,18,3805,1786,92,112,82.1,88,111,79.3,25,63,39.7,0,0,0,,0,0,,0,1,0,264,44,17,2,2,11,11,3,0,3,0,1,8,213,8,2,14,11,5,4,1,0,0,0,0,3,2,66.7,431,90,217,152,66,7,431,18,15,14,4,0,8,12,66.7,4,8,2,6,12,30,48,0,1.0,1.0,-0.4,-0.4,0.3,0.5,0.0,0.0,0.7,0.32,0,0.3,0.12,-0.7
Empoli,Juventus,2024-09-14,D,H,0,0,0,0,0,0,0,35,20,2,65.0,51.3,5,13,27.8,13,3,23.1,8,61.5,206,1021,491,10,2,17,2,11.8,1,0,0,11,10,0,0,0,0,0,0,0,9,33.3,27.9,8,0.0,0.0,3,37.5,21.5,0,0,0,0,0,42,0,7.0,285,370,77.0,8,19,4,0,20,5252,1692,111,131,84.7,139,164,84.8,29,55,52.7,0,0,0,,0,0,,0,0,0,327,43,10,0,2,9,19,4,0,4,0,0,11,282,2,2,15,8,15,10,3,1,1,0,0,3,3,100.0,481,59,180,231,76,15,481,24,14,14,10,0,16,25,64.0,9,11,6,5,5,29,23,0,0.5,0.5,-0.4,-0.4,0.5,0.4,-0.5,-0.5,-0.5,0.06,0,0.9,0.29,0.9
Empoli,Cagliari,2024-09-20,W,A,2,0,2,2,0,0,0,39,19,2,73.7,53.8,28,34,45.2,10,5,50.0,5,50.0,183,1008,429,9,3,27,2,7.4,2,0,0,21,14,4,2,0,1,1,0,0,12,25.0,19.0,9,0.22,0.5,4,44.4,14.3,0,2,0,0,0,36,0,7.9,221,332,66.6,7,18,4,2,25,3771,1864,101,129,78.3,97,123,78.9,17,58,29.3,0,0,0,,0,0,,0,0,0,277,53,15,1,0,14,21,4,1,3,0,2,9,217,3,2,14,11,17,12,2,2,1,0,0,2,2,100.0,469,90,205,178,89,12,469,12,6,8,4,0,5,11,45.5,6,19,7,12,8,20,51,0,0.8,0.8,-1.4,-1.4,0.6,0.3,1.2,1.2,0.4,0.09,0,0.2,0.08,0.2
Empoli,Fiorentina,2024-09-29,D,H,0,0,0,0,0,0,0,38,18,6,44.4,45.8,10,16,38.5,17,12,70.6,4,23.5,193,1312,673,21,9,12,0,0.0,0,0,0,15,12,0,0,0,0,0,0,0,11,36.4,32.4,8,0.0,0.0,1,12.5,21.6,0,1,0,0,0,39,0,17.0,257,350,73.4,8,17,2,0,19,4801,2019,104,123,84.6,129,161,80.1,23,51,45.1,0,0,0,,0,0,,0,0,0,301,48,13,0,1,11,21,2,0,1,0,1,10,253,9,4,12,12,14,10,0,3,0,0,1,0,0,,452,57,189,200,70,8,452,24,13,12,10,2,11,20,55.0,9,9,7,2,10,34,20,0,0.4,0.4,-0.3,-0.3,0.4,0.1,-0.4,-0.4,-0.4,0.04,0,0.0,,0.0
Empoli,Lazio,2024-10-06,L,A,1,2,-1,1,0,0,0,42,26,4,38.5,41.5,20,14,58.8,27,13,48.1,14,51.9,229,1227,558,12,6,25,3,12.0,4,0,0,17,10,2,2,0,0,0,0,0,15,26.7,22.8,7,0.14,0.5,2,28.6,14.5,0,1,0,1,0,29,0,5.2,251,339,74.0,6,15,5,3,22,4464,1810,107,121,88.4,102,125,81.6,29,64,45.3,1,0,1,100.0,0,1,100.0,0,0,0,284,54,11,2,1,15,22,3,0,1,0,1,5,250,6,2,11,16,14,11,1,2,0,0,0,6,3,66.7,445,84,190,187,76,9,445,15,7,5,8,2,6,10,60.0,4,3,2,1,5,20,30,0,0.5,0.5,-1.6,-0.7,0.3,0.2,0.5,0.5,-0.3,0.08,0,2.0,0.2,0.0
Empoli,Napoli,2024-10-20,L,H,0,1,-1,0,0,0,0,50,30,2,36.7,34.8,6,7,46.2,19,8,42.1,9,47.4,290,1574,829,21,12,7,1,14.3,2,0,0,14,13,0,0,0,0,0,0,0,4,25.0,26.0,11,0.0,0.0,4,36.4,21.0,1,1,0,1,0,44,2,14.7,353,437,80.8,9,28,7,0,39,6532,2152,139,159,87.4,176,198,88.9,36,64,56.3,1,1,0,0.0,1,0,0.0,0,0,0,389,47,12,1,3,19,22,7,1,3,0,1,13,349,12,5,12,9,21,15,2,0,1,2,1,1,0,100.0,537,52,188,233,126,20,537,20,13,10,9,1,10,18,55.6,8,10,3,7,10,30,10,0,0.7,0.7,-0.6,0.1,0.6,0.5,-0.7,-0.7,-0.6,0.06,1,0.8,0.0,-0.2
Empoli,Parma,2024-10-27,D,A,1,1,0,0,0,0,0,40,21,3,52.4,45.4,3,14,17.6,11,6,54.5,4,36.4,261,1362,674,15,7,16,1,6.3,4,0,0,17,12,0,0,0,0,0,0,0,12,41.7,36.8,5,0.0,0.0,1,20.0,18.3,0,2,0,1,0,39,0,7.0,295,381,77.4,4,14,2,0,23,5408,2137,115,136,84.6,150,170,88.2,26,63,41.3,1,0,0,,0,0,,0,0,0,335,44,13,1,2,12,14,3,1,1,0,2,8,292,7,8,13,11,9,5,1,2,0,1,0,4,3,75.0,486,69,211,207,77,12,486,15,10,9,5,1,7,13,53.8,6,9,5,4,8,23,30,0,0.2,0.2,-1.5,-0.7,0.1,0.2,-0.2,-0.2,-0.1,0.04,0,1.0,0.24,0.0
Empoli,Inter,2024-10-30,L,H,0,3,-3,0,0,0,0,23,24,3,58.3,44.7,10,15,40.0,11,3,27.3,7,63.6,138,690,282,4,2,19,0,0.0,1,1,0,12,12,0,0,0,0,0,0,0,9,44.4,35.1,6,0.0,0.0,1,16.7,18.2,1,3,0,0,0,26,0,9.0,182,242,75.2,3,9,1,1,13,3596,1240,64,74,86.5,94,107,87.9,22,50,44.0,0,0,0,,0,0,,0,0,0,196,43,13,0,1,7,16,1,0,0,0,3,5,180,2,3,13,7,10,7,0,0,2,1,0,5,2,40.0,351,77,171,119,63,9,351,10,6,5,4,1,5,8,62.5,3,11,4,7,9,19,33,1,0.3,0.3,-0.8,-0.8,0.1,0.2,-0.3,-0.3,-0.1,0.04,1,2.1,0.42,-0.9
