Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Fiorentina,Parma,2024-08-17,D,A,1,1,0,1,0,0,0,61,21,6,23.8,27.6,11,8,57.9,19,9,47.4,7,36.8,313,2131,1252,20,15,10,0,0.0,2,1,1,9,11,1,1,0,0,0,0,0,7,28.6,26.4,15,0.07,0.14,7,46.7,21.8,1,5,0,0,0,43,2,21.3,373,462,80.7,8,29,3,1,39,6747,1831,159,175,90.9,175,201,87.1,32,67,47.8,0,0,0,,0,0,,0,0,0,409,48,15,0,9,20,15,9,3,4,0,5,5,372,15,4,9,9,25,20,0,3,2,0,0,6,5,83.3,560,65,168,263,132,16,560,7,5,5,1,1,2,8,25.0,6,8,4,4,5,12,25,0,0.7,0.7,-1.0,-1.0,0.3,0.3,0.3,0.3,-0.3,0.05,1,1.5,0.26,0.5
Fiorentina,Venezia,2024-08-25,D,H,0,0,0,0,0,0,0,54,34,4,41.2,34.9,17,15,53.1,20,7,35.0,3,15.0,345,1500,679,18,11,8,0,0.0,1,0,0,13,19,0,0,0,0,0,0,0,4,25.0,26.5,14,0.0,0.0,8,57.1,19.6,1,1,0,0,0,35,0,,378,469,80.6,12,18,4,0,32,6601,2332,162,176,92.0,179,205,87.3,29,67,43.3,0,0,0,,0,0,,0,0,0,424,44,22,0,2,17,10,7,2,3,0,1,7,375,11,7,14,13,23,17,1,2,2,1,0,4,4,100.0,561,60,221,234,109,23,561,19,11,6,9,4,4,13,30.8,9,8,2,6,6,25,10,0,0.9,0.9,0.2,0.2,0.8,0.6,-0.9,-0.9,-0.8,0.06,1,0.8,0.21,0.8
Fiorentina,Monza,2024-09-01,D,H,2,2,0,2,0,0,0,68,23,4,13.0,20.7,21,22,48.8,14,8,57.1,6,42.9,472,2418,1082,23,22,2,1,50.0,2,0,0,11,21,4,1,2,1,0,0,0,0,,,18,0.11,0.33,6,33.3,12.2,0,1,0,0,0,29,1,11.3,552,658,83.9,14,35,7,4,46,10011,2870,224,252,88.9,261,287,90.9,58,96,60.4,0,0,0,,0,0,,0,0,0,595,62,22,0,2,29,30,7,1,5,0,1,8,547,22,4,11,10,35,22,6,3,2,2,0,3,1,33.3,739,35,154,400,189,32,739,20,11,9,7,4,9,11,81.8,2,3,1,2,5,25,7,0,2.0,2.0,1.7,1.7,1.5,1.6,0.0,0.0,0.5,0.12,0,0.8,0.26,-1.2
Fiorentina,Atalanta,2024-09-15,L,A,2,3,-1,2,0,0,0,49,25,3,56.0,38.0,17,22,43.6,17,7,41.2,8,47.1,277,1703,838,17,11,11,0,0.0,3,0,0,15,14,2,0,0,0,2,0,0,11,9.1,23.6,13,0.15,0.4,5,38.5,15.4,0,4,0,0,0,32,0,8.0,333,437,76.2,9,23,4,1,25,6561,2492,117,139,84.2,183,214,85.5,33,66,50.0,0,0,0,,0,0,,0,0,0,379,54,18,1,2,13,20,2,1,0,1,4,15,324,11,3,14,6,23,15,2,1,3,2,0,7,4,57.1,532,75,223,224,91,14,532,17,10,10,4,3,8,14,57.1,6,7,1,6,7,24,19,1,1.7,1.7,0.1,0.1,1.4,0.8,0.3,0.3,-0.4,0.16,0,1.9,0.27,-1.1
Fiorentina,Lazio,2024-09-22,W,H,2,1,1,0,2,2,0,46,21,6,14.3,24.9,18,10,64.3,15,11,73.3,4,26.7,292,1590,855,14,11,22,0,0.0,3,0,0,11,15,4,2,0,0,0,2,0,7,42.9,36.3,12,0.0,0.0,3,25.0,18.5,0,0,2,0,0,30,0,3.5,334,391,85.4,12,23,10,8,25,6720,2514,112,129,86.8,175,193,90.7,39,53,73.6,0,0,0,,0,0,,0,0,0,349,42,14,1,3,14,16,3,0,1,0,0,4,332,11,3,9,8,28,19,3,2,1,2,1,6,5,83.3,494,75,212,182,103,23,492,11,7,6,3,2,5,11,45.5,6,9,7,2,6,17,31,0,2.7,1.2,1.7,0.1,1.2,0.8,-0.7,-1.2,-1.2,0.1,0,0.7,0.12,-0.3
Fiorentina,Empoli,2024-09-29,D,A,0,0,0,0,0,0,0,62,30,5,23.3,30.3,16,10,61.5,21,9,42.9,11,52.4,407,2303,970,25,16,8,1,12.5,1,0,0,12,15,0,0,0,0,0,0,0,6,50.0,46.0,13,0.0,,0,0.0,18.4,1,1,0,0,0,47,1,13.7,487,580,84.0,8,43,10,3,51,10223,3397,147,166,88.6,237,264,89.8,91,130,70.0,0,0,0,,0,0,,0,0,0,530,49,15,0,10,17,23,4,2,1,0,1,3,484,16,7,16,13,23,16,1,3,1,1,1,1,1,100.0,682,58,211,336,138,24,682,16,11,8,6,2,4,16,25.0,12,12,3,9,10,26,12,0,0.7,0.7,0.3,0.3,0.4,0.6,-0.7,-0.7,-0.4,0.05,1,0.0,0.02,0.0
Fiorentina,Milan,2024-10-06,W,H,2,1,1,2,0,1,1,41,25,3,56.0,42.4,11,17,39.3,11,4,36.4,5,45.5,210,1280,512,11,10,22,1,4.5,2,0,0,11,21,4,1,2,0,0,1,0,9,66.7,50.9,11,0.18,1.0,2,18.2,20.6,1,4,1,2,0,35,0,4.0,258,339,76.1,7,19,4,1,20,4787,1810,111,125,88.8,120,145,82.8,24,54,44.4,2,0,2,100.0,0,2,100.0,0,0,0,284,51,19,1,2,14,21,0,0,0,0,4,9,258,10,4,4,5,24,15,3,3,0,3,0,8,5,87.5,438,80,177,176,92,15,437,16,7,8,6,2,8,18,44.4,10,9,3,6,8,24,29,0,1.5,0.7,-1.1,-0.3,0.5,0.3,0.5,1.3,1.5,0.06,1,3.0,0.16,2.0
Fiorentina,Lecce,2024-10-20,W,A,6,0,6,6,0,0,0,61,17,1,29.4,33.3,12,8,60.0,19,8,42.1,10,52.6,507,2441,1215,24,21,8,0,0.0,5,0,0,14,8,9,6,0,1,1,1,0,4,25.0,22.8,19,0.32,0.55,11,57.9,19.0,1,2,0,0,0,47,0,6.7,526,598,88.0,16,43,11,1,52,8523,2786,261,276,94.6,195,219,89.0,46,67,68.7,0,0,0,,0,0,,0,0,0,566,30,7,3,1,13,15,3,0,1,0,2,5,521,21,6,13,6,33,28,0,2,1,1,1,2,2,100.0,699,39,147,379,179,22,699,14,7,4,5,5,9,14,64.3,5,10,1,9,5,19,18,0,2.2,2.2,2.0,2.0,2.1,1.1,3.8,3.8,0.9,0.12,1,0.1,0.05,0.1
Fiorentina,Roma,2024-10-27,W,H,5,1,4,3,1,1,0,39,26,5,38.5,36.8,6,5,54.5,20,12,60.0,6,30.0,272,1901,1061,27,20,16,0,0.0,2,0,0,13,11,7,5,0,1,0,1,0,3,33.3,40.7,20,0.15,0.33,9,45.0,16.2,0,2,1,0,0,39,1,13.0,319,370,86.2,16,23,5,2,26,5860,2185,142,153,92.8,135,154,87.7,39,56,69.6,0,0,0,,0,0,,0,0,0,340,28,12,1,2,14,5,6,2,3,0,2,3,309,20,10,11,2,34,24,2,4,2,2,0,5,4,80.0,465,57,167,191,120,28,464,18,9,9,6,3,5,10,50.0,5,11,7,4,4,22,22,1,3.7,2.9,2.9,2.1,2.8,1.3,0.3,0.1,0.2,0.15,0,0.7,0.14,-0.3
Fiorentina,Genoa,2024-10-31,W,A,1,0,1,1,0,0,0,67,26,5,38.5,35.9,18,15,54.5,21,8,38.1,12,57.1,371,2264,1273,31,17,18,0,0.0,2,0,0,10,12,2,2,0,0,0,0,0,9,44.4,38.3,12,0.08,0.25,4,33.3,22.4,0,2,0,0,0,35,1,17.0,483,564,85.6,10,35,7,2,38,9051,2683,179,198,90.4,252,280,90.0,49,71,69.0,0,0,0,,0,0,,0,0,0,515,47,14,3,3,18,19,4,2,1,0,2,8,478,17,7,21,8,24,18,2,1,1,1,1,4,4,100.0,678,73,220,294,166,19,678,3,3,2,1,0,1,4,25.0,3,11,4,7,6,9,31,2,0.5,0.5,-0.5,-0.5,0.3,0.9,0.5,0.5,-0.3,0.04,0,1.7,0.41,1.7
Fiorentina,Torino,2024-11-03,W,A,1,0,1,1,0,0,0,46,30,4,60.0,43.4,14,9,60.9,8,2,25.0,4,50.0,400,1880,875,14,11,8,1,12.5,1,0,0,12,15,2,2,0,0,0,0,0,9,33.3,37.1,8,0.13,0.33,3,37.5,22.7,2,2,0,0,0,29,0,4.0,391,469,83.4,6,31,5,0,29,7259,2423,175,189,92.6,156,176,88.6,52,80,65.0,0,0,0,,0,0,,0,0,0,430,37,16,2,2,13,8,3,0,1,0,2,4,387,11,1,17,5,13,10,1,0,0,2,0,1,1,100.0,562,57,168,287,110,7,562,17,13,11,6,0,9,11,81.8,2,7,1,6,7,24,18,0,0.6,0.6,0.0,0.0,0.5,0.4,0.4,0.4,0.5,0.07,2,0.1,0.08,0.1
Fiorentina,Hellas Verona,2024-11-10,W,H,3,1,2,3,0,0,0,61,20,5,40.0,31.0,16,14,53.3,20,8,40.0,11,55.0,328,1622,797,13,8,10,0,0.0,1,0,0,1,16,6,4,1,1,0,0,0,5,60.0,51.2,11,0.27,0.5,6,54.5,14.0,0,6,0,0,0,31,1,13.2,371,478,77.6,9,33,10,1,46,7309,2640,145,161,90.1,176,208,84.6,46,78,59.0,0,0,0,,0,0,,0,0,0,405,67,21,2,3,21,31,8,2,4,0,6,15,363,8,5,14,10,20,16,1,2,1,0,0,2,1,50.0,576,34,125,305,151,23,576,18,7,7,9,2,6,12,50.0,6,9,3,6,3,21,11,0,1.9,1.9,1.5,1.5,1.8,1.5,1.1,1.1,1.2,0.18,0,0.6,0.3,-0.4
Fiorentina,Como,2024-11-24,W,A,2,0,2,2,0,0,0,43,24,4,29.2,32.4,11,12,47.8,13,7,53.8,6,46.2,268,1890,1060,22,13,15,0,0.0,1,0,0,15,8,4,4,0,0,0,0,0,11,54.5,44.3,8,0.25,0.5,4,50.0,12.8,0,3,0,0,0,40,0,,330,419,78.8,7,29,8,1,36,6652,2514,118,138,85.5,162,194,83.5,50,76,65.8,0,0,0,,0,0,,0,0,0,372,44,11,0,2,13,17,4,3,0,0,3,7,323,13,5,11,11,14,11,0,1,1,0,1,4,4,100.0,509,63,186,245,84,20,509,12,12,3,7,2,8,14,57.1,6,6,1,5,9,21,27,0,0.8,0.8,-0.3,-0.3,0.7,0.5,1.2,1.2,1.3,0.1,0,0.8,0.25,0.8
