Team,Opp,Date,Result,H/A,GF,GA,GD,PK,PKm,G-PK,Poss,PKatt,Comp,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Inter,Genoa,2024-08-17,D,A,2,2,0,0,0,2,68,0,it Serie A,25,4,0.0,20.3,24,12,66.7,11,4,36.4,6,54.5,438,2234,1135,16,18,11,0,0.0,2,0,0,16,12,4,4,0,0,0,0,0,5,20.0,27.2,17,0.12,0.29,7,41.2,13.7,1,6,0,1,0,31,1,21.5,457,541,84.5,11,35,8,3,51,8053,2510,190,210,90.5,237,265,89.4,27,52,51.9,1,0,1,100.0,0,1,100.0,0,0,0,486,49,15,3,4,20,22,4,0,4,0,6,5,455,18,6,13,4,25,18,3,0,4,0,0,7,4,71.4,634,49,142,331,167,25,634,11,6,4,3,4,4,13,30.8,9,5,1,4,3,14,17,1,1.9,1.9,-0.2,0.7,1.2,1.6,0.1,0.1,0.8,0.12,1,2.1,0.16,0.1
Fiorentina,Parma,2024-08-17,D,A,1,1,0,0,0,1,61,0,it Serie A,21,6,23.8,27.6,11,8,57.9,19,9,47.4,7,36.8,313,2131,1252,20,15,10,0,0.0,2,1,1,9,11,1,1,0,0,0,0,0,7,28.6,26.4,15,0.07,0.14,7,46.7,21.8,1,5,0,0,0,43,2,21.3,373,462,80.7,8,29,3,1,39,6747,1831,159,175,90.9,175,201,87.1,32,67,47.8,0,0,0,,0,0,,0,0,0,409,48,15,0,9,20,15,9,3,4,0,5,5,372,15,4,9,9,25,20,0,3,2,0,0,6,5,83.3,560,65,168,263,132,16,560,7,5,5,1,1,2,8,25.0,6,8,4,4,5,12,25,0,0.7,0.7,-1.0,-1.0,0.3,0.3,0.3,0.3,-0.3,0.05,1,1.5,0.26,0.5
Monza,Empoli,2024-08-17,D,A,0,0,0,0,0,0,61,0,it Serie A,30,2,46.7,36.8,22,16,57.9,11,4,36.4,6,54.5,352,1554,558,5,3,13,0,0.0,2,0,0,19,16,0,0,0,0,0,0,0,10,50.0,36.4,6,0.0,0.0,1,16.7,16.0,0,1,0,0,0,30,1,10.0,369,485,76.1,5,11,2,0,15,6545,2026,146,170,85.9,175,208,84.1,33,77,42.9,0,0,0,,0,0,,0,0,0,423,61,20,0,2,13,27,3,2,1,0,1,6,364,3,1,15,11,10,6,2,0,1,1,0,2,2,100.0,575,83,270,248,61,12,575,14,10,7,6,1,8,14,57.1,6,8,6,2,8,22,18,0,0.3,0.3,-0.1,-0.1,0.3,0.4,-0.3,-0.3,-0.3,0.06,0,0.2,0.09,0.2
Genoa,Inter,2024-08-17,D,H,2,2,0,0,1,2,32,1,it Serie A,25,3,52.0,41.3,12,24,33.3,15,9,60.0,4,26.7,175,1014,439,9,7,17,1,5.9,1,0,0,16,14,2,0,0,0,2,0,0,8,75.0,54.0,12,0.17,0.33,6,50.0,19.2,1,0,0,0,0,27,0,4.0,188,260,72.3,5,15,3,2,16,3784,1560,76,86,88.4,77,100,77.0,33,66,50.0,0,0,0,,0,0,,0,0,0,216,44,20,1,1,12,12,1,0,1,0,0,3,183,7,1,14,7,20,10,2,2,2,4,0,7,5,71.4,363,68,145,153,71,14,362,10,4,6,3,1,6,10,60.0,4,9,3,6,12,22,22,1,2.1,1.2,0.2,-0.7,0.3,0.5,-0.1,0.8,-0.3,0.1,1,2.9,0.41,0.9
Empoli,Monza,2024-08-17,D,H,0,0,0,0,0,0,39,0,it Serie A,15,2,73.3,48.7,16,22,42.1,16,6,37.5,8,50.0,174,939,463,8,9,11,1,9.1,0,0,0,16,18,0,0,0,0,0,0,0,4,50.0,39.0,11,0.0,0.0,2,18.2,17.8,1,4,0,0,0,41,0,3.0,198,307,64.5,7,23,3,0,35,3341,1417,97,132,73.5,74,100,74.0,17,49,34.7,0,0,0,,0,0,,0,0,0,252,51,19,0,2,21,20,7,2,4,0,4,4,194,9,3,17,6,17,6,5,2,1,3,0,1,1,100.0,403,38,88,205,117,14,403,17,9,3,10,4,6,10,60.0,4,9,3,6,4,21,21,0,0.5,0.5,0.1,0.1,0.3,0.3,-0.5,-0.5,-0.3,0.04,1,0.1,0.14,0.1
Torino,Milan,2024-08-17,D,A,2,2,0,0,0,1,44,0,it Serie A,46,8,34.8,34.8,8,20,28.6,5,4,80.0,1,20.0,325,1825,980,12,11,30,1,3.3,4,0,0,7,10,2,2,0,0,0,0,0,12,58.3,55.4,7,0.14,0.33,3,42.9,16.3,0,1,0,0,0,21,0,9.4,378,443,85.3,7,11,2,0,17,6837,2166,168,179,93.9,158,174,90.8,46,77,59.7,0,0,0,,0,0,,0,0,0,400,42,12,1,2,10,13,2,2,0,0,1,2,376,11,3,7,7,14,13,1,0,0,0,0,5,3,60.0,524,108,271,194,63,8,524,8,3,5,2,1,3,11,27.3,8,12,11,1,2,10,30,1,1.0,1.0,-1.1,-1.1,1.0,0.8,0.0,0.0,0.0,0.14,0,0.8,0.17,-1.2
Parma,Fiorentina,2024-08-17,D,H,1,1,0,0,0,1,39,0,it Serie A,31,7,38.7,37.3,8,11,42.1,11,6,54.5,2,18.2,163,872,524,17,5,17,1,5.9,3,0,0,15,9,2,2,0,0,0,0,0,6,50.0,41.0,14,0.07,0.17,6,42.9,16.6,0,1,0,0,0,35,2,15.9,217,298,72.8,11,20,4,1,24,3975,1925,98,125,78.4,87,101,86.1,27,59,45.8,0,0,0,,0,0,,1,0,0,257,40,14,4,3,11,14,4,0,1,0,1,4,215,5,8,17,5,23,16,1,1,2,1,2,7,6,85.7,411,68,167,140,109,20,411,16,7,7,5,4,7,16,43.8,9,9,5,4,8,24,29,0,1.7,1.7,1.0,1.0,1.0,0.5,-0.7,-0.7,0.0,0.13,0,1.5,0.21,0.5
Milan,Torino,2024-08-17,D,H,2,2,0,0,0,2,56,0,it Serie A,28,8,10.7,24.4,20,8,71.4,12,8,66.7,3,25.0,399,2155,1269,31,21,7,1,14.3,2,0,0,10,7,3,2,0,0,1,0,0,2,50.0,41.0,26,0.08,0.4,5,19.2,18.5,0,2,0,0,1,37,4,22.0,485,554,87.5,19,41,14,6,72,8414,2684,225,239,94.1,202,232,87.1,49,68,72.1,0,0,0,,0,0,,0,0,1,518,34,8,1,5,39,12,9,4,1,0,2,3,484,21,11,9,5,46,30,6,3,6,1,0,3,2,33.3,636,33,127,258,253,38,636,8,6,4,3,1,1,5,20.0,4,3,1,2,4,12,9,0,2.1,2.1,1.1,1.1,1.3,1.3,-0.1,-0.1,-0.3,0.08,0,1.3,0.44,0.3
Venezia,Lazio,2024-08-18,L,A,1,3,-2,0,0,1,33,0,it Serie A,22,4,22.7,26.9,10,12,45.5,7,4,57.1,3,42.9,259,1259,675,14,7,21,0,0.0,2,0,0,11,13,2,2,0,0,0,0,0,8,12.5,25.4,11,0.09,0.5,2,18.2,19.9,1,1,0,1,1,33,1,16.5,249,316,78.8,8,16,5,1,15,4055,1543,110,124,88.7,114,138,82.6,15,31,48.4,1,1,0,0.0,1,0,0.0,0,0,1,275,40,13,0,0,12,12,3,0,3,0,1,12,242,7,3,16,10,20,17,1,1,0,1,0,6,4,66.7,407,63,161,166,84,18,407,16,8,7,5,4,3,11,27.3,8,6,2,4,12,28,22,1,0.6,0.6,-1.8,-1.0,0.4,0.4,0.4,0.4,0.6,0.06,1,1.5,0.12,-0.5
Napoli,Hellas Verona,2024-08-18,L,A,0,3,-3,0,0,0,67,0,it Serie A,26,8,3.8,21.2,23,13,63.9,20,8,40.0,7,35.0,396,2401,1289,20,16,5,1,20.0,1,0,0,13,15,0,0,0,0,0,0,0,8,25.0,24.3,14,0.0,0.0,4,28.6,17.8,0,0,0,0,0,39,2,21.2,492,592,83.1,10,36,8,3,54,8222,2885,230,255,90.2,233,270,86.3,25,49,51.0,0,0,0,,0,0,,0,0,0,537,55,17,0,1,17,21,5,3,1,0,0,11,490,16,4,10,11,21,16,3,0,2,0,0,4,1,25.0,668,41,145,374,155,18,668,8,6,2,6,0,3,9,33.3,6,3,0,3,5,13,8,0,1.0,1.0,-0.8,-0.8,0.6,0.6,-1.0,-1.0,-0.6,0.07,0,3.0,0.75,0.0
