Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Genoa,Inter,2024-08-17,D,H,2,2,0,2,0,1,1,32,25,3,52.0,41.3,12,24,33.3,15,9,60.0,4,26.7,175,1014,439,9,7,17,1,5.9,1,0,0,16,14,2,0,0,0,2,0,0,8,75.0,54.0,12,0.17,0.33,6,50.0,19.2,1,0,0,0,0,27,0,4.0,188,260,72.3,5,15,3,2,16,3784,1560,76,86,88.4,77,100,77.0,33,66,50.0,0,0,0,,0,0,,0,0,0,216,44,20,1,1,12,12,1,0,1,0,0,3,183,7,1,14,7,20,10,2,2,2,4,0,7,5,71.4,363,68,145,153,71,14,362,10,4,6,3,1,6,10,60.0,4,9,3,6,12,22,22,1,2.1,1.2,0.2,-0.7,0.3,0.5,-0.1,0.8,-0.3,0.1,1,2.9,0.41,0.9
Genoa,Monza,2024-08-24,W,A,1,0,1,1,0,0,0,31,27,2,33.3,34.5,14,24,36.8,10,3,30.0,7,70.0,178,1046,557,14,14,20,0,0.0,3,0,0,17,5,1,1,0,0,0,0,0,8,87.5,62.4,11,0.09,1.0,1,9.1,22.3,0,1,0,0,0,34,0,14.0,226,301,75.1,10,15,3,1,19,4318,1926,105,118,89.0,86,111,77.5,30,56,53.6,0,0,0,,0,0,,0,0,0,264,36,7,0,2,16,17,3,1,2,0,1,4,221,14,2,14,4,16,11,3,0,2,0,0,2,2,100.0,409,53,154,172,89,12,409,12,7,3,5,4,3,9,33.3,6,9,2,7,3,15,29,0,0.7,0.7,0.2,0.2,0.7,0.3,0.3,0.3,0.3,0.06,0,0.1,0.03,0.1
Genoa,Hellas Verona,2024-09-01,L,H,0,2,-2,0,0,0,0,58,26,4,26.9,29.2,31,19,62.0,12,4,33.3,7,58.3,306,1618,890,13,13,12,1,8.3,2,0,0,8,16,0,0,0,0,0,0,0,8,12.5,22.5,11,0.0,0.0,1,9.1,19.3,1,1,0,1,0,31,0,5.5,399,509,78.4,6,35,9,3,44,7500,2966,145,174,83.3,206,233,88.4,39,79,49.4,1,1,0,0.0,1,0,0.0,0,0,0,458,50,16,0,3,22,20,3,0,3,0,1,6,395,13,2,16,12,21,16,1,1,1,2,0,3,1,66.7,602,49,193,304,112,16,602,14,8,6,7,1,4,10,40.0,6,9,2,7,4,18,17,0,1.5,1.5,0.0,0.8,1.3,1.0,-1.5,-1.5,-1.3,0.14,1,1.3,0.1,-0.7
Genoa,Roma,2024-09-15,D,H,1,1,0,1,0,0,0,48,20,4,10.0,25.2,16,12,57.1,10,4,40.0,4,40.0,312,1604,890,17,8,10,0,0.0,1,0,0,9,12,2,2,0,0,0,0,0,10,40.0,35.5,20,0.05,0.14,7,35.0,16.9,2,1,0,0,0,43,2,22.0,346,435,79.5,14,34,12,7,38,5966,2069,151,167,90.4,147,171,86.0,32,66,48.5,0,0,0,,0,0,,0,0,0,391,43,11,0,2,32,16,4,1,2,0,1,10,343,8,2,10,15,33,24,4,0,2,3,0,5,4,80.0,556,53,161,239,159,26,556,25,15,9,11,5,11,20,55.0,9,10,3,7,10,35,13,0,1.2,1.2,-1.0,-1.0,0.9,1.1,-0.2,-0.2,0.1,0.06,2,1.5,0.32,0.5
Genoa,Venezia,2024-09-21,L,A,0,2,-2,0,0,0,0,51,19,2,26.3,33.8,17,15,53.1,9,3,33.3,6,66.7,296,1596,852,15,13,8,0,0.0,3,0,0,12,7,0,0,0,0,0,0,0,10,40.0,40.0,9,0.0,,0,0.0,14.8,0,7,0,1,0,41,0,5.0,342,433,79.0,9,19,4,2,24,5936,2116,151,170,88.8,144,162,88.9,38,71,53.5,1,0,1,100.0,0,1,100.0,0,0,0,387,39,9,1,2,13,13,4,2,2,0,7,10,339,13,4,12,6,18,11,4,0,1,0,2,4,1,50.0,536,51,184,250,108,14,536,16,10,7,7,2,3,11,27.3,8,8,3,5,15,31,19,1,0.5,0.5,-1.2,-0.4,0.5,0.3,-0.5,-0.5,-0.5,0.06,0,2.0,0.34,0.0
Genoa,Juventus,2024-09-28,L,H,0,3,-3,0,0,0,0,35,33,2,24.2,30.8,13,8,61.9,7,0,0.0,4,57.1,224,1307,646,12,15,14,0,0.0,2,0,0,8,14,0,0,0,0,0,0,0,9,11.1,23.7,7,0.0,0.0,2,28.6,21.1,2,0,0,1,0,23,0,4.0,282,356,79.2,5,12,4,1,17,5388,1938,115,133,86.5,124,138,89.9,37,61,60.7,1,1,0,0.0,1,0,0.0,0,0,0,311,45,12,0,2,13,15,5,2,3,0,0,11,279,15,0,9,12,12,8,1,0,1,2,0,3,0,33.3,445,77,187,172,89,10,445,12,5,6,4,2,6,17,35.3,11,6,2,4,13,25,20,0,0.4,0.4,-2.2,-1.4,0.3,0.4,-0.4,-0.4,-0.3,0.06,2,1.7,0.25,-1.3
Genoa,Atalanta,2024-10-05,L,A,1,5,-4,1,0,0,0,37,34,4,14.7,29.6,12,7,63.2,8,3,37.5,4,50.0,198,1254,472,5,5,11,0,0.0,0,0,0,15,9,2,2,0,0,0,0,0,13,23.1,27.3,7,0.14,0.5,2,28.6,19.0,0,1,0,1,0,32,0,7.0,296,366,80.9,7,10,5,3,15,5848,2369,97,115,84.3,162,183,88.5,32,50,64.0,1,1,0,0.0,1,0,0.0,0,1,0,325,40,10,3,2,10,9,2,1,0,0,1,4,292,5,0,12,6,13,8,2,2,0,1,0,8,3,50.0,471,96,231,181,63,12,471,17,14,9,5,3,11,19,57.9,8,11,5,6,8,25,32,0,0.7,0.7,-2.9,-2.1,0.7,0.5,0.3,0.3,0.3,0.1,0,2.8,0.27,-2.2
Genoa,Bologna,2024-10-19,D,H,2,2,0,2,0,0,0,39,30,4,53.3,37.8,15,19,44.1,10,3,30.0,6,60.0,183,858,431,8,5,17,0,0.0,2,0,0,20,9,4,2,1,0,0,1,0,5,80.0,51.8,10,0.2,0.5,4,40.0,20.5,0,3,0,0,0,38,3,14.0,204,307,66.4,9,10,5,1,23,3448,1668,98,114,86.0,80,111,72.1,16,53,30.2,0,0,0,,0,0,,0,1,0,265,39,14,0,0,13,16,1,1,0,0,3,6,199,5,2,15,5,19,16,1,1,0,1,0,7,5,71.4,405,71,143,164,101,18,405,17,10,7,5,5,5,10,50.0,5,10,4,6,5,22,19,0,0.4,0.4,-0.2,-0.2,0.4,0.4,1.6,1.6,1.6,0.04,0,1.7,0.25,-0.3
Genoa,Lazio,2024-10-27,L,A,0,3,-3,0,0,0,0,39,31,4,22.6,26.6,16,18,47.1,13,7,53.8,5,38.5,191,1241,557,7,5,20,0,0.0,1,0,0,6,11,0,0,0,0,0,0,0,12,33.3,33.0,6,0.0,0.0,2,33.3,21.8,0,0,0,0,0,33,0,2.3,299,390,76.7,2,18,1,1,23,5839,2468,113,142,79.6,143,172,83.1,36,61,59.0,0,0,0,,0,0,,0,1,0,338,52,13,0,1,14,19,4,3,0,0,0,8,298,5,1,16,8,8,5,2,0,1,0,0,4,1,25.0,497,78,213,202,86,15,497,19,11,9,9,1,6,16,37.5,10,11,3,8,4,23,28,1,0.3,0.3,-1.9,-1.9,0.1,0.4,-0.3,-0.3,-0.1,0.05,0,2.8,0.69,-0.2
Genoa,Fiorentina,2024-10-31,L,H,0,1,-1,0,0,0,0,33,18,4,61.1,42.7,15,18,45.5,4,3,75.0,1,25.0,162,855,461,9,7,12,1,8.3,4,0,0,13,10,0,0,0,0,0,0,0,4,25.0,29.0,14,0.0,0.0,4,28.6,18.3,1,1,0,0,0,28,0,4.0,182,274,66.4,8,22,6,1,22,3391,1691,84,102,82.4,67,88,76.1,24,61,39.3,0,0,0,,0,0,,0,0,0,235,38,10,0,1,22,18,4,4,0,0,1,9,178,7,1,15,2,25,20,2,0,0,3,0,4,3,75.0,371,52,127,141,108,18,371,20,11,11,7,2,12,20,60.0,8,12,6,6,2,22,20,0,0.9,0.9,0.5,0.5,0.7,0.4,-0.9,-0.9,-0.7,0.07,1,0.9,0.22,-0.1
