Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Hellas Verona,Napoli,2024-08-18,W,H,3,0,3,3,0,0,0,33,27,1,74.1,49.8,13,23,36.1,11,6,54.5,3,27.3,162,921,390,5,4,17,0,0.0,4,0,0,15,13,5,3,0,0,1,0,1,10,100.0,65.4,9,0.33,0.75,4,44.4,16.1,0,2,0,0,0,44,1,13.5,195,296,65.9,8,13,6,2,18,3478,1407,93,109,85.3,73,101,72.3,20,69,29.0,0,0,0,,0,0,,0,0,0,260,34,13,1,3,9,9,1,0,1,0,2,4,194,4,2,9,5,16,10,1,1,2,0,2,4,4,100.0,390,57,160,168,68,10,390,18,10,6,11,1,7,15,46.7,8,13,2,11,10,28,23,2,1.7,1.7,0.8,0.8,1.8,0.5,1.3,1.3,1.2,0.21,0,0.7,0.17,0.7
Hellas Verona,Juventus,2024-08-26,L,H,0,3,-3,0,0,0,0,40,15,3,26.7,29.7,2,9,18.2,19,9,47.4,10,52.6,350,2062,1002,20,20,2,0,0.0,2,0,0,8,8,0,0,0,0,0,0,0,0,,,7,0.0,0.0,1,14.3,17.3,2,1,0,1,0,38,1,18.0,356,434,82.0,3,36,4,0,36,5910,1560,173,190,91.1,141,172,82.0,28,46,60.9,1,1,0,0.0,1,0,0.0,0,0,0,395,38,7,1,7,20,23,4,2,2,0,1,6,353,20,6,12,12,11,8,0,1,0,2,0,5,2,60.0,519,26,102,267,158,14,519,14,8,5,6,3,7,13,53.8,6,11,2,9,8,22,10,1,0.5,0.5,-0.7,0.1,0.2,0.6,-0.5,-0.5,-0.2,0.07,2,1.5,0.16,-1.5
Hellas Verona,Genoa,2024-09-01,W,A,2,0,2,1,1,1,0,42,25,3,68.0,44.8,19,31,38.0,10,6,60.0,4,40.0,202,1175,614,12,9,17,2,11.8,6,0,0,16,5,3,2,1,0,0,0,0,12,83.3,58.6,9,0.11,0.5,2,22.2,20.3,0,1,0,0,0,33,0,12.2,258,362,71.3,7,19,6,2,24,4450,1881,134,157,85.4,89,118,75.4,26,69,37.7,0,0,0,,0,0,,0,0,0,325,36,8,0,2,14,14,1,0,0,0,1,7,256,9,4,15,10,18,15,2,0,0,1,0,1,1,100.0,472,58,171,209,93,17,471,19,9,8,11,0,7,11,63.6,4,8,3,5,6,25,26,0,1.5,0.7,0.0,-0.8,0.7,0.4,0.5,0.3,-0.7,0.08,0,0.0,0.05,0.0
Hellas Verona,Lazio,2024-09-16,L,A,1,2,-1,1,0,0,0,45,16,3,31.3,33.0,19,15,55.9,18,7,38.9,8,44.4,318,1916,940,11,8,19,1,5.3,2,0,0,10,12,2,2,0,0,0,0,0,7,42.9,34.7,7,0.14,0.5,2,28.6,19.6,0,3,0,0,0,46,2,18.3,360,447,80.5,6,22,1,1,32,6153,2062,155,170,91.2,166,191,86.9,28,58,48.3,0,0,0,,0,0,,0,1,0,406,38,13,2,5,17,9,6,5,1,0,3,6,358,8,4,7,7,13,10,2,1,0,0,0,7,5,71.4,542,65,200,281,70,8,542,11,7,6,5,0,7,15,46.7,8,8,3,5,10,21,21,1,0.8,0.8,-0.4,-0.4,0.7,0.3,0.2,0.2,0.3,0.12,0,2.2,0.33,0.2
Hellas Verona,Torino,2024-09-20,L,H,2,3,-1,2,0,0,0,30,22,2,45.5,37.0,17,25,40.5,14,6,42.9,6,42.9,226,1109,588,15,6,17,2,11.8,3,1,0,10,6,4,2,1,0,0,0,1,9,100.0,63.0,8,0.25,1.0,2,25.0,19.7,0,0,0,1,0,35,0,6.2,240,338,71.0,7,14,1,0,23,4205,1474,109,135,80.7,102,116,87.9,21,69,30.4,1,0,0,,0,0,,0,0,0,301,37,10,0,1,15,9,5,1,3,0,0,3,239,6,4,5,8,14,10,2,1,0,0,1,3,0,0.0,419,56,176,188,58,10,419,13,8,8,4,1,6,9,66.7,3,14,7,7,12,25,17,1,0.5,0.5,-1.7,-1.0,0.5,0.3,1.5,1.5,1.5,0.06,0,1.3,0.44,-1.7
Hellas Verona,Como,2024-09-29,L,A,2,3,-1,1,1,1,0,29,19,2,63.2,45.8,15,16,48.4,15,7,46.7,8,53.3,174,913,386,5,5,14,0,0.0,5,1,1,19,10,4,2,0,1,0,1,0,8,75.0,54.9,5,0.2,0.5,2,40.0,20.5,1,1,1,0,0,28,0,4.0,185,257,72.0,2,13,3,0,17,2922,1097,90,102,88.2,72,88,81.8,12,50,24.0,0,0,0,,0,0,,0,0,0,216,40,10,0,0,4,17,1,1,0,0,1,4,185,5,0,12,7,10,5,1,1,0,3,0,11,8,72.7,366,56,164,151,57,5,365,17,8,6,7,4,10,16,62.5,6,15,6,9,10,27,19,1,1.1,0.4,-1.1,-1.9,0.2,0.2,0.9,0.6,0.8,0.07,1,1.7,0.16,-1.3
Hellas Verona,Venezia,2024-10-04,W,H,2,1,1,1,0,0,0,51,16,2,50.0,41.4,23,16,59.0,14,6,42.9,6,42.9,275,1246,545,14,14,15,0,0.0,3,0,0,10,5,2,2,0,0,0,0,0,9,100.0,62.4,20,0.05,0.33,3,15.0,12.3,0,1,0,0,0,43,0,2.5,315,422,74.6,17,31,11,3,38,6108,2401,136,159,85.5,127,154,82.5,45,83,54.2,0,0,0,,0,0,,0,1,0,367,54,5,1,6,33,25,13,8,3,0,1,9,312,14,6,15,10,34,22,6,1,4,0,1,2,1,50.0,540,53,148,223,182,26,540,16,11,5,9,2,6,10,60.0,4,8,4,4,7,23,27,0,2.3,2.3,1.4,1.4,2.2,2.1,-1.3,-1.3,-1.2,0.12,0,0.9,0.47,-0.1
Hellas Verona,Monza,2024-10-21,L,H,0,3,-3,0,0,0,0,59,18,4,50.0,40.2,13,26,33.3,19,7,36.8,10,52.6,375,1820,857,19,19,12,3,25.0,3,0,0,8,13,0,0,0,0,0,0,0,6,100.0,58.0,16,0.0,0.0,4,25.0,17.1,0,1,0,0,0,36,0,6.5,425,531,80.0,14,33,8,3,48,7402,2104,189,213,88.7,184,207,88.9,40,81,49.4,0,0,0,,0,0,,0,0,0,480,50,14,1,3,30,17,9,2,6,0,1,16,418,19,4,20,6,31,22,4,1,0,4,0,4,1,25.0,638,38,135,316,193,20,638,18,14,6,6,6,7,11,63.6,4,9,2,7,6,24,12,1,0.9,0.9,-0.5,-0.5,0.8,0.7,-0.9,-0.9,-0.8,0.06,0,1.7,0.43,-1.3
Hellas Verona,Atalanta,2024-10-26,L,A,1,6,-5,1,0,0,0,31,13,1,69.2,50.5,13,12,52.0,19,7,36.8,10,52.6,225,1244,540,11,9,10,0,0.0,1,0,0,15,3,2,2,0,0,0,0,0,11,100.0,67.4,4,0.25,0.5,2,50.0,21.1,0,2,0,0,0,44,0,3.0,286,373,76.7,3,17,2,1,21,4962,1966,139,157,88.5,117,136,86.0,26,60,43.3,0,0,0,,0,0,,0,0,0,335,36,4,1,0,7,12,2,2,0,0,2,5,286,9,2,8,5,6,6,0,0,0,0,0,10,4,40.0,472,48,174,219,86,5,472,26,15,15,10,1,11,19,57.9,8,8,3,5,10,36,16,0,0.2,0.2,-2.1,-2.1,0.2,0.3,0.8,0.8,0.8,0.05,0,4.2,0.47,-1.8
Hellas Verona,Lecce,2024-10-29,L,A,0,1,-1,0,0,0,0,42,16,2,68.8,51.4,13,14,48.1,15,7,46.7,5,33.3,241,1409,644,8,11,18,1,5.6,3,2,1,21,13,0,0,0,0,0,0,0,7,71.4,54.1,7,0.0,0.0,1,14.3,24.5,1,0,0,0,0,34,3,22.3,273,363,75.2,3,20,0,0,28,5030,1835,109,132,82.6,136,158,86.1,25,60,41.7,0,0,0,,0,0,,0,0,0,316,47,15,0,3,7,19,4,3,0,0,0,5,271,11,1,12,10,10,4,1,1,1,2,1,6,5,83.3,452,48,149,236,71,3,452,19,13,8,7,4,9,18,50.0,9,5,2,3,5,24,22,0,0.3,0.3,-1.4,-1.4,0.2,0.1,-0.3,-0.3,-0.2,0.04,1,2.0,0.34,1.0
