Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Inter,Genoa,2024-08-17,D,A,2,2,0,2,0,0,0,68,25,4,0.0,20.3,24,12,66.7,11,4,36.4,6,54.5,438,2234,1135,16,18,11,0,0.0,2,0,0,16,12,4,4,0,0,0,0,0,5,20.0,27.2,17,0.12,0.29,7,41.2,13.7,1,6,0,1,0,31,1,21.5,457,541,84.5,11,35,8,3,51,8053,2510,190,210,90.5,237,265,89.4,27,52,51.9,1,0,1,100.0,0,1,100.0,0,0,0,486,49,15,3,4,20,22,4,0,4,0,6,5,455,18,6,13,4,25,18,3,0,4,0,0,7,4,71.4,634,49,142,331,167,25,634,11,6,4,3,4,4,13,30.8,9,5,1,4,3,14,17,1,1.9,1.9,-0.2,0.7,1.2,1.6,0.1,0.1,0.8,0.12,1,2.1,0.16,0.1
Inter,Lecce,2024-08-24,W,H,2,0,2,1,1,1,0,61,25,9,0.0,23.2,15,7,68.2,6,0,0.0,5,83.3,489,2308,1316,10,11,12,1,8.3,0,0,0,9,12,3,1,0,0,1,1,0,5,20.0,20.0,10,0.1,0.5,2,20.0,15.2,1,4,1,0,0,41,1,13.2,550,634,86.8,6,38,13,2,51,9404,3118,252,265,95.1,239,263,90.9,39,59,66.1,0,0,0,,0,0,,0,0,0,587,43,10,5,4,22,17,10,7,0,0,4,11,548,11,1,16,6,16,9,1,0,2,3,1,4,4,100.0,721,54,195,347,184,25,720,14,12,5,5,4,6,8,75.0,2,4,2,2,6,20,16,0,2.4,1.6,2.1,1.3,1.4,1.7,-0.4,-0.6,-0.4,0.16,1,0.4,0.11,0.4
Inter,Atalanta,2024-08-30,W,H,4,0,4,3,0,0,0,55,56,6,14.3,23.8,8,8,50.0,12,4,33.3,7,58.3,423,2088,1029,15,11,13,1,7.7,0,0,0,6,14,3,2,1,0,0,0,0,8,0.0,13.4,13,0.23,0.75,4,30.8,17.9,0,5,0,0,0,22,0,7.3,487,549,88.7,9,23,9,4,26,8652,2773,207,222,93.2,229,244,93.9,46,70,65.7,0,0,0,,0,0,,0,0,0,499,45,16,2,0,11,17,3,0,1,0,5,4,482,11,4,6,6,23,18,4,0,0,1,0,1,1,100.0,633,123,318,226,94,25,633,17,9,11,4,2,7,12,58.3,5,10,4,6,3,20,21,0,1.3,1.3,-0.1,-0.1,0.9,1.3,1.7,1.7,0.1,0.1,0,0.1,0.12,0.1
Inter,Monza,2024-09-15,D,A,1,1,0,1,0,0,0,60,14,2,14.3,23.1,15,24,38.5,8,1,12.5,5,62.5,373,2470,1312,17,19,11,0,0.0,2,0,0,19,10,2,2,0,0,0,0,0,2,0.0,24.5,16,0.06,0.5,2,12.5,14.8,0,2,0,0,0,43,0,11.5,556,644,86.3,10,53,13,5,59,9329,2704,247,276,89.5,271,294,92.2,29,50,58.0,0,0,0,,0,0,,0,0,0,600,42,12,3,1,28,18,8,0,4,0,2,8,549,19,3,8,8,29,22,3,1,1,2,0,2,1,50.0,723,23,88,423,216,26,723,15,6,5,9,1,5,16,31.3,11,6,1,5,4,19,9,0,1.7,1.7,1.4,1.4,0.9,1.2,-0.7,-0.7,-0.9,0.1,0,0.6,0.31,-0.4
Inter,Milan,2024-09-22,L,H,1,2,-1,1,0,0,0,57,23,3,21.7,28.3,13,10,56.5,6,3,50.0,3,50.0,390,1773,1020,14,12,6,0,0.0,4,0,0,13,4,2,1,0,1,0,0,0,5,0.0,19.6,13,0.08,0.25,4,30.8,17.7,0,2,0,0,0,30,0,13.4,482,558,86.4,11,34,14,8,47,8889,2459,189,208,90.9,248,268,92.5,42,68,61.8,0,0,0,,0,0,,0,0,0,513,43,4,1,5,24,25,6,4,1,0,2,7,479,12,1,5,7,23,18,0,3,1,0,1,8,6,75.0,654,61,167,335,153,26,654,11,7,5,5,1,6,15,40.0,9,9,3,6,7,18,18,0,0.7,0.7,-1.0,-1.0,0.7,0.8,0.3,0.3,0.3,0.06,0,2.4,0.3,0.4
Inter,Udinese,2024-09-28,W,A,3,2,1,3,0,0,0,60,42,3,9.5,25.7,13,10,56.5,10,2,20.0,8,80.0,449,2158,1018,16,17,20,0,0.0,0,0,0,6,11,6,6,0,0,0,0,0,5,20.0,33.4,16,0.19,0.43,7,43.8,14.7,0,3,0,0,0,38,1,15.0,561,637,88.1,16,24,14,6,37,10886,2922,210,227,92.5,255,277,92.1,82,101,81.2,0,0,0,,0,0,,0,1,0,599,35,13,1,3,20,11,3,0,2,0,3,6,560,17,3,10,2,29,28,1,0,0,0,0,3,1,33.3,742,83,280,321,148,22,742,15,10,7,5,3,9,19,47.4,10,9,5,4,6,21,25,0,2.2,2.2,1.5,1.5,2.2,1.1,0.8,0.8,0.8,0.14,0,1.2,0.39,-0.8
Inter,Torino,2024-10-05,W,H,3,2,1,3,0,0,0,80,25,4,12.0,25.6,13,15,46.4,10,5,50.0,5,50.0,634,2971,1544,28,41,3,0,0.0,1,0,0,6,9,5,4,0,0,1,0,0,1,0.0,26.0,29,0.1,0.38,8,27.6,18.7,0,2,0,1,0,40,1,17.5,717,804,89.2,21,72,15,6,72,12497,3294,315,338,93.2,338,366,92.3,54,77,70.1,1,1,0,0.0,1,0,0.0,0,0,0,757,45,10,1,7,44,17,14,1,10,0,2,10,713,41,3,14,3,54,45,4,1,3,0,1,5,3,80.0,907,32,138,386,388,46,907,15,5,2,4,9,8,11,72.7,3,3,1,2,8,23,9,2,2.4,2.4,0.8,1.6,1.2,1.3,0.6,0.6,0.8,0.09,0,1.9,0.25,-0.1
Inter,Roma,2024-10-20,W,A,1,0,1,1,0,0,0,45,46,3,34.8,33.5,15,10,60.0,8,1,12.5,6,75.0,273,1645,848,17,13,13,1,7.7,3,0,0,13,12,0,0,0,0,0,0,0,8,25.0,25.3,11,0.09,0.17,6,54.5,19.2,0,1,0,0,0,42,0,3.5,350,426,82.2,9,21,7,1,31,6797,2704,122,138,88.4,172,197,87.3,46,71,64.8,0,0,0,,0,0,,0,0,0,389,36,12,3,3,10,12,3,0,2,0,1,4,346,13,4,18,8,17,15,1,0,1,0,0,3,3,100.0,523,81,226,209,93,15,523,14,10,6,6,2,4,6,66.7,2,7,5,2,8,22,15,0,1.0,1.0,0.0,0.0,0.7,0.5,0.0,0.0,-0.7,0.09,0,0.7,0.23,0.7
Inter,Juventus,2024-10-27,D,H,4,4,0,2,2,2,0,47,29,4,44.8,35.5,16,8,66.7,6,3,50.0,2,33.3,334,1933,968,10,13,8,1,12.5,2,0,0,11,16,5,3,0,0,0,2,0,5,20.0,24.4,16,0.13,0.29,7,43.8,14.5,0,0,2,0,0,26,0,9.0,344,417,82.5,12,27,7,0,34,6220,2015,134,151,88.7,177,197,89.8,29,59,49.2,0,0,0,,0,0,,0,0,0,372,45,14,2,2,21,8,13,6,5,0,0,4,341,13,6,8,4,28,13,6,1,5,3,0,5,1,20.0,483,60,145,230,111,25,481,7,4,3,3,1,4,8,50.0,4,9,2,7,6,13,13,0,3.0,1.4,0.9,-0.7,1.2,1.4,1.0,0.6,-0.2,0.09,0,2.2,0.44,-1.8
Inter,Empoli,2024-10-30,W,A,3,0,3,3,0,0,0,77,22,2,0.0,22.2,15,10,60.0,9,3,33.3,5,55.6,629,2778,1331,18,18,4,0,0.0,1,0,0,13,11,6,5,0,1,0,0,0,2,0.0,21.5,15,0.2,0.6,5,33.3,17.2,1,1,0,0,0,38,1,20.0,713,805,88.6,12,69,14,3,75,11699,3112,361,392,92.1,285,314,90.8,49,67,73.1,0,0,0,,0,0,,0,0,0,764,40,15,6,6,26,18,4,1,3,0,1,7,706,18,7,11,5,29,20,4,1,2,2,0,1,1,100.0,885,26,140,433,314,37,885,14,11,4,9,1,7,10,70.0,3,9,4,5,3,17,5,1,1.1,1.1,0.8,0.8,0.9,1.9,1.9,1.9,2.1,0.07,1,0.1,0.11,0.1
