Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Juventus,Como,2024-08-19,W,H,3,0,3,3,0,0,0,57,21,4,14.3,24.7,12,3,80.0,11,7,63.6,3,27.3,473,2458,1204,28,16,10,1,10.0,2,0,0,11,12,5,4,1,0,0,0,0,7,42.9,37.3,13,0.23,0.5,6,46.2,20.0,1,4,0,0,0,34,0,4.0,503,557,90.3,7,21,6,3,29,9387,2742,204,212,96.2,235,256,91.8,59,73,80.8,0,0,0,,0,0,,0,0,0,520,33,12,2,2,14,10,3,1,1,0,4,4,495,16,6,13,4,17,12,2,0,1,1,1,0,0,,633,56,219,311,106,18,633,15,9,6,7,2,6,8,75.0,2,10,2,8,4,19,10,0,1.2,1.2,1.0,1.0,0.9,0.5,1.8,1.8,1.1,0.09,1,0.0,,0.0
Juventus,Hellas Verona,2024-08-26,W,A,3,0,3,2,1,1,0,60,23,3,4.3,25.1,9,2,81.8,17,6,35.3,7,41.2,456,2241,1125,15,8,14,2,14.3,0,0,0,8,8,6,4,0,0,0,1,1,6,83.3,61.0,7,0.29,0.5,4,57.1,18.4,0,1,1,0,0,38,0,6.8,570,646,88.2,7,22,6,1,24,10021,2914,239,260,91.9,274,299,91.6,48,66,72.7,0,0,0,,0,0,,0,0,0,609,36,8,2,2,4,20,1,0,1,0,1,10,564,8,5,18,7,16,12,0,2,0,1,1,1,1,100.0,753,56,297,380,80,15,752,22,15,13,6,3,10,19,52.6,9,8,4,4,6,28,17,1,1.2,0.4,0.7,-0.1,0.4,0.6,1.8,1.6,1.6,0.06,0,0.2,0.2,0.2
Juventus,Roma,2024-09-01,D,H,0,0,0,0,0,0,0,49,17,4,41.2,29.8,6,10,37.5,14,7,50.0,7,50.0,327,1959,1070,19,14,14,2,14.3,2,0,0,11,11,0,0,0,0,0,0,0,5,20.0,26.8,8,0.0,0.0,1,12.5,16.5,1,3,0,0,0,39,1,16.0,444,511,86.9,5,31,7,3,33,7729,2229,186,194,95.9,220,248,88.7,30,49,61.2,0,0,0,,0,0,,0,0,0,474,34,11,0,1,18,11,6,1,5,0,3,5,441,14,5,18,7,13,9,1,0,2,1,0,1,1,100.0,604,51,179,301,128,18,604,12,7,8,3,1,9,12,75.0,3,11,4,7,6,18,21,0,0.5,0.5,0.2,0.2,0.3,0.4,-0.5,-0.5,-0.3,0.06,1,0.2,0.21,0.2
Juventus,Empoli,2024-09-14,D,A,0,0,0,0,0,0,0,65,36,6,25.0,32.0,13,5,72.2,25,9,36.0,16,64.0,376,2234,1066,17,13,5,0,0.0,2,0,0,10,11,0,0,0,0,0,0,0,4,0.0,17.3,15,0.0,0.0,3,20.0,18.7,0,0,0,0,0,43,0,15.5,624,700,89.1,14,38,8,2,42,11407,3315,237,253,93.7,329,351,93.7,48,77,62.3,0,0,0,,0,0,,0,0,0,655,45,11,2,4,20,21,8,4,3,0,0,7,616,13,4,17,8,27,20,3,1,2,0,1,3,3,100.0,801,69,241,411,156,16,801,16,9,8,6,2,8,11,72.7,3,11,2,9,4,20,7,0,0.9,0.9,0.4,0.4,0.8,0.6,-0.9,-0.9,-0.8,0.06,0,0.8,0.26,0.8
Juventus,Napoli,2024-09-21,D,H,0,0,0,0,0,0,0,64,21,2,14.3,28.9,7,10,41.2,19,8,42.1,10,52.6,487,2862,1496,23,23,7,0,0.0,1,0,0,10,13,0,0,0,0,0,0,0,5,20.0,27.4,9,0.0,0.0,1,11.1,20.4,0,0,0,0,0,37,1,20.0,639,702,91.0,8,40,7,2,47,11149,2798,259,277,93.5,336,352,95.5,34,57,59.6,0,0,0,,0,0,,0,0,0,663,39,15,0,4,19,14,4,2,2,0,0,7,630,23,2,13,7,16,15,0,1,0,0,0,1,1,100.0,789,54,207,433,156,12,789,14,9,6,6,2,5,11,45.5,6,14,5,9,8,22,6,1,0.3,0.3,0.0,0.0,0.3,0.4,-0.3,-0.3,-0.3,0.03,0,0.1,0.06,0.1
Juventus,Genoa,2024-09-28,W,A,3,0,3,2,1,1,0,65,20,4,10.0,23.4,8,13,38.1,17,11,64.7,6,35.3,468,2903,1578,26,19,9,0,0.0,1,0,0,14,7,5,5,0,0,0,0,0,1,0.0,10.0,11,0.18,1.0,2,18.2,16.9,1,0,0,0,0,35,2,23.0,597,670,89.1,10,53,11,2,42,10315,2670,266,286,93.0,294,315,93.3,35,56,62.5,0,0,0,,0,0,,0,0,0,644,26,6,0,1,18,15,3,0,3,0,0,5,590,19,5,11,6,22,19,1,0,1,1,0,2,2,100.0,759,45,180,407,175,19,758,16,6,6,7,3,4,4,100.0,0,13,4,9,3,19,13,0,2.6,1.8,2.2,1.4,1.8,1.3,0.4,0.2,0.2,0.17,1,0.5,0.26,0.5
Juventus,Cagliari,2024-10-06,D,H,1,1,0,0,1,1,0,73,34,6,23.5,31.1,12,11,52.2,17,11,64.7,4,23.5,597,3553,1980,33,22,17,3,17.6,5,1,1,13,9,1,0,0,0,1,0,0,7,14.3,18.1,20,0.0,0.0,8,40.0,16.6,0,1,0,1,0,34,0,5.7,677,750,90.3,16,47,15,0,52,11181,3282,325,343,94.8,294,322,91.3,44,61,72.1,1,1,0,0.0,1,0,0.0,0,0,0,708,41,10,1,1,25,14,8,2,5,0,1,6,671,22,9,12,4,34,26,3,2,3,0,0,2,1,100.0,834,63,250,379,211,36,833,18,13,11,3,4,6,10,60.0,4,7,3,4,4,22,10,0,2.4,1.7,1.3,1.3,0.9,1.9,-1.4,-1.7,-0.9,0.08,0,1.0,0.0,0.0
Juventus,Lazio,2024-10-19,W,H,1,0,1,0,0,0,0,69,33,6,9.1,25.7,10,16,38.5,14,9,64.3,3,21.4,464,3037,1806,30,23,7,1,14.3,4,0,0,16,8,0,0,0,0,0,0,0,3,33.3,32.0,16,0.0,0.0,3,18.8,18.1,1,2,0,0,0,32,0,11.0,578,658,87.8,13,55,15,8,62,10696,2865,240,257,93.4,273,301,90.7,59,83,71.1,0,0,0,,0,0,,0,0,0,622,34,8,0,6,31,15,7,0,7,0,2,8,575,23,5,7,4,31,25,2,1,2,1,0,1,1,100.0,727,55,202,301,226,29,727,16,10,7,5,4,7,12,58.3,5,3,1,2,4,20,9,0,1.3,1.3,1.3,1.3,1.1,1.4,-1.3,-1.3,-1.1,0.08,1,0.0,0.04,0.0
Juventus,Inter,2024-10-27,D,A,4,4,0,4,0,0,0,53,16,2,37.5,40.1,8,16,33.3,9,4,44.4,4,44.4,393,2462,1185,28,14,18,0,0.0,1,0,0,16,11,8,7,0,1,0,0,0,6,50.0,45.3,10,0.4,0.8,5,50.0,13.6,0,0,0,2,0,28,0,3.0,405,470,86.2,8,28,9,2,35,7895,2416,166,184,90.2,166,186,89.2,70,89,78.7,2,2,0,0.0,2,0,0.0,0,1,0,431,39,11,1,11,12,12,5,2,2,0,0,7,403,14,8,12,3,19,17,1,1,0,0,0,9,5,77.8,549,63,179,269,107,20,549,6,4,3,2,1,2,5,40.0,3,8,5,3,5,11,17,0,2.1,2.1,-0.9,0.7,1.9,2.3,1.9,1.9,1.1,0.21,0,3.5,0.21,-0.5
Juventus,Parma,2024-10-30,D,H,2,2,0,2,0,0,0,61,22,6,9.1,19.9,11,11,50.0,18,15,83.3,3,16.7,514,3491,2046,41,19,8,0,0.0,2,0,0,7,5,4,3,1,0,0,0,0,7,0.0,18.1,24,0.08,0.5,4,16.7,16.0,0,3,0,0,0,46,2,17.7,566,645,87.8,17,65,14,5,71,10018,3004,220,248,88.7,307,328,93.6,36,57,63.2,0,0,0,,0,0,,0,1,0,599,43,7,4,2,24,16,10,4,4,0,3,5,564,19,14,12,8,46,35,3,4,2,0,2,5,3,60.0,742,57,160,385,204,37,742,17,11,6,11,0,10,16,62.5,6,7,4,3,7,24,11,1,2.4,2.4,1.2,1.2,1.5,1.8,-0.4,-0.4,0.5,0.11,0,0.8,0.16,-1.2
