Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lazio,Venezia,2024-08-18,W,H,3,1,2,1,1,1,0,67,38,3,42.1,38.1,12,10,54.5,13,8,61.5,3,23.1,494,2742,1387,27,21,8,1,12.5,1,0,0,14,10,3,1,0,0,0,1,1,5,0.0,9.6,12,0.08,0.2,5,41.7,16.7,0,0,1,0,0,36,1,13.3,571,646,88.4,9,39,10,4,43,10138,3107,246,269,91.4,242,261,92.7,64,86,74.4,0,0,0,,0,0,,0,0,0,601,45,11,4,2,26,21,6,0,5,0,0,7,567,21,7,16,13,22,15,1,3,1,1,1,2,1,50.0,737,60,174,387,184,26,736,13,12,3,6,4,3,7,42.9,4,13,3,10,7,20,15,1,2.4,1.6,1.8,1.0,1.3,0.7,-0.4,-0.6,-1.3,0.13,0,0.2,0.12,-0.8
Lazio,Udinese,2024-08-24,L,A,1,2,-1,1,0,0,0,66,24,2,50.0,35.2,14,17,45.2,16,9,56.3,6,37.5,363,2265,1113,18,14,9,0,0.0,1,0,0,10,15,1,0,0,0,1,0,0,7,14.3,26.7,17,0.06,0.25,4,23.5,15.6,0,2,0,0,0,36,0,6.0,441,547,80.6,11,46,10,5,44,8154,2510,168,185,90.8,212,245,86.5,49,80,61.3,0,0,0,,0,0,,0,0,0,476,69,17,1,1,45,29,13,8,4,0,2,10,437,14,3,13,12,31,21,7,0,1,2,0,3,1,33.3,625,46,164,290,178,29,625,11,6,5,6,0,7,14,50.0,7,5,1,4,6,17,9,0,1.3,1.3,0.5,0.5,0.6,0.7,-0.3,-0.3,-0.6,0.08,0,1.6,0.54,-0.4
Lazio,Milan,2024-08-31,D,H,2,2,0,2,0,0,0,43,15,4,40.0,40.4,7,5,58.3,14,7,50.0,5,35.7,304,1417,674,13,6,8,0,0.0,4,0,0,12,9,4,4,0,0,0,0,0,5,0.0,10.6,7,0.29,0.5,4,57.1,9.3,0,5,0,0,0,34,1,12.7,341,412,82.8,7,26,5,2,33,6282,2043,145,156,92.9,160,181,88.4,33,60,55.0,0,0,0,,0,0,,0,1,0,363,44,9,3,4,24,22,5,3,2,0,5,5,340,6,4,17,8,14,14,0,0,0,0,0,4,2,50.0,497,41,154,244,102,15,497,15,8,6,5,4,8,14,57.1,6,7,2,5,9,24,12,1,2.1,2.1,0.8,0.8,2.1,1.5,-0.1,-0.1,-0.1,0.3,0,1.9,0.52,-0.1
Lazio,Hellas Verona,2024-09-16,W,H,2,1,1,2,0,0,0,55,36,5,38.9,36.5,15,19,44.1,16,8,50.0,7,43.8,420,2550,1421,29,16,13,7,53.8,2,0,0,13,9,4,2,1,1,0,0,0,6,0.0,10.7,14,0.14,0.29,7,50.0,21.9,0,0,0,0,0,28,2,10.3,461,547,84.3,12,36,6,2,40,8046,2719,212,229,92.6,196,219,89.5,43,69,62.3,0,0,0,,0,0,,0,0,0,503,44,13,1,2,23,14,9,7,1,0,0,7,459,16,7,13,4,24,17,1,3,1,0,2,2,1,50.0,630,54,164,326,143,23,630,15,9,6,5,4,8,15,53.3,7,6,1,5,5,20,9,1,1.2,1.2,0.4,0.4,1.0,0.9,0.8,0.8,1.0,0.09,0,0.5,0.27,-0.5
Lazio,Fiorentina,2024-09-22,L,A,1,2,-1,1,0,0,0,54,23,4,34.8,46.1,10,18,35.7,15,6,40.0,5,33.3,370,2026,1105,25,21,12,0,0.0,4,0,0,15,11,2,0,1,0,0,1,0,10,0.0,12.3,20,0.05,0.17,6,30.0,19.5,1,1,0,2,0,26,2,21.8,384,451,85.1,17,37,5,2,46,7239,2547,157,169,92.9,166,181,91.7,51,81,63.0,2,2,0,0.0,2,0,0.0,0,0,0,404,46,10,1,11,29,13,10,6,2,0,1,6,378,21,5,8,6,37,24,6,0,4,3,0,5,3,100.0,538,57,160,218,164,25,538,12,8,8,3,1,4,15,26.7,11,3,0,3,5,17,13,1,1.0,1.0,-1.7,-0.1,0.9,1.2,0.0,0.0,0.1,0.05,1,2.4,0.14,0.4
Lazio,Torino,2024-09-29,W,A,3,2,1,3,0,0,0,43,26,4,61.5,45.0,10,18,35.7,28,15,53.6,11,39.3,309,1653,744,16,12,18,1,5.6,3,0,0,13,9,6,4,0,2,0,0,0,4,50.0,41.0,13,0.23,0.43,7,53.8,15.6,0,1,0,0,0,40,0,8.0,308,403,76.4,11,19,5,3,30,5345,1694,138,158,87.3,127,149,85.2,31,68,45.6,0,0,0,,0,0,,0,0,0,357,45,10,5,4,14,27,1,1,0,0,1,11,306,12,5,13,10,23,15,2,2,3,1,0,7,5,71.4,514,59,163,246,112,22,514,15,11,3,12,0,6,11,54.5,5,4,1,3,10,25,26,0,2.0,2.0,1.4,1.4,1.6,0.9,1.0,1.0,1.4,0.16,0,1.7,0.24,-0.3
Lazio,Empoli,2024-10-06,W,H,2,1,1,2,0,1,1,58,27,3,37.0,38.8,14,20,41.2,11,4,36.4,6,54.5,303,1953,1068,22,20,9,0,0.0,2,0,0,10,16,4,4,0,0,0,0,0,5,20.0,24.4,15,0.13,0.4,5,33.3,18.6,0,1,1,0,0,49,0,8.3,383,471,81.3,13,36,12,4,52,7101,2239,165,185,89.2,174,200,87.0,41,76,53.9,0,0,0,,0,0,,0,0,0,425,45,17,2,2,32,16,5,3,1,0,1,4,378,20,5,15,9,31,27,0,1,1,1,1,2,1,50.0,583,48,145,280,170,26,582,30,22,13,15,2,14,27,51.9,13,6,2,4,5,35,19,1,2.1,1.2,1.6,0.7,1.2,1.4,-0.1,0.8,0.8,0.08,0,1.0,0.48,0.0
Lazio,Juventus,2024-10-19,L,A,0,1,-1,0,0,0,0,31,27,5,37.0,37.1,16,10,61.5,14,5,35.7,7,50.0,204,1209,553,8,6,28,3,10.7,2,1,0,9,16,0,0,0,0,0,0,0,16,87.5,61.4,2,0.0,0.0,1,50.0,26.5,0,0,0,0,1,27,0,4.3,226,293,77.1,1,13,2,1,20,4399,1628,92,106,86.8,102,117,87.2,28,61,45.9,0,0,0,,0,0,,0,0,1,245,48,18,1,1,9,11,1,1,0,0,0,2,225,6,1,8,9,3,2,0,1,0,0,0,3,3,66.7,377,85,172,149,64,5,377,7,4,4,1,2,3,12,25.0,9,9,2,7,6,13,25,0,0.1,0.1,-1.3,-1.3,0.0,0.1,-0.1,-0.1,0.0,0.03,0,0.4,0.13,0.4
Lazio,Genoa,2024-10-27,W,H,3,0,3,3,0,0,0,61,40,6,20.0,28.9,18,16,52.9,19,10,52.6,6,31.6,350,2214,1264,24,18,11,1,9.1,3,0,0,12,6,6,4,0,2,0,0,0,5,20.0,25.8,18,0.17,0.75,4,22.2,13.4,0,1,0,0,0,51,1,11.1,517,598,86.5,15,29,15,6,47,9350,2934,211,235,89.8,252,274,92.0,46,66,69.7,0,0,0,,0,0,,0,0,0,563,34,6,0,4,24,15,7,2,2,0,1,10,512,18,7,13,13,33,23,4,3,3,0,0,2,2,100.0,704,67,199,331,184,35,704,13,7,3,9,1,5,12,41.7,7,6,0,6,8,21,21,0,2.1,2.1,1.9,1.9,1.3,0.8,0.9,0.9,0.7,0.12,0,0.1,0.07,0.1
Lazio,Como,2024-10-31,W,A,5,1,4,4,1,1,0,49,36,3,22.2,30.9,17,12,58.6,22,10,45.5,10,45.5,324,1769,898,14,11,12,0,0.0,5,1,1,18,12,8,7,0,0,1,0,0,12,58.3,42.0,13,0.31,0.67,6,46.2,18.3,2,2,0,0,0,36,1,17.0,363,442,82.1,8,27,7,3,34,6956,2291,147,165,89.1,158,177,89.3,51,81,63.0,0,0,0,,0,0,,0,0,0,395,45,12,5,6,15,14,5,3,1,0,2,4,358,11,2,13,7,24,17,1,1,3,2,0,2,1,50.0,530,70,205,213,119,21,529,8,5,6,1,1,2,8,25.0,6,9,5,4,8,16,13,1,2.9,2.2,1.9,1.1,2.1,1.0,2.1,1.8,1.9,0.19,2,1.2,0.59,0.2
Lazio,Cagliari,2024-11-04,W,H,2,1,1,1,1,1,0,54,30,0,13.3,27.1,14,14,50.0,13,6,46.2,5,38.5,339,2305,1257,27,19,14,1,7.1,3,0,0,12,15,3,1,0,0,1,1,0,2,0.0,12.0,19,0.05,0.33,3,15.8,18.6,1,0,1,0,0,45,1,13.0,431,499,86.4,11,42,8,3,53,7705,2739,159,174,91.4,241,270,89.3,26,45,57.8,0,0,0,,0,0,,0,0,0,463,36,16,3,1,19,14,2,1,0,0,0,3,428,19,6,11,7,36,22,3,1,4,4,2,1,0,0.0,592,39,163,300,137,28,591,20,13,7,10,3,6,10,60.0,4,9,3,6,2,22,16,0,2.9,2.1,2.6,1.8,0.5,0.6,-0.9,-1.1,-0.5,0.11,1,0.5,0.5,-0.5
Lazio,Monza,2024-11-10,W,A,1,0,1,1,0,0,0,49,28,4,21.4,30.6,9,12,42.9,13,6,46.2,6,46.2,267,1586,876,18,12,20,1,5.0,1,0,0,10,11,2,2,0,0,0,0,0,10,40.0,35.2,14,0.07,0.2,5,35.7,18.4,0,0,0,0,0,40,0,9.0,419,499,84.0,11,32,6,0,37,7137,2384,188,208,90.4,193,216,89.4,28,50,56.0,0,0,0,,0,0,,0,0,0,452,47,14,4,0,18,16,6,5,1,0,0,10,415,12,6,11,4,24,17,1,3,3,0,0,2,2,100.0,595,70,183,294,120,20,595,18,14,5,11,2,6,12,50.0,6,7,3,4,8,26,27,1,1.6,1.6,0.6,0.6,1.3,0.6,-0.6,-0.6,-0.3,0.12,0,0.3,0.16,0.3
Lazio,Bologna,2024-11-24,W,H,3,0,3,3,0,0,0,70,52,3,26.9,30.5,16,11,59.3,10,7,70.0,2,20.0,469,2475,1267,19,22,4,0,0.0,3,0,0,14,14,6,5,0,1,0,0,0,3,0.0,14.0,13,0.23,0.75,4,30.8,15.5,0,2,0,0,0,43,0,14.0,566,666,85.0,9,44,10,1,63,10231,3561,238,263,90.5,272,292,93.2,50,76,65.8,0,0,0,,0,0,,0,0,0,621,43,14,0,5,23,22,3,3,0,0,2,9,563,22,6,11,5,22,17,0,2,2,0,1,1,1,100.0,728,55,176,393,166,26,728,9,4,4,4,1,5,13,38.5,8,3,0,3,14,23,7,0,2.0,2.0,1.9,1.9,1.0,1.7,1.0,1.0,1.0,0.15,0,0.0,0.03,0.0
