Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lecce,Atalanta,2024-08-19,L,H,0,4,-4,0,0,0,0,48,22,4,40.9,36.9,23,20,53.5,16,4,25.0,2,12.5,287,1544,743,13,6,9,0,0.0,0,0,0,10,24,0,0,0,0,0,0,0,4,25.0,19.5,21,0.0,0.0,4,19.0,17.3,1,1,0,1,0,41,1,16.0,362,451,80.3,16,31,11,6,28,6520,2503,162,189,85.7,160,185,86.5,40,75,53.3,1,1,0,0.0,1,0,0.0,0,0,0,393,57,24,2,0,16,19,5,2,2,0,1,3,358,6,4,17,8,35,25,4,1,2,2,1,6,2,50.0,556,43,186,269,108,24,556,19,8,10,5,4,8,14,57.1,6,5,1,4,9,28,9,1,1.5,1.5,-0.2,0.6,1.4,1.2,-1.5,-1.5,-1.4,0.08,1,2.4,0.27,-1.6
Lecce,Inter,2024-08-24,L,A,0,2,-2,0,0,0,0,39,18,5,61.1,46.9,7,15,31.8,9,2,22.2,6,66.7,315,1703,877,19,15,18,1,5.6,2,0,0,12,8,0,0,0,0,0,0,0,7,14.3,17.4,10,0.0,0.0,4,40.0,19.1,0,0,0,1,0,38,0,5.9,334,401,83.3,8,24,5,3,30,5642,2068,162,172,94.2,133,149,89.3,32,65,49.2,1,1,0,0.0,1,0,0.0,0,0,0,360,41,13,1,1,18,12,6,3,2,0,0,3,333,15,5,9,8,17,16,0,1,0,0,0,3,1,66.7,497,67,155,236,110,13,497,11,8,6,4,1,5,5,100.0,0,13,3,10,3,14,22,0,0.3,0.3,-2.1,-1.3,0.2,0.3,-0.3,-0.3,-0.2,0.03,0,1.8,0.31,-0.2
Lecce,Cagliari,2024-08-31,W,H,1,0,1,1,0,0,0,35,14,0,114.3,64.0,21,24,46.7,18,7,38.9,10,55.6,179,1082,480,14,7,28,1,3.6,1,1,0,10,11,2,2,0,0,0,0,0,15,73.3,48.9,17,0.06,0.33,3,17.6,18.0,1,2,0,0,0,41,1,10.4,189,281,67.3,12,21,4,2,16,3399,1666,95,109,87.2,60,82,73.2,28,68,41.2,0,0,0,,0,0,,0,0,0,234,45,12,0,2,16,10,7,5,1,0,2,6,189,7,8,9,5,27,17,3,2,4,1,0,2,2,100.0,423,80,173,172,82,18,423,24,16,15,7,2,11,23,47.8,12,19,11,8,15,39,36,0,1.7,1.7,-0.1,-0.1,1.3,1.2,-0.7,-0.7,-0.3,0.1,1,0.4,0.21,0.4
Lecce,Torino,2024-09-15,D,A,0,0,0,0,0,0,0,47,27,4,66.7,43.1,15,20,42.9,15,9,60.0,4,26.7,303,1499,623,9,11,14,0,0.0,3,0,0,13,13,0,0,0,0,0,0,0,9,11.1,17.6,20,0.0,0.0,6,30.0,18.9,0,0,0,0,0,39,0,7.0,342,441,77.6,14,23,9,4,28,6146,2566,149,164,90.9,132,160,82.5,45,92,48.9,0,0,0,,0,0,,0,0,0,392,49,14,0,0,22,18,7,5,2,0,0,7,337,11,2,14,4,32,23,2,3,1,1,2,0,0,,532,63,182,233,127,20,532,7,3,2,5,0,1,3,33.3,2,7,1,6,8,15,21,0,1.6,1.6,1.2,1.2,1.4,0.9,-1.6,-1.6,-1.4,0.08,0,0.0,,0.0
Lecce,Parma,2024-09-21,D,H,2,2,0,2,0,0,0,39,18,4,55.6,40.8,14,5,73.7,14,3,21.4,11,78.6,255,1495,815,17,8,12,2,16.7,4,1,0,12,10,4,3,0,0,0,1,0,3,100.0,65.0,14,0.14,0.67,3,21.4,20.8,1,4,0,0,0,46,0,4.5,275,360,76.4,12,30,3,0,35,5239,2102,107,125,85.6,134,155,86.5,34,63,54.0,0,0,0,,0,0,,0,1,0,320,36,11,1,1,12,17,2,0,2,0,4,9,273,8,8,8,7,26,22,0,0,1,1,2,10,8,80.0,483,74,201,178,116,14,483,23,12,17,5,1,11,22,50.0,11,25,12,13,11,34,22,0,1.5,1.5,-0.5,-0.5,1.4,0.5,0.5,0.5,-0.4,0.11,1,2.3,0.23,0.3
Lecce,Milan,2024-09-27,L,A,0,3,-3,0,0,0,0,43,15,7,40.0,42.7,6,10,37.5,9,5,55.6,4,44.4,282,1751,1061,22,13,12,0,0.0,1,0,0,8,4,0,0,0,0,0,0,0,14,14.3,18.6,16,0.0,0.0,7,43.8,19.2,0,4,0,0,0,31,2,20.8,354,410,86.3,16,27,6,1,37,6430,2290,158,167,94.6,154,169,91.1,40,62,64.5,0,0,0,,0,0,,0,0,0,367,39,5,3,3,18,9,7,5,2,0,4,7,353,13,4,10,12,31,19,7,2,2,1,0,6,3,50.0,486,67,199,190,104,16,486,14,8,11,3,0,6,19,31.6,13,5,2,3,2,16,12,1,0.5,0.5,-1.1,-1.1,0.5,0.5,-0.5,-0.5,-0.5,0.03,0,1.8,0.31,-1.2
Lecce,Udinese,2024-10-05,L,A,0,1,-1,0,0,0,0,45,15,6,40.0,33.7,14,13,51.9,25,10,40.0,12,48.0,240,1426,707,14,12,22,0,0.0,2,0,0,16,12,0,0,0,0,0,0,0,6,33.3,36.2,9,0.0,0.0,3,33.3,22.0,0,3,0,0,0,49,0,3.0,292,395,73.9,8,18,2,0,23,5661,2116,110,129,85.3,116,148,78.4,51,80,63.8,0,0,0,,0,0,,1,0,0,347,45,12,2,5,12,25,0,0,0,0,3,14,287,12,5,14,7,13,10,1,0,0,0,2,4,3,75.0,519,59,213,222,92,16,519,22,11,10,10,2,9,16,56.3,7,14,3,11,14,36,21,0,0.5,0.5,-0.4,-0.4,0.5,0.3,-0.5,-0.5,-0.5,0.06,0,0.9,0.23,-0.1
Lecce,Fiorentina,2024-10-20,L,H,0,6,-6,0,0,0,0,39,32,5,46.9,36.0,8,12,40.0,17,5,29.4,9,52.9,282,1327,604,13,8,8,0,0.0,0,1,0,8,13,0,0,0,0,0,0,0,10,30.0,28.0,5,0.0,0.0,2,40.0,21.7,1,0,0,0,0,32,4,19.5,301,385,78.2,4,12,4,2,20,5998,2257,117,141,83.0,138,157,87.9,45,77,58.4,0,0,0,,0,0,,1,0,0,336,49,15,1,5,11,16,1,0,0,0,0,10,297,8,2,11,5,10,7,1,0,0,2,0,11,5,45.5,477,69,214,199,71,9,477,16,7,8,6,2,10,18,55.6,8,8,4,4,5,21,16,2,0.2,0.2,-2.0,-2.0,0.2,0.4,-0.2,-0.2,-0.2,0.05,1,3.7,0.35,-2.3
Lecce,Napoli,2024-10-26,L,A,0,1,-1,0,0,0,0,36,25,3,80.0,50.6,19,30,38.8,12,6,50.0,6,50.0,198,1109,523,14,6,24,2,8.3,2,0,0,7,13,0,0,0,0,0,0,0,10,80.0,51.3,11,0.0,0.0,1,9.1,22.2,1,0,0,0,0,25,0,7.0,217,302,71.9,9,19,3,1,14,4007,1413,91,109,83.5,85,103,82.5,30,68,44.1,0,0,0,,0,0,,0,1,0,255,47,13,1,2,10,17,5,2,2,0,0,5,215,6,1,7,5,18,9,2,2,3,1,1,8,7,87.5,429,83,180,178,76,11,429,19,12,13,6,0,13,21,61.9,8,13,9,4,10,29,32,0,0.7,0.7,-2.0,-2.0,0.3,0.4,-0.7,-0.7,-0.3,0.06,1,1.7,0.25,0.7
Lecce,Hellas Verona,2024-10-29,W,H,1,0,1,1,0,0,0,58,24,4,16.7,23.9,14,13,51.9,22,9,40.9,9,40.9,285,1697,890,17,7,6,0,0.0,1,0,0,14,21,2,2,0,0,0,0,0,7,14.3,22.3,14,0.07,0.17,6,42.9,21.2,2,2,0,0,0,33,0,9.0,419,502,83.5,7,24,3,2,32,8514,2810,132,146,90.4,224,253,88.5,61,95,64.2,0,0,0,,0,0,,0,0,0,437,63,19,3,2,21,33,3,1,1,0,2,3,416,7,2,16,10,26,15,3,1,2,5,0,1,1,100.0,601,58,217,276,111,20,601,15,8,9,4,2,5,12,41.7,7,6,2,4,7,22,19,0,1.7,1.7,1.4,1.4,1.2,0.8,-0.7,-0.7,-0.2,0.12,2,0.0,0.03,0.0
