Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Milan,Torino,2024-08-17,D,H,2,2,0,2,0,0,0,56,28,8,10.7,24.4,20,8,71.4,12,8,66.7,3,25.0,399,2155,1269,31,21,7,1,14.3,2,0,0,10,7,3,2,0,0,1,0,0,2,50.0,41.0,26,0.08,0.4,5,19.2,18.5,0,2,0,0,1,37,4,22.0,485,554,87.5,19,41,14,6,72,8414,2684,225,239,94.1,202,232,87.1,49,68,72.1,0,0,0,,0,0,,0,0,1,518,34,8,1,5,39,12,9,4,1,0,2,3,484,21,11,9,5,46,30,6,3,6,1,0,3,2,33.3,636,33,127,258,253,38,636,8,6,4,3,1,1,5,20.0,4,3,1,2,4,12,9,0,2.1,2.1,1.1,1.1,1.3,1.3,-0.1,-0.1,-0.3,0.08,0,1.3,0.44,0.3
Milan,Parma,2024-08-24,L,A,1,2,-1,1,0,0,0,61,38,6,10.5,24.9,3,9,25.0,21,10,47.6,10,47.6,467,2866,1823,41,28,1,0,0.0,3,0,0,13,9,2,1,0,1,0,0,0,4,0.0,20.5,17,0.06,0.2,5,29.4,18.6,0,0,0,0,0,44,5,22.5,512,598,85.6,15,47,12,4,62,8794,2818,219,243,90.1,264,297,88.9,26,48,54.2,0,0,0,,0,0,,0,0,0,557,41,11,0,2,27,14,9,5,1,0,0,8,510,28,9,10,7,32,25,3,3,1,0,0,5,3,60.0,686,36,156,331,211,37,686,19,14,12,6,1,11,21,52.4,10,3,1,2,11,30,7,0,1.9,1.9,0.2,0.2,1.9,1.4,-0.9,-0.9,-0.9,0.12,0,1.4,0.28,-0.6
Milan,Lazio,2024-08-31,D,A,2,2,0,2,0,0,0,57,50,4,12.0,25.6,5,7,41.7,15,6,40.0,8,53.3,414,2118,1006,16,12,17,0,0.0,2,0,0,9,12,4,3,1,0,0,0,0,5,20.0,26.8,10,0.2,0.5,4,40.0,17.5,1,0,0,0,0,31,6,28.5,475,548,86.7,7,18,5,0,22,8024,2363,218,238,91.6,238,254,93.7,16,44,36.4,0,0,0,,0,0,,0,0,0,503,45,16,2,1,13,14,7,7,0,0,0,7,469,12,5,10,7,18,13,2,0,2,1,0,4,2,50.0,637,64,281,275,86,17,637,13,9,4,5,4,5,12,41.7,7,5,3,2,8,21,22,0,1.3,1.3,-0.8,-0.8,1.2,0.8,0.7,0.7,0.8,0.13,1,1.9,0.47,-0.1
Milan,Venezia,2024-09-14,W,H,4,0,4,2,2,2,0,62,31,4,19.4,28.2,9,7,56.3,14,5,35.7,8,57.1,439,2055,1029,22,11,9,0,0.0,1,0,0,12,11,8,3,1,0,1,2,1,6,0.0,19.2,10,0.2,0.33,6,60.0,20.0,0,0,2,0,0,38,2,25.5,543,603,90.0,9,37,5,0,40,9003,2885,259,279,92.8,227,242,93.8,44,61,72.1,0,0,0,,0,0,,0,0,0,565,38,12,4,3,15,13,6,5,1,0,0,6,537,11,11,13,8,21,14,1,1,1,3,1,1,1,100.0,694,65,226,335,138,28,692,16,7,6,5,5,4,12,33.3,8,5,1,4,6,22,18,1,2.2,0.7,2.0,0.4,0.7,0.7,1.8,1.3,1.3,0.07,0,0.0,0.03,0.0
Milan,Inter,2024-09-22,W,A,2,1,1,2,0,0,0,43,27,4,25.9,34.8,10,13,43.5,18,9,50.0,6,33.3,318,1722,895,19,10,18,1,5.6,1,0,0,4,13,4,1,1,0,0,1,1,9,33.3,27.2,16,0.13,0.25,8,50.0,16.4,0,0,0,0,0,31,0,11.5,356,428,83.2,12,15,8,2,33,5934,2050,170,189,89.9,151,170,88.8,26,50,52.0,0,0,0,,0,0,,0,0,0,388,40,15,3,5,14,12,2,2,0,0,0,8,355,10,5,10,5,30,22,2,3,1,1,1,4,3,75.0,526,59,201,252,82,26,526,10,7,4,4,2,3,6,50.0,3,11,5,6,10,20,18,0,1.7,1.7,1.0,1.0,1.2,1.1,0.3,0.3,-0.2,0.11,0,1.0,0.26,0.0
Milan,Lecce,2024-09-27,W,H,3,0,3,3,0,0,0,57,23,9,17.4,28.0,10,6,62.5,22,13,59.1,6,27.3,434,2349,1367,26,23,14,1,7.1,1,1,0,5,8,5,2,1,0,1,1,0,10,30.0,37.0,15,0.2,0.5,6,40.0,16.4,0,0,0,0,0,28,0,11.0,482,537,89.8,13,42,9,1,59,8434,3055,236,246,95.9,202,221,91.4,41,58,70.7,0,0,0,,0,0,,0,0,0,497,40,12,4,4,17,13,4,2,0,0,0,5,475,23,4,12,8,26,16,1,3,4,1,1,7,7,100.0,622,53,140,293,196,19,622,16,8,5,6,5,4,9,44.4,5,9,3,6,3,19,11,0,1.6,1.6,1.1,1.1,1.1,0.8,1.4,1.4,0.9,0.11,0,0.5,0.07,0.5
Milan,Fiorentina,2024-10-06,L,A,1,2,-1,1,0,2,2,59,22,6,0.0,22.8,17,11,60.7,18,10,55.6,8,44.4,324,2028,1173,31,14,7,1,14.3,3,1,0,21,11,2,2,0,0,0,0,0,6,16.7,26.3,14,0.07,0.17,6,42.9,17.0,0,0,2,1,0,33,2,17.0,409,488,83.8,13,40,9,4,50,7338,2414,174,200,87.0,182,207,87.9,41,59,69.5,1,0,1,100.0,0,1,100.0,0,0,0,443,45,13,3,1,26,16,7,5,0,0,0,7,405,14,9,17,8,30,19,3,3,0,4,1,3,0,33.3,578,44,127,308,150,30,576,10,9,5,5,0,5,9,55.6,4,7,0,7,10,20,15,2,2.6,1.0,1.1,0.3,1.1,1.1,-1.6,0.0,-0.1,0.07,0,1.4,0.21,-0.6
Milan,Udinese,2024-10-19,W,H,1,0,1,1,0,0,0,44,34,3,38.2,39.3,15,16,48.4,17,9,52.9,7,41.2,261,1498,794,16,13,27,2,7.4,2,1,0,3,14,2,2,0,0,0,0,0,11,72.7,58.5,10,0.1,0.2,5,50.0,12.2,0,3,0,0,0,21,0,6.7,295,368,80.2,9,12,6,2,27,5585,1939,122,136,89.7,137,156,87.8,34,66,51.5,0,0,0,,0,0,,0,0,0,315,50,16,1,4,13,14,8,4,2,0,3,9,293,13,5,14,5,15,13,0,1,1,0,0,1,1,100.0,451,73,213,164,82,19,451,8,4,4,2,2,3,11,27.3,8,1,0,1,3,11,31,1,1.2,1.2,0.7,0.7,0.8,0.5,-0.2,-0.2,0.2,0.12,0,0.1,0.11,0.1
Milan,Napoli,2024-10-29,L,H,0,2,-2,0,0,0,0,61,39,4,5.1,23.2,8,12,40.0,24,9,37.5,15,62.5,405,2779,1495,30,21,6,0,0.0,0,0,0,14,6,0,0,0,0,0,0,0,5,0.0,20.0,13,0.0,0.0,5,38.5,19.6,0,3,0,0,0,38,1,11.3,527,603,87.4,11,52,6,4,47,9703,2280,204,224,91.1,269,299,90.0,46,61,75.4,0,0,0,,0,0,,0,0,0,562,38,8,3,7,19,17,5,3,0,0,3,5,518,21,12,9,4,25,23,0,1,0,1,0,4,2,50.0,697,38,145,365,195,27,697,25,17,10,11,4,10,15,66.7,5,1,0,1,6,31,8,0,0.7,0.7,-0.4,-0.4,0.6,1.2,-0.7,-0.7,-0.6,0.05,0,1.4,0.35,-0.6
Milan,Monza,2024-11-02,W,A,1,0,1,1,0,0,0,56,46,4,19.6,26.5,12,10,54.5,21,11,52.4,7,33.3,384,2401,1416,30,22,14,1,7.1,1,0,0,15,18,1,0,0,0,1,0,0,10,30.0,29.9,18,0.06,0.14,7,38.9,17.5,0,1,0,0,0,37,0,7.0,448,511,87.7,14,24,7,3,40,7894,2736,191,205,93.2,227,244,93.0,29,54,53.7,0,0,0,,0,0,,0,0,0,459,51,20,2,2,19,15,5,5,0,0,1,4,438,22,10,17,8,33,19,3,6,2,2,1,2,2,100.0,595,45,213,271,121,31,595,7,4,1,5,1,4,9,44.4,5,4,3,1,9,16,12,1,2.5,2.5,1.3,1.3,1.8,1.0,-1.5,-1.5,-1.8,0.14,0,0.2,0.11,0.2
