Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Monza,Empoli,2024-08-17,D,A,0,0,0,0,0,0,0,61,30,2,46.7,36.8,22,16,57.9,11,4,36.4,6,54.5,352,1554,558,5,3,13,0,0.0,2,0,0,19,16,0,0,0,0,0,0,0,10,50.0,36.4,6,0.0,0.0,1,16.7,16.0,0,1,0,0,0,30,1,10.0,369,485,76.1,5,11,2,0,15,6545,2026,146,170,85.9,175,208,84.1,33,77,42.9,0,0,0,,0,0,,0,0,0,423,61,20,0,2,13,27,3,2,1,0,1,6,364,3,1,15,11,10,6,2,0,1,1,0,2,2,100.0,575,83,270,248,61,12,575,14,10,7,6,1,8,14,57.1,6,8,6,2,8,22,18,0,0.3,0.3,-0.1,-0.1,0.3,0.4,-0.3,-0.3,-0.3,0.06,0,0.2,0.09,0.2
Monza,Genoa,2024-08-24,L,H,0,1,-1,0,0,0,0,69,20,2,20.0,24.0,24,14,63.2,10,6,60.0,3,30.0,521,2513,1249,16,16,15,0,0.0,2,0,0,6,17,0,0,0,0,0,0,0,8,0.0,22.9,9,0.0,0.0,2,22.2,16.7,0,1,0,0,0,30,1,19.7,591,683,86.5,8,49,10,2,52,11230,3262,228,246,92.7,296,326,90.8,66,88,75.0,0,0,0,,0,0,,0,0,0,626,56,18,0,2,31,20,8,3,4,0,1,14,588,16,2,14,9,18,13,3,1,1,0,0,1,0,0.0,764,51,202,399,165,20,764,11,5,6,4,1,7,10,70.0,3,7,3,4,6,17,16,0,0.4,0.4,-0.2,-0.2,0.4,0.7,-0.4,-0.4,-0.4,0.05,0,0.4,0.36,-0.6
Monza,Fiorentina,2024-09-01,D,A,2,2,0,2,0,0,0,32,24,4,45.8,36.6,22,21,51.2,14,2,14.3,9,64.3,233,1017,337,4,5,22,0,0.0,4,0,0,22,11,4,4,0,0,0,0,0,11,63.6,49.1,4,0.5,0.67,3,75.0,22.1,0,0,0,0,0,26,2,28.0,229,304,75.3,4,8,2,1,11,4118,1576,94,113,83.2,105,121,86.8,26,58,44.8,0,0,0,,0,0,,0,2,0,263,41,12,0,2,3,15,0,0,0,0,0,2,227,5,0,12,11,8,7,0,1,0,0,0,6,4,66.7,433,86,218,170,46,5,433,16,9,4,11,1,6,14,42.9,8,12,7,5,8,24,40,0,0.3,0.3,-1.7,-1.7,0.3,0.2,1.7,1.7,1.7,0.07,0,2.6,0.45,0.6
Monza,Inter,2024-09-15,D,H,1,1,0,1,0,0,0,40,28,0,82.1,46.9,24,15,61.5,19,11,57.9,5,26.3,285,1723,830,20,14,21,0,0.0,1,0,0,11,18,2,2,0,0,0,0,0,14,50.0,35.0,5,0.2,0.5,2,40.0,19.6,1,1,0,0,0,36,0,5.0,350,426,82.2,2,16,3,2,16,6504,2453,159,174,91.4,156,175,89.1,32,59,54.2,0,0,0,,0,0,,0,0,0,378,47,20,0,2,13,10,1,0,1,0,1,6,345,14,1,12,10,10,6,1,1,0,2,0,2,1,50.0,531,92,221,235,80,4,531,13,7,7,6,0,5,6,83.3,1,9,4,5,12,25,31,1,0.2,0.2,-1.4,-1.4,0.1,0.4,0.8,0.8,0.9,0.05,1,0.9,0.44,-0.1
Monza,Bologna,2024-09-22,L,H,1,2,-1,1,0,0,0,43,25,3,68.0,44.9,15,11,57.7,12,6,50.0,5,41.7,255,1397,615,15,8,11,0,0.0,3,0,0,20,14,1,0,0,0,1,0,0,8,62.5,45.0,6,0.17,0.33,3,50.0,17.5,0,1,0,0,0,30,0,,336,428,78.5,5,17,2,1,23,6132,2142,136,158,86.1,151,171,88.3,37,74,50.0,0,0,0,,0,0,,0,0,0,378,49,16,2,2,13,20,2,1,1,0,1,8,329,8,3,12,12,11,9,1,0,1,0,0,8,6,75.0,518,64,210,228,84,7,518,20,10,10,10,0,6,12,50.0,6,14,4,10,13,33,10,0,0.6,0.6,-0.2,-0.2,0.2,0.6,0.4,0.4,-0.2,0.1,0,1.4,0.18,-0.6
Monza,Napoli,2024-09-29,L,A,0,2,-2,0,0,0,0,51,21,3,52.4,38.0,7,7,50.0,9,6,66.7,3,33.3,502,2558,1093,13,18,7,0,0.0,2,0,0,8,16,0,0,0,0,0,0,0,11,36.4,27.0,5,0.0,0.0,1,20.0,24.3,2,0,0,0,0,33,0,9.0,508,570,89.1,3,36,0,0,28,8991,2322,212,228,93.0,249,266,93.6,40,61,65.6,0,0,0,,0,0,,0,0,0,532,38,14,0,2,12,7,3,1,2,0,0,8,503,18,1,11,5,10,6,1,1,0,2,0,2,0,0.0,643,74,217,317,112,2,643,15,11,9,5,1,8,12,66.7,4,10,3,7,11,26,11,3,0.3,0.3,-0.8,-0.8,0.2,0.2,-0.3,-0.3,-0.2,0.06,2,0.6,0.28,-1.4
Monza,Roma,2024-10-06,D,H,1,1,0,1,0,0,0,35,23,1,69.6,45.4,23,9,71.9,5,2,40.0,3,60.0,176,809,284,5,6,16,0,0.0,3,0,0,16,13,2,2,0,0,0,0,0,12,58.3,43.9,3,0.33,0.33,3,100.0,16.1,0,1,0,0,0,31,2,33.0,254,343,74.1,0,17,5,2,22,5319,2279,89,110,80.9,120,150,80.0,41,66,62.1,0,0,0,,0,0,,0,0,0,297,45,13,0,0,14,17,1,0,1,0,1,8,250,6,1,12,18,4,4,0,0,0,0,0,4,3,75.0,446,72,205,175,72,9,446,17,5,9,6,2,6,13,46.2,7,13,4,9,11,28,24,0,1.1,1.1,0.0,0.0,0.0,0.2,-0.1,-0.1,0.0,0.37,0,1.1,0.27,0.1
Monza,Hellas Verona,2024-10-21,W,A,3,0,3,3,0,0,0,41,22,1,59.1,42.9,26,13,66.7,12,4,33.3,7,58.3,232,1213,686,11,5,24,1,4.2,2,0,0,13,8,4,3,1,0,0,0,0,12,58.3,45.3,10,0.3,0.75,4,40.0,18.9,0,1,0,0,0,35,0,5.7,293,375,78.1,9,17,6,0,24,5735,2469,124,146,84.9,115,138,83.3,45,66,68.2,0,0,0,,0,0,,0,0,0,335,39,9,0,7,14,11,6,0,5,0,1,8,291,5,0,8,11,15,10,4,1,0,0,0,4,4,100.0,499,88,249,182,73,10,499,16,4,7,5,4,10,17,58.8,7,16,4,12,7,23,36,1,1.4,1.4,0.5,0.5,1.0,0.2,1.6,1.6,1.0,0.14,0,0.7,0.16,0.7
Monza,Venezia,2024-10-27,D,H,2,2,0,2,0,0,0,46,27,0,66.7,44.9,21,23,47.7,17,8,47.1,5,29.4,208,1175,504,13,7,13,0,0.0,4,1,1,17,16,4,3,0,1,0,0,0,3,100.0,72.7,13,0.15,1.0,2,15.4,16.0,0,0,0,0,0,39,1,22.5,296,386,76.7,13,19,5,4,23,5650,2218,131,148,88.5,117,140,83.6,41,74,55.4,0,0,0,,0,0,,0,0,0,343,43,17,1,2,23,16,4,1,3,0,0,12,295,7,4,16,5,26,15,4,2,1,4,0,2,0,0.0,493,46,170,201,126,20,493,20,13,11,9,0,10,17,58.8,7,12,2,10,11,31,20,1,1.1,1.1,0.7,0.7,1.1,0.7,0.9,0.9,0.9,0.09,0,1.0,0.49,-1.0
Monza,Atalanta,2024-10-30,L,A,0,2,-2,0,0,0,0,47,33,1,60.6,47.6,12,15,44.4,14,6,42.9,8,57.1,273,1276,515,8,5,14,0,0.0,3,0,0,11,14,0,0,0,0,0,0,0,12,8.3,15.8,4,0.0,0.0,3,75.0,28.9,1,1,0,0,0,45,1,15.3,403,497,81.1,2,12,1,0,15,7204,2560,180,205,87.8,178,199,89.4,40,77,51.9,0,0,0,,0,0,,0,0,0,441,55,13,1,1,5,26,1,0,1,0,1,8,396,5,0,20,9,7,5,1,0,0,1,0,5,3,60.0,624,94,284,275,68,4,624,20,11,13,5,2,9,19,47.4,10,14,8,6,11,31,26,1,0.1,0.1,-1.1,-1.1,0.0,0.3,-0.1,-0.1,0.0,0.03,1,1.3,0.27,-0.7
Monza,Milan,2024-11-02,L,H,0,1,-1,0,0,0,0,44,21,8,38.1,33.7,10,12,45.5,12,5,41.7,4,33.3,308,1475,761,9,12,15,0,0.0,2,0,0,18,13,0,0,0,0,0,0,0,7,42.9,32.0,12,0.0,0.0,2,16.7,19.8,2,2,0,0,0,36,0,,331,394,84.0,8,24,5,3,28,6271,2284,125,139,89.9,166,186,89.2,34,56,60.7,0,0,0,,0,0,,0,0,0,357,35,14,4,7,16,9,3,0,3,0,2,2,326,12,1,17,3,22,16,1,0,2,2,1,7,6,85.7,472,57,191,202,87,10,472,15,9,9,5,1,7,18,38.9,11,6,4,2,4,19,17,3,1.2,1.2,-1.3,-1.3,0.9,0.5,-1.2,-1.2,-0.9,0.1,2,2.1,0.3,1.1
