Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Napoli,Hellas Verona,2024-08-18,L,A,0,3,-3,0,0,0,0,67,26,8,3.8,21.2,23,13,63.9,20,8,40.0,7,35.0,396,2401,1289,20,16,5,1,20.0,1,0,0,13,15,0,0,0,0,0,0,0,8,25.0,24.3,14,0.0,0.0,4,28.6,17.8,0,0,0,0,0,39,2,21.2,492,592,83.1,10,36,8,3,54,8222,2885,230,255,90.2,233,270,86.3,25,49,51.0,0,0,0,,0,0,,0,0,0,537,55,17,0,1,17,21,5,3,1,0,0,11,490,16,4,10,11,21,16,3,0,2,0,0,4,1,25.0,668,41,145,374,155,18,668,8,6,2,6,0,3,9,33.3,6,3,0,3,5,13,8,0,1.0,1.0,-0.8,-0.8,0.6,0.6,-1.0,-1.0,-0.6,0.07,0,3.0,0.75,0.0
Napoli,Bologna,2024-08-25,W,H,3,0,3,3,0,0,0,39,28,5,28.6,31.8,3,12,20.0,23,10,43.5,10,43.5,305,1585,794,22,10,14,0,0.0,2,0,0,11,15,6,3,1,1,0,1,0,10,30.0,33.3,16,0.19,0.6,5,31.3,17.5,0,1,0,0,0,40,1,23.0,286,375,76.3,16,21,6,2,29,4536,1935,145,174,83.3,107,122,87.7,22,51,43.1,0,0,0,,0,0,,0,0,0,320,54,18,5,3,12,18,7,3,2,0,1,11,282,10,8,11,9,32,25,3,3,0,1,0,2,2,100.0,489,64,203,199,94,22,489,22,13,11,9,2,16,19,84.2,3,9,2,7,6,28,21,0,2.5,2.5,1.8,1.8,2.5,1.4,0.5,0.5,0.5,0.15,0,0.4,0.2,0.4
Napoli,Parma,2024-08-31,W,H,2,1,1,2,0,0,0,55,8,1,12.5,25.1,15,6,71.4,18,6,33.3,7,38.9,414,2437,1334,31,21,5,0,0.0,2,0,0,12,6,4,4,0,0,0,0,0,7,28.6,37.3,29,0.07,0.29,7,24.1,17.5,1,4,0,1,0,43,0,16.0,427,520,82.1,22,60,18,5,78,7148,2483,203,226,89.8,170,198,85.9,40,56,71.4,1,1,0,0.0,1,0,0.0,0,0,0,473,43,5,5,5,32,23,6,5,0,0,4,16,424,21,13,10,12,55,51,2,0,0,2,0,2,1,100.0,632,36,100,218,323,54,632,14,8,6,6,2,4,7,57.1,3,13,5,8,5,19,11,1,2.2,2.2,0.4,1.2,1.8,2.0,-0.2,-0.2,0.2,0.08,1,1.1,0.25,0.1
Napoli,Cagliari,2024-09-15,W,A,4,0,4,4,0,0,0,49,16,2,50.0,42.6,15,20,42.9,19,6,31.6,11,57.9,273,1292,566,18,16,21,0,0.0,2,0,0,11,21,7,6,1,0,0,0,0,7,57.1,40.1,13,0.31,0.8,5,38.5,16.0,0,4,0,0,0,51,0,,352,454,77.5,11,22,7,1,42,5229,2398,216,239,90.4,111,141,78.7,16,50,32.0,0,0,0,,0,0,,0,0,0,395,55,23,4,1,13,20,4,1,3,0,4,10,349,16,7,17,8,22,17,2,1,1,1,0,5,5,100.0,595,70,199,259,144,24,595,24,15,13,7,4,11,18,61.1,7,9,4,5,10,34,37,0,1.9,1.9,0.9,0.9,1.9,1.9,2.1,2.1,2.1,0.15,0,1.1,0.22,1.1
Napoli,Juventus,2024-09-21,D,A,0,0,0,0,0,0,0,36,24,4,20.8,33.5,10,7,58.8,12,6,50.0,5,41.7,226,1412,777,17,17,13,2,15.4,0,0,0,13,10,0,0,0,0,0,0,0,9,22.2,25.4,8,0.0,0.0,1,12.5,23.4,0,2,0,0,0,31,0,4.5,333,392,84.9,6,33,3,2,23,6051,2042,146,161,90.7,151,170,88.8,33,44,75.0,0,0,0,,0,0,,0,0,0,355,35,9,0,1,12,13,3,1,0,2,2,11,330,17,4,12,9,12,11,1,0,0,0,0,1,1,100.0,472,55,179,197,101,7,472,17,7,4,10,3,10,18,55.6,8,9,4,5,7,24,18,1,0.3,0.3,0.0,0.0,0.3,0.4,-0.3,-0.3,-0.3,0.04,0,0.0,0.01,0.0
Napoli,Monza,2024-09-29,W,H,2,0,2,2,0,0,0,49,10,2,30.0,31.3,7,7,50.0,12,4,33.3,8,66.7,347,1793,907,15,14,9,1,11.1,1,0,0,16,7,3,2,0,0,1,0,0,3,33.3,20.3,11,0.18,1.0,2,18.2,13.8,0,0,0,0,0,41,0,6.5,495,552,89.7,10,45,9,0,61,8658,2406,221,244,90.6,235,246,95.5,36,50,72.0,0,0,0,,0,0,,0,0,0,525,27,8,0,2,7,14,1,1,0,0,0,7,489,14,3,13,7,19,12,3,1,2,1,0,1,1,100.0,632,30,88,398,149,20,632,8,4,0,5,3,3,9,33.3,6,8,2,6,5,13,15,0,1.1,1.1,0.8,0.8,1.0,0.9,0.9,0.9,0.0,0.11,0,0.8,0.81,0.8
Napoli,Como,2024-10-04,W,H,3,1,2,2,1,1,0,41,25,4,20.0,29.3,6,13,31.6,19,10,52.6,8,42.1,251,1638,950,16,10,4,1,25.0,1,0,0,7,9,6,4,0,0,0,1,1,10,10.0,21.1,8,0.25,0.4,5,62.5,18.1,0,2,1,0,0,38,0,8.5,385,456,84.4,7,21,4,1,27,7018,2366,154,172,89.5,183,197,92.9,39,58,67.2,0,0,0,,0,0,,0,0,0,411,43,9,3,3,8,18,4,4,0,0,2,9,381,10,6,14,9,14,9,1,0,0,1,3,2,1,50.0,538,47,182,283,85,19,537,12,11,4,6,2,3,8,37.5,5,6,1,5,8,20,12,0,1.9,1.1,1.5,0.8,1.1,0.4,1.1,0.9,0.9,0.14,0,0.4,0.21,-0.6
Napoli,Empoli,2024-10-20,W,A,1,0,1,0,1,1,0,50,30,1,30.0,35.9,7,6,53.8,20,8,40.0,10,50.0,259,1418,724,13,10,11,1,9.1,2,0,0,13,14,2,0,0,0,1,1,0,4,25.0,31.5,8,0.0,,0,0.0,16.7,0,0,1,0,0,35,3,17.3,364,436,83.5,8,19,4,0,27,6659,2159,154,168,91.7,173,196,88.3,32,59,54.2,0,0,0,,0,0,,0,0,0,386,50,14,0,2,11,24,7,6,1,0,0,7,362,10,4,10,10,15,7,2,3,2,1,0,4,4,100.0,534,62,207,236,97,14,533,18,12,11,4,3,9,17,52.9,8,14,4,10,6,24,23,0,1.3,0.6,0.6,-0.1,0.6,0.5,-0.3,-0.6,-0.6,0.08,0,0.9,0.23,0.9
Napoli,Lecce,2024-10-26,W,H,1,0,1,1,0,0,0,64,23,2,13.0,24.1,30,19,61.2,22,8,36.4,13,59.1,416,2182,1271,25,11,9,1,11.1,3,0,0,13,5,1,0,0,0,1,0,0,5,40.0,33.8,24,0.04,0.13,8,33.3,14.8,0,1,0,0,0,41,4,16.3,452,543,83.2,16,49,12,2,59,7319,2392,218,237,92.0,183,214,85.5,35,55,63.6,0,0,0,,0,0,,0,0,0,495,47,7,1,1,27,18,16,6,9,0,1,7,447,11,6,9,6,39,25,5,2,7,0,0,1,1,100.0,656,41,121,329,211,31,656,11,7,3,7,1,6,12,50.0,6,10,6,4,8,19,16,0,2.7,2.7,2.0,2.0,1.5,1.6,-1.7,-1.7,-1.5,0.13,0,0.0,0.04,0.0
Napoli,Milan,2024-10-29,W,A,2,0,2,2,0,0,0,39,16,3,31.3,38.4,12,8,60.0,17,5,29.4,10,58.8,213,1131,560,12,9,15,1,6.7,1,0,0,6,14,4,4,0,0,0,0,0,12,25.0,28.3,9,0.22,0.5,4,44.4,17.9,0,2,0,0,0,27,2,14.3,327,387,84.5,9,20,4,0,24,5923,2180,154,167,92.2,135,153,88.2,37,60,61.7,0,0,0,,0,0,,0,0,0,337,48,17,1,4,6,17,1,1,0,0,2,1,324,9,3,10,15,17,16,1,0,0,0,0,5,5,100.0,495,77,219,201,79,15,495,19,13,13,6,0,15,24,62.5,9,6,2,4,10,29,31,1,1.1,1.1,0.4,0.4,1.1,0.4,0.9,0.9,0.9,0.13,0,0.8,0.17,0.8
