Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Parma,Fiorentina,2024-08-17,D,H,1,1,0,1,0,0,0,39,31,7,38.7,37.3,8,11,42.1,11,6,54.5,2,18.2,163,872,524,17,5,17,1,5.9,3,0,0,15,9,2,2,0,0,0,0,0,6,50.0,41.0,14,0.07,0.17,6,42.9,16.6,0,1,0,0,0,35,2,15.9,217,298,72.8,11,20,4,1,24,3975,1925,98,125,78.4,87,101,86.1,27,59,45.8,0,0,0,,0,0,,1,0,0,257,40,14,4,3,11,14,4,0,1,0,1,4,215,5,8,17,5,23,16,1,1,2,1,2,7,6,85.7,411,68,167,140,109,20,411,16,7,7,5,4,7,16,43.8,9,9,5,4,8,24,29,0,1.7,1.7,1.0,1.0,1.0,0.5,-0.7,-0.7,0.0,0.13,0,1.5,0.21,0.5
Parma,Milan,2024-08-24,W,H,2,1,1,2,0,0,0,39,25,3,56.0,44.4,9,3,75.0,24,10,41.7,11,45.8,265,1493,732,15,9,22,1,4.5,0,0,0,9,12,4,4,0,0,0,0,0,11,36.4,32.4,9,0.22,0.4,5,55.6,15.6,0,2,0,0,0,47,0,3.0,320,390,82.1,7,16,6,0,23,5701,2444,151,164,92.1,122,138,88.4,33,62,53.2,0,0,0,,0,0,,0,0,0,347,41,13,1,4,2,12,3,0,0,0,2,3,317,9,4,16,8,15,13,0,2,0,0,0,5,4,80.0,503,96,222,197,91,15,503,17,11,12,4,1,10,20,50.0,10,9,3,6,8,25,31,0,1.7,1.7,-0.2,-0.2,1.7,0.9,0.3,0.3,0.3,0.19,0,1.6,0.32,0.6
Parma,Napoli,2024-08-31,L,A,1,2,-1,0,1,1,0,45,53,9,41.5,36.8,6,15,28.6,9,3,33.3,4,44.4,239,1424,920,19,11,22,3,13.6,4,1,1,6,12,2,1,0,0,0,1,0,10,50.0,35.5,12,0.0,0.0,1,8.3,22.7,1,0,1,0,0,25,1,9.7,353,430,82.1,10,15,7,1,22,6531,2108,143,158,90.5,169,190,88.9,36,70,51.4,0,0,0,,0,0,,0,1,0,385,45,13,1,4,8,15,4,0,1,1,0,8,351,11,5,16,10,26,24,0,0,0,2,0,7,5,71.4,569,124,262,216,94,20,568,19,9,18,1,0,7,13,53.8,6,24,12,12,8,27,40,0,1.7,1.0,-0.4,-1.2,0.9,0.9,-0.7,-1.0,-0.9,0.08,1,1.3,0.18,-0.7
Parma,Udinese,2024-09-16,L,H,2,3,-1,2,0,0,0,47,41,5,31.7,33.9,7,12,36.8,15,7,46.7,5,33.3,280,1222,592,7,4,21,2,9.5,2,1,1,8,17,4,2,1,1,0,0,0,8,37.5,34.4,9,0.22,0.67,3,33.3,17.2,0,2,0,0,0,25,2,16.3,363,449,80.8,7,13,6,1,21,6672,2019,139,159,87.4,159,182,87.4,48,76,63.2,0,0,0,,0,0,,0,0,0,392,55,22,0,3,4,15,5,1,0,0,2,2,360,4,3,16,9,17,13,3,1,0,0,0,6,3,50.0,544,79,200,255,91,17,544,8,4,4,4,0,4,10,40.0,6,7,3,4,4,12,24,1,0.8,0.8,-1.7,-1.7,0.7,0.4,1.2,1.2,1.3,0.09,0,2.5,0.43,-0.5
Parma,Lecce,2024-09-21,D,A,2,2,0,2,0,0,0,61,26,6,23.1,28.6,5,14,26.3,25,11,44.0,11,44.0,423,2197,1172,31,13,10,0,0.0,0,1,0,11,12,3,2,0,0,1,0,0,10,30.0,32.4,25,0.08,0.2,10,40.0,18.1,3,1,0,0,0,38,0,13.0,478,567,84.3,20,46,16,2,67,7871,2997,233,267,87.3,202,221,91.4,31,50,62.0,0,0,0,,0,0,,1,0,0,514,52,14,1,1,14,13,12,3,0,0,1,14,473,13,10,15,12,44,28,6,3,3,4,0,3,1,33.3,679,52,138,273,275,37,679,18,10,8,5,5,11,14,78.6,3,14,5,9,10,28,7,2,2.0,2.0,0.5,0.5,1.7,1.5,0.0,0.0,0.3,0.08,3,1.2,0.39,-0.8
Parma,Cagliari,2024-09-30,L,H,2,3,-1,1,1,1,0,60,34,4,32.4,34.8,12,8,60.0,7,3,42.9,4,57.1,495,2389,1255,27,14,9,1,11.1,3,0,0,10,13,4,2,0,1,0,1,0,8,0.0,18.6,17,0.06,0.33,3,17.6,20.0,1,1,1,0,0,43,1,9.8,505,600,84.2,14,34,12,4,46,8711,2751,222,247,89.9,243,268,90.7,35,65,53.8,0,0,0,,0,0,,0,0,0,550,49,18,2,1,15,14,5,1,1,0,1,7,492,14,9,16,9,36,31,1,2,0,2,0,4,1,25.0,681,52,185,336,166,31,680,10,5,4,6,0,7,15,46.7,8,9,1,8,4,14,16,2,2.4,1.6,0.0,-0.8,1.4,0.9,-0.4,-0.6,-0.4,0.09,1,3.0,0.74,0.0
Parma,Bologna,2024-10-06,D,A,0,0,0,0,0,0,0,29,38,4,63.2,45.3,15,16,48.4,18,6,33.3,9,50.0,197,1122,542,13,15,21,3,14.3,0,1,0,16,15,0,0,0,0,0,0,0,12,91.7,69.4,13,0.0,0.0,2,15.4,19.6,0,0,0,0,0,37,0,9.0,177,260,68.1,12,11,7,4,17,3373,1595,77,92,83.7,76,92,82.6,20,59,33.9,0,0,0,,0,0,,0,0,0,212,48,18,1,2,10,11,6,1,0,0,0,9,176,15,6,18,9,21,15,5,0,0,1,0,3,3,100.0,391,80,180,130,86,19,391,13,8,5,6,2,6,12,50.0,6,17,7,10,10,23,34,0,0.8,0.8,0.0,0.0,0.7,0.7,-0.8,-0.8,-0.7,0.06,0,0.3,0.1,0.3
Parma,Como,2024-10-19,D,A,1,1,0,1,0,0,0,39,32,11,21.9,30.3,4,6,40.0,19,9,47.4,9,47.4,271,1731,963,21,15,14,1,7.1,2,0,0,10,14,2,2,0,0,0,0,0,10,30.0,31.9,9,0.11,0.33,3,33.3,24.0,2,2,0,0,0,43,1,20.5,323,411,78.6,7,30,6,0,37,5794,2426,144,161,89.4,135,159,84.9,33,66,50.0,0,0,0,,0,0,,0,0,0,354,55,19,0,6,11,20,4,1,0,0,2,6,318,15,3,16,9,18,14,0,0,0,2,2,3,2,66.7,517,66,166,218,140,15,517,9,5,3,5,1,5,9,55.6,4,19,5,14,10,19,16,0,0.5,0.5,-0.8,-0.8,0.4,0.5,0.5,0.5,0.6,0.05,2,1.0,0.34,0.0
Parma,Empoli,2024-10-27,D,H,1,1,0,1,0,1,1,60,35,9,14.3,28.5,14,3,82.4,15,6,40.0,7,46.7,445,2185,1037,20,14,8,1,12.5,4,0,0,12,16,2,2,0,0,0,0,0,6,16.7,23.8,16,0.06,0.25,4,25.0,22.8,1,1,1,0,1,34,2,14.4,487,580,84.0,13,42,8,3,42,8930,3066,200,220,90.9,238,269,88.5,43,72,59.7,0,0,0,,0,0,,0,0,1,523,56,16,1,2,19,23,9,3,1,0,1,7,484,14,2,10,8,31,25,2,0,2,2,0,1,1,0.0,667,63,214,285,172,22,666,15,9,8,5,2,4,10,40.0,6,7,0,7,8,23,13,0,1.7,0.9,1.5,0.7,0.7,0.7,-0.7,0.1,0.3,0.06,1,0.0,0.01,0.0
Parma,Juventus,2024-10-30,D,A,2,2,0,2,0,0,0,39,35,4,31.4,33.9,11,11,50.0,17,6,35.3,10,58.8,293,1771,1092,19,15,21,1,4.8,0,0,0,5,7,4,4,0,0,0,0,0,16,25.0,29.3,13,0.15,0.4,5,38.5,18.4,0,2,0,0,0,42,0,8.1,335,407,82.3,10,19,7,2,23,6439,2356,130,146,89.0,165,185,89.2,40,68,58.8,0,0,0,,0,0,,0,1,0,358,47,10,4,1,9,12,6,2,0,0,2,3,330,15,9,15,7,24,20,1,1,1,0,1,4,2,50.0,520,112,247,177,107,23,520,11,9,4,6,1,3,18,16.7,15,13,9,4,10,21,25,2,1.2,1.2,-1.2,-1.2,1.1,1.2,0.8,0.8,0.9,0.09,0,2.2,0.56,0.2
