Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Roma,Cagliari,2024-08-18,D,A,0,0,0,0,0,0,0,57,24,3,20.8,31.5,10,11,47.6,14,5,35.7,8,57.1,354,1996,1040,22,16,13,0,0.0,0,0,0,7,15,0,0,0,0,0,0,0,16,31.3,31.1,15,0.0,0.0,3,20.0,19.8,1,2,0,0,0,37,0,15.0,395,497,79.5,12,33,7,1,42,6925,2710,194,222,87.4,152,186,81.7,41,72,56.9,0,0,0,,0,0,,0,0,0,434,61,17,0,2,22,24,3,3,0,0,2,4,391,16,5,22,5,25,19,2,0,1,3,0,2,2,100.0,606,69,182,252,177,26,606,9,3,2,3,4,3,11,27.3,8,7,3,4,8,17,17,0,0.9,0.9,0.0,0.0,0.8,0.9,-0.9,-0.9,-0.8,0.06,1,0.2,0.11,0.2
Roma,Empoli,2024-08-25,L,H,1,2,-1,1,0,0,0,73,28,0,0.0,23.3,18,14,56.3,19,5,26.3,11,57.9,538,3304,1670,31,27,7,0,0.0,0,0,0,10,11,2,1,0,0,0,0,1,5,0.0,8.4,27,0.04,0.14,7,25.9,16.4,0,0,0,1,0,39,0,,589,682,86.4,19,40,16,7,56,9816,2793,279,294,94.9,255,280,91.1,42,75,56.0,1,1,0,0.0,1,0,0.0,0,0,0,622,60,11,1,4,35,33,8,4,2,1,0,13,583,27,9,10,10,48,36,4,1,6,0,1,4,2,75.0,777,35,189,348,248,47,777,12,9,4,7,1,3,7,42.9,4,7,4,3,6,18,5,1,2.1,2.1,-0.5,0.2,1.2,1.3,-1.1,-1.1,-0.2,0.08,0,2.0,0.25,0.0
Roma,Juventus,2024-09-01,D,A,0,0,0,0,0,0,0,51,33,2,15.2,28.7,10,6,62.5,12,3,25.0,9,75.0,381,2256,1171,18,22,15,0,0.0,2,0,0,12,10,0,0,0,0,0,0,0,9,22.2,27.7,7,0.0,0.0,1,14.3,21.1,0,0,0,0,0,25,0,17.0,448,524,85.5,5,29,8,2,36,7748,2094,186,202,92.1,230,252,91.3,25,50,50.0,0,0,0,,0,0,,0,0,0,479,45,13,0,0,17,18,4,2,2,0,0,9,444,22,0,16,3,13,12,0,0,1,0,0,1,1,100.0,612,67,182,268,169,11,612,14,7,2,9,3,7,14,50.0,7,7,3,4,5,19,22,0,0.3,0.3,-0.2,-0.2,0.2,0.5,-0.3,-0.3,-0.2,0.05,0,0.6,0.55,0.6
Roma,Genoa,2024-09-15,D,A,1,1,0,1,0,0,0,52,29,6,41.4,39.0,12,16,42.9,23,9,39.1,11,47.8,268,1487,851,11,10,29,1,3.4,3,0,0,12,9,1,0,0,0,1,0,0,9,44.4,38.6,16,0.06,0.2,5,31.3,13.8,0,1,0,0,0,38,0,8.7,380,465,81.7,13,26,4,0,27,6985,2597,169,189,89.4,161,183,88.0,44,73,60.3,0,0,0,,0,0,,0,0,0,414,50,10,2,2,13,24,5,0,4,0,1,7,376,10,3,17,14,28,14,6,1,4,3,0,7,6,85.7,597,81,223,248,130,29,597,19,11,13,5,1,4,8,50.0,4,15,6,9,10,29,28,1,2.2,2.2,1.0,1.0,1.7,0.9,-1.2,-1.2,-1.7,0.14,0,0.7,0.11,-0.3
Roma,Udinese,2024-09-22,W,H,3,0,3,2,1,1,0,62,38,5,31.6,36.3,8,15,34.8,14,5,35.7,8,57.1,340,2212,985,20,17,5,0,0.0,2,0,0,15,10,5,4,0,0,0,1,0,8,100.0,67.3,15,0.13,0.29,7,46.7,18.6,0,4,1,0,0,44,0,8.3,517,603,85.7,12,39,14,5,44,9138,2790,211,234,90.2,267,290,92.1,31,59,52.5,0,0,0,,0,0,,0,0,0,565,34,11,3,3,12,12,2,2,0,0,4,5,511,17,8,9,5,30,27,1,0,1,1,0,2,2,100.0,689,57,151,384,159,37,688,10,8,5,3,2,3,4,75.0,1,7,3,4,7,17,11,1,1.9,1.1,1.2,0.4,0.6,1.3,1.1,0.9,0.4,0.07,0,0.9,0.44,0.9
Roma,Venezia,2024-09-29,W,H,2,1,1,2,0,0,0,69,12,4,16.7,27.0,13,10,56.5,23,7,30.4,10,43.5,437,2429,1312,32,22,13,0,0.0,1,0,0,8,11,4,3,1,0,0,0,0,7,100.0,66.1,22,0.09,0.4,5,22.7,18.7,1,2,0,0,0,36,1,28.0,534,636,84.0,15,44,13,4,45,9154,2419,249,267,93.3,228,261,87.4,46,77,59.7,0,0,0,,0,0,,0,0,0,582,52,13,2,2,27,24,6,5,1,0,2,11,530,22,3,11,8,40,30,6,2,1,1,0,6,5,83.3,749,44,129,378,246,31,749,12,8,1,7,4,6,8,75.0,2,12,7,5,5,17,24,0,1.7,1.7,0.0,0.0,1.2,1.3,0.3,0.3,0.8,0.08,1,2.1,0.35,1.1
Roma,Monza,2024-10-06,D,A,1,1,0,1,0,0,0,65,34,5,29.4,33.8,9,23,28.1,14,7,50.0,6,42.9,408,2470,1343,25,17,9,1,11.1,1,0,0,13,16,2,0,0,2,0,0,0,2,0.0,17.0,15,0.07,0.25,4,26.7,18.6,0,1,0,0,0,35,1,13.0,544,640,85.0,13,36,11,2,57,9559,2414,210,233,90.1,289,320,90.3,33,62,53.2,0,0,0,,0,0,,0,0,0,598,41,17,1,1,22,17,3,2,1,0,1,10,540,17,3,9,11,28,24,0,3,1,0,0,3,2,66.7,749,49,170,383,202,21,749,21,11,6,10,5,3,5,60.0,2,7,0,7,5,26,20,0,1.1,1.1,0.0,0.0,0.7,0.8,-0.1,-0.1,-0.7,0.07,0,1.2,0.4,0.2
Roma,Inter,2024-10-20,L,H,0,1,-1,0,0,0,0,55,30,5,40.0,37.8,10,15,40.0,7,2,28.6,4,57.1,410,2307,1243,24,21,6,2,33.3,2,0,0,12,12,0,0,0,0,0,0,0,5,100.0,64.2,14,0.0,0.0,3,21.4,17.9,0,0,0,0,0,43,1,15.5,452,530,85.3,12,27,13,6,41,8497,2451,164,186,88.2,221,248,89.1,52,77,67.5,0,0,0,,0,0,,0,0,0,488,42,14,0,3,20,18,3,2,0,0,0,3,449,21,4,15,10,25,18,3,1,2,1,0,6,5,83.3,613,50,146,320,152,26,613,14,8,5,5,4,6,7,85.7,1,4,1,3,5,19,11,1,1.0,1.0,0.0,0.0,0.9,1.1,-1.0,-1.0,-0.9,0.07,0,1.4,0.23,0.4
Roma,Fiorentina,2024-10-27,L,A,1,5,-4,1,0,0,0,61,21,4,23.8,32.3,5,6,45.5,11,5,45.5,5,45.5,359,2154,1277,23,11,11,0,0.0,5,1,1,11,13,2,2,0,0,0,0,0,9,0.0,13.3,14,0.07,0.2,5,35.7,22.4,1,2,0,1,1,30,1,23.0,519,580,89.5,8,39,8,1,41,8913,2592,228,244,93.4,243,264,92.0,37,55,67.3,1,1,0,0.0,1,0,0.0,0,0,1,537,41,14,2,2,17,10,2,1,1,0,2,5,512,11,3,11,13,21,11,2,2,2,2,2,10,6,60.0,654,65,191,310,156,22,654,8,8,4,2,2,6,18,33.3,12,7,3,4,4,12,11,1,0.8,0.8,-2.9,-2.1,0.5,0.7,0.2,0.2,0.5,0.06,1,4.6,0.37,0.6
Roma,Torino,2024-10-31,W,H,1,0,1,1,0,0,0,57,20,5,30.0,34.4,13,18,41.9,10,3,30.0,5,50.0,520,2264,993,21,22,11,1,9.1,2,0,0,11,13,0,0,0,0,0,0,0,3,100.0,63.3,9,0.11,0.33,3,33.3,19.9,0,2,0,0,0,36,2,17.8,529,618,85.6,7,46,7,1,46,8345,2635,273,300,91.0,204,225,90.7,34,62,54.8,0,0,0,,0,0,,0,0,0,578,38,15,0,2,17,16,3,2,0,0,2,9,526,22,5,20,4,16,12,2,1,0,0,1,2,2,100.0,719,39,163,346,213,27,719,13,8,5,5,3,9,12,75.0,3,10,2,8,10,23,15,0,0.6,0.6,0.4,0.4,0.3,0.5,0.4,0.4,-0.3,0.07,0,0.4,0.2,0.4
