Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Torino,Milan,2024-08-17,D,A,2,2,0,1,0,0,0,44,46,8,34.8,34.8,8,20,28.6,5,4,80.0,1,20.0,325,1825,980,12,11,30,1,3.3,4,0,0,7,10,2,2,0,0,0,0,0,12,58.3,55.4,7,0.14,0.33,3,42.9,16.3,0,1,0,0,0,21,0,9.4,378,443,85.3,7,11,2,0,17,6837,2166,168,179,93.9,158,174,90.8,46,77,59.7,0,0,0,,0,0,,0,0,0,400,42,12,1,2,10,13,2,2,0,0,1,2,376,11,3,7,7,14,13,1,0,0,0,0,5,3,60.0,524,108,271,194,63,8,524,8,3,5,2,1,3,11,27.3,8,12,11,1,2,10,30,1,1.0,1.0,-1.1,-1.1,1.0,0.8,0.0,0.0,0.0,0.14,0,0.8,0.17,-1.2
Torino,Atalanta,2024-08-25,W,H,2,1,1,2,0,0,0,42,37,4,35.1,37.2,9,17,34.6,8,3,37.5,5,62.5,253,1011,470,9,8,19,1,5.3,3,0,0,11,14,3,2,0,0,1,0,0,14,71.4,61.9,13,0.15,0.33,6,46.2,15.5,1,1,0,1,0,31,0,8.7,286,363,78.8,9,19,7,2,17,5649,2333,98,116,84.5,136,153,88.9,39,70,55.7,1,0,1,100.0,0,1,100.0,0,0,0,322,40,13,2,0,9,7,4,4,0,0,1,6,281,8,3,10,3,23,15,2,1,3,1,1,9,7,88.9,462,94,203,183,83,17,462,13,10,5,6,2,4,6,66.7,2,4,2,2,11,24,24,1,2.4,2.4,-0.7,0.1,1.6,0.8,-0.4,-0.4,-0.6,0.2,1,4.2,0.42,3.2
Torino,Venezia,2024-08-30,W,A,1,0,1,1,0,0,0,58,26,5,50.0,43.0,18,22,45.0,10,2,20.0,6,60.0,414,1941,848,9,15,11,0,0.0,4,0,0,15,7,2,1,1,0,0,0,0,12,75.0,60.1,12,0.08,0.2,5,41.7,17.0,0,3,0,0,0,38,1,12.2,458,559,81.9,8,38,11,4,30,7738,2522,220,248,88.7,191,215,88.8,33,69,47.8,0,0,0,,0,0,,0,0,0,513,43,10,2,0,19,17,3,2,0,0,3,5,458,15,0,12,11,20,18,1,0,1,0,0,4,4,100.0,643,53,162,332,153,17,643,17,9,9,5,3,7,15,46.7,8,9,3,6,7,24,18,0,1.0,1.0,0.2,0.2,0.5,1.2,0.0,0.0,0.5,0.09,0,0.8,0.21,0.8
Torino,Lecce,2024-09-15,D,H,0,0,0,0,0,0,0,53,25,7,36.0,36.3,20,15,57.1,4,2,50.0,1,25.0,310,1593,912,12,6,18,0,0.0,1,0,0,13,13,0,0,0,0,0,0,0,12,41.7,39.3,5,0.0,,0,0.0,17.4,1,1,0,0,0,35,0,13.3,397,494,80.4,4,28,10,0,50,7073,2725,160,190,84.2,205,230,89.1,26,53,49.1,0,0,0,,0,0,,0,0,0,455,38,11,0,0,21,12,2,2,0,0,1,10,392,6,1,18,6,10,8,1,0,0,1,0,6,6,100.0,582,72,176,305,104,14,582,8,2,4,2,2,4,13,30.8,9,9,2,7,10,18,18,0,0.4,0.4,-1.2,-1.2,0.4,0.6,-0.4,-0.4,-0.4,0.09,1,1.6,0.27,1.6
Torino,Hellas Verona,2024-09-20,W,A,3,2,1,3,0,1,1,70,26,5,23.1,30.0,25,17,59.5,13,3,23.1,6,46.2,495,2591,1464,19,17,13,0,0.0,1,0,0,8,10,4,4,0,0,0,0,0,7,0.0,19.7,15,0.2,1.0,3,20.0,18.9,1,3,1,0,0,42,0,5.0,696,793,87.8,8,60,13,5,56,12331,3535,297,328,90.5,325,350,92.9,61,85,71.8,0,0,0,,0,0,,0,1,0,753,37,8,0,4,21,13,6,2,4,0,3,9,688,17,3,9,7,26,19,1,0,3,3,0,2,0,0.0,876,49,177,486,220,24,875,14,5,6,6,2,6,12,50.0,6,5,2,3,8,22,12,1,2.2,1.5,1.7,1.0,0.5,1.0,0.8,1.5,0.5,0.1,1,1.5,0.74,-0.5
Torino,Lazio,2024-09-29,L,H,2,3,-1,2,0,0,0,57,26,5,34.6,31.0,18,10,64.3,13,5,38.5,6,46.2,416,2167,960,19,8,12,0,0.0,2,0,0,10,12,4,3,1,0,0,0,0,6,50.0,42.0,12,0.17,0.29,7,58.3,19.5,1,0,0,0,0,39,5,27.3,443,540,82.0,10,22,7,3,29,8155,2552,184,211,87.2,199,232,85.8,49,77,63.6,0,0,0,,0,0,,0,0,0,489,51,13,0,5,27,25,3,3,0,0,0,7,438,8,1,13,9,23,18,2,0,1,1,1,7,4,57.1,647,61,188,341,121,21,647,21,12,8,8,5,11,26,42.3,15,11,1,10,7,28,21,0,0.7,0.7,-1.4,-1.4,0.6,0.8,1.3,1.3,1.4,0.06,1,2.2,0.32,-0.8
Torino,Inter,2024-10-05,L,A,2,3,-1,1,1,1,0,20,21,3,38.1,41.4,15,13,53.6,11,3,27.3,8,72.7,113,565,278,6,8,34,1,2.9,2,1,0,9,6,3,1,0,1,0,1,0,14,85.7,63.2,6,0.17,0.25,4,66.7,21.8,0,1,1,0,0,25,0,7.0,137,207,66.2,4,6,2,0,8,2742,1157,61,82,74.4,50,68,73.5,22,46,47.8,0,0,0,,0,0,,0,0,0,172,34,7,1,0,6,9,0,0,0,0,1,2,135,8,3,7,7,12,9,0,2,0,1,0,8,5,62.5,328,91,173,114,41,6,327,8,5,6,2,0,5,10,50.0,5,12,8,4,6,14,50,3,1.6,0.8,-0.8,-1.6,0.7,0.3,0.4,0.2,0.3,0.14,0,3.2,0.41,0.2
Torino,Cagliari,2024-10-20,L,A,2,3,-1,2,0,0,0,59,25,3,36.0,37.2,11,15,42.3,9,5,55.6,4,44.4,344,1981,922,16,11,17,0,0.0,3,0,0,8,9,4,3,1,0,0,0,0,8,25.0,35.6,17,0.12,0.4,5,29.4,21.5,1,2,0,0,1,35,1,13.6,442,525,84.2,12,25,5,4,33,7560,2454,201,219,91.8,195,222,87.8,35,63,55.6,0,0,0,,0,0,,1,1,1,469,54,8,0,2,27,22,12,5,5,0,2,4,438,11,5,11,9,32,25,2,2,1,2,0,4,2,25.0,624,54,195,269,163,20,624,11,6,4,5,2,6,9,66.7,3,8,5,3,2,13,24,1,1.4,1.4,-0.2,-0.2,1.0,1.2,0.6,0.6,1.0,0.08,1,1.3,0.31,-0.7
Torino,Como,2024-10-25,W,H,1,0,1,1,0,0,0,32,25,1,64.0,46.7,9,20,31.0,15,6,40.0,8,53.3,179,865,409,13,7,18,0,0.0,3,0,0,13,12,1,0,0,1,0,0,0,10,70.0,56.8,8,0.13,0.5,2,25.0,19.4,0,3,0,0,0,36,3,19.0,230,317,72.6,7,12,3,2,20,4279,1598,93,109,85.3,108,134,80.6,27,66,40.9,0,0,0,,0,0,,0,0,0,272,42,13,1,3,15,17,1,1,0,0,3,4,228,7,1,15,10,12,9,1,1,1,0,0,6,6,100.0,439,59,163,197,84,11,439,16,6,5,8,3,7,15,46.7,8,16,6,10,10,26,24,2,1.3,1.3,-0.1,-0.1,0.4,0.3,-0.3,-0.3,-0.4,0.16,0,0.6,0.1,0.6
Torino,Roma,2024-10-31,L,A,0,1,-1,0,0,0,0,43,48,6,31.3,33.5,18,13,58.1,14,3,21.4,9,64.3,363,1460,694,7,7,11,0,0.0,2,0,0,15,11,0,0,0,0,0,0,0,6,16.7,32.0,4,0.0,0.0,2,50.0,17.1,0,0,0,0,0,28,3,24.8,373,468,79.7,2,19,2,0,20,6839,2141,151,179,84.4,179,202,88.6,37,69,53.6,0,0,0,,0,0,,0,0,0,421,47,13,1,0,14,21,5,2,2,0,0,10,369,7,3,13,4,6,4,1,0,1,0,0,3,2,66.7,558,64,227,249,84,11,558,9,7,4,3,2,5,8,62.5,3,13,5,8,8,17,18,2,0.2,0.2,-0.4,-0.4,0.1,0.5,-0.2,-0.2,-0.1,0.05,0,0.7,0.25,-0.3
