Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Udinese,Bologna,2024-08-18,D,A,1,1,0,1,0,1,1,27,13,2,76.9,60.6,10,16,38.5,18,7,38.9,10,55.6,135,784,379,7,7,25,2,8.0,4,0,0,17,16,1,0,0,0,1,0,0,9,44.4,32.9,3,0.33,1.0,1,33.3,17.7,0,1,1,1,0,31,0,5.5,150,234,64.1,1,13,3,2,20,2853,1236,57,71,80.3,62,81,76.5,22,60,36.7,1,1,0,0.0,1,0,0.0,0,0,0,183,50,17,0,5,14,17,5,1,3,0,1,8,150,7,4,10,6,5,2,0,1,1,1,0,6,5,100.0,350,78,169,122,68,10,349,15,10,5,6,4,4,10,40.0,6,17,8,9,10,25,26,0,0.9,0.1,-2.3,-2.3,0.1,0.1,0.1,0.9,0.9,0.04,0,2.2,0.22,1.2
Udinese,Lazio,2024-08-24,W,H,2,1,1,2,0,0,0,34,10,0,90.0,61.8,17,14,54.8,14,7,50.0,7,50.0,171,1010,517,9,8,32,0,0.0,4,1,1,15,9,2,2,0,0,0,0,0,11,45.5,35.5,8,0.25,0.67,3,37.5,19.4,0,2,0,0,0,29,2,20.3,203,287,70.7,5,19,3,2,14,3840,1829,89,105,84.8,70,93,75.3,33,60,55.0,0,0,0,,0,0,,0,0,0,243,42,12,0,1,12,13,4,1,3,0,2,6,200,8,3,13,4,10,8,1,0,0,0,1,4,3,75.0,407,65,165,163,85,10,407,18,11,12,4,2,6,15,40.0,9,7,3,4,9,27,40,0,0.8,0.8,-0.5,-0.5,0.5,0.2,1.2,1.2,0.5,0.11,0,1.7,0.45,0.7
Udinese,Como,2024-09-01,W,H,1,0,1,1,0,0,0,44,22,2,40.9,35.9,18,15,54.5,26,14,53.8,12,46.2,272,1425,715,12,10,17,0,0.0,3,0,0,16,7,2,2,0,0,0,0,0,15,26.7,25.2,10,0.1,0.5,2,20.0,14.6,0,2,0,1,0,34,0,8.5,344,421,81.7,8,16,8,4,23,6059,2134,146,163,89.6,154,176,87.5,32,58,55.2,1,0,0,,0,0,,0,0,0,374,45,10,1,5,12,15,4,2,2,0,2,8,338,10,0,13,14,20,16,1,1,0,0,2,4,4,100.0,548,87,228,223,106,19,548,22,12,11,9,2,4,15,26.7,11,22,6,16,11,33,27,1,1.0,1.0,-0.6,0.1,0.8,1.4,0.0,0.0,0.2,0.1,0,0.3,0.08,0.3
Udinese,Parma,2024-09-16,W,A,3,2,1,3,0,0,0,53,31,2,16.1,26.4,12,7,63.2,12,6,50.0,4,33.3,289,1685,952,21,18,3,0,0.0,3,0,0,18,7,4,2,0,0,2,0,0,7,28.6,27.3,18,0.17,0.5,6,33.3,15.1,0,4,0,0,0,39,0,10.5,419,500,83.8,14,35,12,8,37,8116,2657,147,158,93.0,191,215,88.8,66,95,69.5,0,0,0,,0,0,,0,1,0,454,42,10,1,2,25,16,6,3,0,0,4,5,415,18,5,18,4,34,29,1,0,3,0,1,3,1,33.3,595,59,198,261,141,26,595,14,9,7,5,2,5,12,41.7,7,3,1,2,15,29,12,0,2.5,2.5,1.7,1.7,2.3,1.2,0.5,0.5,-0.3,0.15,0,1.1,0.37,-0.9
Udinese,Roma,2024-09-22,L,A,0,3,-3,0,0,0,0,38,41,5,31.7,29.2,15,8,65.2,4,1,25.0,3,75.0,253,1442,620,12,10,10,0,0.0,2,0,0,11,15,0,0,0,0,0,0,0,8,25.0,25.9,9,0.0,0.0,2,22.2,17.6,0,1,0,1,0,37,1,21.0,295,372,79.3,6,12,5,1,24,5225,2126,139,162,85.8,119,137,86.9,31,57,54.4,1,1,0,0.0,1,0,0.0,0,0,0,328,43,19,0,1,6,11,1,0,1,0,1,4,292,10,4,17,7,18,17,1,0,0,0,0,8,5,75.0,455,94,229,162,72,21,455,13,11,9,3,1,8,13,61.5,5,7,4,3,11,24,17,1,0.7,0.7,-1.2,-0.4,0.4,0.5,-0.7,-0.7,-0.4,0.08,0,2.6,0.21,-0.4
Udinese,Inter,2024-09-28,L,H,2,3,-1,2,0,0,0,40,22,4,36.4,32.3,10,13,43.5,20,10,50.0,9,45.0,342,1863,795,11,13,16,0,0.0,1,0,0,13,5,4,3,0,1,0,0,0,9,33.3,34.0,9,0.22,0.67,3,33.3,14.4,0,0,0,0,0,25,0,4.0,351,425,82.6,8,22,10,6,34,6203,2262,171,189,90.5,125,151,82.8,44,65,67.7,0,0,0,,0,0,,0,0,0,381,44,9,0,4,23,15,7,3,1,0,0,5,344,13,6,16,6,17,11,2,3,1,0,0,7,4,57.1,517,59,149,265,106,22,517,10,5,4,5,1,8,10,80.0,2,9,3,6,4,14,14,1,0.8,0.8,-1.5,-1.5,0.7,0.9,1.2,1.2,1.3,0.09,0,2.2,0.31,-0.8
Udinese,Lecce,2024-10-05,W,H,1,0,1,1,0,0,0,55,30,5,33.3,30.2,13,14,48.1,18,7,38.9,9,50.0,353,1929,970,16,10,6,2,33.3,2,0,0,12,15,2,0,0,0,0,1,1,8,12.5,21.0,12,0.08,0.25,4,33.3,12.8,1,0,0,0,0,50,0,11.0,378,488,77.5,6,35,10,8,48,6812,2553,157,181,86.7,181,211,85.8,38,77,49.4,0,0,0,,0,0,,0,0,0,439,49,18,0,3,27,17,5,1,1,0,0,13,371,10,2,18,13,20,11,2,1,3,2,1,3,3,100.0,596,57,183,272,146,21,596,19,11,9,7,3,12,22,54.5,10,10,1,9,12,31,14,1,0.9,0.9,0.4,0.4,0.3,0.8,0.1,0.1,-0.3,0.07,1,0.2,0.07,0.2
Udinese,Milan,2024-10-19,L,A,0,1,-1,0,0,0,0,56,31,5,9.7,23.3,16,15,51.6,13,8,61.5,3,23.1,330,2021,1242,17,14,12,0,0.0,3,0,0,14,3,0,0,0,0,0,0,0,3,33.3,36.0,13,0.0,0.0,1,7.7,20.2,1,3,0,0,0,31,3,18.4,389,462,84.2,10,48,11,6,46,7807,2086,119,127,93.7,212,237,89.5,53,84,63.1,0,0,0,,0,0,,0,0,0,432,27,5,0,2,35,13,4,0,4,0,3,2,382,14,0,10,5,24,18,2,1,1,1,1,5,4,80.0,548,48,146,242,162,20,548,12,7,9,2,1,7,16,43.8,9,12,4,8,5,17,18,1,0.4,0.4,-0.7,-0.7,0.4,0.7,-0.4,-0.4,-0.4,0.03,1,1.3,0.35,0.3
Udinese,Cagliari,2024-10-25,W,H,2,0,2,2,0,0,0,64,29,1,27.6,31.3,10,10,50.0,14,6,42.9,8,57.1,476,2658,1174,25,20,10,1,10.0,2,0,0,14,9,4,2,0,1,1,0,0,5,20.0,27.4,13,0.15,0.5,4,30.8,20.5,1,2,0,0,0,32,0,12.0,508,570,89.1,12,49,10,4,39,9062,2791,226,241,93.8,225,240,93.8,52,71,73.2,0,0,0,,0,0,,0,0,0,532,36,9,0,2,17,19,2,2,0,0,2,4,498,20,9,16,7,23,18,0,1,2,1,1,0,0,,654,35,171,334,155,27,654,15,12,5,8,2,12,17,70.6,5,2,0,2,8,23,15,0,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.08,1,0.0,,0.0
Udinese,Venezia,2024-10-30,L,A,2,3,-1,2,0,0,0,43,28,1,64.3,44.4,13,13,50.0,20,10,50.0,9,45.0,199,1185,567,12,7,10,0,0.0,4,1,0,13,9,2,2,0,0,0,0,0,9,55.6,40.7,15,0.13,0.4,5,33.3,16.7,0,0,0,2,0,44,1,17.0,286,378,75.7,11,19,6,2,23,5188,1916,126,146,86.3,125,148,84.5,29,64,45.3,2,2,0,0.0,2,0,0.0,1,0,0,329,49,12,1,2,17,18,6,2,2,0,0,7,284,7,4,13,8,25,16,3,1,2,1,2,7,4,85.7,498,56,204,208,91,19,498,17,9,8,8,1,6,15,40.0,9,15,4,11,6,23,27,1,0.9,0.9,-1.4,0.1,0.6,0.4,1.1,1.1,0.4,0.06,0,3.6,0.3,0.6
