Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Venezia,Lazio,2024-08-18,L,A,1,3,-2,1,0,0,0,33,22,4,22.7,26.9,10,12,45.5,7,4,57.1,3,42.9,259,1259,675,14,7,21,0,0.0,2,0,0,11,13,2,2,0,0,0,0,0,8,12.5,25.4,11,0.09,0.5,2,18.2,19.9,1,1,0,1,1,33,1,16.5,249,316,78.8,8,16,5,1,15,4055,1543,110,124,88.7,114,138,82.6,15,31,48.4,1,1,0,0.0,1,0,0.0,0,0,1,275,40,13,0,0,12,12,3,0,3,0,1,12,242,7,3,16,10,20,17,1,1,0,1,0,6,4,66.7,407,63,161,166,84,18,407,16,8,7,5,4,3,11,27.3,8,6,2,4,12,28,22,1,0.6,0.6,-1.8,-1.0,0.4,0.4,0.4,0.4,0.6,0.06,1,1.5,0.12,-0.5
Venezia,Fiorentina,2024-08-25,D,A,0,0,0,0,0,0,0,46,45,6,17.8,26.4,15,17,46.9,15,9,60.0,4,26.7,295,1703,816,11,8,13,2,15.4,2,0,0,21,12,0,0,0,0,0,0,0,5,0.0,25.2,8,0.0,0.0,4,50.0,15.3,0,2,0,0,0,28,1,8.5,319,401,79.6,5,9,4,2,22,5888,2288,116,139,83.5,173,193,89.6,25,54,46.3,0,0,0,,0,0,,0,0,0,356,43,14,1,2,13,20,3,1,1,0,2,6,312,8,4,16,15,16,10,3,1,0,2,0,8,8,100.0,488,83,207,214,73,15,488,16,8,8,6,2,3,10,30.0,7,7,2,5,3,19,18,2,0.6,0.6,-0.2,-0.2,0.5,0.9,-0.6,-0.6,-0.5,0.08,0,1.9,0.24,1.9
Venezia,Torino,2024-08-30,L,H,0,1,-1,0,0,0,0,42,31,6,32.3,33.1,22,18,55.0,15,8,53.3,7,46.7,257,1564,821,17,13,18,3,16.7,2,0,0,7,13,0,0,0,0,0,0,0,6,0.0,14.7,13,0.0,0.0,4,30.8,19.0,1,3,0,0,0,40,0,7.6,314,403,77.9,10,16,8,3,25,5233,2162,152,176,86.4,121,145,83.4,29,55,52.7,0,0,0,,0,0,,0,1,0,358,42,16,5,2,13,15,3,1,0,0,3,7,310,13,2,11,10,23,17,4,0,0,1,1,5,4,80.0,498,67,204,200,107,22,498,17,9,8,7,2,6,8,75.0,2,8,3,5,12,29,14,2,0.8,0.8,-0.2,-0.2,0.8,0.6,-0.8,-0.8,-0.8,0.06,1,1.6,0.31,0.6
Venezia,Milan,2024-09-14,L,A,0,4,-4,0,0,0,0,38,39,14,20.5,27.8,7,9,43.8,14,8,57.1,4,28.6,292,1555,815,12,13,9,0,0.0,3,1,1,12,10,0,0,0,0,0,0,0,3,66.7,48.3,6,0.0,0.0,1,16.7,24.7,0,2,0,2,0,36,1,11.3,310,376,82.4,4,13,4,1,20,5198,1745,148,160,92.5,139,157,88.5,18,45,40.0,2,2,0,0.0,2,0,0.0,0,1,0,341,33,12,1,7,10,12,1,1,0,0,2,4,307,13,1,17,12,10,6,0,3,0,0,1,8,4,75.0,459,79,212,184,69,10,459,16,12,6,8,2,8,13,61.5,5,7,2,5,5,21,17,0,0.3,0.3,-2.0,-0.4,0.1,0.3,-0.3,-0.3,-0.1,0.04,0,2.8,0.17,-1.2
Venezia,Genoa,2024-09-21,W,H,2,0,2,2,0,1,1,49,38,8,42.1,38.7,15,17,46.9,12,8,66.7,3,25.0,266,1401,749,11,9,9,0,0.0,2,0,0,9,10,4,3,0,0,1,0,0,5,20.0,23.4,11,0.18,0.67,3,27.3,22.8,0,0,1,0,0,40,0,10.0,318,412,77.2,11,24,5,0,26,5935,2369,121,148,81.8,156,178,87.6,37,67,55.2,0,0,0,,0,0,,0,0,0,366,46,17,2,1,10,20,3,0,2,0,0,5,312,9,4,13,13,23,18,1,1,2,1,0,0,0,,512,56,177,202,139,16,511,12,7,4,5,3,6,9,66.7,3,16,6,10,4,16,14,0,1.7,0.9,1.2,0.4,0.9,1.4,0.3,1.1,1.1,0.08,0,0.0,,0.0
Venezia,Roma,2024-09-29,L,A,1,2,-1,1,0,0,0,31,25,3,44.0,39.1,10,13,43.5,8,2,25.0,6,75.0,215,1254,713,12,10,21,1,4.8,2,0,0,13,7,1,0,0,0,1,0,0,12,25.0,29.2,18,0.06,0.17,6,33.3,17.5,1,1,0,0,0,35,1,9.3,198,283,70.0,9,12,2,1,13,3740,1664,80,95,84.2,90,118,76.3,26,54,48.1,0,0,0,,0,0,,0,1,0,243,39,9,0,0,16,12,3,2,0,0,1,7,194,10,4,14,6,29,19,2,0,5,3,0,5,3,60.0,411,86,198,138,81,19,411,18,9,13,4,1,10,17,58.8,7,17,7,10,4,22,35,0,1.7,1.7,0.0,0.0,0.8,0.4,-0.7,-0.7,-0.8,0.1,1,1.0,0.2,-1.0
Venezia,Hellas Verona,2024-10-04,L,A,1,2,-1,1,0,0,0,49,21,4,19.0,31.8,16,23,41.0,11,4,36.4,6,54.5,242,1315,696,15,9,25,0,0.0,0,0,0,5,9,1,0,1,0,0,0,0,12,25.0,33.5,14,0.07,0.5,2,14.3,20.6,1,0,0,0,1,42,1,11.2,311,412,75.5,12,20,9,3,34,5335,2178,136,160,85.0,133,167,79.6,26,50,52.0,0,0,0,,0,0,,0,0,1,359,53,10,0,3,20,22,6,3,2,0,0,5,309,9,2,19,10,25,22,2,0,0,1,0,3,2,33.3,530,70,196,214,123,19,530,16,10,11,4,1,6,12,50.0,6,10,7,3,5,21,24,1,0.9,0.9,-1.4,-1.4,0.8,0.5,0.1,0.1,0.2,0.06,1,1.3,0.44,0.3
Venezia,Atalanta,2024-10-20,L,H,0,2,-2,0,0,0,0,43,21,2,38.1,35.5,13,16,44.8,19,11,57.9,8,42.1,230,1550,816,12,12,12,0,0.0,1,0,0,12,6,0,0,0,0,0,0,0,8,12.5,20.0,12,0.0,0.0,4,33.3,17.9,1,2,0,0,0,42,0,4.0,313,412,76.0,7,22,6,0,30,5265,2044,149,171,87.1,135,170,79.4,21,45,46.7,0,0,0,,0,0,,0,1,0,362,48,7,2,4,10,28,2,1,0,0,2,7,310,12,3,20,4,21,14,2,2,2,1,0,7,5,71.4,511,57,160,234,122,15,511,15,8,9,5,1,9,15,60.0,6,9,1,8,7,22,18,1,0.8,0.8,-0.6,-0.6,0.4,0.4,-0.8,-0.8,-0.4,0.07,1,2.1,0.3,0.1
Venezia,Monza,2024-10-27,D,A,2,2,0,2,0,0,0,54,29,3,34.5,34.9,23,21,52.3,21,7,33.3,10,47.6,281,1325,683,12,10,17,2,11.8,2,0,0,16,17,4,1,1,1,0,1,0,11,27.3,26.4,6,0.33,1.0,2,33.3,13.2,0,1,0,0,0,30,1,11.5,362,458,79.0,6,32,7,2,40,6443,2396,153,181,84.5,175,197,88.8,31,61,50.8,0,0,0,,0,0,,0,0,0,399,58,17,2,2,15,24,3,0,3,0,1,12,356,10,1,13,10,11,5,2,2,0,1,1,2,0,0.0,545,70,161,276,115,13,545,10,6,4,4,2,5,13,38.5,8,12,3,9,4,14,27,0,0.4,0.4,-0.7,-0.7,0.4,0.5,1.6,1.6,1.6,0.07,0,0.5,0.27,-1.5
Venezia,Udinese,2024-10-30,W,H,3,2,1,1,2,2,0,57,17,3,29.4,32.5,13,13,50.0,16,9,56.3,6,37.5,342,1815,1047,17,17,13,0,0.0,3,0,0,9,12,5,2,0,0,1,2,0,11,18.2,23.2,16,0.06,0.2,5,31.3,23.6,1,3,1,0,0,41,0,4.5,414,511,81.0,11,31,6,1,40,7289,2240,161,184,87.5,234,265,88.3,17,42,40.5,0,0,0,,0,0,,0,0,0,457,51,10,2,0,14,25,2,0,1,0,3,12,409,17,5,11,11,29,20,0,4,2,2,1,5,3,60.0,616,55,141,302,178,19,614,17,11,8,4,5,9,19,47.4,10,7,2,5,9,26,18,0,2.3,0.8,1.4,-0.1,0.6,0.9,0.7,0.2,-0.6,0.05,1,1.1,0.21,-0.9
