Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lecce,Atalanta,2024-08-19,L,H,0,4,-4,0,0,0,0,48,22,4,40.9,36.9,23,20,53.5,16,4,25.0,2,12.5,287,1544,743,13,6,9,0,0.0,0,0,0,10,24,0,0,0,0,0,0,0,4,25.0,19.5,21,0.0,0.0,4,19.0,17.3,1,1,0,1,0,41,1,16.0,362,451,80.3,16,31,11,6,28,6520,2503,162,189,85.7,160,185,86.5,40,75,53.3,1,1,0,0.0,1,0,0.0,0,0,0,393,57,24,2,0,16,19,5,2,2,0,1,3,358,6,4,17,8,35,25,4,1,2,2,1,6,2,50.0,556,43,186,269,108,24,556,19,8,10,5,4,8,14,57.1,6,5,1,4,9,28,9,1,1.5,1.5,-0.2,0.6,1.4,1.2,-1.5,-1.5,-1.4,0.08,1,2.4,0.27,-1.6
Torino,Atalanta,2024-08-25,W,H,2,1,1,2,0,0,0,42,37,4,35.1,37.2,9,17,34.6,8,3,37.5,5,62.5,253,1011,470,9,8,19,1,5.3,3,0,0,11,14,3,2,0,0,1,0,0,14,71.4,61.9,13,0.15,0.33,6,46.2,15.5,1,1,0,1,0,31,0,8.7,286,363,78.8,9,19,7,2,17,5649,2333,98,116,84.5,136,153,88.9,39,70,55.7,1,0,1,100.0,0,1,100.0,0,0,0,322,40,13,2,0,9,7,4,4,0,0,1,6,281,8,3,10,3,23,15,2,1,3,1,1,9,7,88.9,462,94,203,183,83,17,462,13,10,5,6,2,4,6,66.7,2,4,2,2,11,24,24,1,2.4,2.4,-0.7,0.1,1.6,0.8,-0.4,-0.4,-0.6,0.2,1,4.2,0.42,3.2
Inter,Atalanta,2024-08-30,W,H,4,0,4,3,0,0,0,55,56,6,14.3,23.8,8,8,50.0,12,4,33.3,7,58.3,423,2088,1029,15,11,13,1,7.7,0,0,0,6,14,3,2,1,0,0,0,0,8,0.0,13.4,13,0.23,0.75,4,30.8,17.9,0,5,0,0,0,22,0,7.3,487,549,88.7,9,23,9,4,26,8652,2773,207,222,93.2,229,244,93.9,46,70,65.7,0,0,0,,0,0,,0,0,0,499,45,16,2,0,11,17,3,0,1,0,5,4,482,11,4,6,6,23,18,4,0,0,1,0,1,1,100.0,633,123,318,226,94,25,633,17,9,11,4,2,7,12,58.3,5,10,4,6,3,20,21,0,1.3,1.3,-0.1,-0.1,0.9,1.3,1.7,1.7,0.1,0.1,0,0.1,0.12,0.1
Fiorentina,Atalanta,2024-09-15,L,A,2,3,-1,2,0,0,0,49,25,3,56.0,38.0,17,22,43.6,17,7,41.2,8,47.1,277,1703,838,17,11,11,0,0.0,3,0,0,15,14,2,0,0,0,2,0,0,11,9.1,23.6,13,0.15,0.4,5,38.5,15.4,0,4,0,0,0,32,0,8.0,333,437,76.2,9,23,4,1,25,6561,2492,117,139,84.2,183,214,85.5,33,66,50.0,0,0,0,,0,0,,0,0,0,379,54,18,1,2,13,20,2,1,0,1,4,15,324,11,3,14,6,23,15,2,1,3,2,0,7,4,57.1,532,75,223,224,91,14,532,17,10,10,4,3,8,14,57.1,6,7,1,6,7,24,19,1,1.7,1.7,0.1,0.1,1.4,0.8,0.3,0.3,-0.4,0.16,0,1.9,0.27,-1.1
Como,Atalanta,2024-09-24,W,A,3,2,1,2,0,0,0,41,36,3,41.7,36.4,13,22,37.1,9,4,44.4,3,33.3,295,1592,732,15,5,26,2,7.7,3,0,0,17,12,4,4,0,0,0,0,0,6,33.3,32.7,14,0.14,0.29,7,50.0,20.6,0,0,0,1,0,46,0,7.7,325,408,79.7,11,20,4,1,24,5268,1972,170,190,89.5,139,160,86.9,14,44,31.8,1,1,0,0.0,1,0,0.0,0,1,0,375,33,11,2,1,7,12,2,0,1,0,0,9,321,5,4,13,11,21,18,0,0,2,0,1,5,3,80.0,532,95,233,216,87,12,532,29,18,12,16,1,11,21,52.4,10,6,0,6,13,42,32,0,1.1,1.1,-0.5,0.3,1.0,0.4,0.9,0.9,1.0,0.08,0,1.5,0.17,-0.5
Bologna,Atalanta,2024-09-28,D,H,1,1,0,1,0,0,0,36,33,1,51.5,43.7,13,23,36.1,15,6,40.0,9,60.0,172,911,426,10,0,21,2,9.5,3,1,0,16,12,2,1,0,1,0,0,0,10,60.0,45.9,5,0.2,1.0,1,20.0,19.7,0,3,0,0,0,46,0,8.3,239,321,74.5,4,15,3,1,17,5195,2089,73,89,82.0,124,144,86.1,40,74,54.1,0,0,0,,0,0,,0,0,0,278,40,13,2,6,7,13,2,1,1,0,3,6,232,0,1,15,9,7,5,0,1,1,0,0,4,3,75.0,439,99,210,184,50,9,439,17,11,10,7,0,10,18,55.6,8,15,8,7,7,24,36,0,0.1,0.1,-1.9,-1.9,0.1,0.1,0.9,0.9,0.9,0.02,0,1.2,0.31,0.2
Genoa,Atalanta,2024-10-05,L,A,1,5,-4,1,0,0,0,37,34,4,14.7,29.6,12,7,63.2,8,3,37.5,4,50.0,198,1254,472,5,5,11,0,0.0,0,0,0,15,9,2,2,0,0,0,0,0,13,23.1,27.3,7,0.14,0.5,2,28.6,19.0,0,1,0,1,0,32,0,7.0,296,366,80.9,7,10,5,3,15,5848,2369,97,115,84.3,162,183,88.5,32,50,64.0,1,1,0,0.0,1,0,0.0,0,1,0,325,40,10,3,2,10,9,2,1,0,0,1,4,292,5,0,12,6,13,8,2,2,0,1,0,8,3,50.0,471,96,231,181,63,12,471,17,14,9,5,3,11,19,57.9,8,11,5,6,8,25,32,0,0.7,0.7,-2.9,-2.1,0.7,0.5,0.3,0.3,0.3,0.1,0,2.8,0.27,-2.2
Venezia,Atalanta,2024-10-20,L,H,0,2,-2,0,0,0,0,43,21,2,38.1,35.5,13,16,44.8,19,11,57.9,8,42.1,230,1550,816,12,12,12,0,0.0,1,0,0,12,6,0,0,0,0,0,0,0,8,12.5,20.0,12,0.0,0.0,4,33.3,17.9,1,2,0,0,0,42,0,4.0,313,412,76.0,7,22,6,0,30,5265,2044,149,171,87.1,135,170,79.4,21,45,46.7,0,0,0,,0,0,,0,1,0,362,48,7,2,4,10,28,2,1,0,0,2,7,310,12,3,20,4,21,14,2,2,2,1,0,7,5,71.4,511,57,160,234,122,15,511,15,8,9,5,1,9,15,60.0,6,9,1,8,7,22,18,1,0.8,0.8,-0.6,-0.6,0.4,0.4,-0.8,-0.8,-0.4,0.07,1,2.1,0.3,0.1
Hellas Verona,Atalanta,2024-10-26,L,A,1,6,-5,1,0,0,0,31,13,1,69.2,50.5,13,12,52.0,19,7,36.8,10,52.6,225,1244,540,11,9,10,0,0.0,1,0,0,15,3,2,2,0,0,0,0,0,11,100.0,67.4,4,0.25,0.5,2,50.0,21.1,0,2,0,0,0,44,0,3.0,286,373,76.7,3,17,2,1,21,4962,1966,139,157,88.5,117,136,86.0,26,60,43.3,0,0,0,,0,0,,0,0,0,335,36,4,1,0,7,12,2,2,0,0,2,5,286,9,2,8,5,6,6,0,0,0,0,0,10,4,40.0,472,48,174,219,86,5,472,26,15,15,10,1,11,19,57.9,8,8,3,5,10,36,16,0,0.2,0.2,-2.1,-2.1,0.2,0.3,0.8,0.8,0.8,0.05,0,4.2,0.47,-1.8
Monza,Atalanta,2024-10-30,L,A,0,2,-2,0,0,0,0,47,33,1,60.6,47.6,12,15,44.4,14,6,42.9,8,57.1,273,1276,515,8,5,14,0,0.0,3,0,0,11,14,0,0,0,0,0,0,0,12,8.3,15.8,4,0.0,0.0,3,75.0,28.9,1,1,0,0,0,45,1,15.3,403,497,81.1,2,12,1,0,15,7204,2560,180,205,87.8,178,199,89.4,40,77,51.9,0,0,0,,0,0,,0,0,0,441,55,13,1,1,5,26,1,0,1,0,1,8,396,5,0,20,9,7,5,1,0,0,1,0,5,3,60.0,624,94,284,275,68,4,624,20,11,13,5,2,9,19,47.4,10,14,8,6,11,31,26,1,0.1,0.1,-1.1,-1.1,0.0,0.3,-0.1,-0.1,0.0,0.03,1,1.3,0.27,-0.7
