Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Udinese,Bologna,2024-08-18,D,A,1,1,0,1,0,1,1,27,13,2,76.9,60.6,10,16,38.5,18,7,38.9,10,55.6,135,784,379,7,7,25,2,8.0,4,0,0,17,16,1,0,0,0,1,0,0,9,44.4,32.9,3,0.33,1.0,1,33.3,17.7,0,1,1,1,0,31,0,5.5,150,234,64.1,1,13,3,2,20,2853,1236,57,71,80.3,62,81,76.5,22,60,36.7,1,1,0,0.0,1,0,0.0,0,0,0,183,50,17,0,5,14,17,5,1,3,0,1,8,150,7,4,10,6,5,2,0,1,1,1,0,6,5,100.0,350,78,169,122,68,10,349,15,10,5,6,4,4,10,40.0,6,17,8,9,10,25,26,0,0.9,0.1,-2.3,-2.3,0.1,0.1,0.1,0.9,0.9,0.04,0,2.2,0.22,1.2
Napoli,Bologna,2024-08-25,W,H,3,0,3,3,0,0,0,39,28,5,28.6,31.8,3,12,20.0,23,10,43.5,10,43.5,305,1585,794,22,10,14,0,0.0,2,0,0,11,15,6,3,1,1,0,1,0,10,30.0,33.3,16,0.19,0.6,5,31.3,17.5,0,1,0,0,0,40,1,23.0,286,375,76.3,16,21,6,2,29,4536,1935,145,174,83.3,107,122,87.7,22,51,43.1,0,0,0,,0,0,,0,0,0,320,54,18,5,3,12,18,7,3,2,0,1,11,282,10,8,11,9,32,25,3,3,0,1,0,2,2,100.0,489,64,203,199,94,22,489,22,13,11,9,2,16,19,84.2,3,9,2,7,6,28,21,0,2.5,2.5,1.8,1.8,2.5,1.4,0.5,0.5,0.5,0.15,0,0.4,0.2,0.4
Empoli,Bologna,2024-08-31,D,A,1,1,0,1,0,0,0,31,30,4,66.7,47.8,16,19,45.7,24,13,54.2,4,16.7,221,1120,472,11,8,21,1,4.8,3,0,0,18,14,2,2,0,0,0,0,0,11,45.5,29.3,3,0.33,0.5,2,66.7,7.3,0,1,0,0,0,31,2,16.4,214,309,69.3,2,18,1,0,18,3805,1786,92,112,82.1,88,111,79.3,25,63,39.7,0,0,0,,0,0,,0,1,0,264,44,17,2,2,11,11,3,0,3,0,1,8,213,8,2,14,11,5,4,1,0,0,0,0,3,2,66.7,431,90,217,152,66,7,431,18,15,14,4,0,8,12,66.7,4,8,2,6,12,30,48,0,1.0,1.0,-0.4,-0.4,0.3,0.5,0.0,0.0,0.7,0.32,0,0.3,0.12,-0.7
Como,Bologna,2024-09-14,D,H,2,2,0,1,0,0,0,44,35,2,31.4,33.9,7,11,38.9,19,9,47.4,10,52.6,242,1482,745,19,12,12,1,8.3,2,0,0,17,12,2,2,0,0,0,0,0,5,0.0,8.4,14,0.07,0.25,4,28.6,18.2,0,2,0,0,0,57,0,1.0,326,410,79.5,11,15,5,0,26,5682,2093,136,158,86.1,147,168,87.5,28,59,47.5,0,0,0,,0,0,,0,0,0,363,45,16,3,1,14,17,4,1,3,0,2,7,324,12,9,11,11,27,15,4,5,1,1,1,4,2,50.0,516,70,211,226,87,21,516,23,15,18,3,2,10,20,50.0,10,16,5,11,8,31,21,0,1.2,1.2,0.0,0.0,1.1,0.5,-0.2,-0.2,-0.1,0.08,0,1.3,0.33,-0.7
Monza,Bologna,2024-09-22,L,H,1,2,-1,1,0,0,0,43,25,3,68.0,44.9,15,11,57.7,12,6,50.0,5,41.7,255,1397,615,15,8,11,0,0.0,3,0,0,20,14,1,0,0,0,1,0,0,8,62.5,45.0,6,0.17,0.33,3,50.0,17.5,0,1,0,0,0,30,0,,336,428,78.5,5,17,2,1,23,6132,2142,136,158,86.1,151,171,88.3,37,74,50.0,0,0,0,,0,0,,0,0,0,378,49,16,2,2,13,20,2,1,1,0,1,8,329,8,3,12,12,11,9,1,0,1,0,0,8,6,75.0,518,64,210,228,84,7,518,20,10,10,10,0,6,12,50.0,6,14,4,10,13,33,10,0,0.6,0.6,-0.2,-0.2,0.2,0.6,0.4,0.4,-0.2,0.1,0,1.4,0.18,-0.6
Atalanta,Bologna,2024-09-28,D,A,1,1,0,1,0,0,0,64,18,1,22.2,29.4,23,13,63.9,18,8,44.4,10,55.6,339,2126,1278,38,30,5,0,0.0,3,0,0,12,15,2,2,0,0,0,0,0,5,60.0,50.4,23,0.04,0.25,4,17.4,16.2,0,1,0,0,0,54,6,28.0,474,569,83.3,18,33,14,1,67,8473,2851,201,228,88.2,231,257,89.9,37,59,62.7,0,0,0,,0,0,,0,0,0,515,53,19,3,2,25,18,9,4,2,0,1,11,472,30,8,12,7,42,27,6,1,6,1,1,1,0,0.0,671,34,155,295,230,47,671,18,12,5,11,2,9,15,60.0,6,8,3,5,10,28,15,1,2.0,2.0,1.9,1.9,1.5,2.0,-1.0,-1.0,-0.5,0.09,0,0.2,0.16,-0.8
Parma,Bologna,2024-10-06,D,A,0,0,0,0,0,0,0,29,38,4,63.2,45.3,15,16,48.4,18,6,33.3,9,50.0,197,1122,542,13,15,21,3,14.3,0,1,0,16,15,0,0,0,0,0,0,0,12,91.7,69.4,13,0.0,0.0,2,15.4,19.6,0,0,0,0,0,37,0,9.0,177,260,68.1,12,11,7,4,17,3373,1595,77,92,83.7,76,92,82.6,20,59,33.9,0,0,0,,0,0,,0,0,0,212,48,18,1,2,10,11,6,1,0,0,0,9,176,15,6,18,9,21,15,5,0,0,1,0,3,3,100.0,391,80,180,130,86,19,391,13,8,5,6,2,6,12,50.0,6,17,7,10,10,23,34,0,0.8,0.8,0.0,0.0,0.7,0.7,-0.8,-0.8,-0.7,0.06,0,0.3,0.1,0.3
Genoa,Bologna,2024-10-19,D,H,2,2,0,2,0,0,0,39,30,4,53.3,37.8,15,19,44.1,10,3,30.0,6,60.0,183,858,431,8,5,17,0,0.0,2,0,0,20,9,4,2,1,0,0,1,0,5,80.0,51.8,10,0.2,0.5,4,40.0,20.5,0,3,0,0,0,38,3,14.0,204,307,66.4,9,10,5,1,23,3448,1668,98,114,86.0,80,111,72.1,16,53,30.2,0,0,0,,0,0,,0,1,0,265,39,14,0,0,13,16,1,1,0,0,3,6,199,5,2,15,5,19,16,1,1,0,1,0,7,5,71.4,405,71,143,164,101,18,405,17,10,7,5,5,5,10,50.0,5,10,4,6,5,22,19,0,0.4,0.4,-0.2,-0.2,0.4,0.4,1.6,1.6,1.6,0.04,0,1.7,0.25,-0.3
Cagliari,Bologna,2024-10-29,L,H,0,2,-2,0,0,0,0,42,31,3,54.8,39.7,21,15,58.3,17,6,35.3,5,29.4,196,1064,443,12,6,11,1,9.1,2,0,0,17,18,0,0,0,0,0,0,0,6,83.3,52.3,14,0.0,0.0,2,14.3,15.7,0,1,0,0,0,44,0,12.2,299,404,74.0,10,19,3,0,28,6081,2471,102,123,82.9,156,180,86.7,38,79,48.1,0,0,0,,0,0,,0,0,0,349,54,19,1,0,16,19,7,0,7,0,1,13,295,6,3,15,7,27,19,5,0,1,2,0,4,2,50.0,502,62,220,200,89,16,502,16,9,2,14,0,7,13,53.8,6,6,3,3,8,24,19,0,0.8,0.8,-0.1,-0.1,0.5,0.5,-0.8,-0.8,-0.5,0.06,0,1.2,0.3,-0.8
Lecce,Bologna,2024-11-02,L,A,0,1,-1,0,0,0,0,28,18,1,88.9,56.9,21,19,52.5,12,5,41.7,7,58.3,130,657,273,7,5,28,0,0.0,2,0,0,14,7,0,0,0,0,0,0,0,24,87.5,55.6,6,0.0,,0,0.0,23.7,1,0,0,0,0,30,2,17.3,163,243,67.1,5,12,3,1,12,3603,1964,68,86,79.1,61,72,84.7,33,68,48.5,0,0,0,,0,0,,0,0,0,191,52,9,0,0,7,16,1,0,1,0,0,12,161,5,0,12,10,10,8,1,0,0,1,0,4,3,75.0,371,84,191,133,54,3,371,34,24,19,13,2,13,15,86.7,2,15,6,9,3,37,33,0,0.7,0.7,-0.7,-0.7,0.7,0.2,-0.7,-0.7,-0.7,0.12,1,1.1,0.28,0.1
