Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Roma,Cagliari,2024-08-18,D,A,0,0,0,0,0,0,0,57,24,3,20.8,31.5,10,11,47.6,14,5,35.7,8,57.1,354,1996,1040,22,16,13,0,0.0,0,0,0,7,15,0,0,0,0,0,0,0,16,31.3,31.1,15,0.0,0.0,3,20.0,19.8,1,2,0,0,0,37,0,15.0,395,497,79.5,12,33,7,1,42,6925,2710,194,222,87.4,152,186,81.7,41,72,56.9,0,0,0,,0,0,,0,0,0,434,61,17,0,2,22,24,3,3,0,0,2,4,391,16,5,22,5,25,19,2,0,1,3,0,2,2,100.0,606,69,182,252,177,26,606,9,3,2,3,4,3,11,27.3,8,7,3,4,8,17,17,0,0.9,0.9,0.0,0.0,0.8,0.9,-0.9,-0.9,-0.8,0.06,1,0.2,0.11,0.2
Como,Cagliari,2024-08-26,D,A,1,1,0,1,0,0,0,53,33,5,51.5,39.6,22,22,50.0,12,7,58.3,5,41.7,244,1228,619,12,11,18,1,5.6,2,0,0,10,10,1,0,0,0,1,0,0,6,33.3,25.2,14,0.07,0.25,4,28.6,17.5,0,3,0,0,0,40,0,12.0,355,469,75.7,11,25,9,2,26,6282,2552,169,197,85.8,125,149,83.9,45,89,50.6,0,0,0,,0,0,,0,0,0,422,44,13,1,2,22,17,6,1,4,0,3,4,342,11,1,10,9,23,15,3,1,4,0,0,5,4,80.0,576,59,191,255,134,26,576,12,6,8,1,3,5,10,50.0,5,13,2,11,9,21,34,0,1.5,1.5,0.7,0.7,1.2,0.7,-0.5,-0.5,-0.2,0.11,0,1.4,0.28,0.4
Lecce,Cagliari,2024-08-31,W,H,1,0,1,1,0,0,0,35,14,0,114.3,64.0,21,24,46.7,18,7,38.9,10,55.6,179,1082,480,14,7,28,1,3.6,1,1,0,10,11,2,2,0,0,0,0,0,15,73.3,48.9,17,0.06,0.33,3,17.6,18.0,1,2,0,0,0,41,1,10.4,189,281,67.3,12,21,4,2,16,3399,1666,95,109,87.2,60,82,73.2,28,68,41.2,0,0,0,,0,0,,0,0,0,234,45,12,0,2,16,10,7,5,1,0,2,6,189,7,8,9,5,27,17,3,2,4,1,0,2,2,100.0,423,80,173,172,82,18,423,24,16,15,7,2,11,23,47.8,12,19,11,8,15,39,36,0,1.7,1.7,-0.1,-0.1,1.3,1.2,-0.7,-0.7,-0.3,0.1,1,0.4,0.21,0.4
Napoli,Cagliari,2024-09-15,W,A,4,0,4,4,0,0,0,49,16,2,50.0,42.6,15,20,42.9,19,6,31.6,11,57.9,273,1292,566,18,16,21,0,0.0,2,0,0,11,21,7,6,1,0,0,0,0,7,57.1,40.1,13,0.31,0.8,5,38.5,16.0,0,4,0,0,0,51,0,,352,454,77.5,11,22,7,1,42,5229,2398,216,239,90.4,111,141,78.7,16,50,32.0,0,0,0,,0,0,,0,0,0,395,55,23,4,1,13,20,4,1,3,0,4,10,349,16,7,17,8,22,17,2,1,1,1,0,5,5,100.0,595,70,199,259,144,24,595,24,15,13,7,4,11,18,61.1,7,9,4,5,10,34,37,0,1.9,1.9,0.9,0.9,1.9,1.9,2.1,2.1,2.1,0.15,0,1.1,0.22,1.1
Empoli,Cagliari,2024-09-20,W,A,2,0,2,2,0,0,0,39,19,2,73.7,53.8,28,34,45.2,10,5,50.0,5,50.0,183,1008,429,9,3,27,2,7.4,2,0,0,21,14,4,2,0,1,1,0,0,12,25.0,19.0,9,0.22,0.5,4,44.4,14.3,0,2,0,0,0,36,0,7.9,221,332,66.6,7,18,4,2,25,3771,1864,101,129,78.3,97,123,78.9,17,58,29.3,0,0,0,,0,0,,0,0,0,277,53,15,1,0,14,21,4,1,3,0,2,9,217,3,2,14,11,17,12,2,2,1,0,0,2,2,100.0,469,90,205,178,89,12,469,12,6,8,4,0,5,11,45.5,6,19,7,12,8,20,51,0,0.8,0.8,-1.4,-1.4,0.6,0.3,1.2,1.2,0.4,0.09,0,0.2,0.08,0.2
Parma,Cagliari,2024-09-30,L,H,2,3,-1,1,1,1,0,60,34,4,32.4,34.8,12,8,60.0,7,3,42.9,4,57.1,495,2389,1255,27,14,9,1,11.1,3,0,0,10,13,4,2,0,1,0,1,0,8,0.0,18.6,17,0.06,0.33,3,17.6,20.0,1,1,1,0,0,43,1,9.8,505,600,84.2,14,34,12,4,46,8711,2751,222,247,89.9,243,268,90.7,35,65,53.8,0,0,0,,0,0,,0,0,0,550,49,18,2,1,15,14,5,1,1,0,1,7,492,14,9,16,9,36,31,1,2,0,2,0,4,1,25.0,681,52,185,336,166,31,680,10,5,4,6,0,7,15,46.7,8,9,1,8,4,14,16,2,2.4,1.6,0.0,-0.8,1.4,0.9,-0.4,-0.6,-0.4,0.09,1,3.0,0.74,0.0
Juventus,Cagliari,2024-10-06,D,H,1,1,0,0,1,1,0,73,34,6,23.5,31.1,12,11,52.2,17,11,64.7,4,23.5,597,3553,1980,33,22,17,3,17.6,5,1,1,13,9,1,0,0,0,1,0,0,7,14.3,18.1,20,0.0,0.0,8,40.0,16.6,0,1,0,1,0,34,0,5.7,677,750,90.3,16,47,15,0,52,11181,3282,325,343,94.8,294,322,91.3,44,61,72.1,1,1,0,0.0,1,0,0.0,0,0,0,708,41,10,1,1,25,14,8,2,5,0,1,6,671,22,9,12,4,34,26,3,2,3,0,0,2,1,100.0,834,63,250,379,211,36,833,18,13,11,3,4,6,10,60.0,4,7,3,4,4,22,10,0,2.4,1.7,1.3,1.3,0.9,1.9,-1.4,-1.7,-0.9,0.08,0,1.0,0.0,0.0
Torino,Cagliari,2024-10-20,L,A,2,3,-1,2,0,0,0,59,25,3,36.0,37.2,11,15,42.3,9,5,55.6,4,44.4,344,1981,922,16,11,17,0,0.0,3,0,0,8,9,4,3,1,0,0,0,0,8,25.0,35.6,17,0.12,0.4,5,29.4,21.5,1,2,0,0,1,35,1,13.6,442,525,84.2,12,25,5,4,33,7560,2454,201,219,91.8,195,222,87.8,35,63,55.6,0,0,0,,0,0,,1,1,1,469,54,8,0,2,27,22,12,5,5,0,2,4,438,11,5,11,9,32,25,2,2,1,2,0,4,2,25.0,624,54,195,269,163,20,624,11,6,4,5,2,6,9,66.7,3,8,5,3,2,13,24,1,1.4,1.4,-0.2,-0.2,1.0,1.2,0.6,0.6,1.0,0.08,1,1.3,0.31,-0.7
Udinese,Cagliari,2024-10-25,W,H,2,0,2,2,0,0,0,64,29,1,27.6,31.3,10,10,50.0,14,6,42.9,8,57.1,476,2658,1174,25,20,10,1,10.0,2,0,0,14,9,4,2,0,1,1,0,0,5,20.0,27.4,13,0.15,0.5,4,30.8,20.5,1,2,0,0,0,32,0,12.0,508,570,89.1,12,49,10,4,39,9062,2791,226,241,93.8,225,240,93.8,52,71,73.2,0,0,0,,0,0,,0,0,0,532,36,9,0,2,17,19,2,2,0,0,2,4,498,20,9,16,7,23,18,0,1,2,1,1,0,0,,654,35,171,334,155,27,654,15,12,5,8,2,12,17,70.6,5,2,0,2,8,23,15,0,1.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,1.0,0.08,1,0.0,,0.0
Bologna,Cagliari,2024-10-29,W,A,2,0,2,2,0,0,0,58,35,3,40.0,33.3,15,21,41.7,16,6,37.5,7,43.8,328,1952,868,21,7,13,1,7.7,2,0,0,18,15,4,3,0,0,0,0,1,6,50.0,41.7,11,0.18,0.5,4,36.4,17.1,0,1,0,0,0,47,0,6.0,455,547,83.2,6,35,6,2,45,8223,3018,213,235,90.6,190,215,88.4,49,86,57.0,0,0,0,,0,0,,0,0,0,503,43,17,2,1,13,17,2,0,1,0,1,4,453,7,5,16,9,21,18,0,0,1,1,1,2,2,100.0,662,73,197,348,120,18,662,12,7,5,6,1,5,11,45.5,6,19,5,14,5,17,24,0,0.9,0.9,0.1,0.1,0.6,0.3,1.1,1.1,1.4,0.08,0,0.4,0.22,0.4
