Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Juventus,Como,2024-08-19,W,H,3,0,3,3,0,0,0,57,21,4,14.3,24.7,12,3,80.0,11,7,63.6,3,27.3,473,2458,1204,28,16,10,1,10.0,2,0,0,11,12,5,4,1,0,0,0,0,7,42.9,37.3,13,0.23,0.5,6,46.2,20.0,1,4,0,0,0,34,0,4.0,503,557,90.3,7,21,6,3,29,9387,2742,204,212,96.2,235,256,91.8,59,73,80.8,0,0,0,,0,0,,0,0,0,520,33,12,2,2,14,10,3,1,1,0,4,4,495,16,6,13,4,17,12,2,0,1,1,1,0,0,,633,56,219,311,106,18,633,15,9,6,7,2,6,8,75.0,2,10,2,8,4,19,10,0,1.2,1.2,1.0,1.0,0.9,0.5,1.8,1.8,1.1,0.09,1,0.0,,0.0
Cagliari,Como,2024-08-26,D,H,1,1,0,1,0,0,0,47,30,12,13.3,26.9,22,22,50.0,11,5,45.5,5,45.5,286,1470,823,22,10,17,0,0.0,2,0,0,12,10,2,2,0,0,0,0,0,4,25.0,32.0,11,0.09,0.2,5,45.5,15.3,0,1,0,0,0,42,2,15.4,304,415,73.3,7,24,6,2,19,5961,2248,102,127,80.3,163,188,86.7,37,79,46.8,0,0,0,,0,0,,0,1,0,372,42,13,0,4,22,18,5,0,5,0,1,13,299,10,3,6,7,20,13,4,1,1,1,0,4,3,75.0,525,70,234,187,108,16,525,14,5,4,9,1,5,12,41.7,7,10,6,4,3,17,32,1,0.8,0.8,-0.7,-0.7,0.7,1.1,0.2,0.2,0.3,0.07,0,1.1,0.27,0.1
Udinese,Como,2024-09-01,W,H,1,0,1,1,0,0,0,44,22,2,40.9,35.9,18,15,54.5,26,14,53.8,12,46.2,272,1425,715,12,10,17,0,0.0,3,0,0,16,7,2,2,0,0,0,0,0,15,26.7,25.2,10,0.1,0.5,2,20.0,14.6,0,2,0,1,0,34,0,8.5,344,421,81.7,8,16,8,4,23,6059,2134,146,163,89.6,154,176,87.5,32,58,55.2,1,0,0,,0,0,,0,0,0,374,45,10,1,5,12,15,4,2,2,0,2,8,338,10,0,13,14,20,16,1,1,0,0,2,4,4,100.0,548,87,228,223,106,19,548,22,12,11,9,2,4,15,26.7,11,22,6,16,11,33,27,1,1.0,1.0,-0.6,0.1,0.8,1.4,0.0,0.0,0.2,0.1,0,0.3,0.08,0.3
Bologna,Como,2024-09-14,D,A,2,2,0,2,0,0,0,56,30,9,6.7,21.8,11,7,61.1,21,10,47.6,10,47.6,328,1868,948,10,6,9,0,0.0,1,0,0,12,15,3,1,0,1,1,0,0,8,12.5,29.5,14,0.14,0.5,4,28.6,17.1,2,4,0,0,1,53,2,15.5,429,521,82.3,9,39,5,2,47,8267,2858,157,173,90.8,220,244,90.2,46,77,59.7,0,0,0,,0,0,,0,0,1,466,51,16,1,10,17,21,3,0,3,0,4,11,427,6,4,19,13,21,10,2,3,2,4,0,4,3,50.0,623,60,212,267,150,22,623,21,13,7,10,4,10,19,52.6,9,10,4,6,5,26,9,1,1.2,1.2,0.0,0.0,0.6,0.6,0.8,0.8,0.4,0.09,2,1.0,0.24,0.0
Atalanta,Como,2024-09-24,L,H,2,3,-1,1,1,1,0,59,21,2,38.1,36.0,22,13,62.9,25,10,40.0,11,44.0,448,2434,1267,22,27,6,1,16.7,1,0,0,12,16,3,2,0,0,0,1,0,7,57.1,42.9,7,0.14,0.25,4,57.1,20.0,0,0,1,0,1,41,2,16.8,487,583,83.5,3,50,11,2,71,9503,2837,162,186,87.1,276,310,89.0,47,72,65.3,0,0,0,,0,0,,0,0,1,531,52,16,0,4,29,19,6,3,3,0,0,7,484,27,3,13,18,15,12,0,2,0,1,0,7,5,57.1,687,42,130,335,227,25,686,14,7,6,6,2,3,7,42.9,4,13,3,10,6,20,9,0,1.6,0.8,0.5,-0.3,0.6,0.7,0.4,0.2,-0.6,0.11,0,2.2,0.33,0.2
Hellas Verona,Como,2024-09-29,L,A,2,3,-1,1,1,1,0,29,19,2,63.2,45.8,15,16,48.4,15,7,46.7,8,53.3,174,913,386,5,5,14,0,0.0,5,1,1,19,10,4,2,0,1,0,1,0,8,75.0,54.9,5,0.2,0.5,2,40.0,20.5,1,1,1,0,0,28,0,4.0,185,257,72.0,2,13,3,0,17,2922,1097,90,102,88.2,72,88,81.8,12,50,24.0,0,0,0,,0,0,,0,0,0,216,40,10,0,0,4,17,1,1,0,0,1,4,185,5,0,12,7,10,5,1,1,0,3,0,11,8,72.7,366,56,164,151,57,5,365,17,8,6,7,4,10,16,62.5,6,15,6,9,10,27,19,1,1.1,0.4,-1.1,-1.9,0.2,0.2,0.9,0.6,0.8,0.07,1,1.7,0.16,-1.3
Napoli,Como,2024-10-04,W,H,3,1,2,2,1,1,0,41,25,4,20.0,29.3,6,13,31.6,19,10,52.6,8,42.1,251,1638,950,16,10,4,1,25.0,1,0,0,7,9,6,4,0,0,0,1,1,10,10.0,21.1,8,0.25,0.4,5,62.5,18.1,0,2,1,0,0,38,0,8.5,385,456,84.4,7,21,4,1,27,7018,2366,154,172,89.5,183,197,92.9,39,58,67.2,0,0,0,,0,0,,0,0,0,411,43,9,3,3,8,18,4,4,0,0,2,9,381,10,6,14,9,14,9,1,0,0,1,3,2,1,50.0,538,47,182,283,85,19,537,12,11,4,6,2,3,8,37.5,5,6,1,5,8,20,12,0,1.9,1.1,1.5,0.8,1.1,0.4,1.1,0.9,0.9,0.14,0,0.4,0.21,-0.6
Parma,Como,2024-10-19,D,A,1,1,0,1,0,0,0,39,32,11,21.9,30.3,4,6,40.0,19,9,47.4,9,47.4,271,1731,963,21,15,14,1,7.1,2,0,0,10,14,2,2,0,0,0,0,0,10,30.0,31.9,9,0.11,0.33,3,33.3,24.0,2,2,0,0,0,43,1,20.5,323,411,78.6,7,30,6,0,37,5794,2426,144,161,89.4,135,159,84.9,33,66,50.0,0,0,0,,0,0,,0,0,0,354,55,19,0,6,11,20,4,1,0,0,2,6,318,15,3,16,9,18,14,0,0,0,2,2,3,2,66.7,517,66,166,218,140,15,517,9,5,3,5,1,5,9,55.6,4,19,5,14,10,19,16,0,0.5,0.5,-0.8,-0.8,0.4,0.5,0.5,0.5,0.6,0.05,2,1.0,0.34,0.0
Torino,Como,2024-10-25,W,H,1,0,1,1,0,0,0,32,25,1,64.0,46.7,9,20,31.0,15,6,40.0,8,53.3,179,865,409,13,7,18,0,0.0,3,0,0,13,12,1,0,0,1,0,0,0,10,70.0,56.8,8,0.13,0.5,2,25.0,19.4,0,3,0,0,0,36,3,19.0,230,317,72.6,7,12,3,2,20,4279,1598,93,109,85.3,108,134,80.6,27,66,40.9,0,0,0,,0,0,,0,0,0,272,42,13,1,3,15,17,1,1,0,0,3,4,228,7,1,15,10,12,9,1,1,1,0,0,6,6,100.0,439,59,163,197,84,11,439,16,6,5,8,3,7,15,46.7,8,16,6,10,10,26,24,2,1.3,1.3,-0.1,-0.1,0.4,0.3,-0.3,-0.3,-0.4,0.16,0,0.6,0.1,0.6
Lazio,Como,2024-10-31,W,A,5,1,4,4,1,1,0,49,36,3,22.2,30.9,17,12,58.6,22,10,45.5,10,45.5,324,1769,898,14,11,12,0,0.0,5,1,1,18,12,8,7,0,0,1,0,0,12,58.3,42.0,13,0.31,0.67,6,46.2,18.3,2,2,0,0,0,36,1,17.0,363,442,82.1,8,27,7,3,34,6956,2291,147,165,89.1,158,177,89.3,51,81,63.0,0,0,0,,0,0,,0,0,0,395,45,12,5,6,15,14,5,3,1,0,2,4,358,11,2,13,7,24,17,1,1,3,2,0,2,1,50.0,530,70,205,213,119,21,529,8,5,6,1,1,2,8,25.0,6,9,5,4,8,16,13,1,2.9,2.2,1.9,1.1,2.1,1.0,2.1,1.8,1.9,0.19,2,1.2,0.59,0.2
