Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Monza,Empoli,2024-08-17,D,A,0,0,0,0,0,0,0,61,30,2,46.7,36.8,22,16,57.9,11,4,36.4,6,54.5,352,1554,558,5,3,13,0,0.0,2,0,0,19,16,0,0,0,0,0,0,0,10,50.0,36.4,6,0.0,0.0,1,16.7,16.0,0,1,0,0,0,30,1,10.0,369,485,76.1,5,11,2,0,15,6545,2026,146,170,85.9,175,208,84.1,33,77,42.9,0,0,0,,0,0,,0,0,0,423,61,20,0,2,13,27,3,2,1,0,1,6,364,3,1,15,11,10,6,2,0,1,1,0,2,2,100.0,575,83,270,248,61,12,575,14,10,7,6,1,8,14,57.1,6,8,6,2,8,22,18,0,0.3,0.3,-0.1,-0.1,0.3,0.4,-0.3,-0.3,-0.3,0.06,0,0.2,0.09,0.2
Roma,Empoli,2024-08-25,L,H,1,2,-1,1,0,0,0,73,28,0,0.0,23.3,18,14,56.3,19,5,26.3,11,57.9,538,3304,1670,31,27,7,0,0.0,0,0,0,10,11,2,1,0,0,0,0,1,5,0.0,8.4,27,0.04,0.14,7,25.9,16.4,0,0,0,1,0,39,0,,589,682,86.4,19,40,16,7,56,9816,2793,279,294,94.9,255,280,91.1,42,75,56.0,1,1,0,0.0,1,0,0.0,0,0,0,622,60,11,1,4,35,33,8,4,2,1,0,13,583,27,9,10,10,48,36,4,1,6,0,1,4,2,75.0,777,35,189,348,248,47,777,12,9,4,7,1,3,7,42.9,4,7,4,3,6,18,5,1,2.1,2.1,-0.5,0.2,1.2,1.3,-1.1,-1.1,-0.2,0.08,0,2.0,0.25,0.0
Bologna,Empoli,2024-08-31,D,H,1,1,0,1,0,0,0,69,30,3,10.0,28.3,19,16,54.3,14,4,28.6,8,57.1,425,2068,831,17,11,6,0,0.0,0,0,0,15,15,1,0,0,0,1,0,0,4,0.0,13.3,14,0.07,0.33,3,21.4,15.0,0,2,0,0,0,37,0,8.7,557,673,82.8,12,46,9,4,43,10686,3278,211,232,90.9,257,300,85.7,79,111,71.2,0,0,0,,0,0,,0,0,0,600,71,19,1,6,27,40,6,1,4,0,2,9,555,11,4,12,10,23,18,4,0,1,0,0,2,1,50.0,755,50,198,349,213,23,755,15,7,7,3,5,4,17,23.5,13,7,0,7,5,20,10,0,1.3,1.3,0.4,0.4,0.9,0.7,-0.3,-0.3,0.1,0.1,0,1.5,0.77,0.5
Juventus,Empoli,2024-09-14,D,A,0,0,0,0,0,0,0,65,36,6,25.0,32.0,13,5,72.2,25,9,36.0,16,64.0,376,2234,1066,17,13,5,0,0.0,2,0,0,10,11,0,0,0,0,0,0,0,4,0.0,17.3,15,0.0,0.0,3,20.0,18.7,0,0,0,0,0,43,0,15.5,624,700,89.1,14,38,8,2,42,11407,3315,237,253,93.7,329,351,93.7,48,77,62.3,0,0,0,,0,0,,0,0,0,655,45,11,2,4,20,21,8,4,3,0,0,7,616,13,4,17,8,27,20,3,1,2,0,1,3,3,100.0,801,69,241,411,156,16,801,16,9,8,6,2,8,11,72.7,3,11,2,9,4,20,7,0,0.9,0.9,0.4,0.4,0.8,0.6,-0.9,-0.9,-0.8,0.06,0,0.8,0.26,0.8
Cagliari,Empoli,2024-09-20,L,H,0,2,-2,0,0,0,0,61,31,0,61.3,40.2,34,28,54.8,11,6,54.5,5,45.5,300,1346,476,9,4,13,0,0.0,1,0,0,15,20,0,0,0,0,0,0,0,8,37.5,37.5,21,0.0,0.0,2,9.5,14.3,0,0,0,0,0,37,0,10.0,383,518,73.9,12,36,8,3,31,7765,3032,140,170,82.4,174,207,84.1,61,108,56.5,0,0,0,,0,0,,0,0,0,442,76,23,0,1,32,32,10,1,9,0,0,14,381,4,1,19,7,32,20,4,1,6,1,0,4,2,50.0,631,63,216,267,151,30,631,16,10,7,8,1,5,10,50.0,5,10,2,8,8,24,21,0,2.2,2.2,1.4,1.4,1.3,1.4,-2.2,-2.2,-1.3,0.11,0,0.5,0.12,-1.5
Fiorentina,Empoli,2024-09-29,D,A,0,0,0,0,0,0,0,62,30,5,23.3,30.3,16,10,61.5,21,9,42.9,11,52.4,407,2303,970,25,16,8,1,12.5,1,0,0,12,15,0,0,0,0,0,0,0,6,50.0,46.0,13,0.0,,0,0.0,18.4,1,1,0,0,0,47,1,13.7,487,580,84.0,8,43,10,3,51,10223,3397,147,166,88.6,237,264,89.8,91,130,70.0,0,0,0,,0,0,,0,0,0,530,49,15,0,10,17,23,4,2,1,0,1,3,484,16,7,16,13,23,16,1,3,1,1,1,1,1,100.0,682,58,211,336,138,24,682,16,11,8,6,2,4,16,25.0,12,12,3,9,10,26,12,0,0.7,0.7,0.3,0.3,0.4,0.6,-0.7,-0.7,-0.4,0.05,1,0.0,0.02,0.0
Lazio,Empoli,2024-10-06,W,H,2,1,1,2,0,1,1,58,27,3,37.0,38.8,14,20,41.2,11,4,36.4,6,54.5,303,1953,1068,22,20,9,0,0.0,2,0,0,10,16,4,4,0,0,0,0,0,5,20.0,24.4,15,0.13,0.4,5,33.3,18.6,0,1,1,0,0,49,0,8.3,383,471,81.3,13,36,12,4,52,7101,2239,165,185,89.2,174,200,87.0,41,76,53.9,0,0,0,,0,0,,0,0,0,425,45,17,2,2,32,16,5,3,1,0,1,4,378,20,5,15,9,31,27,0,1,1,1,1,2,1,50.0,583,48,145,280,170,26,582,30,22,13,15,2,14,27,51.9,13,6,2,4,5,35,19,1,2.1,1.2,1.6,0.7,1.2,1.4,-0.1,0.8,0.8,0.08,0,1.0,0.48,0.0
Napoli,Empoli,2024-10-20,W,A,1,0,1,0,1,1,0,50,30,1,30.0,35.9,7,6,53.8,20,8,40.0,10,50.0,259,1418,724,13,10,11,1,9.1,2,0,0,13,14,2,0,0,0,1,1,0,4,25.0,31.5,8,0.0,,0,0.0,16.7,0,0,1,0,0,35,3,17.3,364,436,83.5,8,19,4,0,27,6659,2159,154,168,91.7,173,196,88.3,32,59,54.2,0,0,0,,0,0,,0,0,0,386,50,14,0,2,11,24,7,6,1,0,0,7,362,10,4,10,10,15,7,2,3,2,1,0,4,4,100.0,534,62,207,236,97,14,533,18,12,11,4,3,9,17,52.9,8,14,4,10,6,24,23,0,1.3,0.6,0.6,-0.1,0.6,0.5,-0.3,-0.6,-0.6,0.08,0,0.9,0.23,0.9
Parma,Empoli,2024-10-27,D,H,1,1,0,1,0,1,1,60,35,9,14.3,28.5,14,3,82.4,15,6,40.0,7,46.7,445,2185,1037,20,14,8,1,12.5,4,0,0,12,16,2,2,0,0,0,0,0,6,16.7,23.8,16,0.06,0.25,4,25.0,22.8,1,1,1,0,1,34,2,14.4,487,580,84.0,13,42,8,3,42,8930,3066,200,220,90.9,238,269,88.5,43,72,59.7,0,0,0,,0,0,,0,0,1,523,56,16,1,2,19,23,9,3,1,0,1,7,484,14,2,10,8,31,25,2,0,2,2,0,1,1,0.0,667,63,214,285,172,22,666,15,9,8,5,2,4,10,40.0,6,7,0,7,8,23,13,0,1.7,0.9,1.5,0.7,0.7,0.7,-0.7,0.1,0.3,0.06,1,0.0,0.01,0.0
Inter,Empoli,2024-10-30,W,A,3,0,3,3,0,0,0,77,22,2,0.0,22.2,15,10,60.0,9,3,33.3,5,55.6,629,2778,1331,18,18,4,0,0.0,1,0,0,13,11,6,5,0,1,0,0,0,2,0.0,21.5,15,0.2,0.6,5,33.3,17.2,1,1,0,0,0,38,1,20.0,713,805,88.6,12,69,14,3,75,11699,3112,361,392,92.1,285,314,90.8,49,67,73.1,0,0,0,,0,0,,0,0,0,764,40,15,6,6,26,18,4,1,3,0,1,7,706,18,7,11,5,29,20,4,1,2,2,0,1,1,100.0,885,26,140,433,314,37,885,14,11,4,9,1,7,10,70.0,3,9,4,5,3,17,5,1,1.1,1.1,0.8,0.8,0.9,1.9,1.9,1.9,2.1,0.07,1,0.1,0.11,0.1
Como,Empoli,2024-11-04,L,A,0,1,-1,0,0,0,0,58,41,3,22.0,27.2,15,12,55.6,22,10,45.5,9,40.9,398,2089,922,15,15,10,0,0.0,0,0,0,9,16,0,0,0,0,0,0,0,7,0.0,20.3,12,0.0,0.0,2,16.7,16.5,0,1,0,0,0,46,0,10.8,408,511,79.8,10,16,5,2,20,7225,2449,183,205,89.3,173,201,86.1,41,73,56.2,0,0,0,,0,0,,0,0,0,457,53,18,0,2,23,20,6,1,5,0,1,10,399,15,4,10,3,21,8,6,3,2,2,0,4,3,75.0,605,68,225,257,131,18,605,19,15,7,8,4,5,8,62.5,3,6,1,5,10,29,17,1,0.4,0.4,-0.2,-0.2,0.3,0.4,-0.4,-0.4,-0.3,0.03,0,0.5,0.13,-0.5
Lecce,Empoli,2024-11-08,D,H,1,1,0,1,0,0,0,58,24,4,45.8,41.2,27,18,60.0,26,9,34.6,14,53.8,364,1761,647,8,18,12,0,0.0,0,0,0,7,23,2,2,0,0,0,0,0,3,33.3,30.0,18,0.06,0.33,3,16.7,15.9,2,1,0,0,0,45,0,17.5,396,503,78.7,11,35,12,6,36,7632,2755,151,172,87.8,189,229,82.5,53,87,60.9,0,0,0,,0,0,,0,0,0,444,58,23,0,2,28,26,4,2,2,0,1,13,391,18,4,16,14,33,24,2,1,3,3,0,6,5,83.3,620,51,169,280,177,30,620,13,6,2,11,0,4,11,36.4,7,9,3,6,6,19,16,0,1.6,1.6,1.0,1.0,1.1,1.8,-0.6,-0.6,-0.1,0.09,2,0.6,0.1,-0.4
Udinese,Empoli,2024-11-25,D,A,1,1,0,1,0,0,0,70,41,3,19.5,27.1,24,17,58.5,17,8,47.1,8,47.1,455,2423,1111,23,15,7,0,0.0,2,0,0,13,8,2,1,1,0,0,0,0,5,0.0,11.8,16,0.06,0.33,3,18.8,15.8,0,0,0,0,0,52,1,15.8,578,704,82.1,12,44,16,3,66,10896,3689,227,260,87.3,263,307,85.7,76,110,69.1,0,0,0,,0,0,,0,0,0,657,47,9,0,6,38,23,8,3,4,0,0,11,573,15,1,11,12,30,20,7,0,3,0,0,2,1,50.0,791,58,210,380,205,35,791,12,8,4,5,3,6,9,66.7,3,12,1,11,5,17,6,0,0.8,0.8,0.7,0.7,0.7,1.0,0.2,0.2,0.3,0.05,0,0.2,0.09,-0.8
