Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Parma,Fiorentina,2024-08-17,D,H,1,1,0,1,0,0,0,39,31,7,38.7,37.3,8,11,42.1,11,6,54.5,2,18.2,163,872,524,17,5,17,1,5.9,3,0,0,15,9,2,2,0,0,0,0,0,6,50.0,41.0,14,0.07,0.17,6,42.9,16.6,0,1,0,0,0,35,2,15.9,217,298,72.8,11,20,4,1,24,3975,1925,98,125,78.4,87,101,86.1,27,59,45.8,0,0,0,,0,0,,1,0,0,257,40,14,4,3,11,14,4,0,1,0,1,4,215,5,8,17,5,23,16,1,1,2,1,2,7,6,85.7,411,68,167,140,109,20,411,16,7,7,5,4,7,16,43.8,9,9,5,4,8,24,29,0,1.7,1.7,1.0,1.0,1.0,0.5,-0.7,-0.7,0.0,0.13,0,1.5,0.21,0.5
Venezia,Fiorentina,2024-08-25,D,A,0,0,0,0,0,0,0,46,45,6,17.8,26.4,15,17,46.9,15,9,60.0,4,26.7,295,1703,816,11,8,13,2,15.4,2,0,0,21,12,0,0,0,0,0,0,0,5,0.0,25.2,8,0.0,0.0,4,50.0,15.3,0,2,0,0,0,28,1,8.5,319,401,79.6,5,9,4,2,22,5888,2288,116,139,83.5,173,193,89.6,25,54,46.3,0,0,0,,0,0,,0,0,0,356,43,14,1,2,13,20,3,1,1,0,2,6,312,8,4,16,15,16,10,3,1,0,2,0,8,8,100.0,488,83,207,214,73,15,488,16,8,8,6,2,3,10,30.0,7,7,2,5,3,19,18,2,0.6,0.6,-0.2,-0.2,0.5,0.9,-0.6,-0.6,-0.5,0.08,0,1.9,0.24,1.9
Monza,Fiorentina,2024-09-01,D,A,2,2,0,2,0,0,0,32,24,4,45.8,36.6,22,21,51.2,14,2,14.3,9,64.3,233,1017,337,4,5,22,0,0.0,4,0,0,22,11,4,4,0,0,0,0,0,11,63.6,49.1,4,0.5,0.67,3,75.0,22.1,0,0,0,0,0,26,2,28.0,229,304,75.3,4,8,2,1,11,4118,1576,94,113,83.2,105,121,86.8,26,58,44.8,0,0,0,,0,0,,0,2,0,263,41,12,0,2,3,15,0,0,0,0,0,2,227,5,0,12,11,8,7,0,1,0,0,0,6,4,66.7,433,86,218,170,46,5,433,16,9,4,11,1,6,14,42.9,8,12,7,5,8,24,40,0,0.3,0.3,-1.7,-1.7,0.3,0.2,1.7,1.7,1.7,0.07,0,2.6,0.45,0.6
Atalanta,Fiorentina,2024-09-15,W,H,3,2,1,3,0,0,0,51,27,3,37.0,34.0,22,17,56.4,15,6,40.0,8,53.3,296,1505,760,15,11,11,2,18.2,2,0,0,16,15,6,5,0,1,0,0,0,6,100.0,63.7,13,0.23,0.43,7,53.8,13.6,0,2,0,0,0,38,0,4.7,365,457,79.9,12,27,9,4,38,6350,2376,149,163,91.4,166,189,87.8,34,70,48.6,0,0,0,,0,0,,0,1,0,402,53,19,1,3,14,20,5,2,2,0,2,6,359,11,5,17,9,24,20,0,4,0,0,0,5,3,60.0,561,45,179,276,115,20,561,14,8,6,5,3,8,15,53.3,7,16,3,13,5,19,18,1,1.7,1.7,-0.1,-0.1,1.6,1.0,1.3,1.3,1.4,0.13,0,1.8,0.41,-0.2
Lazio,Fiorentina,2024-09-22,L,A,1,2,-1,1,0,0,0,54,23,4,34.8,46.1,10,18,35.7,15,6,40.0,5,33.3,370,2026,1105,25,21,12,0,0.0,4,0,0,15,11,2,0,1,0,0,1,0,10,0.0,12.3,20,0.05,0.17,6,30.0,19.5,1,1,0,2,0,26,2,21.8,384,451,85.1,17,37,5,2,46,7239,2547,157,169,92.9,166,181,91.7,51,81,63.0,2,2,0,0.0,2,0,0.0,0,0,0,404,46,10,1,11,29,13,10,6,2,0,1,6,378,21,5,8,6,37,24,6,0,4,3,0,5,3,100.0,538,57,160,218,164,25,538,12,8,8,3,1,4,15,26.7,11,3,0,3,5,17,13,1,1.0,1.0,-1.7,-0.1,0.9,1.2,0.0,0.0,0.1,0.05,1,2.4,0.14,0.4
Empoli,Fiorentina,2024-09-29,D,H,0,0,0,0,0,0,0,38,18,6,44.4,45.8,10,16,38.5,17,12,70.6,4,23.5,193,1312,673,21,9,12,0,0.0,0,0,0,15,12,0,0,0,0,0,0,0,11,36.4,32.4,8,0.0,0.0,1,12.5,21.6,0,1,0,0,0,39,0,17.0,257,350,73.4,8,17,2,0,19,4801,2019,104,123,84.6,129,161,80.1,23,51,45.1,0,0,0,,0,0,,0,0,0,301,48,13,0,1,11,21,2,0,1,0,1,10,253,9,4,12,12,14,10,0,3,0,0,1,0,0,,452,57,189,200,70,8,452,24,13,12,10,2,11,20,55.0,9,9,7,2,10,34,20,0,0.4,0.4,-0.3,-0.3,0.4,0.1,-0.4,-0.4,-0.4,0.04,0,0.0,,0.0
Milan,Fiorentina,2024-10-06,L,A,1,2,-1,1,0,2,2,59,22,6,0.0,22.8,17,11,60.7,18,10,55.6,8,44.4,324,2028,1173,31,14,7,1,14.3,3,1,0,21,11,2,2,0,0,0,0,0,6,16.7,26.3,14,0.07,0.17,6,42.9,17.0,0,0,2,1,0,33,2,17.0,409,488,83.8,13,40,9,4,50,7338,2414,174,200,87.0,182,207,87.9,41,59,69.5,1,0,1,100.0,0,1,100.0,0,0,0,443,45,13,3,1,26,16,7,5,0,0,0,7,405,14,9,17,8,30,19,3,3,0,4,1,3,0,33.3,578,44,127,308,150,30,576,10,9,5,5,0,5,9,55.6,4,7,0,7,10,20,15,2,2.6,1.0,1.1,0.3,1.1,1.1,-1.6,0.0,-0.1,0.07,0,1.4,0.21,-0.6
Lecce,Fiorentina,2024-10-20,L,H,0,6,-6,0,0,0,0,39,32,5,46.9,36.0,8,12,40.0,17,5,29.4,9,52.9,282,1327,604,13,8,8,0,0.0,0,1,0,8,13,0,0,0,0,0,0,0,10,30.0,28.0,5,0.0,0.0,2,40.0,21.7,1,0,0,0,0,32,4,19.5,301,385,78.2,4,12,4,2,20,5998,2257,117,141,83.0,138,157,87.9,45,77,58.4,0,0,0,,0,0,,1,0,0,336,49,15,1,5,11,16,1,0,0,0,0,10,297,8,2,11,5,10,7,1,0,0,2,0,11,5,45.5,477,69,214,199,71,9,477,16,7,8,6,2,10,18,55.6,8,8,4,4,5,21,16,2,0.2,0.2,-2.0,-2.0,0.2,0.4,-0.2,-0.2,-0.2,0.05,1,3.7,0.35,-2.3
Roma,Fiorentina,2024-10-27,L,A,1,5,-4,1,0,0,0,61,21,4,23.8,32.3,5,6,45.5,11,5,45.5,5,45.5,359,2154,1277,23,11,11,0,0.0,5,1,1,11,13,2,2,0,0,0,0,0,9,0.0,13.3,14,0.07,0.2,5,35.7,22.4,1,2,0,1,1,30,1,23.0,519,580,89.5,8,39,8,1,41,8913,2592,228,244,93.4,243,264,92.0,37,55,67.3,1,1,0,0.0,1,0,0.0,0,0,1,537,41,14,2,2,17,10,2,1,1,0,2,5,512,11,3,11,13,21,11,2,2,2,2,2,10,6,60.0,654,65,191,310,156,22,654,8,8,4,2,2,6,18,33.3,12,7,3,4,4,12,11,1,0.8,0.8,-2.9,-2.1,0.5,0.7,0.2,0.2,0.5,0.06,1,4.6,0.37,0.6
Genoa,Fiorentina,2024-10-31,L,H,0,1,-1,0,0,0,0,33,18,4,61.1,42.7,15,18,45.5,4,3,75.0,1,25.0,162,855,461,9,7,12,1,8.3,4,0,0,13,10,0,0,0,0,0,0,0,4,25.0,29.0,14,0.0,0.0,4,28.6,18.3,1,1,0,0,0,28,0,4.0,182,274,66.4,8,22,6,1,22,3391,1691,84,102,82.4,67,88,76.1,24,61,39.3,0,0,0,,0,0,,0,0,0,235,38,10,0,1,22,18,4,4,0,0,1,9,178,7,1,15,2,25,20,2,0,0,3,0,4,3,75.0,371,52,127,141,108,18,371,20,11,11,7,2,12,20,60.0,8,12,6,6,2,22,20,0,0.9,0.9,0.5,0.5,0.7,0.4,-0.9,-0.9,-0.7,0.07,1,0.9,0.22,-0.1
