Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Inter,Genoa,2024-08-17,D,A,2,2,0,2,0,0,0,68,25,4,0.0,20.3,24,12,66.7,11,4,36.4,6,54.5,438,2234,1135,16,18,11,0,0.0,2,0,0,16,12,4,4,0,0,0,0,0,5,20.0,27.2,17,0.12,0.29,7,41.2,13.7,1,6,0,1,0,31,1,21.5,457,541,84.5,11,35,8,3,51,8053,2510,190,210,90.5,237,265,89.4,27,52,51.9,1,0,1,100.0,0,1,100.0,0,0,0,486,49,15,3,4,20,22,4,0,4,0,6,5,455,18,6,13,4,25,18,3,0,4,0,0,7,4,71.4,634,49,142,331,167,25,634,11,6,4,3,4,4,13,30.8,9,5,1,4,3,14,17,1,1.9,1.9,-0.2,0.7,1.2,1.6,0.1,0.1,0.8,0.12,1,2.1,0.16,0.1
Monza,Genoa,2024-08-24,L,H,0,1,-1,0,0,0,0,69,20,2,20.0,24.0,24,14,63.2,10,6,60.0,3,30.0,521,2513,1249,16,16,15,0,0.0,2,0,0,6,17,0,0,0,0,0,0,0,8,0.0,22.9,9,0.0,0.0,2,22.2,16.7,0,1,0,0,0,30,1,19.7,591,683,86.5,8,49,10,2,52,11230,3262,228,246,92.7,296,326,90.8,66,88,75.0,0,0,0,,0,0,,0,0,0,626,56,18,0,2,31,20,8,3,4,0,1,14,588,16,2,14,9,18,13,3,1,1,0,0,1,0,0.0,764,51,202,399,165,20,764,11,5,6,4,1,7,10,70.0,3,7,3,4,6,17,16,0,0.4,0.4,-0.2,-0.2,0.4,0.7,-0.4,-0.4,-0.4,0.05,0,0.4,0.36,-0.6
Hellas Verona,Genoa,2024-09-01,W,A,2,0,2,1,1,1,0,42,25,3,68.0,44.8,19,31,38.0,10,6,60.0,4,40.0,202,1175,614,12,9,17,2,11.8,6,0,0,16,5,3,2,1,0,0,0,0,12,83.3,58.6,9,0.11,0.5,2,22.2,20.3,0,1,0,0,0,33,0,12.2,258,362,71.3,7,19,6,2,24,4450,1881,134,157,85.4,89,118,75.4,26,69,37.7,0,0,0,,0,0,,0,0,0,325,36,8,0,2,14,14,1,0,0,0,1,7,256,9,4,15,10,18,15,2,0,0,1,0,1,1,100.0,472,58,171,209,93,17,471,19,9,8,11,0,7,11,63.6,4,8,3,5,6,25,26,0,1.5,0.7,0.0,-0.8,0.7,0.4,0.5,0.3,-0.7,0.08,0,0.0,0.05,0.0
Roma,Genoa,2024-09-15,D,A,1,1,0,1,0,0,0,52,29,6,41.4,39.0,12,16,42.9,23,9,39.1,11,47.8,268,1487,851,11,10,29,1,3.4,3,0,0,12,9,1,0,0,0,1,0,0,9,44.4,38.6,16,0.06,0.2,5,31.3,13.8,0,1,0,0,0,38,0,8.7,380,465,81.7,13,26,4,0,27,6985,2597,169,189,89.4,161,183,88.0,44,73,60.3,0,0,0,,0,0,,0,0,0,414,50,10,2,2,13,24,5,0,4,0,1,7,376,10,3,17,14,28,14,6,1,4,3,0,7,6,85.7,597,81,223,248,130,29,597,19,11,13,5,1,4,8,50.0,4,15,6,9,10,29,28,1,2.2,2.2,1.0,1.0,1.7,0.9,-1.2,-1.2,-1.7,0.14,0,0.7,0.11,-0.3
Venezia,Genoa,2024-09-21,W,H,2,0,2,2,0,1,1,49,38,8,42.1,38.7,15,17,46.9,12,8,66.7,3,25.0,266,1401,749,11,9,9,0,0.0,2,0,0,9,10,4,3,0,0,1,0,0,5,20.0,23.4,11,0.18,0.67,3,27.3,22.8,0,0,1,0,0,40,0,10.0,318,412,77.2,11,24,5,0,26,5935,2369,121,148,81.8,156,178,87.6,37,67,55.2,0,0,0,,0,0,,0,0,0,366,46,17,2,1,10,20,3,0,2,0,0,5,312,9,4,13,13,23,18,1,1,2,1,0,0,0,,512,56,177,202,139,16,511,12,7,4,5,3,6,9,66.7,3,16,6,10,4,16,14,0,1.7,0.9,1.2,0.4,0.9,1.4,0.3,1.1,1.1,0.08,0,0.0,,0.0
Juventus,Genoa,2024-09-28,W,A,3,0,3,2,1,1,0,65,20,4,10.0,23.4,8,13,38.1,17,11,64.7,6,35.3,468,2903,1578,26,19,9,0,0.0,1,0,0,14,7,5,5,0,0,0,0,0,1,0.0,10.0,11,0.18,1.0,2,18.2,16.9,1,0,0,0,0,35,2,23.0,597,670,89.1,10,53,11,2,42,10315,2670,266,286,93.0,294,315,93.3,35,56,62.5,0,0,0,,0,0,,0,0,0,644,26,6,0,1,18,15,3,0,3,0,0,5,590,19,5,11,6,22,19,1,0,1,1,0,2,2,100.0,759,45,180,407,175,19,758,16,6,6,7,3,4,4,100.0,0,13,4,9,3,19,13,0,2.6,1.8,2.2,1.4,1.8,1.3,0.4,0.2,0.2,0.17,1,0.5,0.26,0.5
Atalanta,Genoa,2024-10-05,W,H,5,1,4,4,1,1,0,63,22,3,22.7,30.4,7,12,36.8,19,8,42.1,11,57.9,460,1935,949,17,20,8,0,0.0,0,0,0,9,13,8,6,0,0,2,0,0,1,100.0,46.0,22,0.18,0.57,7,31.8,15.3,0,1,0,0,0,50,2,19.0,538,615,87.5,18,48,12,1,51,9628,2816,223,244,91.4,252,277,91.0,51,71,71.8,0,0,0,,0,0,,0,0,0,578,36,15,2,2,18,14,4,2,2,0,1,8,536,20,7,15,6,41,30,4,1,4,2,0,2,1,50.0,719,35,135,327,263,40,718,10,7,2,7,1,4,7,57.1,3,6,2,4,15,25,12,0,3.6,2.9,2.9,2.1,2.4,2.6,1.4,1.1,-0.4,0.13,0,1.3,0.65,0.3
Bologna,Genoa,2024-10-19,D,A,2,2,0,2,0,0,0,61,46,3,21.7,28.0,19,15,55.9,11,5,45.5,5,45.5,360,1689,729,15,10,9,1,11.1,0,0,0,12,20,3,2,1,0,0,0,0,7,57.1,43.9,12,0.17,0.29,7,58.3,21.6,0,3,0,0,0,41,3,16.4,386,489,78.9,10,26,14,3,37,7317,2362,141,161,87.6,198,233,85.0,40,76,52.6,0,0,0,,0,0,,0,0,0,430,56,23,1,2,17,16,7,0,4,0,3,6,384,10,5,16,12,20,16,2,0,2,0,0,4,2,50.0,582,79,213,254,123,23,582,11,7,6,5,0,6,9,66.7,3,10,4,6,5,16,13,1,0.7,0.7,0.2,0.2,0.3,0.4,1.3,1.3,0.7,0.06,0,0.8,0.19,-1.2
Lazio,Genoa,2024-10-27,W,H,3,0,3,3,0,0,0,61,40,6,20.0,28.9,18,16,52.9,19,10,52.6,6,31.6,350,2214,1264,24,18,11,1,9.1,3,0,0,12,6,6,4,0,2,0,0,0,5,20.0,25.8,18,0.17,0.75,4,22.2,13.4,0,1,0,0,0,51,1,11.1,517,598,86.5,15,29,15,6,47,9350,2934,211,235,89.8,252,274,92.0,46,66,69.7,0,0,0,,0,0,,0,0,0,563,34,6,0,4,24,15,7,2,2,0,1,10,512,18,7,13,13,33,23,4,3,3,0,0,2,2,100.0,704,67,199,331,184,35,704,13,7,3,9,1,5,12,41.7,7,6,0,6,8,21,21,0,2.1,2.1,1.9,1.9,1.3,0.8,0.9,0.9,0.7,0.12,0,0.1,0.07,0.1
Fiorentina,Genoa,2024-10-31,W,A,1,0,1,1,0,0,0,67,26,5,38.5,35.9,18,15,54.5,21,8,38.1,12,57.1,371,2264,1273,31,17,18,0,0.0,2,0,0,10,12,2,2,0,0,0,0,0,9,44.4,38.3,12,0.08,0.25,4,33.3,22.4,0,2,0,0,0,35,1,17.0,483,564,85.6,10,35,7,2,38,9051,2683,179,198,90.4,252,280,90.0,49,71,69.0,0,0,0,,0,0,,0,0,0,515,47,14,3,3,18,19,4,2,1,0,2,8,478,17,7,21,8,24,18,2,1,1,1,1,4,4,100.0,678,73,220,294,166,19,678,3,3,2,1,0,1,4,25.0,3,11,4,7,6,9,31,2,0.5,0.5,-0.5,-0.5,0.3,0.9,0.5,0.5,-0.3,0.04,0,1.7,0.41,1.7
