Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Napoli,Hellas Verona,2024-08-18,L,A,0,3,-3,0,0,0,0,67,26,8,3.8,21.2,23,13,63.9,20,8,40.0,7,35.0,396,2401,1289,20,16,5,1,20.0,1,0,0,13,15,0,0,0,0,0,0,0,8,25.0,24.3,14,0.0,0.0,4,28.6,17.8,0,0,0,0,0,39,2,21.2,492,592,83.1,10,36,8,3,54,8222,2885,230,255,90.2,233,270,86.3,25,49,51.0,0,0,0,,0,0,,0,0,0,537,55,17,0,1,17,21,5,3,1,0,0,11,490,16,4,10,11,21,16,3,0,2,0,0,4,1,25.0,668,41,145,374,155,18,668,8,6,2,6,0,3,9,33.3,6,3,0,3,5,13,8,0,1.0,1.0,-0.8,-0.8,0.6,0.6,-1.0,-1.0,-0.6,0.07,0,3.0,0.75,0.0
Juventus,Hellas Verona,2024-08-26,W,A,3,0,3,2,1,1,0,60,23,3,4.3,25.1,9,2,81.8,17,6,35.3,7,41.2,456,2241,1125,15,8,14,2,14.3,0,0,0,8,8,6,4,0,0,0,1,1,6,83.3,61.0,7,0.29,0.5,4,57.1,18.4,0,1,1,0,0,38,0,6.8,570,646,88.2,7,22,6,1,24,10021,2914,239,260,91.9,274,299,91.6,48,66,72.7,0,0,0,,0,0,,0,0,0,609,36,8,2,2,4,20,1,0,1,0,1,10,564,8,5,18,7,16,12,0,2,0,1,1,1,1,100.0,753,56,297,380,80,15,752,22,15,13,6,3,10,19,52.6,9,8,4,4,6,28,17,1,1.2,0.4,0.7,-0.1,0.4,0.6,1.8,1.6,1.6,0.06,0,0.2,0.2,0.2
Genoa,Hellas Verona,2024-09-01,L,H,0,2,-2,0,0,0,0,58,26,4,26.9,29.2,31,19,62.0,12,4,33.3,7,58.3,306,1618,890,13,13,12,1,8.3,2,0,0,8,16,0,0,0,0,0,0,0,8,12.5,22.5,11,0.0,0.0,1,9.1,19.3,1,1,0,1,0,31,0,5.5,399,509,78.4,6,35,9,3,44,7500,2966,145,174,83.3,206,233,88.4,39,79,49.4,1,1,0,0.0,1,0,0.0,0,0,0,458,50,16,0,3,22,20,3,0,3,0,1,6,395,13,2,16,12,21,16,1,1,1,2,0,3,1,66.7,602,49,193,304,112,16,602,14,8,6,7,1,4,10,40.0,6,9,2,7,4,18,17,0,1.5,1.5,0.0,0.8,1.3,1.0,-1.5,-1.5,-1.3,0.14,1,1.3,0.1,-0.7
Lazio,Hellas Verona,2024-09-16,W,H,2,1,1,2,0,0,0,55,36,5,38.9,36.5,15,19,44.1,16,8,50.0,7,43.8,420,2550,1421,29,16,13,7,53.8,2,0,0,13,9,4,2,1,1,0,0,0,6,0.0,10.7,14,0.14,0.29,7,50.0,21.9,0,0,0,0,0,28,2,10.3,461,547,84.3,12,36,6,2,40,8046,2719,212,229,92.6,196,219,89.5,43,69,62.3,0,0,0,,0,0,,0,0,0,503,44,13,1,2,23,14,9,7,1,0,0,7,459,16,7,13,4,24,17,1,3,1,0,2,2,1,50.0,630,54,164,326,143,23,630,15,9,6,5,4,8,15,53.3,7,6,1,5,5,20,9,1,1.2,1.2,0.4,0.4,1.0,0.9,0.8,0.8,1.0,0.09,0,0.5,0.27,-0.5
Torino,Hellas Verona,2024-09-20,W,A,3,2,1,3,0,1,1,70,26,5,23.1,30.0,25,17,59.5,13,3,23.1,6,46.2,495,2591,1464,19,17,13,0,0.0,1,0,0,8,10,4,4,0,0,0,0,0,7,0.0,19.7,15,0.2,1.0,3,20.0,18.9,1,3,1,0,0,42,0,5.0,696,793,87.8,8,60,13,5,56,12331,3535,297,328,90.5,325,350,92.9,61,85,71.8,0,0,0,,0,0,,0,1,0,753,37,8,0,4,21,13,6,2,4,0,3,9,688,17,3,9,7,26,19,1,0,3,3,0,2,0,0.0,876,49,177,486,220,24,875,14,5,6,6,2,6,12,50.0,6,5,2,3,8,22,12,1,2.2,1.5,1.7,1.0,0.5,1.0,0.8,1.5,0.5,0.1,1,1.5,0.74,-0.5
Como,Hellas Verona,2024-09-29,W,H,3,2,1,3,0,0,0,71,34,3,23.5,29.8,16,15,51.6,19,6,31.6,10,52.6,480,2261,1093,12,16,4,1,25.0,2,0,0,10,16,6,5,0,1,0,0,0,2,0.0,8.0,24,0.13,0.27,11,45.8,19.2,0,2,0,1,0,36,1,14.3,538,623,86.4,23,33,12,1,43,8570,2898,273,290,94.1,204,228,89.5,35,66,53.0,1,1,0,0.0,1,0,0.0,0,0,0,568,53,20,4,3,22,19,9,1,5,0,2,10,528,16,6,17,7,45,37,3,2,2,1,0,3,1,66.7,722,48,200,343,182,36,722,15,12,5,4,6,8,15,53.3,7,5,1,4,7,22,7,1,2.2,2.2,1.1,1.9,2.2,2.1,0.8,0.8,0.8,0.09,0,1.3,0.19,-0.7
Venezia,Hellas Verona,2024-10-04,L,A,1,2,-1,1,0,0,0,49,21,4,19.0,31.8,16,23,41.0,11,4,36.4,6,54.5,242,1315,696,15,9,25,0,0.0,0,0,0,5,9,1,0,1,0,0,0,0,12,25.0,33.5,14,0.07,0.5,2,14.3,20.6,1,0,0,0,1,42,1,11.2,311,412,75.5,12,20,9,3,34,5335,2178,136,160,85.0,133,167,79.6,26,50,52.0,0,0,0,,0,0,,0,0,1,359,53,10,0,3,20,22,6,3,2,0,0,5,309,9,2,19,10,25,22,2,0,0,1,0,3,2,33.3,530,70,196,214,123,19,530,16,10,11,4,1,6,12,50.0,6,10,7,3,5,21,24,1,0.9,0.9,-1.4,-1.4,0.8,0.5,0.1,0.1,0.2,0.06,1,1.3,0.44,0.3
Monza,Hellas Verona,2024-10-21,W,A,3,0,3,3,0,0,0,41,22,1,59.1,42.9,26,13,66.7,12,4,33.3,7,58.3,232,1213,686,11,5,24,1,4.2,2,0,0,13,8,4,3,1,0,0,0,0,12,58.3,45.3,10,0.3,0.75,4,40.0,18.9,0,1,0,0,0,35,0,5.7,293,375,78.1,9,17,6,0,24,5735,2469,124,146,84.9,115,138,83.3,45,66,68.2,0,0,0,,0,0,,0,0,0,335,39,9,0,7,14,11,6,0,5,0,1,8,291,5,0,8,11,15,10,4,1,0,0,0,4,4,100.0,499,88,249,182,73,10,499,16,4,7,5,4,10,17,58.8,7,16,4,12,7,23,36,1,1.4,1.4,0.5,0.5,1.0,0.2,1.6,1.6,1.0,0.14,0,0.7,0.16,0.7
Atalanta,Hellas Verona,2024-10-26,W,H,6,1,5,6,0,0,0,69,27,5,18.5,28.4,12,13,48.0,22,8,36.4,11,50.0,539,2429,1433,22,27,6,1,16.7,0,0,0,3,15,10,7,1,0,2,0,0,5,20.0,26.4,19,0.32,0.6,10,52.6,15.3,0,1,0,0,0,52,2,11.9,730,812,89.9,13,59,13,3,66,11955,3166,357,381,93.7,326,353,92.4,36,56,64.3,0,0,0,,0,0,,0,0,0,772,39,17,1,4,11,11,4,2,2,0,1,7,728,27,8,7,15,34,30,1,1,2,0,0,2,1,50.0,905,43,181,455,271,29,905,15,10,8,6,1,10,17,58.8,7,5,0,5,6,21,7,0,2.4,2.4,2.1,2.1,1.8,1.9,3.6,3.6,2.2,0.13,0,0.7,0.35,-0.3
Lecce,Hellas Verona,2024-10-29,W,H,1,0,1,1,0,0,0,58,24,4,16.7,23.9,14,13,51.9,22,9,40.9,9,40.9,285,1697,890,17,7,6,0,0.0,1,0,0,14,21,2,2,0,0,0,0,0,7,14.3,22.3,14,0.07,0.17,6,42.9,21.2,2,2,0,0,0,33,0,9.0,419,502,83.5,7,24,3,2,32,8514,2810,132,146,90.4,224,253,88.5,61,95,64.2,0,0,0,,0,0,,0,0,0,437,63,19,3,2,21,33,3,1,1,0,2,3,416,7,2,16,10,26,15,3,1,2,5,0,1,1,100.0,601,58,217,276,111,20,601,15,8,9,4,2,5,12,41.7,7,6,2,4,7,22,19,0,1.7,1.7,1.4,1.4,1.2,0.8,-0.7,-0.7,-0.2,0.12,2,0.0,0.03,0.0
