Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Genoa,Inter,2024-08-17,D,H,2,2,0,2,0,1,1,32,25,3,52.0,41.3,12,24,33.3,15,9,60.0,4,26.7,175,1014,439,9,7,17,1,5.9,1,0,0,16,14,2,0,0,0,2,0,0,8,75.0,54.0,12,0.17,0.33,6,50.0,19.2,1,0,0,0,0,27,0,4.0,188,260,72.3,5,15,3,2,16,3784,1560,76,86,88.4,77,100,77.0,33,66,50.0,0,0,0,,0,0,,0,0,0,216,44,20,1,1,12,12,1,0,1,0,0,3,183,7,1,14,7,20,10,2,2,2,4,0,7,5,71.4,363,68,145,153,71,14,362,10,4,6,3,1,6,10,60.0,4,9,3,6,12,22,22,1,2.1,1.2,0.2,-0.7,0.3,0.5,-0.1,0.8,-0.3,0.1,1,2.9,0.41,0.9
Lecce,Inter,2024-08-24,L,A,0,2,-2,0,0,0,0,39,18,5,61.1,46.9,7,15,31.8,9,2,22.2,6,66.7,315,1703,877,19,15,18,1,5.6,2,0,0,12,8,0,0,0,0,0,0,0,7,14.3,17.4,10,0.0,0.0,4,40.0,19.1,0,0,0,1,0,38,0,5.9,334,401,83.3,8,24,5,3,30,5642,2068,162,172,94.2,133,149,89.3,32,65,49.2,1,1,0,0.0,1,0,0.0,0,0,0,360,41,13,1,1,18,12,6,3,2,0,0,3,333,15,5,9,8,17,16,0,1,0,0,0,3,1,66.7,497,67,155,236,110,13,497,11,8,6,4,1,5,5,100.0,0,13,3,10,3,14,22,0,0.3,0.3,-2.1,-1.3,0.2,0.3,-0.3,-0.3,-0.2,0.03,0,1.8,0.31,-0.2
Atalanta,Inter,2024-08-30,L,A,0,4,-4,0,0,0,0,45,21,6,28.6,34.9,8,8,50.0,12,5,41.7,7,58.3,344,1805,905,22,16,7,0,0.0,2,0,0,15,6,0,0,0,0,0,0,0,5,100.0,64.6,11,0.0,0.0,1,9.1,17.1,0,1,0,0,1,25,1,35.0,396,456,86.8,9,32,9,3,44,6666,2029,175,188,93.1,192,207,92.8,25,46,54.3,0,0,0,,0,0,,0,1,1,413,42,11,1,1,19,17,4,2,0,0,1,8,393,16,5,14,10,18,16,0,1,1,0,0,4,1,0.0,537,53,139,211,193,18,537,13,9,4,8,1,7,11,63.6,4,7,4,3,5,18,11,1,1.4,1.4,0.1,0.1,0.6,1.1,-1.4,-1.4,-0.6,0.12,0,1.9,0.49,-1.1
Monza,Inter,2024-09-15,D,H,1,1,0,1,0,0,0,40,28,0,82.1,46.9,24,15,61.5,19,11,57.9,5,26.3,285,1723,830,20,14,21,0,0.0,1,0,0,11,18,2,2,0,0,0,0,0,14,50.0,35.0,5,0.2,0.5,2,40.0,19.6,1,1,0,0,0,36,0,5.0,350,426,82.2,2,16,3,2,16,6504,2453,159,174,91.4,156,175,89.1,32,59,54.2,0,0,0,,0,0,,0,0,0,378,47,20,0,2,13,10,1,0,1,0,1,6,345,14,1,12,10,10,6,1,1,0,2,0,2,1,50.0,531,92,221,235,80,4,531,13,7,7,6,0,5,6,83.3,1,9,4,5,12,25,31,1,0.2,0.2,-1.4,-1.4,0.1,0.4,0.8,0.8,0.9,0.05,1,0.9,0.44,-0.1
Milan,Inter,2024-09-22,W,A,2,1,1,2,0,0,0,43,27,4,25.9,34.8,10,13,43.5,18,9,50.0,6,33.3,318,1722,895,19,10,18,1,5.6,1,0,0,4,13,4,1,1,0,0,1,1,9,33.3,27.2,16,0.13,0.25,8,50.0,16.4,0,0,0,0,0,31,0,11.5,356,428,83.2,12,15,8,2,33,5934,2050,170,189,89.9,151,170,88.8,26,50,52.0,0,0,0,,0,0,,0,0,0,388,40,15,3,5,14,12,2,2,0,0,0,8,355,10,5,10,5,30,22,2,3,1,1,1,4,3,75.0,526,59,201,252,82,26,526,10,7,4,4,2,3,6,50.0,3,11,5,6,10,20,18,0,1.7,1.7,1.0,1.0,1.2,1.1,0.3,0.3,-0.2,0.11,0,1.0,0.26,0.0
Udinese,Inter,2024-09-28,L,H,2,3,-1,2,0,0,0,40,22,4,36.4,32.3,10,13,43.5,20,10,50.0,9,45.0,342,1863,795,11,13,16,0,0.0,1,0,0,13,5,4,3,0,1,0,0,0,9,33.3,34.0,9,0.22,0.67,3,33.3,14.4,0,0,0,0,0,25,0,4.0,351,425,82.6,8,22,10,6,34,6203,2262,171,189,90.5,125,151,82.8,44,65,67.7,0,0,0,,0,0,,0,0,0,381,44,9,0,4,23,15,7,3,1,0,0,5,344,13,6,16,6,17,11,2,3,1,0,0,7,4,57.1,517,59,149,265,106,22,517,10,5,4,5,1,8,10,80.0,2,9,3,6,4,14,14,1,0.8,0.8,-1.5,-1.5,0.7,0.9,1.2,1.2,1.3,0.09,0,2.2,0.31,-0.8
Torino,Inter,2024-10-05,L,A,2,3,-1,1,1,1,0,20,21,3,38.1,41.4,15,13,53.6,11,3,27.3,8,72.7,113,565,278,6,8,34,1,2.9,2,1,0,9,6,3,1,0,1,0,1,0,14,85.7,63.2,6,0.17,0.25,4,66.7,21.8,0,1,1,0,0,25,0,7.0,137,207,66.2,4,6,2,0,8,2742,1157,61,82,74.4,50,68,73.5,22,46,47.8,0,0,0,,0,0,,0,0,0,172,34,7,1,0,6,9,0,0,0,0,1,2,135,8,3,7,7,12,9,0,2,0,1,0,8,5,62.5,328,91,173,114,41,6,327,8,5,6,2,0,5,10,50.0,5,12,8,4,6,14,50,3,1.6,0.8,-0.8,-1.6,0.7,0.3,0.4,0.2,0.3,0.14,0,3.2,0.41,0.2
Roma,Inter,2024-10-20,L,H,0,1,-1,0,0,0,0,55,30,5,40.0,37.8,10,15,40.0,7,2,28.6,4,57.1,410,2307,1243,24,21,6,2,33.3,2,0,0,12,12,0,0,0,0,0,0,0,5,100.0,64.2,14,0.0,0.0,3,21.4,17.9,0,0,0,0,0,43,1,15.5,452,530,85.3,12,27,13,6,41,8497,2451,164,186,88.2,221,248,89.1,52,77,67.5,0,0,0,,0,0,,0,0,0,488,42,14,0,3,20,18,3,2,0,0,0,3,449,21,4,15,10,25,18,3,1,2,1,0,6,5,83.3,613,50,146,320,152,26,613,14,8,5,5,4,6,7,85.7,1,4,1,3,5,19,11,1,1.0,1.0,0.0,0.0,0.9,1.1,-1.0,-1.0,-0.9,0.07,0,1.4,0.23,0.4
Juventus,Inter,2024-10-27,D,A,4,4,0,4,0,0,0,53,16,2,37.5,40.1,8,16,33.3,9,4,44.4,4,44.4,393,2462,1185,28,14,18,0,0.0,1,0,0,16,11,8,7,0,1,0,0,0,6,50.0,45.3,10,0.4,0.8,5,50.0,13.6,0,0,0,2,0,28,0,3.0,405,470,86.2,8,28,9,2,35,7895,2416,166,184,90.2,166,186,89.2,70,89,78.7,2,2,0,0.0,2,0,0.0,0,1,0,431,39,11,1,11,12,12,5,2,2,0,0,7,403,14,8,12,3,19,17,1,1,0,0,0,9,5,77.8,549,63,179,269,107,20,549,6,4,3,2,1,2,5,40.0,3,8,5,3,5,11,17,0,2.1,2.1,-0.9,0.7,1.9,2.3,1.9,1.9,1.1,0.21,0,3.5,0.21,-0.5
Empoli,Inter,2024-10-30,L,H,0,3,-3,0,0,0,0,23,24,3,58.3,44.7,10,15,40.0,11,3,27.3,7,63.6,138,690,282,4,2,19,0,0.0,1,1,0,12,12,0,0,0,0,0,0,0,9,44.4,35.1,6,0.0,0.0,1,16.7,18.2,1,3,0,0,0,26,0,9.0,182,242,75.2,3,9,1,1,13,3596,1240,64,74,86.5,94,107,87.9,22,50,44.0,0,0,0,,0,0,,0,0,0,196,43,13,0,1,7,16,1,0,0,0,3,5,180,2,3,13,7,10,7,0,0,2,1,0,5,2,40.0,351,77,171,119,63,9,351,10,6,5,4,1,5,8,62.5,3,11,4,7,9,19,33,1,0.3,0.3,-0.8,-0.8,0.1,0.2,-0.3,-0.3,-0.1,0.04,1,2.1,0.42,-0.9
