Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Como,Juventus,2024-08-19,L,A,0,3,-3,0,0,0,0,43,21,3,42.9,37.2,3,12,20.0,10,2,20.0,6,60.0,335,1676,841,9,15,9,0,0.0,4,0,0,12,11,0,0,0,0,0,0,0,7,0.0,9.7,3,0.0,,0,0.0,19.4,0,1,0,0,0,24,2,16.0,358,415,86.3,2,22,2,1,34,6476,1763,142,152,93.4,185,197,93.9,27,52,51.9,0,0,0,,0,0,,0,0,0,372,42,14,0,4,12,17,0,0,0,0,1,8,350,15,0,12,9,4,4,0,0,0,0,0,6,3,50.0,477,49,159,229,90,5,477,7,4,1,3,3,3,10,30.0,7,4,1,3,4,11,10,2,0.2,0.2,-1.0,-1.0,0.2,0.3,-0.2,-0.2,-0.2,0.06,0,2.3,0.38,-0.7
Hellas Verona,Juventus,2024-08-26,L,H,0,3,-3,0,0,0,0,40,15,3,26.7,29.7,2,9,18.2,19,9,47.4,10,52.6,350,2062,1002,20,20,2,0,0.0,2,0,0,8,8,0,0,0,0,0,0,0,0,,,7,0.0,0.0,1,14.3,17.3,2,1,0,1,0,38,1,18.0,356,434,82.0,3,36,4,0,36,5910,1560,173,190,91.1,141,172,82.0,28,46,60.9,1,1,0,0.0,1,0,0.0,0,0,0,395,38,7,1,7,20,23,4,2,2,0,1,6,353,20,6,12,12,11,8,0,1,0,2,0,5,2,60.0,519,26,102,267,158,14,519,14,8,5,6,3,7,13,53.8,6,11,2,9,8,22,10,1,0.5,0.5,-0.7,0.1,0.2,0.6,-0.5,-0.5,-0.2,0.07,2,1.5,0.16,-1.5
Roma,Juventus,2024-09-01,D,A,0,0,0,0,0,0,0,51,33,2,15.2,28.7,10,6,62.5,12,3,25.0,9,75.0,381,2256,1171,18,22,15,0,0.0,2,0,0,12,10,0,0,0,0,0,0,0,9,22.2,27.7,7,0.0,0.0,1,14.3,21.1,0,0,0,0,0,25,0,17.0,448,524,85.5,5,29,8,2,36,7748,2094,186,202,92.1,230,252,91.3,25,50,50.0,0,0,0,,0,0,,0,0,0,479,45,13,0,0,17,18,4,2,2,0,0,9,444,22,0,16,3,13,12,0,0,1,0,0,1,1,100.0,612,67,182,268,169,11,612,14,7,2,9,3,7,14,50.0,7,7,3,4,5,19,22,0,0.3,0.3,-0.2,-0.2,0.2,0.5,-0.3,-0.3,-0.2,0.05,0,0.6,0.55,0.6
Empoli,Juventus,2024-09-14,D,H,0,0,0,0,0,0,0,35,20,2,65.0,51.3,5,13,27.8,13,3,23.1,8,61.5,206,1021,491,10,2,17,2,11.8,1,0,0,11,10,0,0,0,0,0,0,0,9,33.3,27.9,8,0.0,0.0,3,37.5,21.5,0,0,0,0,0,42,0,7.0,285,370,77.0,8,19,4,0,20,5252,1692,111,131,84.7,139,164,84.8,29,55,52.7,0,0,0,,0,0,,0,0,0,327,43,10,0,2,9,19,4,0,4,0,0,11,282,2,2,15,8,15,10,3,1,1,0,0,3,3,100.0,481,59,180,231,76,15,481,24,14,14,10,0,16,25,64.0,9,11,6,5,5,29,23,0,0.5,0.5,-0.4,-0.4,0.5,0.4,-0.5,-0.5,-0.5,0.06,0,0.9,0.29,0.9
Napoli,Juventus,2024-09-21,D,A,0,0,0,0,0,0,0,36,24,4,20.8,33.5,10,7,58.8,12,6,50.0,5,41.7,226,1412,777,17,17,13,2,15.4,0,0,0,13,10,0,0,0,0,0,0,0,9,22.2,25.4,8,0.0,0.0,1,12.5,23.4,0,2,0,0,0,31,0,4.5,333,392,84.9,6,33,3,2,23,6051,2042,146,161,90.7,151,170,88.8,33,44,75.0,0,0,0,,0,0,,0,0,0,355,35,9,0,1,12,13,3,1,0,2,2,11,330,17,4,12,9,12,11,1,0,0,0,0,1,1,100.0,472,55,179,197,101,7,472,17,7,4,10,3,10,18,55.6,8,9,4,5,7,24,18,1,0.3,0.3,0.0,0.0,0.3,0.4,-0.3,-0.3,-0.3,0.04,0,0.0,0.01,0.0
Genoa,Juventus,2024-09-28,L,H,0,3,-3,0,0,0,0,35,33,2,24.2,30.8,13,8,61.9,7,0,0.0,4,57.1,224,1307,646,12,15,14,0,0.0,2,0,0,8,14,0,0,0,0,0,0,0,9,11.1,23.7,7,0.0,0.0,2,28.6,21.1,2,0,0,1,0,23,0,4.0,282,356,79.2,5,12,4,1,17,5388,1938,115,133,86.5,124,138,89.9,37,61,60.7,1,1,0,0.0,1,0,0.0,0,0,0,311,45,12,0,2,13,15,5,2,3,0,0,11,279,15,0,9,12,12,8,1,0,1,2,0,3,0,33.3,445,77,187,172,89,10,445,12,5,6,4,2,6,17,35.3,11,6,2,4,13,25,20,0,0.4,0.4,-2.2,-1.4,0.3,0.4,-0.4,-0.4,-0.3,0.06,2,1.7,0.25,-1.3
Cagliari,Juventus,2024-10-06,D,A,1,1,0,0,1,1,0,27,13,4,53.8,40.2,11,12,47.8,10,4,40.0,6,60.0,159,935,508,14,7,18,0,0.0,2,0,0,10,11,2,1,0,0,0,1,0,11,36.4,30.3,8,0.0,0.0,1,12.5,24.5,0,1,1,1,0,33,0,,207,279,74.2,5,18,6,2,22,3606,1695,107,118,90.7,73,99,73.7,22,43,51.2,1,1,0,0.0,1,0,0.0,0,0,0,237,41,13,0,0,22,12,3,1,2,0,1,6,205,7,3,10,12,12,9,0,1,1,1,0,9,8,100.0,378,80,169,114,98,14,377,8,6,3,5,0,4,15,26.7,11,7,4,3,8,16,30,1,1.1,0.3,-1.3,-1.3,0.3,0.6,-0.1,-0.3,-0.3,0.04,0,1.8,0.1,0.8
Lazio,Juventus,2024-10-19,L,A,0,1,-1,0,0,0,0,31,27,5,37.0,37.1,16,10,61.5,14,5,35.7,7,50.0,204,1209,553,8,6,28,3,10.7,2,1,0,9,16,0,0,0,0,0,0,0,16,87.5,61.4,2,0.0,0.0,1,50.0,26.5,0,0,0,0,1,27,0,4.3,226,293,77.1,1,13,2,1,20,4399,1628,92,106,86.8,102,117,87.2,28,61,45.9,0,0,0,,0,0,,0,0,1,245,48,18,1,1,9,11,1,1,0,0,0,2,225,6,1,8,9,3,2,0,1,0,0,0,3,3,66.7,377,85,172,149,64,5,377,7,4,4,1,2,3,12,25.0,9,9,2,7,6,13,25,0,0.1,0.1,-1.3,-1.3,0.0,0.1,-0.1,-0.1,0.0,0.03,0,0.4,0.13,0.4
Inter,Juventus,2024-10-27,D,H,4,4,0,2,2,2,0,47,29,4,44.8,35.5,16,8,66.7,6,3,50.0,2,33.3,334,1933,968,10,13,8,1,12.5,2,0,0,11,16,5,3,0,0,0,2,0,5,20.0,24.4,16,0.13,0.29,7,43.8,14.5,0,0,2,0,0,26,0,9.0,344,417,82.5,12,27,7,0,34,6220,2015,134,151,88.7,177,197,89.8,29,59,49.2,0,0,0,,0,0,,0,0,0,372,45,14,2,2,21,8,13,6,5,0,0,4,341,13,6,8,4,28,13,6,1,5,3,0,5,1,20.0,483,60,145,230,111,25,481,7,4,3,3,1,4,8,50.0,4,9,2,7,6,13,13,0,3.0,1.4,0.9,-0.7,1.2,1.4,1.0,0.6,-0.2,0.09,0,2.2,0.44,-1.8
Parma,Juventus,2024-10-30,D,A,2,2,0,2,0,0,0,39,35,4,31.4,33.9,11,11,50.0,17,6,35.3,10,58.8,293,1771,1092,19,15,21,1,4.8,0,0,0,5,7,4,4,0,0,0,0,0,16,25.0,29.3,13,0.15,0.4,5,38.5,18.4,0,2,0,0,0,42,0,8.1,335,407,82.3,10,19,7,2,23,6439,2356,130,146,89.0,165,185,89.2,40,68,58.8,0,0,0,,0,0,,0,1,0,358,47,10,4,1,9,12,6,2,0,0,2,3,330,15,9,15,7,24,20,1,1,1,0,1,4,2,50.0,520,112,247,177,107,23,520,11,9,4,6,1,3,18,16.7,15,13,9,4,10,21,25,2,1.2,1.2,-1.2,-1.2,1.1,1.2,0.8,0.8,0.9,0.09,0,2.2,0.56,0.2
