Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Venezia,Lazio,2024-08-18,L,A,1,3,-2,1,0,0,0,33,22,4,22.7,26.9,10,12,45.5,7,4,57.1,3,42.9,259,1259,675,14,7,21,0,0.0,2,0,0,11,13,2,2,0,0,0,0,0,8,12.5,25.4,11,0.09,0.5,2,18.2,19.9,1,1,0,1,1,33,1,16.5,249,316,78.8,8,16,5,1,15,4055,1543,110,124,88.7,114,138,82.6,15,31,48.4,1,1,0,0.0,1,0,0.0,0,0,1,275,40,13,0,0,12,12,3,0,3,0,1,12,242,7,3,16,10,20,17,1,1,0,1,0,6,4,66.7,407,63,161,166,84,18,407,16,8,7,5,4,3,11,27.3,8,6,2,4,12,28,22,1,0.6,0.6,-1.8,-1.0,0.4,0.4,0.4,0.4,0.6,0.06,1,1.5,0.12,-0.5
Udinese,Lazio,2024-08-24,W,H,2,1,1,2,0,0,0,34,10,0,90.0,61.8,17,14,54.8,14,7,50.0,7,50.0,171,1010,517,9,8,32,0,0.0,4,1,1,15,9,2,2,0,0,0,0,0,11,45.5,35.5,8,0.25,0.67,3,37.5,19.4,0,2,0,0,0,29,2,20.3,203,287,70.7,5,19,3,2,14,3840,1829,89,105,84.8,70,93,75.3,33,60,55.0,0,0,0,,0,0,,0,0,0,243,42,12,0,1,12,13,4,1,3,0,2,6,200,8,3,13,4,10,8,1,0,0,0,1,4,3,75.0,407,65,165,163,85,10,407,18,11,12,4,2,6,15,40.0,9,7,3,4,9,27,40,0,0.8,0.8,-0.5,-0.5,0.5,0.2,1.2,1.2,0.5,0.11,0,1.7,0.45,0.7
Milan,Lazio,2024-08-31,D,A,2,2,0,2,0,0,0,57,50,4,12.0,25.6,5,7,41.7,15,6,40.0,8,53.3,414,2118,1006,16,12,17,0,0.0,2,0,0,9,12,4,3,1,0,0,0,0,5,20.0,26.8,10,0.2,0.5,4,40.0,17.5,1,0,0,0,0,31,6,28.5,475,548,86.7,7,18,5,0,22,8024,2363,218,238,91.6,238,254,93.7,16,44,36.4,0,0,0,,0,0,,0,0,0,503,45,16,2,1,13,14,7,7,0,0,0,7,469,12,5,10,7,18,13,2,0,2,1,0,4,2,50.0,637,64,281,275,86,17,637,13,9,4,5,4,5,12,41.7,7,5,3,2,8,21,22,0,1.3,1.3,-0.8,-0.8,1.2,0.8,0.7,0.7,0.8,0.13,1,1.9,0.47,-0.1
Hellas Verona,Lazio,2024-09-16,L,A,1,2,-1,1,0,0,0,45,16,3,31.3,33.0,19,15,55.9,18,7,38.9,8,44.4,318,1916,940,11,8,19,1,5.3,2,0,0,10,12,2,2,0,0,0,0,0,7,42.9,34.7,7,0.14,0.5,2,28.6,19.6,0,3,0,0,0,46,2,18.3,360,447,80.5,6,22,1,1,32,6153,2062,155,170,91.2,166,191,86.9,28,58,48.3,0,0,0,,0,0,,0,1,0,406,38,13,2,5,17,9,6,5,1,0,3,6,358,8,4,7,7,13,10,2,1,0,0,0,7,5,71.4,542,65,200,281,70,8,542,11,7,6,5,0,7,15,46.7,8,8,3,5,10,21,21,1,0.8,0.8,-0.4,-0.4,0.7,0.3,0.2,0.2,0.3,0.12,0,2.2,0.33,0.2
Fiorentina,Lazio,2024-09-22,W,H,2,1,1,0,2,2,0,46,21,6,14.3,24.9,18,10,64.3,15,11,73.3,4,26.7,292,1590,855,14,11,22,0,0.0,3,0,0,11,15,4,2,0,0,0,2,0,7,42.9,36.3,12,0.0,0.0,3,25.0,18.5,0,0,2,0,0,30,0,3.5,334,391,85.4,12,23,10,8,25,6720,2514,112,129,86.8,175,193,90.7,39,53,73.6,0,0,0,,0,0,,0,0,0,349,42,14,1,3,14,16,3,0,1,0,0,4,332,11,3,9,8,28,19,3,2,1,2,1,6,5,83.3,494,75,212,182,103,23,492,11,7,6,3,2,5,11,45.5,6,9,7,2,6,17,31,0,2.7,1.2,1.7,0.1,1.2,0.8,-0.7,-1.2,-1.2,0.1,0,0.7,0.12,-0.3
Torino,Lazio,2024-09-29,L,H,2,3,-1,2,0,0,0,57,26,5,34.6,31.0,18,10,64.3,13,5,38.5,6,46.2,416,2167,960,19,8,12,0,0.0,2,0,0,10,12,4,3,1,0,0,0,0,6,50.0,42.0,12,0.17,0.29,7,58.3,19.5,1,0,0,0,0,39,5,27.3,443,540,82.0,10,22,7,3,29,8155,2552,184,211,87.2,199,232,85.8,49,77,63.6,0,0,0,,0,0,,0,0,0,489,51,13,0,5,27,25,3,3,0,0,0,7,438,8,1,13,9,23,18,2,0,1,1,1,7,4,57.1,647,61,188,341,121,21,647,21,12,8,8,5,11,26,42.3,15,11,1,10,7,28,21,0,0.7,0.7,-1.4,-1.4,0.6,0.8,1.3,1.3,1.4,0.06,1,2.2,0.32,-0.8
Empoli,Lazio,2024-10-06,L,A,1,2,-1,1,0,0,0,42,26,4,38.5,41.5,20,14,58.8,27,13,48.1,14,51.9,229,1227,558,12,6,25,3,12.0,4,0,0,17,10,2,2,0,0,0,0,0,15,26.7,22.8,7,0.14,0.5,2,28.6,14.5,0,1,0,1,0,29,0,5.2,251,339,74.0,6,15,5,3,22,4464,1810,107,121,88.4,102,125,81.6,29,64,45.3,1,0,1,100.0,0,1,100.0,0,0,0,284,54,11,2,1,15,22,3,0,1,0,1,5,250,6,2,11,16,14,11,1,2,0,0,0,6,3,66.7,445,84,190,187,76,9,445,15,7,5,8,2,6,10,60.0,4,3,2,1,5,20,30,0,0.5,0.5,-1.6,-0.7,0.3,0.2,0.5,0.5,-0.3,0.08,0,2.0,0.2,0.0
Juventus,Lazio,2024-10-19,W,H,1,0,1,0,0,0,0,69,33,6,9.1,25.7,10,16,38.5,14,9,64.3,3,21.4,464,3037,1806,30,23,7,1,14.3,4,0,0,16,8,0,0,0,0,0,0,0,3,33.3,32.0,16,0.0,0.0,3,18.8,18.1,1,2,0,0,0,32,0,11.0,578,658,87.8,13,55,15,8,62,10696,2865,240,257,93.4,273,301,90.7,59,83,71.1,0,0,0,,0,0,,0,0,0,622,34,8,0,6,31,15,7,0,7,0,2,8,575,23,5,7,4,31,25,2,1,2,1,0,1,1,100.0,727,55,202,301,226,29,727,16,10,7,5,4,7,12,58.3,5,3,1,2,4,20,9,0,1.3,1.3,1.3,1.3,1.1,1.4,-1.3,-1.3,-1.1,0.08,1,0.0,0.04,0.0
Genoa,Lazio,2024-10-27,L,A,0,3,-3,0,0,0,0,39,31,4,22.6,26.6,16,18,47.1,13,7,53.8,5,38.5,191,1241,557,7,5,20,0,0.0,1,0,0,6,11,0,0,0,0,0,0,0,12,33.3,33.0,6,0.0,0.0,2,33.3,21.8,0,0,0,0,0,33,0,2.3,299,390,76.7,2,18,1,1,23,5839,2468,113,142,79.6,143,172,83.1,36,61,59.0,0,0,0,,0,0,,0,1,0,338,52,13,0,1,14,19,4,3,0,0,0,8,298,5,1,16,8,8,5,2,0,1,0,0,4,1,25.0,497,78,213,202,86,15,497,19,11,9,9,1,6,16,37.5,10,11,3,8,4,23,28,1,0.3,0.3,-1.9,-1.9,0.1,0.4,-0.3,-0.3,-0.1,0.05,0,2.8,0.69,-0.2
Como,Lazio,2024-10-31,L,H,1,5,-4,1,0,0,0,51,19,4,31.6,33.5,12,17,41.4,8,6,75.0,2,25.0,321,1817,883,17,8,12,0,0.0,2,1,1,14,18,1,1,0,0,0,0,0,3,0.0,10.3,14,0.07,0.5,2,14.3,18.9,1,1,0,1,0,41,0,5.0,378,459,82.4,11,29,3,3,28,6646,2151,174,197,88.3,172,193,89.1,30,58,51.7,1,1,0,0.0,1,0,0.0,0,1,0,408,50,19,1,4,17,19,3,0,2,0,1,5,374,8,9,16,6,25,21,2,1,0,1,0,7,2,42.9,555,51,165,264,133,18,555,17,11,8,5,4,10,20,50.0,10,7,3,4,6,23,19,2,1.1,1.1,-1.9,-1.1,0.9,0.6,-0.1,-0.1,-0.9,0.08,1,2.7,0.28,-2.3
