Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Atalanta,Lecce,2024-08-19,W,A,4,0,4,3,1,1,0,52,19,4,36.8,33.1,20,23,46.5,17,6,35.3,8,47.1,331,1751,897,16,11,15,0,0.0,2,0,0,24,10,7,5,0,0,1,1,0,14,92.9,56.9,10,0.3,0.6,5,50.0,13.4,0,1,1,0,0,46,1,17.5,411,498,82.5,7,42,7,3,37,7691,2193,170,193,88.1,185,207,89.4,54,86,62.8,0,0,0,,0,0,,0,0,0,456,41,10,1,4,15,13,3,0,3,0,1,6,408,11,3,16,11,18,13,1,0,3,1,0,4,4,100.0,595,49,165,334,101,19,594,10,6,7,3,0,2,6,33.3,4,7,4,3,12,22,16,0,1.7,0.9,0.2,-0.6,0.6,0.7,2.3,2.1,1.4,0.1,0,0.7,0.19,0.7
Inter,Lecce,2024-08-24,W,H,2,0,2,1,1,1,0,61,25,9,0.0,23.2,15,7,68.2,6,0,0.0,5,83.3,489,2308,1316,10,11,12,1,8.3,0,0,0,9,12,3,1,0,0,1,1,0,5,20.0,20.0,10,0.1,0.5,2,20.0,15.2,1,4,1,0,0,41,1,13.2,550,634,86.8,6,38,13,2,51,9404,3118,252,265,95.1,239,263,90.9,39,59,66.1,0,0,0,,0,0,,0,0,0,587,43,10,5,4,22,17,10,7,0,0,4,11,548,11,1,16,6,16,9,1,0,2,3,1,4,4,100.0,721,54,195,347,184,25,720,14,12,5,5,4,6,8,75.0,2,4,2,2,6,20,16,0,2.4,1.6,2.1,1.3,1.4,1.7,-0.4,-0.6,-0.4,0.16,1,0.4,0.11,0.4
Cagliari,Lecce,2024-08-31,L,A,0,1,-1,0,0,0,0,65,15,4,26.7,28.0,24,21,53.3,23,12,52.2,11,47.8,345,2211,1219,25,23,13,0,0.0,3,0,0,13,9,0,0,0,0,0,0,0,11,27.3,32.8,21,0.0,0.0,2,9.5,15.2,0,0,0,0,0,33,2,18.6,405,524,77.3,15,46,14,3,58,7294,2526,162,190,85.3,217,257,84.4,26,62,41.9,0,0,0,,0,0,,0,1,0,466,58,12,0,0,34,23,10,3,6,0,0,8,399,23,10,6,13,40,27,4,4,3,1,1,3,2,66.7,629,54,148,281,207,39,629,15,11,4,5,6,10,17,58.8,7,13,6,7,8,23,19,1,1.8,1.8,0.1,0.1,1.5,1.9,-1.8,-1.8,-1.5,0.09,0,1.1,0.35,0.1
Torino,Lecce,2024-09-15,D,H,0,0,0,0,0,0,0,53,25,7,36.0,36.3,20,15,57.1,4,2,50.0,1,25.0,310,1593,912,12,6,18,0,0.0,1,0,0,13,13,0,0,0,0,0,0,0,12,41.7,39.3,5,0.0,,0,0.0,17.4,1,1,0,0,0,35,0,13.3,397,494,80.4,4,28,10,0,50,7073,2725,160,190,84.2,205,230,89.1,26,53,49.1,0,0,0,,0,0,,0,0,0,455,38,11,0,0,21,12,2,2,0,0,1,10,392,6,1,18,6,10,8,1,0,0,1,0,6,6,100.0,582,72,176,305,104,14,582,8,2,4,2,2,4,13,30.8,9,9,2,7,10,18,18,0,0.4,0.4,-1.2,-1.2,0.4,0.6,-0.4,-0.4,-0.4,0.09,1,1.6,0.27,1.6
Parma,Lecce,2024-09-21,D,A,2,2,0,2,0,0,0,61,26,6,23.1,28.6,5,14,26.3,25,11,44.0,11,44.0,423,2197,1172,31,13,10,0,0.0,0,1,0,11,12,3,2,0,0,1,0,0,10,30.0,32.4,25,0.08,0.2,10,40.0,18.1,3,1,0,0,0,38,0,13.0,478,567,84.3,20,46,16,2,67,7871,2997,233,267,87.3,202,221,91.4,31,50,62.0,0,0,0,,0,0,,1,0,0,514,52,14,1,1,14,13,12,3,0,0,1,14,473,13,10,15,12,44,28,6,3,3,4,0,3,1,33.3,679,52,138,273,275,37,679,18,10,8,5,5,11,14,78.6,3,14,5,9,10,28,7,2,2.0,2.0,0.5,0.5,1.7,1.5,0.0,0.0,0.3,0.08,3,1.2,0.39,-0.8
Milan,Lecce,2024-09-27,W,H,3,0,3,3,0,0,0,57,23,9,17.4,28.0,10,6,62.5,22,13,59.1,6,27.3,434,2349,1367,26,23,14,1,7.1,1,1,0,5,8,5,2,1,0,1,1,0,10,30.0,37.0,15,0.2,0.5,6,40.0,16.4,0,0,0,0,0,28,0,11.0,482,537,89.8,13,42,9,1,59,8434,3055,236,246,95.9,202,221,91.4,41,58,70.7,0,0,0,,0,0,,0,0,0,497,40,12,4,4,17,13,4,2,0,0,0,5,475,23,4,12,8,26,16,1,3,4,1,1,7,7,100.0,622,53,140,293,196,19,622,16,8,5,6,5,4,9,44.4,5,9,3,6,3,19,11,0,1.6,1.6,1.1,1.1,1.1,0.8,1.4,1.4,0.9,0.11,0,0.5,0.07,0.5
Udinese,Lecce,2024-10-05,W,H,1,0,1,1,0,0,0,55,30,5,33.3,30.2,13,14,48.1,18,7,38.9,9,50.0,353,1929,970,16,10,6,2,33.3,2,0,0,12,15,2,0,0,0,0,1,1,8,12.5,21.0,12,0.08,0.25,4,33.3,12.8,1,0,0,0,0,50,0,11.0,378,488,77.5,6,35,10,8,48,6812,2553,157,181,86.7,181,211,85.8,38,77,49.4,0,0,0,,0,0,,0,0,0,439,49,18,0,3,27,17,5,1,1,0,0,13,371,10,2,18,13,20,11,2,1,3,2,1,3,3,100.0,596,57,183,272,146,21,596,19,11,9,7,3,12,22,54.5,10,10,1,9,12,31,14,1,0.9,0.9,0.4,0.4,0.3,0.8,0.1,0.1,-0.3,0.07,1,0.2,0.07,0.2
Fiorentina,Lecce,2024-10-20,W,A,6,0,6,6,0,0,0,61,17,1,29.4,33.3,12,8,60.0,19,8,42.1,10,52.6,507,2441,1215,24,21,8,0,0.0,5,0,0,14,8,9,6,0,1,1,1,0,4,25.0,22.8,19,0.32,0.55,11,57.9,19.0,1,2,0,0,0,47,0,6.7,526,598,88.0,16,43,11,1,52,8523,2786,261,276,94.6,195,219,89.0,46,67,68.7,0,0,0,,0,0,,0,0,0,566,30,7,3,1,13,15,3,0,1,0,2,5,521,21,6,13,6,33,28,0,2,1,1,1,2,2,100.0,699,39,147,379,179,22,699,14,7,4,5,5,9,14,64.3,5,10,1,9,5,19,18,0,2.2,2.2,2.0,2.0,2.1,1.1,3.8,3.8,0.9,0.12,1,0.1,0.05,0.1
Napoli,Lecce,2024-10-26,W,H,1,0,1,1,0,0,0,64,23,2,13.0,24.1,30,19,61.2,22,8,36.4,13,59.1,416,2182,1271,25,11,9,1,11.1,3,0,0,13,5,1,0,0,0,1,0,0,5,40.0,33.8,24,0.04,0.13,8,33.3,14.8,0,1,0,0,0,41,4,16.3,452,543,83.2,16,49,12,2,59,7319,2392,218,237,92.0,183,214,85.5,35,55,63.6,0,0,0,,0,0,,0,0,0,495,47,7,1,1,27,18,16,6,9,0,1,7,447,11,6,9,6,39,25,5,2,7,0,0,1,1,100.0,656,41,121,329,211,31,656,11,7,3,7,1,6,12,50.0,6,10,6,4,8,19,16,0,2.7,2.7,2.0,2.0,1.5,1.6,-1.7,-1.7,-1.5,0.13,0,0.0,0.04,0.0
Hellas Verona,Lecce,2024-10-29,L,A,0,1,-1,0,0,0,0,42,16,2,68.8,51.4,13,14,48.1,15,7,46.7,5,33.3,241,1409,644,8,11,18,1,5.6,3,2,1,21,13,0,0,0,0,0,0,0,7,71.4,54.1,7,0.0,0.0,1,14.3,24.5,1,0,0,0,0,34,3,22.3,273,363,75.2,3,20,0,0,28,5030,1835,109,132,82.6,136,158,86.1,25,60,41.7,0,0,0,,0,0,,0,0,0,316,47,15,0,3,7,19,4,3,0,0,0,5,271,11,1,12,10,10,4,1,1,1,2,1,6,5,83.3,452,48,149,236,71,3,452,19,13,8,7,4,9,18,50.0,9,5,2,3,5,24,22,0,0.3,0.3,-1.4,-1.4,0.2,0.1,-0.3,-0.3,-0.2,0.04,1,2.0,0.34,1.0
Bologna,Lecce,2024-11-02,W,H,1,0,1,1,0,0,0,72,19,4,5.3,21.2,19,21,47.5,19,2,10.5,13,68.4,500,2622,1396,19,21,4,1,25.0,2,0,0,9,13,2,2,0,0,0,0,0,3,0.0,17.3,20,0.05,0.25,4,20.0,17.0,1,1,0,0,0,39,0,9.5,537,621,86.5,16,74,17,9,78,9550,3224,233,250,93.2,260,287,90.6,39,63,61.9,0,0,0,,0,0,,0,0,0,565,55,13,0,6,34,29,9,0,5,0,1,10,531,21,4,16,21,37,27,4,0,4,2,0,0,0,,739,33,118,357,268,31,739,17,12,4,9,4,7,12,58.3,5,12,2,10,4,21,13,0,1.4,1.4,0.7,0.7,0.9,1.2,-0.4,-0.4,0.1,0.07,1,0.0,,0.0
Empoli,Lecce,2024-11-08,D,A,1,1,0,1,0,0,0,42,20,3,60.0,48.1,18,27,40.0,11,7,63.6,4,36.4,187,938,437,12,6,21,1,4.8,3,0,0,24,7,2,1,0,1,0,0,0,18,66.7,50.5,11,0.09,0.17,6,54.5,22.1,0,1,0,0,0,40,1,15.3,255,358,71.2,8,18,3,2,24,4188,1662,123,140,87.9,109,138,79.0,15,62,24.2,0,0,0,,0,0,,0,0,0,304,53,8,1,1,13,22,3,0,2,0,1,6,254,6,3,18,9,21,13,2,3,1,1,1,3,2,66.7,489,65,179,229,84,12,489,28,15,12,12,4,14,23,60.9,9,12,2,10,8,36,29,0,0.6,0.6,-1.0,-1.0,0.5,0.4,0.4,0.4,0.5,0.05,0,1.1,0.36,0.1
Venezia,Lecce,2024-11-25,L,H,0,1,-1,0,0,0,0,61,22,3,13.6,27.5,16,14,53.3,20,4,20.0,14,70.0,348,1805,817,13,9,8,1,12.5,1,0,0,12,13,0,0,0,0,0,0,0,7,28.6,22.1,16,0.0,0.0,6,37.5,14.7,1,2,0,0,0,51,1,12.4,462,575,80.3,13,45,9,2,45,7781,2725,219,245,89.4,200,234,85.5,36,65,55.4,0,0,0,,0,0,,0,0,0,519,54,17,3,2,20,22,6,0,2,0,2,9,454,9,6,15,12,30,20,5,2,2,1,0,2,1,50.0,687,40,126,342,221,35,687,10,6,4,5,1,4,11,36.4,7,9,1,8,9,19,10,0,2.5,2.5,1.8,1.8,1.7,1.4,-2.5,-2.5,-1.7,0.17,1,1.4,0.71,0.4
Juventus,Lecce,2024-12-01,D,A,1,1,0,1,0,0,0,61,32,9,18.8,28.7,8,10,44.4,19,11,57.9,7,36.8,501,2938,1672,22,17,16,1,6.3,4,0,0,9,6,2,2,0,0,0,0,0,4,0.0,9.8,14,0.07,0.33,3,21.4,22.2,0,1,0,0,0,39,0,8.0,557,632,88.1,12,42,6,1,49,9733,2558,269,287,93.7,254,270,94.1,33,56,58.9,0,0,0,,0,0,,0,0,0,590,41,9,1,3,15,19,7,5,1,0,1,17,553,17,7,14,8,24,20,1,2,1,0,0,6,5,83.3,727,56,205,368,160,17,727,15,9,6,8,1,4,10,40.0,6,10,2,8,4,19,13,1,1.3,1.3,-0.2,-0.2,1.2,0.7,-0.3,-0.3,-0.2,0.09,0,1.7,0.28,0.7
Roma,Lecce,2024-12-07,W,H,4,1,3,4,0,0,0,59,28,2,28.6,30.5,14,10,58.3,18,8,44.4,9,50.0,477,2139,1053,21,20,6,0,0.0,2,0,0,5,14,8,6,0,1,0,0,1,4,25.0,27.5,23,0.17,0.5,8,34.8,17.3,0,3,0,1,0,52,0,8.7,496,577,86.0,17,28,11,3,44,8309,2639,237,253,93.7,204,223,91.5,46,78,59.0,1,1,0,0.0,1,0,0.0,0,0,0,525,49,14,4,5,16,21,8,0,6,0,3,8,490,20,8,14,5,38,24,4,1,6,2,1,1,0,100.0,676,51,176,323,182,31,676,24,15,13,7,4,12,20,60.0,8,2,0,2,8,32,10,0,1.8,1.8,1.0,1.7,1.7,1.6,2.2,2.2,2.3,0.08,0,1.0,0.0,0.0
Monza,Lecce,2024-12-15,L,A,1,2,-1,0,0,0,0,55,24,2,37.5,35.0,13,30,30.2,18,12,66.7,5,27.8,349,2007,971,20,19,5,0,0.0,5,0,0,16,15,0,0,0,0,0,0,0,5,60.0,46.6,9,0.0,,0,0.0,19.3,1,4,0,1,0,41,3,23.7,339,443,76.5,8,23,12,1,33,5650,1841,172,199,86.4,141,166,84.9,23,56,41.1,1,0,1,100.0,0,1,100.0,0,0,0,385,54,18,1,2,28,21,7,3,3,0,4,12,336,19,4,12,9,17,12,3,1,0,1,0,4,1,50.0,520,43,137,238,152,19,520,12,9,5,4,3,3,9,33.3,6,4,2,2,9,21,16,2,0.6,0.6,-0.8,0.0,0.6,0.6,-0.6,-0.6,-0.6,0.07,1,2.0,0.27,0.0
Lazio,Lecce,2024-12-21,W,A,2,1,1,1,1,1,0,59,23,5,17.4,29.4,16,9,64.0,21,11,52.4,8,38.1,368,2064,1184,23,12,13,0,0.0,1,0,0,12,12,3,2,0,0,1,0,0,3,33.3,37.3,12,0.08,0.2,5,41.7,19.2,1,1,0,0,0,45,3,19.8,483,574,84.1,7,49,11,3,71,8528,2612,210,232,90.5,232,261,88.9,33,58,56.9,0,0,0,,0,0,,0,1,0,533,40,12,2,2,28,17,6,3,0,0,1,7,480,12,6,12,12,24,20,0,1,2,1,0,2,1,50.0,692,47,145,354,197,25,691,17,10,6,9,2,8,14,57.1,6,11,5,6,13,30,24,0,1.6,1.0,0.8,0.3,0.5,0.6,0.4,0.0,-0.5,0.09,1,0.1,0.04,-0.9
Como,Lecce,2024-12-30,W,H,2,0,2,2,0,1,1,56,15,3,26.7,29.7,13,13,50.0,12,4,33.3,7,58.3,382,2172,1180,23,13,17,0,0.0,3,0,0,12,15,3,2,0,0,1,0,0,5,40.0,32.4,14,0.14,0.33,6,42.9,18.5,1,5,1,0,0,50,1,9.7,450,537,83.8,10,26,7,2,45,7536,2456,207,223,92.8,187,215,87.0,33,54,61.1,0,0,0,,0,0,,0,0,0,486,46,13,0,4,16,23,4,0,1,0,5,6,447,13,9,22,11,27,19,3,0,3,2,0,1,1,100.0,657,48,172,319,170,22,656,11,8,7,4,0,6,12,50.0,6,14,3,11,8,19,21,0,2.0,1.2,1.6,0.8,0.9,0.4,0.0,0.8,0.1,0.09,1,0.1,0.07,0.1
Genoa,Lecce,2025-01-05,D,A,0,0,0,0,0,0,0,37,26,0,23.1,27.6,18,20,47.4,10,6,60.0,3,30.0,184,1070,534,12,7,18,0,0.0,1,0,0,15,11,0,0,0,0,0,0,0,9,55.6,41.9,4,0.0,0.0,1,25.0,12.1,0,1,0,0,0,42,0,5.0,251,348,72.1,2,11,2,1,13,4552,1727,104,130,80.0,115,140,82.1,26,56,46.4,0,0,0,,0,0,,0,0,0,303,44,12,1,1,14,18,4,4,0,0,1,11,250,7,3,14,14,5,3,0,1,1,0,0,3,3,100.0,478,93,239,185,59,16,478,20,7,12,8,0,13,23,56.5,10,15,3,12,9,29,44,2,1.1,1.1,0.5,0.5,1.1,0.5,-1.1,-1.1,-1.1,0.3,0,0.9,0.29,0.9
Empoli,Lecce,2025-01-11,L,H,1,3,-2,1,0,0,0,50,15,5,40.0,35.5,19,19,50.0,22,9,40.9,13,59.1,233,1088,467,15,4,4,0,0.0,0,0,0,11,19,2,2,0,0,0,0,0,6,50.0,33.8,15,0.07,0.2,5,33.3,17.3,1,2,0,0,0,53,1,26.0,287,441,65.1,10,26,8,5,25,4854,2030,117,156,75.0,127,165,77.0,25,74,33.8,0,0,0,,0,0,,0,0,0,363,76,23,1,3,25,34,9,5,0,0,2,15,285,4,3,26,12,29,20,3,2,1,1,2,6,3,50.0,592,40,122,294,182,33,592,26,17,4,13,9,15,18,83.3,3,17,3,14,13,39,16,3,1.4,1.4,0.0,0.0,1.2,1.3,-0.4,-0.4,-0.2,0.1,1,1.9,0.31,-1.1
Cagliari,Lecce,2025-01-19,W,H,4,1,3,4,0,0,0,50,25,6,24.0,30.5,17,22,43.6,16,10,62.5,5,31.3,342,1666,791,17,9,9,1,11.1,3,0,0,11,10,8,6,1,0,1,0,0,7,71.4,49.0,19,0.21,0.67,6,31.6,13.3,0,2,0,0,0,45,2,23.0,368,460,80.0,14,26,8,5,36,6403,2473,173,194,89.2,162,190,85.3,29,57,50.9,0,0,0,,0,0,,0,0,0,412,46,12,0,2,21,19,6,4,1,0,2,4,365,9,5,17,5,34,21,6,1,5,1,0,2,1,50.0,565,48,186,241,140,33,565,15,10,7,6,2,5,10,50.0,5,8,1,7,8,23,14,1,2.6,2.6,2.1,2.1,2.3,2.0,1.4,1.4,1.7,0.14,0,1.0,0.51,0.0
Inter,Lecce,2025-01-26,W,A,4,0,4,3,1,1,0,51,42,7,7.1,21.5,8,6,57.1,17,8,47.1,8,47.1,388,1859,868,15,14,24,1,4.2,2,0,0,12,13,7,4,0,1,0,1,1,9,0.0,15.9,8,0.38,0.75,4,50.0,16.0,0,4,1,0,0,36,1,16.8,430,495,86.9,5,16,8,1,31,7261,2372,206,217,94.9,187,208,89.9,31,51,60.8,0,0,0,,0,0,,0,0,0,451,40,13,1,3,5,17,0,0,0,0,4,4,428,14,3,14,12,16,11,0,1,1,1,2,4,4,100.0,596,94,261,259,81,20,595,10,3,5,3,2,2,7,28.6,5,11,5,6,6,16,21,0,2.1,1.3,1.2,0.5,0.7,1.1,1.9,1.7,2.3,0.17,0,1.2,0.31,1.2
Parma,Lecce,2025-01-31,L,H,1,3,-2,0,1,1,0,47,20,2,55.0,41.9,21,11,65.6,26,18,69.2,7,26.9,284,1504,696,14,10,8,1,12.5,1,0,0,8,13,1,0,0,0,1,0,0,4,25.0,32.5,18,0.0,0.0,6,33.3,21.1,1,1,0,0,0,40,0,12.0,359,451,79.6,10,43,7,2,44,6338,2582,164,185,88.6,152,189,80.4,33,56,58.9,0,0,0,,0,0,,0,0,0,403,47,16,1,2,21,20,3,0,2,0,1,7,357,10,5,13,7,32,17,2,5,5,3,0,3,0,0.0,545,35,114,285,153,30,544,10,6,4,4,2,3,9,33.3,6,10,1,9,11,21,9,0,1.9,1.1,1.2,0.5,0.7,0.6,-0.9,-1.1,-0.7,0.07,1,1.3,0.43,-1.7
Bologna,Lecce,2025-02-09,D,A,0,0,0,0,0,0,0,58,40,3,25.0,32.9,22,27,44.9,19,11,57.9,5,26.3,354,1801,876,19,8,13,1,7.7,2,0,0,16,12,0,0,0,0,0,0,0,4,50.0,48.8,8,0.0,0.0,2,25.0,14.8,0,2,0,0,0,35,0,13.3,384,503,76.3,7,23,4,2,19,6970,2010,150,180,83.3,185,218,84.9,38,76,50.0,0,0,0,,0,0,,0,0,0,459,42,13,1,3,20,19,5,1,4,0,2,8,378,8,2,16,4,14,8,3,2,0,0,1,1,1,100.0,607,54,186,323,102,15,607,12,6,6,6,0,9,14,64.3,5,8,2,6,12,24,29,1,0.8,0.8,0.4,0.4,0.8,0.5,-0.8,-0.8,-0.8,0.1,0,0.2,0.21,0.2
