Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Torino,Milan,2024-08-17,D,A,2,2,0,1,0,0,0,44,46,8,34.8,34.8,8,20,28.6,5,4,80.0,1,20.0,325,1825,980,12,11,30,1,3.3,4,0,0,7,10,2,2,0,0,0,0,0,12,58.3,55.4,7,0.14,0.33,3,42.9,16.3,0,1,0,0,0,21,0,9.4,378,443,85.3,7,11,2,0,17,6837,2166,168,179,93.9,158,174,90.8,46,77,59.7,0,0,0,,0,0,,0,0,0,400,42,12,1,2,10,13,2,2,0,0,1,2,376,11,3,7,7,14,13,1,0,0,0,0,5,3,60.0,524,108,271,194,63,8,524,8,3,5,2,1,3,11,27.3,8,12,11,1,2,10,30,1,1.0,1.0,-1.1,-1.1,1.0,0.8,0.0,0.0,0.0,0.14,0,0.8,0.17,-1.2
Parma,Milan,2024-08-24,W,H,2,1,1,2,0,0,0,39,25,3,56.0,44.4,9,3,75.0,24,10,41.7,11,45.8,265,1493,732,15,9,22,1,4.5,0,0,0,9,12,4,4,0,0,0,0,0,11,36.4,32.4,9,0.22,0.4,5,55.6,15.6,0,2,0,0,0,47,0,3.0,320,390,82.1,7,16,6,0,23,5701,2444,151,164,92.1,122,138,88.4,33,62,53.2,0,0,0,,0,0,,0,0,0,347,41,13,1,4,2,12,3,0,0,0,2,3,317,9,4,16,8,15,13,0,2,0,0,0,5,4,80.0,503,96,222,197,91,15,503,17,11,12,4,1,10,20,50.0,10,9,3,6,8,25,31,0,1.7,1.7,-0.2,-0.2,1.7,0.9,0.3,0.3,0.3,0.19,0,1.6,0.32,0.6
Lazio,Milan,2024-08-31,D,H,2,2,0,2,0,0,0,43,15,4,40.0,40.4,7,5,58.3,14,7,50.0,5,35.7,304,1417,674,13,6,8,0,0.0,4,0,0,12,9,4,4,0,0,0,0,0,5,0.0,10.6,7,0.29,0.5,4,57.1,9.3,0,5,0,0,0,34,1,12.7,341,412,82.8,7,26,5,2,33,6282,2043,145,156,92.9,160,181,88.4,33,60,55.0,0,0,0,,0,0,,0,1,0,363,44,9,3,4,24,22,5,3,2,0,5,5,340,6,4,17,8,14,14,0,0,0,0,0,4,2,50.0,497,41,154,244,102,15,497,15,8,6,5,4,8,14,57.1,6,7,2,5,9,24,12,1,2.1,2.1,0.8,0.8,2.1,1.5,-0.1,-0.1,-0.1,0.3,0,1.9,0.52,-0.1
Venezia,Milan,2024-09-14,L,A,0,4,-4,0,0,0,0,38,39,14,20.5,27.8,7,9,43.8,14,8,57.1,4,28.6,292,1555,815,12,13,9,0,0.0,3,1,1,12,10,0,0,0,0,0,0,0,3,66.7,48.3,6,0.0,0.0,1,16.7,24.7,0,2,0,2,0,36,1,11.3,310,376,82.4,4,13,4,1,20,5198,1745,148,160,92.5,139,157,88.5,18,45,40.0,2,2,0,0.0,2,0,0.0,0,1,0,341,33,12,1,7,10,12,1,1,0,0,2,4,307,13,1,17,12,10,6,0,3,0,0,1,8,4,75.0,459,79,212,184,69,10,459,16,12,6,8,2,8,13,61.5,5,7,2,5,5,21,17,0,0.3,0.3,-2.0,-0.4,0.1,0.3,-0.3,-0.3,-0.1,0.04,0,2.8,0.17,-1.2
Inter,Milan,2024-09-22,L,H,1,2,-1,1,0,0,0,57,23,3,21.7,28.3,13,10,56.5,6,3,50.0,3,50.0,390,1773,1020,14,12,6,0,0.0,4,0,0,13,4,2,1,0,1,0,0,0,5,0.0,19.6,13,0.08,0.25,4,30.8,17.7,0,2,0,0,0,30,0,13.4,482,558,86.4,11,34,14,8,47,8889,2459,189,208,90.9,248,268,92.5,42,68,61.8,0,0,0,,0,0,,0,0,0,513,43,4,1,5,24,25,6,4,1,0,2,7,479,12,1,5,7,23,18,0,3,1,0,1,8,6,75.0,654,61,167,335,153,26,654,11,7,5,5,1,6,15,40.0,9,9,3,6,7,18,18,0,0.7,0.7,-1.0,-1.0,0.7,0.8,0.3,0.3,0.3,0.06,0,2.4,0.3,0.4
Lecce,Milan,2024-09-27,L,A,0,3,-3,0,0,0,0,43,15,7,40.0,42.7,6,10,37.5,9,5,55.6,4,44.4,282,1751,1061,22,13,12,0,0.0,1,0,0,8,4,0,0,0,0,0,0,0,14,14.3,18.6,16,0.0,0.0,7,43.8,19.2,0,4,0,0,0,31,2,20.8,354,410,86.3,16,27,6,1,37,6430,2290,158,167,94.6,154,169,91.1,40,62,64.5,0,0,0,,0,0,,0,0,0,367,39,5,3,3,18,9,7,5,2,0,4,7,353,13,4,10,12,31,19,7,2,2,1,0,6,3,50.0,486,67,199,190,104,16,486,14,8,11,3,0,6,19,31.6,13,5,2,3,2,16,12,1,0.5,0.5,-1.1,-1.1,0.5,0.5,-0.5,-0.5,-0.5,0.03,0,1.8,0.31,-1.2
Fiorentina,Milan,2024-10-06,W,H,2,1,1,2,0,1,1,41,25,3,56.0,42.4,11,17,39.3,11,4,36.4,5,45.5,210,1280,512,11,10,22,1,4.5,2,0,0,11,21,4,1,2,0,0,1,0,9,66.7,50.9,11,0.18,1.0,2,18.2,20.6,1,4,1,2,0,35,0,4.0,258,339,76.1,7,19,4,1,20,4787,1810,111,125,88.8,120,145,82.8,24,54,44.4,2,0,2,100.0,0,2,100.0,0,0,0,284,51,19,1,2,14,21,0,0,0,0,4,9,258,10,4,4,5,24,15,3,3,0,3,0,8,5,87.5,438,80,177,176,92,15,437,16,7,8,6,2,8,18,44.4,10,9,3,6,8,24,29,0,1.5,0.7,-1.1,-0.3,0.5,0.3,0.5,1.3,1.5,0.06,1,3.0,0.16,2.0
Udinese,Milan,2024-10-19,L,A,0,1,-1,0,0,0,0,56,31,5,9.7,23.3,16,15,51.6,13,8,61.5,3,23.1,330,2021,1242,17,14,12,0,0.0,3,0,0,14,3,0,0,0,0,0,0,0,3,33.3,36.0,13,0.0,0.0,1,7.7,20.2,1,3,0,0,0,31,3,18.4,389,462,84.2,10,48,11,6,46,7807,2086,119,127,93.7,212,237,89.5,53,84,63.1,0,0,0,,0,0,,0,0,0,432,27,5,0,2,35,13,4,0,4,0,3,2,382,14,0,10,5,24,18,2,1,1,1,1,5,4,80.0,548,48,146,242,162,20,548,12,7,9,2,1,7,16,43.8,9,12,4,8,5,17,18,1,0.4,0.4,-0.7,-0.7,0.4,0.7,-0.4,-0.4,-0.4,0.03,1,1.3,0.35,0.3
Napoli,Milan,2024-10-29,W,A,2,0,2,2,0,0,0,39,16,3,31.3,38.4,12,8,60.0,17,5,29.4,10,58.8,213,1131,560,12,9,15,1,6.7,1,0,0,6,14,4,4,0,0,0,0,0,12,25.0,28.3,9,0.22,0.5,4,44.4,17.9,0,2,0,0,0,27,2,14.3,327,387,84.5,9,20,4,0,24,5923,2180,154,167,92.2,135,153,88.2,37,60,61.7,0,0,0,,0,0,,0,0,0,337,48,17,1,4,6,17,1,1,0,0,2,1,324,9,3,10,15,17,16,1,0,0,0,0,5,5,100.0,495,77,219,201,79,15,495,19,13,13,6,0,15,24,62.5,9,6,2,4,10,29,31,1,1.1,1.1,0.4,0.4,1.1,0.4,0.9,0.9,0.9,0.13,0,0.8,0.17,0.8
Monza,Milan,2024-11-02,L,H,0,1,-1,0,0,0,0,44,21,8,38.1,33.7,10,12,45.5,12,5,41.7,4,33.3,308,1475,761,9,12,15,0,0.0,2,0,0,18,13,0,0,0,0,0,0,0,7,42.9,32.0,12,0.0,0.0,2,16.7,19.8,2,2,0,0,0,36,0,,331,394,84.0,8,24,5,3,28,6271,2284,125,139,89.9,166,186,89.2,34,56,60.7,0,0,0,,0,0,,0,0,0,357,35,14,4,7,16,9,3,0,3,0,2,2,326,12,1,17,3,22,16,1,0,2,2,1,7,6,85.7,472,57,191,202,87,10,472,15,9,9,5,1,7,18,38.9,11,6,4,2,4,19,17,3,1.2,1.2,-1.3,-1.3,0.9,0.5,-1.2,-1.2,-0.9,0.1,2,2.1,0.3,1.1
