Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Empoli,Monza,2024-08-17,D,H,0,0,0,0,0,0,0,39,15,2,73.3,48.7,16,22,42.1,16,6,37.5,8,50.0,174,939,463,8,9,11,1,9.1,0,0,0,16,18,0,0,0,0,0,0,0,4,50.0,39.0,11,0.0,0.0,2,18.2,17.8,1,4,0,0,0,41,0,3.0,198,307,64.5,7,23,3,0,35,3341,1417,97,132,73.5,74,100,74.0,17,49,34.7,0,0,0,,0,0,,0,0,0,252,51,19,0,2,21,20,7,2,4,0,4,4,194,9,3,17,6,17,6,5,2,1,3,0,1,1,100.0,403,38,88,205,117,14,403,17,9,3,10,4,6,10,60.0,4,9,3,6,4,21,21,0,0.5,0.5,0.1,0.1,0.3,0.3,-0.5,-0.5,-0.3,0.04,1,0.1,0.14,0.1
Genoa,Monza,2024-08-24,W,A,1,0,1,1,0,0,0,31,27,2,33.3,34.5,14,24,36.8,10,3,30.0,7,70.0,178,1046,557,14,14,20,0,0.0,3,0,0,17,5,1,1,0,0,0,0,0,8,87.5,62.4,11,0.09,1.0,1,9.1,22.3,0,1,0,0,0,34,0,14.0,226,301,75.1,10,15,3,1,19,4318,1926,105,118,89.0,86,111,77.5,30,56,53.6,0,0,0,,0,0,,0,0,0,264,36,7,0,2,16,17,3,1,2,0,1,4,221,14,2,14,4,16,11,3,0,2,0,0,2,2,100.0,409,53,154,172,89,12,409,12,7,3,5,4,3,9,33.3,6,9,2,7,3,15,29,0,0.7,0.7,0.2,0.2,0.7,0.3,0.3,0.3,0.3,0.06,0,0.1,0.03,0.1
Fiorentina,Monza,2024-09-01,D,H,2,2,0,2,0,0,0,68,23,4,13.0,20.7,21,22,48.8,14,8,57.1,6,42.9,472,2418,1082,23,22,2,1,50.0,2,0,0,11,21,4,1,2,1,0,0,0,0,,,18,0.11,0.33,6,33.3,12.2,0,1,0,0,0,29,1,11.3,552,658,83.9,14,35,7,4,46,10011,2870,224,252,88.9,261,287,90.9,58,96,60.4,0,0,0,,0,0,,0,0,0,595,62,22,0,2,29,30,7,1,5,0,1,8,547,22,4,11,10,35,22,6,3,2,2,0,3,1,33.3,739,35,154,400,189,32,739,20,11,9,7,4,9,11,81.8,2,3,1,2,5,25,7,0,2.0,2.0,1.7,1.7,1.5,1.6,0.0,0.0,0.5,0.12,0,0.8,0.26,-1.2
Inter,Monza,2024-09-15,D,A,1,1,0,1,0,0,0,60,14,2,14.3,23.1,15,24,38.5,8,1,12.5,5,62.5,373,2470,1312,17,19,11,0,0.0,2,0,0,19,10,2,2,0,0,0,0,0,2,0.0,24.5,16,0.06,0.5,2,12.5,14.8,0,2,0,0,0,43,0,11.5,556,644,86.3,10,53,13,5,59,9329,2704,247,276,89.5,271,294,92.2,29,50,58.0,0,0,0,,0,0,,0,0,0,600,42,12,3,1,28,18,8,0,4,0,2,8,549,19,3,8,8,29,22,3,1,1,2,0,2,1,50.0,723,23,88,423,216,26,723,15,6,5,9,1,5,16,31.3,11,6,1,5,4,19,9,0,1.7,1.7,1.4,1.4,0.9,1.2,-0.7,-0.7,-0.9,0.1,0,0.6,0.31,-0.4
Bologna,Monza,2024-09-22,W,A,2,1,1,2,0,0,0,57,23,4,34.8,33.6,11,15,42.3,13,6,46.2,6,46.2,450,2146,1109,22,11,12,2,16.7,2,0,0,16,20,4,4,0,0,0,0,0,7,28.6,28.3,15,0.13,0.25,8,53.3,17.4,1,1,0,0,0,38,1,12.7,483,570,84.7,14,47,7,2,50,8212,2739,215,234,91.9,212,235,90.2,36,64,56.3,0,0,0,,0,0,,0,0,0,526,43,20,2,3,14,12,2,0,2,0,1,10,479,11,5,15,14,27,25,0,0,0,1,1,3,2,66.7,670,45,151,385,138,20,670,17,8,4,10,3,5,11,45.5,6,8,0,8,4,21,12,0,0.8,0.8,0.2,0.2,0.7,0.7,1.2,1.2,1.3,0.05,1,0.7,0.26,-0.3
Napoli,Monza,2024-09-29,W,H,2,0,2,2,0,0,0,49,10,2,30.0,31.3,7,7,50.0,12,4,33.3,8,66.7,347,1793,907,15,14,9,1,11.1,1,0,0,16,7,3,2,0,0,1,0,0,3,33.3,20.3,11,0.18,1.0,2,18.2,13.8,0,0,0,0,0,41,0,6.5,495,552,89.7,10,45,9,0,61,8658,2406,221,244,90.6,235,246,95.5,36,50,72.0,0,0,0,,0,0,,0,0,0,525,27,8,0,2,7,14,1,1,0,0,0,7,489,14,3,13,7,19,12,3,1,2,1,0,1,1,100.0,632,30,88,398,149,20,632,8,4,0,5,3,3,9,33.3,6,8,2,6,5,13,15,0,1.1,1.1,0.8,0.8,1.0,0.9,0.9,0.9,0.0,0.11,0,0.8,0.81,0.8
Roma,Monza,2024-10-06,D,A,1,1,0,1,0,0,0,65,34,5,29.4,33.8,9,23,28.1,14,7,50.0,6,42.9,408,2470,1343,25,17,9,1,11.1,1,0,0,13,16,2,0,0,2,0,0,0,2,0.0,17.0,15,0.07,0.25,4,26.7,18.6,0,1,0,0,0,35,1,13.0,544,640,85.0,13,36,11,2,57,9559,2414,210,233,90.1,289,320,90.3,33,62,53.2,0,0,0,,0,0,,0,0,0,598,41,17,1,1,22,17,3,2,1,0,1,10,540,17,3,9,11,28,24,0,3,1,0,0,3,2,66.7,749,49,170,383,202,21,749,21,11,6,10,5,3,5,60.0,2,7,0,7,5,26,20,0,1.1,1.1,0.0,0.0,0.7,0.8,-0.1,-0.1,-0.7,0.07,0,1.2,0.4,0.2
Hellas Verona,Monza,2024-10-21,L,H,0,3,-3,0,0,0,0,59,18,4,50.0,40.2,13,26,33.3,19,7,36.8,10,52.6,375,1820,857,19,19,12,3,25.0,3,0,0,8,13,0,0,0,0,0,0,0,6,100.0,58.0,16,0.0,0.0,4,25.0,17.1,0,1,0,0,0,36,0,6.5,425,531,80.0,14,33,8,3,48,7402,2104,189,213,88.7,184,207,88.9,40,81,49.4,0,0,0,,0,0,,0,0,0,480,50,14,1,3,30,17,9,2,6,0,1,16,418,19,4,20,6,31,22,4,1,0,4,0,4,1,25.0,638,38,135,316,193,20,638,18,14,6,6,6,7,11,63.6,4,9,2,7,6,24,12,1,0.9,0.9,-0.5,-0.5,0.8,0.7,-0.9,-0.9,-0.8,0.06,0,1.7,0.43,-1.3
Venezia,Monza,2024-10-27,D,A,2,2,0,2,0,0,0,54,29,3,34.5,34.9,23,21,52.3,21,7,33.3,10,47.6,281,1325,683,12,10,17,2,11.8,2,0,0,16,17,4,1,1,1,0,1,0,11,27.3,26.4,6,0.33,1.0,2,33.3,13.2,0,1,0,0,0,30,1,11.5,362,458,79.0,6,32,7,2,40,6443,2396,153,181,84.5,175,197,88.8,31,61,50.8,0,0,0,,0,0,,0,0,0,399,58,17,2,2,15,24,3,0,3,0,1,12,356,10,1,13,10,11,5,2,2,0,1,1,2,0,0.0,545,70,161,276,115,13,545,10,6,4,4,2,5,13,38.5,8,12,3,9,4,14,27,0,0.4,0.4,-0.7,-0.7,0.4,0.5,1.6,1.6,1.6,0.07,0,0.5,0.27,-1.5
Atalanta,Monza,2024-10-30,W,H,2,0,2,2,0,0,0,53,25,2,44.0,37.2,15,12,55.6,21,10,47.6,9,42.9,425,2030,948,29,21,5,0,0.0,2,0,0,14,11,4,4,0,0,0,0,0,3,66.7,53.7,16,0.13,0.4,5,31.3,19.1,2,0,0,0,0,50,2,15.8,473,566,83.6,13,65,13,0,73,8699,3136,192,215,89.3,226,260,86.9,47,75,62.7,0,0,0,,0,0,,0,0,0,524,42,12,0,2,19,21,5,2,2,0,0,7,472,21,8,18,11,29,19,4,2,2,2,0,3,3,100.0,671,38,138,299,241,30,671,17,11,4,12,1,8,14,57.1,6,8,0,8,6,23,13,0,1.2,1.2,1.1,1.1,0.8,0.9,0.8,0.8,1.2,0.08,2,0.1,0.04,0.1
