Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Hellas Verona,Napoli,2024-08-18,W,H,3,0,3,3,0,0,0,33,27,1,74.1,49.8,13,23,36.1,11,6,54.5,3,27.3,162,921,390,5,4,17,0,0.0,4,0,0,15,13,5,3,0,0,1,0,1,10,100.0,65.4,9,0.33,0.75,4,44.4,16.1,0,2,0,0,0,44,1,13.5,195,296,65.9,8,13,6,2,18,3478,1407,93,109,85.3,73,101,72.3,20,69,29.0,0,0,0,,0,0,,0,0,0,260,34,13,1,3,9,9,1,0,1,0,2,4,194,4,2,9,5,16,10,1,1,2,0,2,4,4,100.0,390,57,160,168,68,10,390,18,10,6,11,1,7,15,46.7,8,13,2,11,10,28,23,2,1.7,1.7,0.8,0.8,1.8,0.5,1.3,1.3,1.2,0.21,0,0.7,0.17,0.7
Bologna,Napoli,2024-08-25,L,A,0,3,-3,0,0,0,0,61,29,5,17.2,27.1,12,3,80.0,22,3,13.6,16,72.7,290,1654,936,15,6,10,2,20.0,2,0,0,17,10,0,0,0,0,0,0,0,4,25.0,36.3,8,0.0,0.0,2,25.0,21.0,0,1,0,0,0,43,2,11.7,483,580,83.3,6,57,3,2,47,9438,2914,161,188,85.6,264,299,88.3,56,81,69.1,0,0,0,,0,0,,0,0,0,533,46,12,3,4,17,21,5,3,2,0,1,9,480,6,4,11,6,15,12,0,1,1,0,1,5,2,40.0,680,48,149,383,152,12,680,19,16,8,8,3,10,20,50.0,10,17,7,10,10,29,7,0,0.6,0.6,-1.8,-1.8,0.6,0.4,-0.6,-0.6,-0.6,0.08,0,2.4,0.49,-0.6
Parma,Napoli,2024-08-31,L,A,1,2,-1,0,1,1,0,45,53,9,41.5,36.8,6,15,28.6,9,3,33.3,4,44.4,239,1424,920,19,11,22,3,13.6,4,1,1,6,12,2,1,0,0,0,1,0,10,50.0,35.5,12,0.0,0.0,1,8.3,22.7,1,0,1,0,0,25,1,9.7,353,430,82.1,10,15,7,1,22,6531,2108,143,158,90.5,169,190,88.9,36,70,51.4,0,0,0,,0,0,,0,1,0,385,45,13,1,4,8,15,4,0,1,1,0,8,351,11,5,16,10,26,24,0,0,0,2,0,7,5,71.4,569,124,262,216,94,20,568,19,9,18,1,0,7,13,53.8,6,24,12,12,8,27,40,0,1.7,1.0,-0.4,-1.2,0.9,0.9,-0.7,-1.0,-0.9,0.08,1,1.3,0.18,-0.7
Cagliari,Napoli,2024-09-15,L,H,0,4,-4,0,0,0,0,51,23,3,34.8,34.8,20,15,57.1,21,7,33.3,11,52.4,248,1475,708,7,8,9,1,11.1,1,0,0,22,9,0,0,0,0,0,0,0,7,14.3,21.0,19,0.0,0.0,5,26.3,15.0,1,2,0,0,0,55,1,12.0,363,470,77.2,12,27,6,2,37,6339,2413,173,199,86.9,149,183,81.4,35,69,50.7,0,0,0,,0,0,,0,1,0,425,43,14,1,1,32,10,7,0,7,0,2,8,358,8,1,11,13,32,20,5,1,4,2,0,5,1,20.0,581,61,189,280,116,22,581,19,10,9,8,2,11,17,64.7,6,13,5,8,5,24,20,2,1.0,1.0,-0.9,-0.9,0.8,0.9,-1.0,-1.0,-0.8,0.05,1,2.6,0.51,-1.4
Juventus,Napoli,2024-09-21,D,H,0,0,0,0,0,0,0,64,21,2,14.3,28.9,7,10,41.2,19,8,42.1,10,52.6,487,2862,1496,23,23,7,0,0.0,1,0,0,10,13,0,0,0,0,0,0,0,5,20.0,27.4,9,0.0,0.0,1,11.1,20.4,0,0,0,0,0,37,1,20.0,639,702,91.0,8,40,7,2,47,11149,2798,259,277,93.5,336,352,95.5,34,57,59.6,0,0,0,,0,0,,0,0,0,663,39,15,0,4,19,14,4,2,2,0,0,7,630,23,2,13,7,16,15,0,1,0,0,0,1,1,100.0,789,54,207,433,156,12,789,14,9,6,6,2,5,11,45.5,6,14,5,9,8,22,6,1,0.3,0.3,0.0,0.0,0.3,0.4,-0.3,-0.3,-0.3,0.03,0,0.1,0.06,0.1
Monza,Napoli,2024-09-29,L,A,0,2,-2,0,0,0,0,51,21,3,52.4,38.0,7,7,50.0,9,6,66.7,3,33.3,502,2558,1093,13,18,7,0,0.0,2,0,0,8,16,0,0,0,0,0,0,0,11,36.4,27.0,5,0.0,0.0,1,20.0,24.3,2,0,0,0,0,33,0,9.0,508,570,89.1,3,36,0,0,28,8991,2322,212,228,93.0,249,266,93.6,40,61,65.6,0,0,0,,0,0,,0,0,0,532,38,14,0,2,12,7,3,1,2,0,0,8,503,18,1,11,5,10,6,1,1,0,2,0,2,0,0.0,643,74,217,317,112,2,643,15,11,9,5,1,8,12,66.7,4,10,3,7,11,26,11,3,0.3,0.3,-0.8,-0.8,0.2,0.2,-0.3,-0.3,-0.2,0.06,2,0.6,0.28,-1.4
Como,Napoli,2024-10-04,L,A,1,3,-2,1,0,0,0,59,22,3,13.6,28.0,13,6,68.4,10,5,50.0,3,30.0,480,2180,1089,13,16,7,0,0.0,1,0,0,10,7,2,2,0,0,0,0,0,0,,,11,0.09,0.5,2,18.2,24.3,0,0,0,1,0,44,3,15.2,589,656,89.8,10,47,4,0,42,9592,2693,296,317,93.4,232,252,92.1,46,58,79.3,1,1,0,0.0,1,0,0.0,0,0,0,628,28,9,1,4,7,14,1,0,0,0,0,6,585,16,5,13,9,22,21,0,1,0,0,0,6,3,66.7,751,47,188,388,181,13,751,17,10,11,5,1,8,18,44.4,10,11,3,8,10,27,16,0,0.4,0.4,-1.5,-0.8,0.3,0.5,0.6,0.6,0.7,0.03,0,2.6,0.28,-0.4
Empoli,Napoli,2024-10-20,L,H,0,1,-1,0,0,0,0,50,30,2,36.7,34.8,6,7,46.2,19,8,42.1,9,47.4,290,1574,829,21,12,7,1,14.3,2,0,0,14,13,0,0,0,0,0,0,0,4,25.0,26.0,11,0.0,0.0,4,36.4,21.0,1,1,0,1,0,44,2,14.7,353,437,80.8,9,28,7,0,39,6532,2152,139,159,87.4,176,198,88.9,36,64,56.3,1,1,0,0.0,1,0,0.0,0,0,0,389,47,12,1,3,19,22,7,1,3,0,1,13,349,12,5,12,9,21,15,2,0,1,2,1,1,0,100.0,537,52,188,233,126,20,537,20,13,10,9,1,10,18,55.6,8,10,3,7,10,30,10,0,0.7,0.7,-0.6,0.1,0.6,0.5,-0.7,-0.7,-0.6,0.06,1,0.8,0.0,-0.2
Lecce,Napoli,2024-10-26,L,A,0,1,-1,0,0,0,0,36,25,3,80.0,50.6,19,30,38.8,12,6,50.0,6,50.0,198,1109,523,14,6,24,2,8.3,2,0,0,7,13,0,0,0,0,0,0,0,10,80.0,51.3,11,0.0,0.0,1,9.1,22.2,1,0,0,0,0,25,0,7.0,217,302,71.9,9,19,3,1,14,4007,1413,91,109,83.5,85,103,82.5,30,68,44.1,0,0,0,,0,0,,0,1,0,255,47,13,1,2,10,17,5,2,2,0,0,5,215,6,1,7,5,18,9,2,2,3,1,1,8,7,87.5,429,83,180,178,76,11,429,19,12,13,6,0,13,21,61.9,8,13,9,4,10,29,32,0,0.7,0.7,-2.0,-2.0,0.3,0.4,-0.7,-0.7,-0.3,0.06,1,1.7,0.25,0.7
Milan,Napoli,2024-10-29,L,H,0,2,-2,0,0,0,0,61,39,4,5.1,23.2,8,12,40.0,24,9,37.5,15,62.5,405,2779,1495,30,21,6,0,0.0,0,0,0,14,6,0,0,0,0,0,0,0,5,0.0,20.0,13,0.0,0.0,5,38.5,19.6,0,3,0,0,0,38,1,11.3,527,603,87.4,11,52,6,4,47,9703,2280,204,224,91.1,269,299,90.0,46,61,75.4,0,0,0,,0,0,,0,0,0,562,38,8,3,7,19,17,5,3,0,0,3,5,518,21,12,9,4,25,23,0,1,0,1,0,4,2,50.0,697,38,145,365,195,27,697,25,17,10,11,4,10,15,66.7,5,1,0,1,6,31,8,0,0.7,0.7,-0.4,-0.4,0.6,1.2,-0.7,-0.7,-0.6,0.05,0,1.4,0.35,-0.6
