Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Fiorentina,Parma,2024-08-17,D,A,1,1,0,1,0,0,0,61,21,6,23.8,27.6,11,8,57.9,19,9,47.4,7,36.8,313,2131,1252,20,15,10,0,0.0,2,1,1,9,11,1,1,0,0,0,0,0,7,28.6,26.4,15,0.07,0.14,7,46.7,21.8,1,5,0,0,0,43,2,21.3,373,462,80.7,8,29,3,1,39,6747,1831,159,175,90.9,175,201,87.1,32,67,47.8,0,0,0,,0,0,,0,0,0,409,48,15,0,9,20,15,9,3,4,0,5,5,372,15,4,9,9,25,20,0,3,2,0,0,6,5,83.3,560,65,168,263,132,16,560,7,5,5,1,1,2,8,25.0,6,8,4,4,5,12,25,0,0.7,0.7,-1.0,-1.0,0.3,0.3,0.3,0.3,-0.3,0.05,1,1.5,0.26,0.5
Milan,Parma,2024-08-24,L,A,1,2,-1,1,0,0,0,61,38,6,10.5,24.9,3,9,25.0,21,10,47.6,10,47.6,467,2866,1823,41,28,1,0,0.0,3,0,0,13,9,2,1,0,1,0,0,0,4,0.0,20.5,17,0.06,0.2,5,29.4,18.6,0,0,0,0,0,44,5,22.5,512,598,85.6,15,47,12,4,62,8794,2818,219,243,90.1,264,297,88.9,26,48,54.2,0,0,0,,0,0,,0,0,0,557,41,11,0,2,27,14,9,5,1,0,0,8,510,28,9,10,7,32,25,3,3,1,0,0,5,3,60.0,686,36,156,331,211,37,686,19,14,12,6,1,11,21,52.4,10,3,1,2,11,30,7,0,1.9,1.9,0.2,0.2,1.9,1.4,-0.9,-0.9,-0.9,0.12,0,1.4,0.28,-0.6
Napoli,Parma,2024-08-31,W,H,2,1,1,2,0,0,0,55,8,1,12.5,25.1,15,6,71.4,18,6,33.3,7,38.9,414,2437,1334,31,21,5,0,0.0,2,0,0,12,6,4,4,0,0,0,0,0,7,28.6,37.3,29,0.07,0.29,7,24.1,17.5,1,4,0,1,0,43,0,16.0,427,520,82.1,22,60,18,5,78,7148,2483,203,226,89.8,170,198,85.9,40,56,71.4,1,1,0,0.0,1,0,0.0,0,0,0,473,43,5,5,5,32,23,6,5,0,0,4,16,424,21,13,10,12,55,51,2,0,0,2,0,2,1,100.0,632,36,100,218,323,54,632,14,8,6,6,2,4,7,57.1,3,13,5,8,5,19,11,1,2.2,2.2,0.4,1.2,1.8,2.0,-0.2,-0.2,0.2,0.08,1,1.1,0.25,0.1
Udinese,Parma,2024-09-16,W,A,3,2,1,3,0,0,0,53,31,2,16.1,26.4,12,7,63.2,12,6,50.0,4,33.3,289,1685,952,21,18,3,0,0.0,3,0,0,18,7,4,2,0,0,2,0,0,7,28.6,27.3,18,0.17,0.5,6,33.3,15.1,0,4,0,0,0,39,0,10.5,419,500,83.8,14,35,12,8,37,8116,2657,147,158,93.0,191,215,88.8,66,95,69.5,0,0,0,,0,0,,0,1,0,454,42,10,1,2,25,16,6,3,0,0,4,5,415,18,5,18,4,34,29,1,0,3,0,1,3,1,33.3,595,59,198,261,141,26,595,14,9,7,5,2,5,12,41.7,7,3,1,2,15,29,12,0,2.5,2.5,1.7,1.7,2.3,1.2,0.5,0.5,-0.3,0.15,0,1.1,0.37,-0.9
Lecce,Parma,2024-09-21,D,H,2,2,0,2,0,0,0,39,18,4,55.6,40.8,14,5,73.7,14,3,21.4,11,78.6,255,1495,815,17,8,12,2,16.7,4,1,0,12,10,4,3,0,0,0,1,0,3,100.0,65.0,14,0.14,0.67,3,21.4,20.8,1,4,0,0,0,46,0,4.5,275,360,76.4,12,30,3,0,35,5239,2102,107,125,85.6,134,155,86.5,34,63,54.0,0,0,0,,0,0,,0,1,0,320,36,11,1,1,12,17,2,0,2,0,4,9,273,8,8,8,7,26,22,0,0,1,1,2,10,8,80.0,483,74,201,178,116,14,483,23,12,17,5,1,11,22,50.0,11,25,12,13,11,34,22,0,1.5,1.5,-0.5,-0.5,1.4,0.5,0.5,0.5,-0.4,0.11,1,2.3,0.23,0.3
Cagliari,Parma,2024-09-30,W,A,3,2,1,3,0,0,0,40,25,5,32.0,33.4,8,12,40.0,15,8,53.3,7,46.7,253,1458,756,17,11,10,0,0.0,2,0,0,16,10,6,6,0,0,0,0,0,9,77.8,52.4,12,0.25,0.75,4,33.3,16.8,0,4,0,1,0,42,0,10.8,291,392,74.2,8,14,8,2,33,5400,2272,117,136,86.0,147,181,81.2,27,62,43.5,1,1,0,0.0,1,0,0.0,0,0,0,344,44,11,3,0,14,18,3,1,2,0,4,7,290,11,3,16,3,21,17,1,2,1,0,0,4,2,75.0,483,68,174,245,74,15,483,13,5,10,3,0,4,7,57.1,3,9,3,6,11,24,19,0,2.4,2.4,0.0,0.8,1.8,1.0,0.6,0.6,1.2,0.2,0,2.4,0.38,0.4
Bologna,Parma,2024-10-06,D,H,0,0,0,0,0,0,0,71,25,4,12.0,25.2,16,15,51.6,15,6,40.0,6,40.0,431,2478,1357,29,20,7,1,14.3,1,0,0,15,16,0,0,0,0,0,0,0,5,20.0,29.4,19,0.0,0.0,3,15.8,17.4,0,3,0,0,0,46,0,8.0,521,626,83.2,17,45,12,4,68,10005,3004,194,224,86.6,277,301,92.0,50,84,59.5,0,0,0,,0,0,,0,0,0,571,52,16,0,4,32,17,13,0,7,0,3,18,515,20,8,18,7,36,27,5,3,0,0,1,2,2,100.0,730,54,184,313,237,29,730,18,8,13,3,2,9,15,60.0,6,14,6,8,4,22,9,1,0.8,0.8,0.0,0.0,0.6,0.9,-0.8,-0.8,-0.6,0.04,0,0.2,0.12,0.2
Como,Parma,2024-10-19,D,H,1,1,0,1,0,0,0,61,26,6,15.4,24.8,6,4,60.0,9,4,44.4,5,55.6,524,2709,1462,36,13,10,0,0.0,1,0,0,14,9,2,2,0,0,0,0,0,11,0.0,18.2,12,0.08,0.33,3,25.0,16.0,0,7,0,0,0,51,1,16.5,535,633,84.5,10,47,12,3,54,8628,3160,265,284,93.3,221,248,89.1,36,58,62.1,0,0,0,,0,0,,0,0,0,579,47,12,1,1,20,15,7,1,1,0,7,15,533,13,11,15,4,19,16,2,0,1,0,0,3,2,66.7,727,78,248,325,165,26,727,18,11,14,3,1,9,18,50.0,9,6,0,6,10,28,17,0,1.3,1.3,0.8,0.8,1.1,0.9,-0.3,-0.3,-0.1,0.11,0,1.0,0.34,0.0
Empoli,Parma,2024-10-27,D,A,1,1,0,0,0,0,0,40,21,3,52.4,45.4,3,14,17.6,11,6,54.5,4,36.4,261,1362,674,15,7,16,1,6.3,4,0,0,17,12,0,0,0,0,0,0,0,12,41.7,36.8,5,0.0,0.0,1,20.0,18.3,0,2,0,1,0,39,0,7.0,295,381,77.4,4,14,2,0,23,5408,2137,115,136,84.6,150,170,88.2,26,63,41.3,1,0,0,,0,0,,0,0,0,335,44,13,1,2,12,14,3,1,1,0,2,8,292,7,8,13,11,9,5,1,2,0,1,0,4,3,75.0,486,69,211,207,77,12,486,15,10,9,5,1,7,13,53.8,6,9,5,4,8,23,30,0,0.2,0.2,-1.5,-0.7,0.1,0.2,-0.2,-0.2,-0.1,0.04,0,1.0,0.24,0.0
Juventus,Parma,2024-10-30,D,H,2,2,0,2,0,0,0,61,22,6,9.1,19.9,11,11,50.0,18,15,83.3,3,16.7,514,3491,2046,41,19,8,0,0.0,2,0,0,7,5,4,3,1,0,0,0,0,7,0.0,18.1,24,0.08,0.5,4,16.7,16.0,0,3,0,0,0,46,2,17.7,566,645,87.8,17,65,14,5,71,10018,3004,220,248,88.7,307,328,93.6,36,57,63.2,0,0,0,,0,0,,0,1,0,599,43,7,4,2,24,16,10,4,4,0,3,5,564,19,14,12,8,46,35,3,4,2,0,2,5,3,60.0,742,57,160,385,204,37,742,17,11,6,11,0,10,16,62.5,6,7,4,3,7,24,11,1,2.4,2.4,1.2,1.2,1.5,1.8,-0.4,-0.4,0.5,0.11,0,0.8,0.16,-1.2
