Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Cagliari,Roma,2024-08-18,D,H,0,0,0,0,0,0,0,43,21,4,28.6,30.3,11,10,52.4,13,8,61.5,3,23.1,272,1515,756,15,14,17,2,11.8,2,0,0,15,7,0,0,0,0,0,0,0,5,60.0,41.2,13,0.0,0.0,2,15.4,18.1,0,3,0,0,0,41,0,4.7,281,380,73.9,8,20,2,0,27,5668,2200,91,102,89.2,142,176,80.7,42,80,52.5,0,0,0,,0,0,,0,0,0,333,44,9,2,1,16,24,5,0,5,0,3,5,279,14,3,16,6,20,15,1,0,2,1,1,3,3,100.0,498,64,210,201,97,13,498,13,6,6,7,0,8,13,61.5,5,8,5,3,15,28,27,0,1.0,1.0,0.0,0.0,0.7,0.4,-1.0,-1.0,-0.7,0.08,0,0.5,0.16,0.5
Empoli,Roma,2024-08-25,W,A,2,1,1,1,1,1,0,27,25,4,76.0,53.4,14,18,43.8,9,4,44.4,3,33.3,178,1156,690,14,9,26,2,7.7,3,0,0,11,10,2,0,0,0,1,1,0,12,25.0,27.6,13,0.08,0.33,3,23.1,13.6,0,0,1,0,0,32,0,5.2,187,251,74.5,12,11,5,3,17,3472,1397,87,105,82.9,67,80,83.8,31,58,53.4,0,0,0,,0,0,,0,0,0,215,36,9,1,3,9,8,5,1,2,0,0,4,186,9,7,12,9,22,16,1,1,3,1,0,7,6,85.7,379,87,189,129,69,19,378,21,12,12,9,0,11,16,68.8,5,20,10,10,6,27,37,0,2.7,1.9,0.5,-0.2,1.4,0.8,-0.7,-0.9,-0.4,0.17,0,1.5,0.23,0.5
Juventus,Roma,2024-09-01,D,H,0,0,0,0,0,0,0,49,17,4,41.2,29.8,6,10,37.5,14,7,50.0,7,50.0,327,1959,1070,19,14,14,2,14.3,2,0,0,11,11,0,0,0,0,0,0,0,5,20.0,26.8,8,0.0,0.0,1,12.5,16.5,1,3,0,0,0,39,1,16.0,444,511,86.9,5,31,7,3,33,7729,2229,186,194,95.9,220,248,88.7,30,49,61.2,0,0,0,,0,0,,0,0,0,474,34,11,0,1,18,11,6,1,5,0,3,5,441,14,5,18,7,13,9,1,0,2,1,0,1,1,100.0,604,51,179,301,128,18,604,12,7,8,3,1,9,12,75.0,3,11,4,7,6,18,21,0,0.5,0.5,0.2,0.2,0.3,0.4,-0.5,-0.5,-0.3,0.06,1,0.2,0.21,0.2
Genoa,Roma,2024-09-15,D,H,1,1,0,1,0,0,0,48,20,4,10.0,25.2,16,12,57.1,10,4,40.0,4,40.0,312,1604,890,17,8,10,0,0.0,1,0,0,9,12,2,2,0,0,0,0,0,10,40.0,35.5,20,0.05,0.14,7,35.0,16.9,2,1,0,0,0,43,2,22.0,346,435,79.5,14,34,12,7,38,5966,2069,151,167,90.4,147,171,86.0,32,66,48.5,0,0,0,,0,0,,0,0,0,391,43,11,0,2,32,16,4,1,2,0,1,10,343,8,2,10,15,33,24,4,0,2,3,0,5,4,80.0,556,53,161,239,159,26,556,25,15,9,11,5,11,20,55.0,9,10,3,7,10,35,13,0,1.2,1.2,-1.0,-1.0,0.9,1.1,-0.2,-0.2,0.1,0.06,2,1.5,0.32,0.5
Udinese,Roma,2024-09-22,L,A,0,3,-3,0,0,0,0,38,41,5,31.7,29.2,15,8,65.2,4,1,25.0,3,75.0,253,1442,620,12,10,10,0,0.0,2,0,0,11,15,0,0,0,0,0,0,0,8,25.0,25.9,9,0.0,0.0,2,22.2,17.6,0,1,0,1,0,37,1,21.0,295,372,79.3,6,12,5,1,24,5225,2126,139,162,85.8,119,137,86.9,31,57,54.4,1,1,0,0.0,1,0,0.0,0,0,0,328,43,19,0,1,6,11,1,0,1,0,1,4,292,10,4,17,7,18,17,1,0,0,0,0,8,5,75.0,455,94,229,162,72,21,455,13,11,9,3,1,8,13,61.5,5,7,4,3,11,24,17,1,0.7,0.7,-1.2,-0.4,0.4,0.5,-0.7,-0.7,-0.4,0.08,0,2.6,0.21,-0.4
Venezia,Roma,2024-09-29,L,A,1,2,-1,1,0,0,0,31,25,3,44.0,39.1,10,13,43.5,8,2,25.0,6,75.0,215,1254,713,12,10,21,1,4.8,2,0,0,13,7,1,0,0,0,1,0,0,12,25.0,29.2,18,0.06,0.17,6,33.3,17.5,1,1,0,0,0,35,1,9.3,198,283,70.0,9,12,2,1,13,3740,1664,80,95,84.2,90,118,76.3,26,54,48.1,0,0,0,,0,0,,0,1,0,243,39,9,0,0,16,12,3,2,0,0,1,7,194,10,4,14,6,29,19,2,0,5,3,0,5,3,60.0,411,86,198,138,81,19,411,18,9,13,4,1,10,17,58.8,7,17,7,10,4,22,35,0,1.7,1.7,0.0,0.0,0.8,0.4,-0.7,-0.7,-0.8,0.1,1,1.0,0.2,-1.0
Monza,Roma,2024-10-06,D,H,1,1,0,1,0,0,0,35,23,1,69.6,45.4,23,9,71.9,5,2,40.0,3,60.0,176,809,284,5,6,16,0,0.0,3,0,0,16,13,2,2,0,0,0,0,0,12,58.3,43.9,3,0.33,0.33,3,100.0,16.1,0,1,0,0,0,31,2,33.0,254,343,74.1,0,17,5,2,22,5319,2279,89,110,80.9,120,150,80.0,41,66,62.1,0,0,0,,0,0,,0,0,0,297,45,13,0,0,14,17,1,0,1,0,1,8,250,6,1,12,18,4,4,0,0,0,0,0,4,3,75.0,446,72,205,175,72,9,446,17,5,9,6,2,6,13,46.2,7,13,4,9,11,28,24,0,1.1,1.1,0.0,0.0,0.0,0.2,-0.1,-0.1,0.0,0.37,0,1.1,0.27,0.1
Inter,Roma,2024-10-20,W,A,1,0,1,1,0,0,0,45,46,3,34.8,33.5,15,10,60.0,8,1,12.5,6,75.0,273,1645,848,17,13,13,1,7.7,3,0,0,13,12,0,0,0,0,0,0,0,8,25.0,25.3,11,0.09,0.17,6,54.5,19.2,0,1,0,0,0,42,0,3.5,350,426,82.2,9,21,7,1,31,6797,2704,122,138,88.4,172,197,87.3,46,71,64.8,0,0,0,,0,0,,0,0,0,389,36,12,3,3,10,12,3,0,2,0,1,4,346,13,4,18,8,17,15,1,0,1,0,0,3,3,100.0,523,81,226,209,93,15,523,14,10,6,6,2,4,6,66.7,2,7,5,2,8,22,15,0,1.0,1.0,0.0,0.0,0.7,0.5,0.0,0.0,-0.7,0.09,0,0.7,0.23,0.7
Fiorentina,Roma,2024-10-27,W,H,5,1,4,3,1,1,0,39,26,5,38.5,36.8,6,5,54.5,20,12,60.0,6,30.0,272,1901,1061,27,20,16,0,0.0,2,0,0,13,11,7,5,0,1,0,1,0,3,33.3,40.7,20,0.15,0.33,9,45.0,16.2,0,2,1,0,0,39,1,13.0,319,370,86.2,16,23,5,2,26,5860,2185,142,153,92.8,135,154,87.7,39,56,69.6,0,0,0,,0,0,,0,0,0,340,28,12,1,2,14,5,6,2,3,0,2,3,309,20,10,11,2,34,24,2,4,2,2,0,5,4,80.0,465,57,167,191,120,28,464,18,9,9,6,3,5,10,50.0,5,11,7,4,4,22,22,1,3.7,2.9,2.9,2.1,2.8,1.3,0.3,0.1,0.2,0.15,0,0.7,0.14,-0.3
Torino,Roma,2024-10-31,L,A,0,1,-1,0,0,0,0,43,48,6,31.3,33.5,18,13,58.1,14,3,21.4,9,64.3,363,1460,694,7,7,11,0,0.0,2,0,0,15,11,0,0,0,0,0,0,0,6,16.7,32.0,4,0.0,0.0,2,50.0,17.1,0,0,0,0,0,28,3,24.8,373,468,79.7,2,19,2,0,20,6839,2141,151,179,84.4,179,202,88.6,37,69,53.6,0,0,0,,0,0,,0,0,0,421,47,13,1,0,14,21,5,2,2,0,0,10,369,7,3,13,4,6,4,1,0,1,0,0,3,2,66.7,558,64,227,249,84,11,558,9,7,4,3,2,5,8,62.5,3,13,5,8,8,17,18,2,0.2,0.2,-0.4,-0.4,0.1,0.5,-0.2,-0.2,-0.1,0.05,0,0.7,0.25,-0.3
