Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Milan,Torino,2024-08-17,D,H,2,2,0,2,0,0,0,56,28,8,10.7,24.4,20,8,71.4,12,8,66.7,3,25.0,399,2155,1269,31,21,7,1,14.3,2,0,0,10,7,3,2,0,0,1,0,0,2,50.0,41.0,26,0.08,0.4,5,19.2,18.5,0,2,0,0,1,37,4,22.0,485,554,87.5,19,41,14,6,72,8414,2684,225,239,94.1,202,232,87.1,49,68,72.1,0,0,0,,0,0,,0,0,1,518,34,8,1,5,39,12,9,4,1,0,2,3,484,21,11,9,5,46,30,6,3,6,1,0,3,2,33.3,636,33,127,258,253,38,636,8,6,4,3,1,1,5,20.0,4,3,1,2,4,12,9,0,2.1,2.1,1.1,1.1,1.3,1.3,-0.1,-0.1,-0.3,0.08,0,1.3,0.44,0.3
Atalanta,Torino,2024-08-25,L,A,1,2,-1,1,0,1,1,58,24,4,12.5,29.8,17,9,65.4,6,2,33.3,4,66.7,342,1841,959,16,18,9,0,0.0,4,0,0,14,11,2,2,0,0,0,0,0,8,12.5,22.9,24,0.04,0.13,8,33.3,16.0,1,0,1,0,0,35,0,12.7,427,509,83.9,18,39,18,6,52,7637,2551,183,203,90.1,198,231,85.7,42,64,65.6,0,0,0,,0,0,,0,0,0,464,45,10,0,5,26,18,6,1,2,0,0,3,424,18,7,11,9,43,32,1,2,4,2,2,6,4,66.7,596,56,164,225,210,40,595,8,5,3,4,1,5,8,62.5,3,10,3,7,6,14,9,1,3.0,2.2,0.7,-0.1,1.8,1.2,-2.0,-1.2,-0.8,0.1,1,2.0,0.4,0.0
Venezia,Torino,2024-08-30,L,H,0,1,-1,0,0,0,0,42,31,6,32.3,33.1,22,18,55.0,15,8,53.3,7,46.7,257,1564,821,17,13,18,3,16.7,2,0,0,7,13,0,0,0,0,0,0,0,6,0.0,14.7,13,0.0,0.0,4,30.8,19.0,1,3,0,0,0,40,0,7.6,314,403,77.9,10,16,8,3,25,5233,2162,152,176,86.4,121,145,83.4,29,55,52.7,0,0,0,,0,0,,0,1,0,358,42,16,5,2,13,15,3,1,0,0,3,7,310,13,2,11,10,23,17,4,0,0,1,1,5,4,80.0,498,67,204,200,107,22,498,17,9,8,7,2,6,8,75.0,2,8,3,5,12,29,14,2,0.8,0.8,-0.2,-0.2,0.8,0.6,-0.8,-0.8,-0.8,0.06,1,1.6,0.31,0.6
Lecce,Torino,2024-09-15,D,A,0,0,0,0,0,0,0,47,27,4,66.7,43.1,15,20,42.9,15,9,60.0,4,26.7,303,1499,623,9,11,14,0,0.0,3,0,0,13,13,0,0,0,0,0,0,0,9,11.1,17.6,20,0.0,0.0,6,30.0,18.9,0,0,0,0,0,39,0,7.0,342,441,77.6,14,23,9,4,28,6146,2566,149,164,90.9,132,160,82.5,45,92,48.9,0,0,0,,0,0,,0,0,0,392,49,14,0,0,22,18,7,5,2,0,0,7,337,11,2,14,4,32,23,2,3,1,1,2,0,0,,532,63,182,233,127,20,532,7,3,2,5,0,1,3,33.3,2,7,1,6,8,15,21,0,1.6,1.6,1.2,1.2,1.4,0.9,-1.6,-1.6,-1.4,0.08,0,0.0,,0.0
Hellas Verona,Torino,2024-09-20,L,H,2,3,-1,2,0,0,0,30,22,2,45.5,37.0,17,25,40.5,14,6,42.9,6,42.9,226,1109,588,15,6,17,2,11.8,3,1,0,10,6,4,2,1,0,0,0,1,9,100.0,63.0,8,0.25,1.0,2,25.0,19.7,0,0,0,1,0,35,0,6.2,240,338,71.0,7,14,1,0,23,4205,1474,109,135,80.7,102,116,87.9,21,69,30.4,1,0,0,,0,0,,0,0,0,301,37,10,0,1,15,9,5,1,3,0,0,3,239,6,4,5,8,14,10,2,1,0,0,1,3,0,0.0,419,56,176,188,58,10,419,13,8,8,4,1,6,9,66.7,3,14,7,7,12,25,17,1,0.5,0.5,-1.7,-1.0,0.5,0.3,1.5,1.5,1.5,0.06,0,1.3,0.44,-1.7
Lazio,Torino,2024-09-29,W,A,3,2,1,3,0,0,0,43,26,4,61.5,45.0,10,18,35.7,28,15,53.6,11,39.3,309,1653,744,16,12,18,1,5.6,3,0,0,13,9,6,4,0,2,0,0,0,4,50.0,41.0,13,0.23,0.43,7,53.8,15.6,0,1,0,0,0,40,0,8.0,308,403,76.4,11,19,5,3,30,5345,1694,138,158,87.3,127,149,85.2,31,68,45.6,0,0,0,,0,0,,0,0,0,357,45,10,5,4,14,27,1,1,0,0,1,11,306,12,5,13,10,23,15,2,2,3,1,0,7,5,71.4,514,59,163,246,112,22,514,15,11,3,12,0,6,11,54.5,5,4,1,3,10,25,26,0,2.0,2.0,1.4,1.4,1.6,0.9,1.0,1.0,1.4,0.16,0,1.7,0.24,-0.3
Inter,Torino,2024-10-05,W,H,3,2,1,3,0,0,0,80,25,4,12.0,25.6,13,15,46.4,10,5,50.0,5,50.0,634,2971,1544,28,41,3,0,0.0,1,0,0,6,9,5,4,0,0,1,0,0,1,0.0,26.0,29,0.1,0.38,8,27.6,18.7,0,2,0,1,0,40,1,17.5,717,804,89.2,21,72,15,6,72,12497,3294,315,338,93.2,338,366,92.3,54,77,70.1,1,1,0,0.0,1,0,0.0,0,0,0,757,45,10,1,7,44,17,14,1,10,0,2,10,713,41,3,14,3,54,45,4,1,3,0,1,5,3,80.0,907,32,138,386,388,46,907,15,5,2,4,9,8,11,72.7,3,3,1,2,8,23,9,2,2.4,2.4,0.8,1.6,1.2,1.3,0.6,0.6,0.8,0.09,0,1.9,0.25,-0.1
Cagliari,Torino,2024-10-20,W,H,3,2,1,2,0,0,0,41,18,2,38.9,35.6,15,11,57.7,9,3,33.3,6,66.7,233,1108,532,9,8,23,0,0.0,1,0,0,9,8,3,1,0,0,1,1,0,6,33.3,33.2,17,0.12,0.5,4,23.5,14.2,2,0,0,0,0,41,1,11.7,304,368,82.6,11,24,11,4,25,5988,2576,122,134,91.0,145,166,87.3,35,62,56.5,0,0,0,,0,0,,0,1,0,333,35,8,0,0,22,9,9,2,4,0,0,5,302,8,0,21,5,29,17,4,2,4,2,0,5,3,60.0,496,84,222,174,105,23,496,13,7,5,7,1,4,9,44.4,5,6,4,2,8,21,36,0,1.6,1.6,0.2,0.2,1.3,0.9,0.4,0.4,-0.3,0.1,2,1.7,0.34,-0.3
Como,Torino,2024-10-25,L,A,0,1,-1,0,0,0,0,68,21,3,14.3,29.1,20,9,69.0,16,8,50.0,7,43.8,451,1993,985,15,10,15,1,6.7,3,0,0,12,13,0,0,0,0,0,0,0,5,40.0,28.0,20,0.0,0.0,6,30.0,18.3,0,1,0,0,0,41,3,15.4,575,671,85.7,12,45,10,1,48,9559,3140,270,286,94.4,235,268,87.7,46,73,63.0,0,0,0,,0,0,,0,0,0,622,48,16,2,2,19,22,3,2,0,0,1,11,571,10,4,16,9,34,26,2,1,5,0,0,2,1,50.0,780,45,201,424,160,27,780,18,10,5,11,2,8,14,57.1,6,7,3,4,6,24,19,1,1.4,1.4,0.1,0.1,1.1,0.6,-1.4,-1.4,-1.1,0.07,0,1.1,0.53,0.1
Roma,Torino,2024-10-31,W,H,1,0,1,1,0,0,0,57,20,5,30.0,34.4,13,18,41.9,10,3,30.0,5,50.0,520,2264,993,21,22,11,1,9.1,2,0,0,11,13,0,0,0,0,0,0,0,3,100.0,63.3,9,0.11,0.33,3,33.3,19.9,0,2,0,0,0,36,2,17.8,529,618,85.6,7,46,7,1,46,8345,2635,273,300,91.0,204,225,90.7,34,62,54.8,0,0,0,,0,0,,0,0,0,578,38,15,0,2,17,16,3,2,0,0,2,9,526,22,5,20,4,16,12,2,1,0,0,1,2,2,100.0,719,39,163,346,213,27,719,13,8,5,5,3,9,12,75.0,3,10,2,8,10,23,15,0,0.6,0.6,0.4,0.4,0.3,0.5,0.4,0.4,-0.3,0.07,0,0.4,0.2,0.4
