Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Bologna,Udinese,2024-08-18,D,H,1,1,0,0,1,1,0,73,33,6,15.2,29.0,16,10,61.5,14,6,42.9,4,28.6,501,2324,1141,23,18,12,0,0.0,0,0,0,17,16,2,0,0,0,1,1,0,4,25.0,27.3,21,0.0,0.0,5,23.8,16.8,1,1,1,1,0,44,2,23.5,523,617,84.8,14,42,12,5,51,10053,2932,169,189,89.4,274,307,89.3,60,80,75.0,1,0,1,100.0,0,1,100.0,0,1,0,568,48,16,3,3,31,17,9,1,7,0,1,11,520,18,6,11,11,37,21,6,1,6,2,1,2,0,50.0,718,65,209,309,210,39,717,16,9,7,5,4,10,17,58.8,7,8,2,6,3,19,17,0,3.2,2.4,2.3,2.3,2.0,1.5,-2.2,-2.4,-2.0,0.12,1,0.9,0.0,-0.1
Lazio,Udinese,2024-08-24,L,A,1,2,-1,1,0,0,0,66,24,2,50.0,35.2,14,17,45.2,16,9,56.3,6,37.5,363,2265,1113,18,14,9,0,0.0,1,0,0,10,15,1,0,0,0,1,0,0,7,14.3,26.7,17,0.06,0.25,4,23.5,15.6,0,2,0,0,0,36,0,6.0,441,547,80.6,11,46,10,5,44,8154,2510,168,185,90.8,212,245,86.5,49,80,61.3,0,0,0,,0,0,,0,0,0,476,69,17,1,1,45,29,13,8,4,0,2,10,437,14,3,13,12,31,21,7,0,1,2,0,3,1,33.3,625,46,164,290,178,29,625,11,6,5,6,0,7,14,50.0,7,5,1,4,6,17,9,0,1.3,1.3,0.5,0.5,0.6,0.7,-0.3,-0.3,-0.6,0.08,0,1.6,0.54,-0.4
Como,Udinese,2024-09-01,L,A,0,1,-1,0,0,1,1,56,22,2,18.2,29.1,15,18,45.5,15,11,73.3,4,26.7,385,1927,928,25,20,11,0,0.0,0,0,0,9,13,0,0,0,0,0,0,0,3,33.3,28.7,20,0.0,0.0,4,20.0,17.5,0,1,0,0,0,48,0,18.0,447,540,82.8,13,30,8,4,49,7445,2550,217,238,91.2,187,215,87.0,34,55,61.8,0,0,0,,0,0,,0,0,0,490,49,17,1,1,25,21,6,1,3,0,1,21,443,20,7,13,18,36,23,4,1,5,1,2,2,1,50.0,649,51,156,305,198,28,648,26,19,9,13,4,12,26,46.2,14,10,3,7,11,37,21,0,1.6,0.9,0.6,-0.1,0.7,0.8,-1.6,-0.9,-0.7,0.04,0,0.6,0.31,-0.4
Parma,Udinese,2024-09-16,L,H,2,3,-1,2,0,0,0,47,41,5,31.7,33.9,7,12,36.8,15,7,46.7,5,33.3,280,1222,592,7,4,21,2,9.5,2,1,1,8,17,4,2,1,1,0,0,0,8,37.5,34.4,9,0.22,0.67,3,33.3,17.2,0,2,0,0,0,25,2,16.3,363,449,80.8,7,13,6,1,21,6672,2019,139,159,87.4,159,182,87.4,48,76,63.2,0,0,0,,0,0,,0,0,0,392,55,22,0,3,4,15,5,1,0,0,2,2,360,4,3,16,9,17,13,3,1,0,0,0,6,3,50.0,544,79,200,255,91,17,544,8,4,4,4,0,4,10,40.0,6,7,3,4,4,12,24,1,0.8,0.8,-1.7,-1.7,0.7,0.4,1.2,1.2,1.3,0.09,0,2.5,0.43,-0.5
Roma,Udinese,2024-09-22,W,H,3,0,3,2,1,1,0,62,38,5,31.6,36.3,8,15,34.8,14,5,35.7,8,57.1,340,2212,985,20,17,5,0,0.0,2,0,0,15,10,5,4,0,0,0,1,0,8,100.0,67.3,15,0.13,0.29,7,46.7,18.6,0,4,1,0,0,44,0,8.3,517,603,85.7,12,39,14,5,44,9138,2790,211,234,90.2,267,290,92.1,31,59,52.5,0,0,0,,0,0,,0,0,0,565,34,11,3,3,12,12,2,2,0,0,4,5,511,17,8,9,5,30,27,1,0,1,1,0,2,2,100.0,689,57,151,384,159,37,688,10,8,5,3,2,3,4,75.0,1,7,3,4,7,17,11,1,1.9,1.1,1.2,0.4,0.6,1.3,1.1,0.9,0.4,0.07,0,0.9,0.44,0.9
Inter,Udinese,2024-09-28,W,A,3,2,1,3,0,0,0,60,42,3,9.5,25.7,13,10,56.5,10,2,20.0,8,80.0,449,2158,1018,16,17,20,0,0.0,0,0,0,6,11,6,6,0,0,0,0,0,5,20.0,33.4,16,0.19,0.43,7,43.8,14.7,0,3,0,0,0,38,1,15.0,561,637,88.1,16,24,14,6,37,10886,2922,210,227,92.5,255,277,92.1,82,101,81.2,0,0,0,,0,0,,0,1,0,599,35,13,1,3,20,11,3,0,2,0,3,6,560,17,3,10,2,29,28,1,0,0,0,0,3,1,33.3,742,83,280,321,148,22,742,15,10,7,5,3,9,19,47.4,10,9,5,4,6,21,25,0,2.2,2.2,1.5,1.5,2.2,1.1,0.8,0.8,0.8,0.14,0,1.2,0.39,-0.8
Lecce,Udinese,2024-10-05,L,A,0,1,-1,0,0,0,0,45,15,6,40.0,33.7,14,13,51.9,25,10,40.0,12,48.0,240,1426,707,14,12,22,0,0.0,2,0,0,16,12,0,0,0,0,0,0,0,6,33.3,36.2,9,0.0,0.0,3,33.3,22.0,0,3,0,0,0,49,0,3.0,292,395,73.9,8,18,2,0,23,5661,2116,110,129,85.3,116,148,78.4,51,80,63.8,0,0,0,,0,0,,1,0,0,347,45,12,2,5,12,25,0,0,0,0,3,14,287,12,5,14,7,13,10,1,0,0,0,2,4,3,75.0,519,59,213,222,92,16,519,22,11,10,10,2,9,16,56.3,7,14,3,11,14,36,21,0,0.5,0.5,-0.4,-0.4,0.5,0.3,-0.5,-0.5,-0.5,0.06,0,0.9,0.23,-0.1
Milan,Udinese,2024-10-19,W,H,1,0,1,1,0,0,0,44,34,3,38.2,39.3,15,16,48.4,17,9,52.9,7,41.2,261,1498,794,16,13,27,2,7.4,2,1,0,3,14,2,2,0,0,0,0,0,11,72.7,58.5,10,0.1,0.2,5,50.0,12.2,0,3,0,0,0,21,0,6.7,295,368,80.2,9,12,6,2,27,5585,1939,122,136,89.7,137,156,87.8,34,66,51.5,0,0,0,,0,0,,0,0,0,315,50,16,1,4,13,14,8,4,2,0,3,9,293,13,5,14,5,15,13,0,1,1,0,0,1,1,100.0,451,73,213,164,82,19,451,8,4,4,2,2,3,11,27.3,8,1,0,1,3,11,31,1,1.2,1.2,0.7,0.7,0.8,0.5,-0.2,-0.2,0.2,0.12,0,0.1,0.11,0.1
Cagliari,Udinese,2024-10-25,L,A,0,2,-2,0,0,0,0,36,16,2,37.5,34.8,10,10,50.0,18,5,27.8,12,66.7,218,1194,514,8,4,12,0,0.0,3,1,1,9,13,0,0,0,0,0,0,0,10,60.0,48.5,3,0.0,,0,0.0,23.6,0,1,0,0,0,37,0,6.0,251,322,78.0,2,15,1,1,19,4799,1783,82,95,86.3,144,165,87.3,24,57,42.1,0,0,0,,0,0,,0,1,0,275,46,16,1,0,11,14,4,2,1,0,1,4,248,4,1,14,3,3,1,1,0,0,1,0,4,2,50.0,413,67,197,180,43,3,413,15,12,9,4,2,8,14,57.1,6,5,2,3,3,18,22,0,0.4,0.4,-0.6,-0.6,0.4,0.3,-0.4,-0.4,-0.4,0.14,0,1.7,0.45,-0.3
Venezia,Udinese,2024-10-30,W,H,3,2,1,1,2,2,0,57,17,3,29.4,32.5,13,13,50.0,16,9,56.3,6,37.5,342,1815,1047,17,17,13,0,0.0,3,0,0,9,12,5,2,0,0,1,2,0,11,18.2,23.2,16,0.06,0.2,5,31.3,23.6,1,3,1,0,0,41,0,4.5,414,511,81.0,11,31,6,1,40,7289,2240,161,184,87.5,234,265,88.3,17,42,40.5,0,0,0,,0,0,,0,0,0,457,51,10,2,0,14,25,2,0,1,0,3,12,409,17,5,11,11,29,20,0,4,2,2,1,5,3,60.0,616,55,141,302,178,19,614,17,11,8,4,5,9,19,47.4,10,7,2,5,9,26,18,0,2.3,0.8,1.4,-0.1,0.6,0.9,0.7,0.2,-0.6,0.05,1,1.1,0.21,-0.9
