Team,Opp,Date,Result,H/A,GF,GA,GD,G-PK,PK,PKatt,PKm,Poss,Att (GK),Thr,Pa Launch%,Pa AvgLen,Won,Lost,Won%,Att To,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Last3rd Car,OppCr,Stp,Stp%,CrdY,CrdR,2CrdY,Fls,Fld,GCA,PassLive Gc,PassDead Gc,TO Gc,Sh-Gc,Fld Gc,Def-Gc,GK Att,Launch%,AvgLen,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Off,PKwon,PKcon,OG,Recov,#OPA,AvgDist,Cmp,Pas Att,Cmp%,KP,Last3rd PA,PPA,CrsPA,PrgP,TotDist Pas,PrgDist Pas,Cmp 5-15,Att 5-15,Cmp% 5-15,Cmp 15-30,Att 15-30,Cmp% 15-30,Cmp 30+,Att 30+,Cmp% 30+,PKdef,PKA,PKms,Missed PK%,PKAg,PKsv,PK Save%,FK Ag,CKG,OGK,Live Pas,Dead,Pas FK,TB,Sw,Crs,TI,CK,In,Out,Str,Ps Off,PTo,Rec,Last3rd Rec,CPA,Mis,Dis,SCA,PassLive Sc,PassDead Sc,TO Sc,Sh-Sh,Fld Sc,Def-Sc,SoTA,Saves,Save%,Touches,Def Pen,Tch Def 3rd,Tch Mid 3rd,Tch Att 3rd,Att Pen,Live Tch,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl.2,Tkl Att,Tkl%,Lost Tkl,Ints,BlcSh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,FKAtt,PSxG,PSxG/SoT,PSxG+/-
Lazio,Venezia,2024-08-18,W,H,3,1,2,1,1,1,0,67,38,3,42.1,38.1,12,10,54.5,13,8,61.5,3,23.1,494,2742,1387,27,21,8,1,12.5,1,0,0,14,10,3,1,0,0,0,1,1,5,0.0,9.6,12,0.08,0.2,5,41.7,16.7,0,0,1,0,0,36,1,13.3,571,646,88.4,9,39,10,4,43,10138,3107,246,269,91.4,242,261,92.7,64,86,74.4,0,0,0,,0,0,,0,0,0,601,45,11,4,2,26,21,6,0,5,0,0,7,567,21,7,16,13,22,15,1,3,1,1,1,2,1,50.0,737,60,174,387,184,26,736,13,12,3,6,4,3,7,42.9,4,13,3,10,7,20,15,1,2.4,1.6,1.8,1.0,1.3,0.7,-0.4,-0.6,-1.3,0.13,0,0.2,0.12,-0.8
Fiorentina,Venezia,2024-08-25,D,H,0,0,0,0,0,0,0,54,34,4,41.2,34.9,17,15,53.1,20,7,35.0,3,15.0,345,1500,679,18,11,8,0,0.0,1,0,0,13,19,0,0,0,0,0,0,0,4,25.0,26.5,14,0.0,0.0,8,57.1,19.6,1,1,0,0,0,35,0,,378,469,80.6,12,18,4,0,32,6601,2332,162,176,92.0,179,205,87.3,29,67,43.3,0,0,0,,0,0,,0,0,0,424,44,22,0,2,17,10,7,2,3,0,1,7,375,11,7,14,13,23,17,1,2,2,1,0,4,4,100.0,561,60,221,234,109,23,561,19,11,6,9,4,4,13,30.8,9,8,2,6,6,25,10,0,0.9,0.9,0.2,0.2,0.8,0.6,-0.9,-0.9,-0.8,0.06,1,0.8,0.21,0.8
Torino,Venezia,2024-08-30,W,A,1,0,1,1,0,0,0,58,26,5,50.0,43.0,18,22,45.0,10,2,20.0,6,60.0,414,1941,848,9,15,11,0,0.0,4,0,0,15,7,2,1,1,0,0,0,0,12,75.0,60.1,12,0.08,0.2,5,41.7,17.0,0,3,0,0,0,38,1,12.2,458,559,81.9,8,38,11,4,30,7738,2522,220,248,88.7,191,215,88.8,33,69,47.8,0,0,0,,0,0,,0,0,0,513,43,10,2,0,19,17,3,2,0,0,3,5,458,15,0,12,11,20,18,1,0,1,0,0,4,4,100.0,643,53,162,332,153,17,643,17,9,9,5,3,7,15,46.7,8,9,3,6,7,24,18,0,1.0,1.0,0.2,0.2,0.5,1.2,0.0,0.0,0.5,0.09,0,0.8,0.21,0.8
Milan,Venezia,2024-09-14,W,H,4,0,4,2,2,2,0,62,31,4,19.4,28.2,9,7,56.3,14,5,35.7,8,57.1,439,2055,1029,22,11,9,0,0.0,1,0,0,12,11,8,3,1,0,1,2,1,6,0.0,19.2,10,0.2,0.33,6,60.0,20.0,0,0,2,0,0,38,2,25.5,543,603,90.0,9,37,5,0,40,9003,2885,259,279,92.8,227,242,93.8,44,61,72.1,0,0,0,,0,0,,0,0,0,565,38,12,4,3,15,13,6,5,1,0,0,6,537,11,11,13,8,21,14,1,1,1,3,1,1,1,100.0,694,65,226,335,138,28,692,16,7,6,5,5,4,12,33.3,8,5,1,4,6,22,18,1,2.2,0.7,2.0,0.4,0.7,0.7,1.8,1.3,1.3,0.07,0,0.0,0.03,0.0
Genoa,Venezia,2024-09-21,L,A,0,2,-2,0,0,0,0,51,19,2,26.3,33.8,17,15,53.1,9,3,33.3,6,66.7,296,1596,852,15,13,8,0,0.0,3,0,0,12,7,0,0,0,0,0,0,0,10,40.0,40.0,9,0.0,,0,0.0,14.8,0,7,0,1,0,41,0,5.0,342,433,79.0,9,19,4,2,24,5936,2116,151,170,88.8,144,162,88.9,38,71,53.5,1,0,1,100.0,0,1,100.0,0,0,0,387,39,9,1,2,13,13,4,2,2,0,7,10,339,13,4,12,6,18,11,4,0,1,0,2,4,1,50.0,536,51,184,250,108,14,536,16,10,7,7,2,3,11,27.3,8,8,3,5,15,31,19,1,0.5,0.5,-1.2,-0.4,0.5,0.3,-0.5,-0.5,-0.5,0.06,0,2.0,0.34,0.0
Roma,Venezia,2024-09-29,W,H,2,1,1,2,0,0,0,69,12,4,16.7,27.0,13,10,56.5,23,7,30.4,10,43.5,437,2429,1312,32,22,13,0,0.0,1,0,0,8,11,4,3,1,0,0,0,0,7,100.0,66.1,22,0.09,0.4,5,22.7,18.7,1,2,0,0,0,36,1,28.0,534,636,84.0,15,44,13,4,45,9154,2419,249,267,93.3,228,261,87.4,46,77,59.7,0,0,0,,0,0,,0,0,0,582,52,13,2,2,27,24,6,5,1,0,2,11,530,22,3,11,8,40,30,6,2,1,1,0,6,5,83.3,749,44,129,378,246,31,749,12,8,1,7,4,6,8,75.0,2,12,7,5,5,17,24,0,1.7,1.7,0.0,0.0,1.2,1.3,0.3,0.3,0.8,0.08,1,2.1,0.35,1.1
Hellas Verona,Venezia,2024-10-04,W,H,2,1,1,1,0,0,0,51,16,2,50.0,41.4,23,16,59.0,14,6,42.9,6,42.9,275,1246,545,14,14,15,0,0.0,3,0,0,10,5,2,2,0,0,0,0,0,9,100.0,62.4,20,0.05,0.33,3,15.0,12.3,0,1,0,0,0,43,0,2.5,315,422,74.6,17,31,11,3,38,6108,2401,136,159,85.5,127,154,82.5,45,83,54.2,0,0,0,,0,0,,0,1,0,367,54,5,1,6,33,25,13,8,3,0,1,9,312,14,6,15,10,34,22,6,1,4,0,1,2,1,50.0,540,53,148,223,182,26,540,16,11,5,9,2,6,10,60.0,4,8,4,4,7,23,27,0,2.3,2.3,1.4,1.4,2.2,2.1,-1.3,-1.3,-1.2,0.12,0,0.9,0.47,-0.1
Atalanta,Venezia,2024-10-20,W,A,2,0,2,2,0,0,0,57,41,4,39.0,34.2,16,13,55.2,18,6,33.3,9,50.0,327,1632,729,22,9,8,1,12.5,1,0,0,6,11,4,4,0,0,0,0,0,9,88.9,62.9,16,0.13,0.29,7,43.8,15.7,0,2,0,0,0,51,2,14.7,436,540,80.7,14,34,11,2,50,8241,2923,178,201,88.6,201,232,86.6,50,89,56.2,0,0,0,,0,0,,0,0,0,491,47,14,2,2,13,18,5,3,2,0,2,8,434,9,7,18,6,31,21,3,3,2,1,1,4,4,100.0,644,79,242,278,128,26,644,12,11,6,5,1,8,19,42.1,11,6,1,5,8,20,19,1,1.4,1.4,0.6,0.6,1.2,0.7,0.6,0.6,-0.2,0.09,0,0.1,0.03,0.1
Monza,Venezia,2024-10-27,D,H,2,2,0,2,0,0,0,46,27,0,66.7,44.9,21,23,47.7,17,8,47.1,5,29.4,208,1175,504,13,7,13,0,0.0,4,1,1,17,16,4,3,0,1,0,0,0,3,100.0,72.7,13,0.15,1.0,2,15.4,16.0,0,0,0,0,0,39,1,22.5,296,386,76.7,13,19,5,4,23,5650,2218,131,148,88.5,117,140,83.6,41,74,55.4,0,0,0,,0,0,,0,0,0,343,43,17,1,2,23,16,4,1,3,0,0,12,295,7,4,16,5,26,15,4,2,1,4,0,2,0,0.0,493,46,170,201,126,20,493,20,13,11,9,0,10,17,58.8,7,12,2,10,11,31,20,1,1.1,1.1,0.7,0.7,1.1,0.7,0.9,0.9,0.9,0.09,0,1.0,0.49,-1.0
Udinese,Venezia,2024-10-30,L,A,2,3,-1,2,0,0,0,43,28,1,64.3,44.4,13,13,50.0,20,10,50.0,9,45.0,199,1185,567,12,7,10,0,0.0,4,1,0,13,9,2,2,0,0,0,0,0,9,55.6,40.7,15,0.13,0.4,5,33.3,16.7,0,0,0,2,0,44,1,17.0,286,378,75.7,11,19,6,2,23,5188,1916,126,146,86.3,125,148,84.5,29,64,45.3,2,2,0,0.0,2,0,0.0,1,0,0,329,49,12,1,2,17,18,6,2,2,0,0,7,284,7,4,13,8,25,16,3,1,2,1,2,7,4,85.7,498,56,204,208,91,19,498,17,9,8,8,1,6,15,40.0,9,15,4,11,6,23,27,1,0.9,0.9,-1.4,0.1,0.6,0.4,1.1,1.1,0.4,0.06,0,3.6,0.3,0.6
